id;confidence_per_choice
('easy', 0);[0.044012641503084704, 0.11239021736377995, 0, 0]
('easy', 1);[0.053033677831688913, 0.028386882155805714, 0, 0]
('easy', 2);[0.06725399672023705, 0, 0, 0.05237746531040231]
('easy', 3);[0.060414151439521044, 0, 0, 0]
('easy', 4);[0.06128263595941352, 0, 0.11449103689196485, 0]
('easy', 5);[0.06472753315807338, 0, 0.07334590406890257, 0]
('easy', 6);[0.11310983806743864, 0, 0, 0]
('easy', 7);[0.04308108670618977, 0, 0.03151879634625384, 0]
('easy', 8);[0.02325137142022321, 0.09196095788010558, 0, 0]
('easy', 9);[0.051284585606972424, 0, 0.03994047543020263, 0.013803058962205884]
('easy', 10);[0.08343854031164144, 0, 0, 0]
('easy', 11);[0.06358229626636573, 0, 0, 0]
('easy', 12);[0.04629160388888701, 0.07169783867547787, 0, 0]
('easy', 13);[0.07118226303919675, 0.03579268964754189, 0, 0]
('easy', 14);[0.09093661582450228, 0, 0, 0]
('easy', 15);[0.057738865091632556, 0.030905387410012503, 0, 0]
('easy', 16);[0.08951644396297875, 0, 0.012896066467056917, 0.01762683293907251]
('easy', 17);[0.08341216596744949, 0, 0, 0]
('easy', 18);[0.06475454522418515, 0.0504308905280281, 0, 0]
('easy', 19);[0.07251686116993496, 0, 0, 0]
('easy', 20);[0.0507585974860983, 0, 0.01754170190497244, 0]
('easy', 21);[0.0746380970710202, 0.03525654061658704, 0.010101168007348312, 0]
('easy', 22);[0.053648831437990874, 0.03925032355475806, 0, 0]
('easy', 23);[0.08204952481389845, 0, 0, 0.0342033306275836]
('easy', 24);[0.06378365575872512, 0, 0, 0]
('easy', 25);[0.1150128815408007, 0, 0, 0]
('easy', 26);[0.06589738843711629, 0.01381284299993866, 0, 0]
('easy', 27);[0.04992936905255915, 0, 0, 0.09929640706742689]
('easy', 28);[0.08932409992153499, 0, 0, 0]
('easy', 29);[0.03431546188271796, 0.060225511183007764, 0, 0]
('easy', 30);[0.07142797051128365, 0, 0, 0]
('easy', 31);[0.13439461273255585, 0, 0.00807102191029036, 0.007582023412780538]
('easy', 32);[0.05513852952194447, 0, 0.04865958151618527, 0]
('easy', 33);[0.07182319658443367, 0, 0, 0]
('easy', 34);[0.0722253448344538, 0, 0, 0]
('easy', 35);[0.10656028177893635, 0.008217048567379072, 0.009311135872900576, 0]
('easy', 36);[0.04626553132658237, 0.0979441305869691, 0, 0]
('easy', 37);[0.079840090675772, 0, 0, 0]
('easy', 38);[0.06146218907163623, 0.012883171637060873, 0, 0.01654231982953678]
('easy', 39);[0.0625065414759039, 0, 0.02952599952073598, 0]
('easy', 40);[0.10301810665263027, 0, 0.011558311233718253, 0.05180075712772077]
('easy', 41);[0.06743798845021748, 0.036096954034310576, 0, 0]
('easy', 42);[0.05710695037960022, 0, 0, 0]
('easy', 43);[0.12435875401969963, 0, 0, 0]
('easy', 44);[0.02404675285064215, 0.10777006942784365, 0, 0]
('easy', 45);[0.11393708275220003, 0, 0, 0.03264352074876174]
('easy', 46);[0.04854632195386268, 0, 0, 0.062334711275465776]
('easy', 47);[0.0448171015413853, 0, 0.027182946164304507, 0]
('easy', 48);[0.04364625433753014, 0, 0.046461195894820416, 0]
('easy', 49);[0.013179483575572054, 0.17091416391832712, 0, 0]
('easy', 50);[0.07579706543969601, 0, 0, 0]
('easy', 51);[0.07586567754677838, 0, 0, 0]
('easy', 52);[0.05893087439164819, 0, 0, 0.04885541083050803]
('easy', 53);[0.052974876925186105, 0, 0.01110413478901459, 0.014257991299421303]
