id;confidence_per_choice
('easy', 0);[3.97896253583724e-12, 1.0, 1.9810087980489796e-13, 4.752193062771153e-13]
('easy', 1);[4.8473687062702556e-11, 1.0, 6.101936677605324e-13, 1.2917800047859961e-12]
('easy', 2);[8.878265478459658e-13, 2.8823507934443873e-13, 1.5428112031918877e-13, 1.0]
('easy', 3);[1.0, 8.423463754468647e-12, 6.431393941452e-14, 0]
('easy', 4);[1.0815941557285693e-11, 1.8795288165390832e-12, 1.0, 9.357622968840175e-14]
('easy', 5);[1.0815941557285693e-11, 4.1937956583795446e-13, 1.0, 5.675685232632723e-14]
('easy', 6);[1.0, 1.8795288165390832e-12, 3.442477108469977e-14, 0]
('easy', 7);[2.9400777392844726e-11, 4.1937956583795446e-13, 1.0, 3.900837610180715e-14]
('easy', 8);[1.0815941557285693e-11, 1.0, 7.287724095819692e-14, 5.675685232632723e-14]
('easy', 9);[1.0, 5.109089028063325e-12, 2.543665647376923e-13, 1.9810087980489796e-13]
('easy', 10);[1.0, 2.413362771833214e-12, 3.900837610180715e-14, 2.3659776091347615e-14]
('easy', 11);[1.0, 3.0988191387218256e-12, 4.752193062771153e-13, 1.2664165549094176e-14]
('easy', 12);[1.3887943864964021e-11, 1.0, 2.543665647376923e-13, 4.752193062771153e-13]
('easy', 13);[4.8473687062702556e-11, 1.0, 1.9810087980489796e-13, 1.1399918530443554e-12]
('easy', 14);[1.0, 6.101936677605324e-13, 5.384940217754036e-13, 1.626111044617819e-14]
('easy', 15);[1.0, 1.6586783589142312e-12, 3.037975385443128e-14, 2.3659776091347615e-14]
('easy', 16);[1.3887943864964021e-11, 6.101936677605324e-13, 4.1937956583795446e-13, 1.0]
('easy', 17);[1.0, 3.2661313427874473e-13, 3.2661313427874473e-13, 0]
('easy', 18);[1.783247290814639e-11, 1.0, 2.8823507934443873e-13, 3.0988191387218256e-12]
('easy', 19);[1.0, 4.1937956583795446e-13, 1.7482341282710566e-13, 0]
('easy', 20);[1.026187963170189e-10, 2.2447770550209742e-13, 1.0, 5.008774637843506e-14]
('easy', 21);[3.97896253583724e-12, 1.0, 1.3615261080896538e-13, 1.463778514125909e-12]
('easy', 22);[1.783247290814639e-11, 1.0, 1.9810087980489796e-13, 4.1937956583795446e-13]
('easy', 23);[2.9400777392844726e-11, 2.413362771833214e-12, 2.2447770550209742e-13, 1.0]
('easy', 24);[1.0, 5.109089028063325e-12, 1.9810087980489796e-13, 0]
('easy', 25);[1.0, 1.0815941557285693e-11, 1.7482341282710566e-13, 8.703945206726412e-15]
('easy', 26);[1.0, 6.101936677605324e-13, 1.006039279283317e-12, 3.442477108469977e-14]
('easy', 27);[1.006039279283317e-12, 4.1937956583795446e-13, 3.2661313427874473e-13, 1.0]
('easy', 28);[1.0, 2.7346982915918745e-12, 2.2447770550209742e-13, 1.3615261080896538e-13]
('easy', 29);[6.560200168153779e-12, 1.0, 2.2447770550209742e-13, 2.543665647376923e-13]
('easy', 30);[1.0, 2.9400777392844726e-11, 1.8426252147235624e-14, 2.0879679116459336e-14]
('easy', 31);[1.0, 6.560200168153779e-12, 1.463778514125909e-12, 1.2664165549094176e-14]
('easy', 32);[3.775134544279098e-11, 1.006039279283317e-12, 1.0, 2.0879679116459336e-14]
('easy', 33);[1.0, 5.789356328730652e-12, 5.384940217754036e-13, 5.008774637843506e-14]
('easy', 34);[1.0, 1.1399918530443554e-12, 5.384940217754036e-13, 0]
