id;confidence_per_choice
0;[0.04923451516538367, 0.012448434914058268, 0.055790014697149705, 0.055790014697149705]
1;[0.03543947015448195, 0.040158180783059175, 0.05156412481338921, 0.016740420347840713]
2;[0.014765967199443137, 0.018959881706450014, 0.027586465105061464, 0.01673203289008449]
3;[0.03445868156531402, 0.01844440311953098, 0.03445868156531402, 0.030409679748538525]
4;[0.04741460262072152, 0.015393264059592335, 0.032587548039356234, 0.022397072389535307]
5;[0.02134326180261393, 0.13917554965269624, 0.03105426268275186, 0.0188353624318589]
6;[0.024899980469039778, 0.024899980469039778, 0.03197220779727542, 0.03197220779727542]
7;[0.0954691334777522, 0.06561491189472336, 0.08425121458655162, 0.039797455798492885]
8;[0.061137589957021635, 0.015458007218685354, 0.12942827895467368, 0.037081822769872805]
9;[0.14647757406571854, 0.1006724662386789, 0.053886088091445086, 0.0784037955404127]
10;[0.0732052859631854, 0.0732052859631854, 0.03457972857285008, 0.04440125038970282]
11;[0.03822463507385497, 0.02046017277424871, 0.029769375728136937, 0.02318441312861992]
12;[0.34922073878821475, 0.0606854649139059, 0.06876564069083363, 0.11337537450029966]
13;[0.12120107259148698, 0.05725133284855419, 0.06487425925335315, 0.13733879154502285]
14;[0.05283246117122697, 0.18440340877436825, 0.046624483339528705, 0.046624483339528705]
15;[0.033400665347362996, 0.0035204042274623927, 0.0024195360825453177, 0.004520288505076685]
16;[0.0771728922859966, 0.05304010148145598, 0.06810483840588662, 0.046807725270157516]
17;[0.05916018333320339, 0.04607399710654667, 0.18222621521106913, 0.04607399710654667]
18;[0.06290668816303001, 0.023142077287361666, 0.048991778001796445, 0.07128261637949469]
19;[0.24946761179689153, 0.11784014175739094, 0.15130975516010375, 0.06307528261394138]
20;[0.09620772229021776, 0.014753932062042431, 0.08490301692583611, 0.09620772229021776]
21;[0.18054985008418764, 0.07526437515874637, 0.08528571028217471, 0.29767637825551946]
22;[0.028266613817989575, 0.03203026972129226, 0.009176825919875937, 0.010398706095170974]
23;[0.0746833281427145, 0.05132905073691577, 0.04529772828793571, 0.05816343443992474]
24;[0.10981748712093471, 0.09691359223384857, 0.10981748712093471, 0.09691359223384857]
25;[0.27046810626502993, 0.025157455751019457, 0.025157455751019457, 0.1127478944768574]
26;[0.0435197855447369, 0.014128805756005077, 0.03389324306134071, 0.02991068202018]
27;[0.09105303040824335, 0.06257977160101404, 0.09105303040824335, 0.1501210858916033]
28;[0.0356238414403151, 0.04036710082039096, 0.08545715310737317, 0.03143792972924283]
29;[0.22879306740118144, 0.07427822499162381, 0.2019091733143712, 0.0841682557458082]
30;[0.14697808771585552, 0.11446663616195872, 0.11446663616195872, 0.166547992729942]
31;[0.017751871977246602, 0.16842507192097125, 0.02011550627005733, 0.017751871977246602]
32;[0.07925292562756657, 0.054469686096644786, 0.08980533007589729, 0.02915552199107107]
33;[0.03531029470671722, 0.02426838698287636, 0.010116568812021463, 0.006953009282653473]
34;[0.09958308742986773, 0.047039719720553694, 0.06040019571505852, 0.11284242147277314]
