id;confidence_per_choice
0;[0.09534102609006437, 8.69397622689923e-05, 0.9045704227328718, 1.5923572907912601e-06]
1;[0.9999723442092404, 2.144481521867235e-05, 6.144042427930034e-06, 1.12532169746017e-07]
2;[2.810744767191895e-05, 0.619107697823147, 0.375507800393843, 0.005356331418733802]
3;[0.11610872029078949, 5.001298900909241e-05, 0.0259073573531131, 0.8579338733721125]
4;[0.020097218190170994, 0.6655284436456713, 0.31437338604505527, 9.124120767190792e-07]
5;[0.8175741872167174, 0.1824254593268885, 2.5009772179607263e-07, 4.346046736447588e-08]
6;[0.5432509913321943, 0.12121569514678182, 0.00603497410153098, 0.3294983821622579]
7;[0.4998592624898001, 0.4998592624898001, 0.0002764642629639485, 5.063619606087728e-06]
8;[9.736107461810537e-10, 2.1724192171761075e-10, 0.9999898673126559, 1.0129987330277146e-05]
9;[0.9890125928681703, 0.010986936344888492, 1.8350052343380288e-07, 2.356193360645074e-07]
10;[6.47593364802092e-07, 1.3709551640442868e-06, 1.0677009553134769e-06, 0.9999969005680498]
11;[1.7602523020308433e-06, 4.5397505209397035e-05, 0.9999467162860101, 6.1438842257493485e-06]
12;[0.9999723442092404, 2.510932105727906e-08, 6.144042427930034e-06, 2.144481521867235e-05]
13;[0.0024713346712700655, 0.9970076487797278, 0.0002604768821897415, 0.0002604768821897415]
14;[1.0677009553134769e-06, 0.9999974966112362, 1.18610975280741e-08, 1.3709551640442868e-06]
15;[0.00020257425080293226, 0.00012286749398029496, 0.995605671326994, 0.0040688125941893746]
16;[2.902309337197794e-06, 0.9999957084838798, 1.3709538566001813e-06, 5.905281472039989e-10]
17;[1.6918979226151304e-10, 3.2241867372567335e-08, 1.0, 4.363462252943702e-09]
18;[0.11894034376283358, 2.420059775498909e-05, 0.0021784683856619666, 0.8788569641615938]
19;[0.9894940521820134, 0.00856080144707017, 0.0019101729978836769, 3.4986022161608865e-05]
20;[3.92783732425049e-07, 4.139914029939298e-08, 6.144171336422507e-06, 0.9999934435319415]
21;[1.3709551640442868e-06, 5.043462196197153e-07, 8.315263400842229e-07, 0.9999972581939645]
22;[0.9881205607388446, 0.010977028665573593, 1.3546729570723025e-06, 0.0009010493829081061]
23;[0.999651672608207, 0.0003353458766600206, 7.1916223937898485e-09, 1.3002770717126653e-05]
24;[0.959541136222187, 0.00237846419268578, 0.03720544868637561, 0.0008749880780515303]
25;[0.07585817148650026, 8.536712582116827e-09, 1.1937877903229706e-12, 0.9241418055144026]
26;[0.9958782317361611, 3.5211762703654715e-05, 0.0040699263990430406, 1.663285896426001e-05]
27;[1.443663439710683e-07, 0.9990888798598818, 9.727327741288e-10, 0.0009110509701065104]
28;[4.5990553786523166e-10, 0.9999996423722521, 2.510999155743982e-08, 3.927863545481039e-07]
29;[0.03942442120040386, 1.5485374683475616e-08, 0.480287801805533, 0.480287801805533]
30;[0.010976746019434228, 0.9880950708140079, 0.0009010261819001451, 2.7208633088386376e-05]
