id;confidence_per_choice
0;[0, 0.008444515432487108, 0.05506515769408465, 0]
1;[0.025625021542936055, 0, 0, 0]
2;[0.02856044024036983, 0.022242893224064086, 0, 0.007221210166380724]
3;[0.09487119971319637, 0.016486142494036873, 0.016486142494036873, 0.023987195788995948]
4;[0.024197259550755093, 0, 0.007855701889408094, 0.058046208118015793]
5;[0.016040539053986305, 0.03847925283852211, 0.01102449051783267, 0.009729078734560574]
6;[0.09830032971693584, 0, 0.00712085200108164, 0]
7;[0.03602363505553918, 0, 0.02475865815675071, 0.028055235190332425]
8;[0.011554106775780363, 0.008998347404668372, 0, 0]
9;[0.022204897048011922, 0, 0.08782207144943979, 0.03230793456733839]
10;[0.022977219501274078, 0, 0.02950333384444915, 0]
11;[0.07318595003897162, 0.0391736161653794, 0.00990464127746481, 0.012717811143439357]
12;[0.0902453783263057, 0.0095117928958847, 0.008394127768644406, 0]
13;[0.005427075636335852, 0.024322465563264384, 0, 0]
14;[0.018271787774040073, 0.0031751606153845742, 0, 0.01423008262653693]
15;[0.01637954477442296, 0, 0.10680804874736041, 0.009934696097823376]
16;[0, 0.007063634872384386, 0, 0.03165701520442392]
17;[0.0057665536971205425, 0.007404401513797441, 0.008390286121245238, 0.025843906839569507]
18;[0, 0, 0.05045030045160922, 0]
19;[0.027318722387623756, 0.012904450719530615, 0.04504095868882708, 0.03507793389714532]
20;[0.016661198935761602, 0.027469673080756492, 0.03527175842379439, 0.024241901408779045]
21;[0.007466418687309501, 0.04868715412867436, 0, 0]
22;[0.004972350705513651, 0.004388084096180125, 0.011928049260396567, 0]
23;[0, 0.02576542186343024, 0.10190422026828187, 0]
24;[0, 0, 0.010650904688950415, 0.042125155256731876]
25;[0.027752542161639544, 0.027752542161639544, 0.027752542161639544, 0.04575620657789723]
26;[0.005426273467915015, 0, 0, 0.035383747781720216]
27;[0.010494606446752859, 0.00817320771875734, 0.03232566360005194, 0.041506973673764457]
28;[0.013500559539400232, 0.013500559539400232, 0, 0]
29;[0.006205920341467299, 0.03151625649126866, 0.00796855945238348, 0]
30;[0.014057183473349255, 0, 0.014057183473349255, 0.023176382924324848]
31;[0.027273128360889357, 0, 0, 0.016541988537157555]
32;[0.05027873264999234, 0, 0, 0]
33;[0.00572131243853959, 0, 0.013724715057879273, 0.012112018527434614]
34;[0.11415904426203613, 0, 0, 0]
35;[0.13420329705305745, 0, 0, 0]
36;[0.07550339680805478, 0.03566527927045777, 0.06663151381772396, 0.12448405632755206]
37;[0.03383741858026477, 0, 0, 0.003566437679535127]
38;[0.014371695699130866, 0.056841145576543475, 0.020910688870243416, 0]
39;[0.012496221165702433, 0.056004177818855784, 0.009732066829282517, 0.012496221165702433]
40;[0.0667443535528611, 0.004834945907518233, 0.0029325429309619306, 0]
41;[0.01547656366356973, 0.01547656366356973, 0, 0.04206966177367114]
42;[0.016508168569699184, 0.02401923781334911, 0.016508168569699184, 0.012856574609156478]
43;[0.01218208616430121, 0, 0.04818108542504053, 0]
44;[0.0035694643483093194, 0.003150041231269116, 0, 0]
45;[0.06434126377070334, 0, 0, 0.014356476489309404]
46;[0.026558660938929335, 0, 0.0496181109339678, 0]
47;[0.003530490606548579, 0.00582079495902364, 0, 0]
48;[0.004587879128360587, 0.026401427803844826, 0.014131662591975652, 0]
49;[0.011251775424985521, 0.009929656961127192, 0, 0.08313999982778728]
50;[0.019812182666143097, 0, 0.05385509612348806, 0]
51;[0.027480507726728477, 0.021401840936775933, 0, 0.010109513825616376]
52;[0.024280783833656474, 0.012996567040363768, 0.016687922409513254, 0.01890989346323917]
53;[0.008830002752033411, 0.09493149865363204, 0.006876813057806281, 0]
54;[0.09293076671651698, 0, 0.011098999958463182, 0.014251398046482911]
55;[0.018356246938152392, 0.009825393300918821, 0, 0.0028150223117512194]
56;[0.11541161738443187, 0, 0.025751812669977593, 0.008360389522258238]
57;[0.013736336381320473, 0.017637805045788005, 0.04794452494986879, 0]
58;[0.011700062150510329, 0, 0.008041327277233796, 0.02185858860290242]
59;[0.007589134603212863, 0, 0.05607654132547565, 0.014178370042861425]
60;[0, 0.011000849398299525, 0.05586693632918934, 0]
61;[0.06769563842136872, 0, 0.008085089107738969, 0.011763735238183335]
62;[0.043158468431180354, 0, 0.005840863549192201, 0]
63;[0.024935994266115067, 0.017138241515094042, 0, 0.010394868932464432]
64;[0.05902560675280013, 0, 0.09731677336932269, 0.011622831105637861]
65;[0, 0.008029552783637137, 0.05933081596761957, 0]
66;[0, 0.016121205797825975, 0.026579374908209913, 0]
67;[0.009672640358384443, 0, 0, 0.010960537459175084]
68;[0.0235947557779232, 0.018375614276225142, 0.011145373449583721, 0.007660095680020446]
69;[0.009717098459522752, 0, 0.07180016851775001, 0]
70;[0.006445718416483652, 0.04762777497730814, 0.025493310871534974, 0]
71;[0.016417719444549034, 0.03475630405030292, 0.04462797779071605, 0.023887635144172442]
72;[0.019051799871881273, 0.03559344809244992, 0, 0]
73;[0.0045765478814472575, 0, 0, 0.02324162788570792]
74;[0.047767536847630895, 0, 0.007325389029532334, 0.01757269476164273]
75;[0.006374519108422591, 0.017327739457590082, 0.003866341280182342, 0.003866341280182342]
76;[0.03909581895098098, 0.009884971061221577, 0.030447854413841857, 0.05020002521928185]
77;[0.00852191000528919, 0.009656589139668154, 0.049040206121117175, 0]
78;[0.05385804941722501, 0.01981326912219266, 0.012017355191747464, 0.015430589507568131]
79;[0.09863910263441926, 0, 0, 0.017140905843196226]
80;[0.03029152807549966, 0.009834219329765687, 0.014308704694281438, 0]
81;[0.021801597173250038, 0, 0.021801597173250038, 0]
82;[0.006862010668566962, 0.03484815730413413, 0, 0]
83;[0.02879520534665251, 0.007280568080962295, 0.015412962748346888, 0.013601891885067881]
84;[0.06308564486699206, 0, 0, 0]
85;[0.00594304258163122, 0.018305859893777796, 0, 0.009798420717011995]
86;[0.009559754669670118, 0, 0, 0.02293265382588685]
87;[0.03602239830341026, 0.024757808150271978, 0, 0.03602239830341026]
88;[0.01978734270757233, 0, 0.0034385245727002523, 0.0016242439989216887]
89;[0.06137105190661914, 0, 0.025583260647587827, 0]
90;[0.10081006871853107, 0, 0.006444572081276907, 0.019850679508815874]
91;[0.004060108653947112, 0.004060108653947112, 0.023364317695364838, 0]
92;[0.08258568688605691, 0, 0, 0]
93;[0.021684797151787116, 0.016888137002556376, 0.016888137002556376, 0.006212798402927196]
94;[0.008757248213784923, 0.0036505641772243934, 0, 0.018539094614063997]
95;[0.01855301862375659, 0, 0, 0.03466160204199799]
96;[0.01989321583381104, 0.04211393825065749, 0.01989321583381104, 0]
97;[0.007891756160968624, 0.010133215492985789, 0.08484437454787298, 0]
98;[0.08102491484454491, 0.07150423638249148, 0.06310226712922547, 0.029807400393974882]
99;[0.01812897317390273, 0.010995778059079857, 0.03386938084454098, 0.02054281790769787]
100;[0.03985256489959331, 0.006925337359217122, 0.0657057714419168, 0.012938233525211732]
