id;confidence_per_choice
0;[1.493094676197164e-10, 6.47594599989589e-07, 0.9999992847447459, 1.1253517471925912e-07]
1;[0.9999991655356624, 1.4449788680693535e-07, 1.8553895931777327e-07, 5.043471815847051e-07]
2;[0.5615170101413942, 0.43730988720603176, 8.897873480558578e-05, 0.0010839828994000846]
3;[0.04650469430270848, 0.0023153323946755603, 0.017108120951929155, 0.9340717614779833]
4;[6.47594599989589e-07, 1.8553895931777327e-07, 6.47594599989589e-07, 0.9999985694905718]
5;[0.0019265789921908657, 0.997992500680049, 7.470157424743816e-05, 6.131878619304035e-06]
6;[0.9999977350285647, 8.592150230932485e-10, 2.2603250957489616e-06, 5.602785751061334e-09]
7;[0.1789775986906414, 3.641629311850537e-05, 0.8021219359346515, 0.01886409786716231]
8;[0.00020302953058255022, 0.9978431592230859, 0.001926290553147111, 2.7477059026785953e-05]
9;[3.2235287920441394e-08, 5.6016531001956e-09, 0.9997965511486372, 0.00020342704214340812]
10;[0.04713111086567787, 0.002346519838922879, 0.946653593465673, 0.0038687571705519896]
11;[0.2937921887112401, 0.6219580313107808, 7.675568676922556e-05, 0.08417287134582448]
12;[0.04730500778349429, 0.0023551782181773437, 0.9501465229619132, 0.00019332480079812368]
13;[0.00026078907222673825, 0.9982029366033766, 0.0015007374929090396, 3.529396295481906e-05]
14;[2.902309337197794e-06, 8.31525547079287e-07, 3.0590115357930596e-07, 0.9999959469005546]
15;[0.18242432849630452, 1.4392047838912246e-06, 0.8175691679165672, 5.023318281800126e-06]
16;[8.736442770286458e-08, 0.0031726831078774057, 5.2989203970035115e-08, 0.9968272106900609]
17;[5.3157852544244216e-08, 1.1253517471925912e-07, 1.8553913626159784e-07, 0.9999996423722521]
18;[3.398222448027603e-09, 5.04340928845068e-07, 0.9999865295319578, 1.3007123989067183e-05]
19;[7.418933494789229e-05, 0.0002016675210543172, 0.9911488359616011, 0.00857511711056456]
20;[1.2586688112840878e-06, 0.009000673289764465, 0.81021460822073, 0.1807833125930075]
21;[0.0007092630232320819, 0.9987169298954534, 0.0005523745978967373, 2.1417897672658996e-05]
22;[1.8414205966667094e-06, 0.001080887062479347, 0.9231410876454492, 0.07577603321531479]
23;[5.583439681213262e-07, 0.017893985393159877, 0.976978724837429, 0.005126712650086479]
24;[1.5229805452423675e-08, 1.0676917912019968e-06, 1.0129977669573009e-05, 0.99998879445232]
25;[0.8167308292536155, 0.0005800214298729505, 0.00045172114378324977, 0.18223727258287803]
26;[1.57371021068629e-11, 1.6918979226151304e-10, 7.582560427911907e-10, 1.0]
27;[5.016665977763751e-07, 9.560073154858025e-05, 0.00521962308436773, 0.9946841379511424]
28;[0.9997917847333165, 4.784122664839378e-06, 5.314680212222721e-08, 0.00020342607212999405]
29;[5.919017035327449e-06, 0.14773431216748295, 0.0021073170363538436, 0.8501522681368634]
30;[4.7812400368541565e-06, 9.603377329885733e-05, 0.0007095989382972452, 0.9991895573369659]
31;[0.8807958393934747, 1.123181646896279e-07, 1.2075352212088627e-06, 0.11920274196413036]
32;[0.7053793979296169, 0.03511877021676266, 7.145562304933095e-06, 0.2594945632571142]
