confidence_per_choice;id
[0, 0, 0, 0];('easy', 301)
[0, 0, 0, 0];('easy', 302)
[0, 0, 0, 0];('easy', 303)
[3.4658051439175584e-07, 0, 0, 0];('easy', 304)
[0.1825464551890249, 0, 0, 0];('easy', 305)
[2.6989890029576864e-07, 0, 0, 0];('easy', 306)
[1.537918242929484e-07, 0, 0, 0];('easy', 307)
[0, 0, 0, 0];('easy', 308)
[3.3171170358030164e-05, 0, 0, 0];('easy', 309)
[0, 0, 0, 2.5355574117506944e-07];('easy', 310)
[1.1355227564524324e-06, 0, 0, 0];('easy', 311)
[1.0022644837050104e-06, 0, 0, 1.135714449274154e-06];('easy', 312)
[9.418259311541223e-07, 0, 0, 0];('easy', 313)
[0, 0, 0, 0];('easy', 314)
[0, 0, 0, 0];('easy', 315)
[0, 0, 0, 0];('easy', 316)
[6.891886392845986e-07, 0, 0, 0];('easy', 317)
[4.4494731984761246e-07, 0, 0, 0];('easy', 318)
[1.066952811900571e-06, 0, 0, 0];('easy', 319)
[6.081546388936204e-07, 0, 0, 0];('easy', 320)
[1.7594131484111361e-06, 0, 0, 0];('easy', 321)
[0, 0, 0, 0];('easy', 322)
[0, 0, 0, 0];('easy', 323)
[6.080218376412459e-07, 0, 0, 0];('easy', 324)
[0, 0, 0, 0];('easy', 325)
[0, 0, 0, 2.381651822167125e-07];('easy', 326)
[0, 0, 0, 0];('easy', 327)
[3.285045339760551e-06, 0, 0, 0];('easy', 328)
[1.8915491997534538e-05, 0, 0, 0];('easy', 329)
[0, 0, 0, 0];('easy', 330)
[0, 0, 0, 0];('easy', 331)
[0, 0, 0, 0];('easy', 332)
[0, 0, 0, 0];('easy', 333)
[0, 0, 0, 0.0018396988294202238];('easy', 334)
[1.0668266461994222e-06, 0, 0, 0];('easy', 335)
[0, 0, 0, 0];('easy', 336)
[2.535276928131564e-07, 0, 0, 0];('easy', 337)
[0, 0, 0, 3.4652399923616974e-07];('easy', 338)
[0, 0, 0, 0];('easy', 339)
[6.081494190828858e-07, 0, 0, 0];('easy', 340)
[7.805978636613364e-07, 0, 0, 0];('easy', 341)
[0, 0, 0, 3.2557356866793905e-07];('easy', 342)
[0, 0, 0, 7.808390982364315e-07];('easy', 343)
[7.807973980431356e-07, 0, 0, 0];('easy', 344)
[3.255350700416564e-07, 0, 0, 0];('easy', 345)
[0, 0, 0, 1.3705067838411636e-06];('easy', 346)
[0, 0, 0, 0];('easy', 347)
[0, 0, 0, 0];('easy', 348)
[0, 0, 0, 0];('easy', 349)
[0, 0, 0, 0];('easy', 350)
[1.3702780749306164e-06, 0, 0, 0];('easy', 351)
[1.3702571663060346e-06, 0, 0, 0];('easy', 352)
[0, 0, 0, 0];('easy', 353)
[0, 0, 0, 0];('easy', 354)
[0, 0, 0, 0];('easy', 355)
[0, 0, 0, 0];('easy', 356)
[6.081053424676298e-07, 0, 0, 0];('easy', 357)
[0, 0, 0, 0];('easy', 358)
[4.780916305860851e-06, 0, 0, 0];('easy', 359)
[0, 0, 0, 0];('easy', 360)
[0, 0, 0, 0];('easy', 361)
[0, 0, 0, 0];('easy', 362)
[6.472062496411182e-07, 0, 0, 0];('easy', 363)
[0, 0, 0, 0];('easy', 364)
[9.419678566883305e-07, 0, 0, 0];('easy', 365)
[0, 0, 0, 0];('easy', 366)
[4.448874926589421e-07, 0, 0, 7.80801865814467e-07];('easy', 367)
[3.6887569135640594e-07, 0, 0, 0];('easy', 368)
[0, 0, 0, 0];('easy', 369)
[7.334472072135454e-07, 0, 0, 0];('easy', 370)
[0, 0, 0, 0];('easy', 371)
[0, 0, 0, 0];('easy', 372)
[0, 0, 0, 2.5356517192477603e-07];('easy', 373)
[1.2094380026802357e-06, 0, 0, 0];('easy', 374)
[0, 0, 0, 6.08162758688259e-07];('easy', 375)
[0, 0, 0, 0];('easy', 376)
[8.386161505550459e-06, 0, 0, 0];('easy', 377)
[3.058328963585173e-07, 0, 0, 8.849568284973082e-07];('easy', 378)
[0, 0, 0, 0];('easy', 379)
[0, 0, 0, 0];('easy', 380)
[0, 0, 0, 0];('easy', 381)
[1.7581534912982997e-06, 0, 0, 0];('easy', 382)
[0, 0, 0, 0];('easy', 383)
[0, 0, 0, 0];('easy', 384)
[0, 0, 0, 0];('easy', 385)
[0, 0, 0, 0];('easy', 386)
[0, 0, 0, 3.926960886694351e-07];('easy', 387)
[0, 0, 0, 0];('easy', 388)
[0, 0, 0, 0];('easy', 389)
[2.5569104296839165e-06, 0, 0, 0];('easy', 390)
[6.472741478400053e-07, 0, 0, 0];('easy', 391)
[0, 0, 0, 0];('easy', 392)
[0, 0, 0, 0];('easy', 393)
[2.12269660177813e-06, 0, 0, 0];('easy', 394)
[0, 0, 0, 2.102105051999751e-07];('easy', 395)
[0, 0, 0, 0];('easy', 396)
[8.312313944289954e-07, 0, 0, 0];('easy', 397)
[0, 0, 0, 4.4493840890539024e-07];('easy', 398)
[6.472204459482993e-07, 0, 0, 1.5526011375357426e-06];('easy', 399)
[6.891616920897463e-07, 0, 0, 0];('easy', 400)
[1.0021316315990977e-06, 0, 0, 0];('easy', 401)
[0, 0, 0, 0];('easy', 402)
[0, 0, 0, 0];('easy', 403)
[0, 0, 0, 0];('easy', 404)
[0, 0, 0, 0];('easy', 405)
[0, 0, 0, 0];('easy', 406)
[3.0876601092058008e-06, 0, 0, 0];('easy', 407)
[0, 0, 0, 0];('easy', 408)
[0, 0, 0, 1.067203152536273e-06];('easy', 409)
[3.964842017099129e-06, 0, 0, 0];('easy', 410)
[0, 0, 0, 0];('easy', 411)
[1.002508250987891e-06, 0, 0, 0];('easy', 412)
[1.8729051948852205e-06, 0, 0, 0];('easy', 413)
[5.712446690109294e-07, 0, 0, 0];('easy', 414)
[0, 0, 0, 0];('easy', 415)
[1.458252841826795e-06, 0, 0, 0];('easy', 416)
[0, 0, 0, 0];('easy', 417)
[0, 0, 0, 0];('easy', 418)
[2.724494494934916e-06, 0, 0, 0];('easy', 419)
[0, 0, 0, 0];('easy', 420)
[0, 0, 0, 0];('easy', 421)
[0, 0, 0, 0];('easy', 422)
[6.472587158057084e-07, 0, 0, 0];('easy', 423)
[5.366249804995651e-07, 0, 0, 5.366249804995651e-07];('easy', 424)
[0, 0, 0, 0];('easy', 425)
[0, 0, 0, 0];('easy', 426)
[0, 0, 0, 0];('easy', 427)
[2.2593811339856562e-06, 0, 0, 0];('easy', 428)
[0, 0, 0, 0];('easy', 429)
[4.736927428247655e-07, 0, 0, 0];('easy', 430)
[0, 0, 0, 0];('easy', 431)
[0, 0, 0, 0];('easy', 432)
[0, 0, 0, 0];('easy', 433)
[0, 0, 0, 0];('easy', 434)
[3.4655341240679316e-07, 0, 0, 0];('easy', 435)
[0, 0, 0, 0];('easy', 436)
[0, 0, 0, 3.46520364073818e-07];('easy', 437)
[3.25567048419069e-07, 0, 0, 3.927088220177861e-07];('easy', 438)
[0, 0, 0, 0];('easy', 439)
[1.0022166931496174e-06, 0, 0, 0];('easy', 440)
[0, 0, 0, 0];('easy', 441)
[1.135832513495879e-06, 0, 0, 0];('easy', 442)
[0, 0, 0, 0];('easy', 443)
[0, 0, 0, 0];('easy', 444)
[1.5518402566626985e-06, 0, 0, 0];('easy', 445)
[6.889349830344995e-07, 0, 0, 0];('easy', 446)
[4.449693858059619e-07, 0, 0, 0];('easy', 447)
[4.179996889249544e-07, 0, 0, 0];('easy', 448)
[3.927133162393108e-07, 0, 0, 0];('easy', 449)
[0, 0, 0, 2.873217760544467e-07];('easy', 450)
[0, 0, 0, 0];('easy', 451)
[9.419337207459026e-07, 0, 0, 0];('easy', 452)
[0, 0, 0, 0];('easy', 453)
[0, 0, 0, 0];('easy', 454)
[0, 0, 0, 0];('easy', 455)
[1.8725355000699004e-06, 0, 0, 0];('easy', 456)
[0, 0, 0, 0];('easy', 457)
[6.890861141165927e-07, 0, 0, 1.759643036705678e-06];('easy', 458)
[7.881481356868185e-06, 0, 0, 0];('easy', 459)
[0, 0, 0, 3.2555090360290963e-07];('easy', 460)
[5.713874195629394e-07, 0, 0, 0];('easy', 461)
[9.417971893462555e-07, 0, 0, 0];('easy', 462)
[3.086938761055389e-06, 0, 0, 0];('easy', 463)
[0, 0, 0, 0];('easy', 464)
[3.0858526404481805e-06, 0, 0, 0];('easy', 465)
[0, 0, 0, 0];('easy', 466)
[0, 0, 8.237679417908824e-06, 0];('easy', 467)
[3.964747489025988e-06, 0, 0, 0];('easy', 468)
[0, 0, 0, 0];('easy', 469)
[6.080682277956972e-07, 0, 0, 0];('easy', 470)
[0, 0, 0, 0];('easy', 471)
[0, 0, 0, 0];('easy', 472)
[0, 0, 0, 0];('easy', 473)
[0, 0, 0, 8.30904063870503e-07];('easy', 474)
[0, 0, 0, 0];('easy', 475)
[6.080276362169994e-07, 0, 0, 0];('easy', 476)
[0, 0, 0, 0];('easy', 477)
[0, 0, 0, 0];('easy', 478)
[0, 0, 0, 0];('easy', 479)
[0, 0, 0, 0];('easy', 480)
[8.311513331576348e-07, 0, 0, 6.890486568021382e-07];('easy', 481)
[1.758507311825832e-06, 0, 0, 0];('easy', 482)
[0, 0, 0, 0];('easy', 483)
[0, 0, 0, 0];('easy', 484)
[0, 0, 0, 0];('easy', 485)
[8.31209198452453e-07, 0, 0, 0];('easy', 486)
[2.259066567676978e-06, 0, 0, 0];('easy', 487)
