id;confidence_per_choice
('easy', 0);[0.006741787512864612, 0.6876808988795692, 0.014272364276733507, 0.023531144955968367]
('easy', 1);[0.13754097143371674, 0.1558543390134247, 0.2267667251955275, 0.1558543390134247]
('easy', 2);[0.009709789588279024, 0.007561991734810278, 0.006269111339597241, 0.6394668557486909]
('easy', 3);[0.49414743011818635, 0.015884345006421646, 0.11025920836312707, 0.05208276216244359]
('easy', 4);[0.0018985379657611662, 0.0010817543249902976, 0.815322755246535, 0.021727616436410576]
('easy', 5);[0.002509499740912883, 0.00932392266423778, 0.7406908983704329, 0.02236692772209989]
('easy', 6);[0.7099471193984906, 0.006538388289328399, 0.024293053802614616, 0.04005247453463335]
('easy', 7);[0.012083048865154431, 0.012083048865154431, 0.7475517623522485, 0.0175807323612119]
('easy', 8);[0.015361148057483884, 0.6531726361673773, 0.025326251544747633, 0.0286984027599121]
('easy', 9);[0.044818105964229374, 0.02398940342192889, 0.48183999075659095, 0.12182824302851666]
('easy', 10);[0.4994546161847317, 0.01709039511058292, 0.05264212297428385, 0.11144337521108537]
('easy', 11);[0.6707136863530923, 0.04287729400630548, 0.03339287014809356, 0.017873911116344704]
('easy', 12);[0.005700689534965977, 0.5814861757093313, 0.025548717982247605, 0.061288188360146705]
('easy', 13);[0.11906620456715017, 0.2856250105317215, 0.07221730360559296, 0.19630700749301072]
('easy', 14);[0.592802513332665, 0.022985449225167407, 0.04294247259468262, 0.0624809289477406]
('easy', 15);[0.4250780588380763, 0.17719889812826034, 0.03489252771525938, 0.05752805263264188]
('easy', 16);[0.021494735728564796, 0.01896903770233287, 0.14016326701650364, 0.6281681818507402]
('easy', 17);[0.7426478057715781, 0.009348554822040793, 0.03697426038495003, 0.04189732595849617]
('easy', 18);[0.07057760027419588, 0.5215018166700051, 0.03777746714420836, 0.11636279080703793]
('easy', 19);[0.6794390064600753, 0.004578023332460588, 0.049218400948028825, 0.026344711600862332]
('easy', 20);[0.02534184710322141, 0.04178164235791157, 0.6535749288338129, 0.04734480340445888]
('easy', 21);[0.04512627166253384, 0.2291701170879719, 0.10825229820009999, 0.25968376366737883]
('easy', 22);[0.03302961157010797, 0.5854639434400368, 0.020033472095669615, 0.029148529904192595]
('easy', 23);[0.016950023847779782, 0.004856263139283524, 0.006235565300963847, 0.7207332680163578]
('easy', 24);[0.7529244114908168, 0.016634264435407012, 0.020064757722666002, 0.05454166630995629]
('easy', 25);[0.7014333271684875, 0.0034577765343839443, 0.018692563339431235, 0.03492230589293817]
('easy', 26);[0.444186878648478, 0.017222991269128865, 0.09911149527617136, 0.09911149527617136]
('easy', 27);[0.02136536807511685, 0.010743181743140972, 0.04249010804240217, 0.664657198059988]
('easy', 28);[0.47878253303386975, 0.0127591215652635, 0.1761342401967285, 0.04453371009871696]
('easy', 29);[0.022886051926897, 0.4596786684026629, 0.1162249617914456, 0.07988017016715095]
('easy', 30);[0.44584801152889253, 0.04699203468759442, 0.04699203468759442, 0.12773759397360504]
('easy', 31);[0.3861568590470652, 0.011660929513984343, 0.0592190723161044, 0.1609741281750687]
('easy', 32);[0.013813475316184189, 0.008378296296449374, 0.7541901303623036, 0.037548918939851045]
('easy', 33);[0.649999536338938, 0.01962828288328236, 0.025203214108071498, 0.02855898307887323]
('easy', 34);[0.6434000027785277, 0.00491242022723491, 0.07684318127507571, 0.0678138694600009]
('easy', 35);[0.19634281523531485, 0.05625316509985117, 0.2521091651461694, 0.22248555735468273]
('easy', 36);[0.0034572852279832356, 0.6588418270837993, 0.00829359611760639, 0.00829359611760639]
('easy', 37);[0.4973874921957881, 0.059404461030900906, 0.04626424076880038, 0.1257592449892842]
('easy', 38);[0.024729461813648466, 0.11082975872557087, 0.09780691878951432, 0.4383402250695217]
('easy', 39);[0.038737284435173956, 0.014250650550511005, 0.4719166774287042, 0.2525987949024237]
('easy', 40);[0.013017822364883165, 0.002728683803589745, 0.016715214786436106, 0.7107488914908947]
('easy', 41);[0.04404659034676574, 0.47354547361978194, 0.026715607501115936, 0.13567304972349814]
('easy', 42);[0.6676216083593751, 0.004225855046035765, 0.02284475654391942, 0.054801722069901485]
('easy', 43);[0.6977718220031182, 0.014481789994644759, 0.06490289541198482, 0.030657956968669887]
('easy', 44);[0.00994467771998094, 0.6152553142199311, 0.02105287787900952, 0.09435245268951899]
('easy', 45);[0.004749190785590601, 0.0013606659412759216, 0.008872656486254, 0.7048425337060038]
('easy', 46);[0.00955771270386345, 0.0035160860083744807, 0.015758004234100505, 0.6700472304437964]
('easy', 47);[0.03657186788235383, 0.01524542270885359, 0.7345656902680078, 0.03657186788235383]
('easy', 48);[0.009659882004642748, 0.002024821266709094, 0.767379613760752, 0.018047035504446085]
('easy', 49);[0.004117361457636284, 0.5740477579740896, 0.02858015326916508, 0.01733473921703487]
('easy', 50);[0.6236360378002084, 0.03518313351396292, 0.018832174304458153, 0.02740065193158011]
('easy', 51);[0.628722226837429, 0.00896824251104256, 0.024378204838763257, 0.051608660048649]
('easy', 52);[0.0027291431439017294, 0.002262539133976936, 0.010139996907956585, 0.8055195353776511]
('easy', 53);[0.08059415557910188, 0.03359664246898834, 0.03359664246898834, 0.595514665829044]
('easy', 54);[0.02678136417936323, 0.0056136788954350494, 0.690700567969835, 0.03438795229987303]
('easy', 55);[0.00855506800579319, 0.004579197921857972, 0.005188911041440186, 0.7234444957039979]
