id;confidence_per_choice
('easy', 0);[1.0077303262268678e-10, 3.1040279300096624e-10, 0, 0]
('easy', 1);[0, 0, 0, 0]
('easy', 2);[0, 0, 0, 4.1565193854837895e-09]
('easy', 3);[0, 0, 0, 2.133365117363375e-10]
('easy', 4);[0, 0, 2.7655439526124517e-10, 5.166716309569343e-10]
('easy', 5);[0, 0, 0.002472106659672777, 3.4570342134696423e-07]
('easy', 6);[0, 0, 0, 1.8961083838165435e-10]
('easy', 7);[0, 0, 0, 0]
('easy', 8);[0, 0.18067229413303837, 1.2331966858019105e-08, 1.736471888095484e-05]
('easy', 9);[0, 0, 0, 0]
('easy', 10);[0, 0, 0, 0]
('easy', 11);[0, 0, 0, 2.788739281217789e-10]
('easy', 12);[0, 0, 0, 0]
('easy', 13);[4.8305573353575605e-09, 1.077843031844505e-09, 0, 0]
('easy', 14);[0, 0, 0, 5.479206462761598e-11]
('easy', 15);[7.32001709936448e-10, 0, 0, 0]
('easy', 16);[0, 0, 0, 7.466307126191041e-08]
('easy', 17);[0, 0, 0, 0]
('easy', 18);[0, 7.164855729085502e-09, 1.6850125613160367e-10, 7.55170237943243e-10]
('easy', 19);[2.3748090979886848e-07, 0, 1.8131873923038733e-09, 6.80393549326817e-08]
('easy', 20);[0, 0, 7.578367437638516e-10, 2.6451101415019734e-09]
('easy', 21);[0, 0, 0, 0]
('easy', 22);[0, 0.22265955890081068, 5.5909789776859586e-09, 1.3680674492986128e-06]
('easy', 23);[0, 0, 8.057058064489529e-10, 0.05994656306348892]
('easy', 24);[0, 7.126947913859814e-10, 0, 7.126947913859814e-10]
('easy', 25);[6.023217687700718e-08, 4.598783454629882e-10, 1.1860418850046806e-08, 3.927631306386937e-07]
('easy', 26);[0, 0, 0, 0]
('easy', 27);[0, 0, 0, 5.201372850594636e-10]
('easy', 28);[0, 0, 0, 8.584336602111869e-10]
('easy', 29);[0, 0, 0, 0]
('easy', 30);[0, 0, 0, 0]
('easy', 31);[0, 0, 2.5840504547390882e-11, 1.02201178043909e-10]
