id;confidence_per_choice
0;[0.045277925747769954, 0.07465067927352934, 0.123078162790481, 0.17907767018713122]
1;[0.10667032091738811, 0.12087330913568026, 0.018536522314939036, 0.28995996041970795]
2;[0.17180249282070875, 0.09195924773033613, 0.03833431773698421, 0.049222238305671434]
3;[0.087656918158941, 0.04140619625464022, 0.06024566006249784, 0.09932830121240939]
4;[0.11342779933004792, 0.060713525903166816, 0.10009968157575433, 0.1456441772987383]
5;[0.04382636914203523, 0.09278042420176179, 0.026582036588528028, 0.026582036588528028]
6;[0.22081411687812802, 0.014116172533487672, 0.06326429615833809, 0.1719702071379068]
7;[0.09977037764488494, 0.01733749196289179, 0.11305464909019444, 0.11305464909019444]
8;[0.08195863084941517, 0.07232823786468315, 0.03416544038597251, 0.04386929382791854]
9;[0.10064397967455478, 0.02544678314109555, 0.11404456987871085, 0.10064397967455478]
10;[0.05115099435923534, 0.02737915431089112, 0.0398364344618535, 0.03515553002259995]
11;[0.0738862931016215, 0.050781257098351816, 0.018681380483325006, 0.04481430209864748]
12;[0.07146551395502508, 0.04334602532584377, 0.07146551395502508, 0.06306809470692581]
13;[0.1238447787088743, 0.06628933316633027, 0.1238447787088743, 0.06628933316633027]
14;[0.09051175363526633, 0.11621939217666105, 0.042754725047234765, 0.048447450548571566]
15;[0.07006617112018268, 0.037503718844645, 0.1155195866823602, 0.07006617112018268]
16;[0.06730810318683147, 0.08642531524093279, 0.019284094430587866, 0.06730810318683147]
17;[0.01841210549333814, 0.009855287538722588, 0.07282128985665975, 0.12006200954649443]
18;[0.029746728896053305, 0.08085999261423929, 0.19397303855266065, 0.03819555596585213]
19;[0.11110424575875613, 0.16165572370662087, 0.03607026751956864, 0.11110424575875613]
20;[0.03395157177142223, 0.08144558671381553, 0.10457820341758457, 0.03395157177142223]
21;[0.06542227571081272, 0.03090329484998882, 0.01654134174734857, 0.03968061604678103]
22;[0.0148486262401494, 0.024481245922810386, 0.09682520589740164, 0.06654692593001256]
23;[0.07397285528151497, 0.06528081566127548, 0.09498302632642924, 0.04486680471472443]
24;[0.10533752547623475, 0.09296003995870307, 0.1193630540432828, 0.1193630540432828]
25;[0.11679903369327313, 0.04296796324444578, 0.04296796324444578, 0.05517195690917306]
