confidence_per_choice;id
[7.401224097830946e-05, 0.012446945098256735, 0.13381723897320683, 0.033834296613692784];0
[0.1384870553068407, 0.0009331185499533032, 0.0008234742300780191, 0.035015015262086016];1
[0.2337806487765341, 0.1606749334929097, 0.0025970684179665578, 0.02174498763328684];2
[0.114397774468219, 0.012057436720553325, 0.0030485974268660105, 0.012057436720553325];3
[0.021393576326592122, 0.005409143191233545, 0.005409143191233545, 0.10864554529033053];4
[0.010594527966986442, 0.022428615882113742, 0.0020861862499769843, 0.0006772855134240909];5
[0.572614125175399, 3.338036180201485e-05, 0.0023401429125445173, 0.004954082584732776];6
[0.023388060026866754, 0.00010830823114210881, 0.01607436674061244, 0.04951252346541515];7
[0.20136178310074945, 0.10778119567163823, 0.03087982957125111, 0.03499143110963043];8
[0.0833663191264791, 0.0003406990919359754, 0.050564228537597296, 0.023884850326313673];9
[0.03341778294807167, 0.007456513483237138, 0.002743098013300603, 0.00957435283235133];10
[0.029981307717300548, 0.006689733992420626, 0.00020201246236244318, 0.0206058313582337];11
[0.09948225680632165, 0.015256098194192116, 0.015256098194192116, 0.00925329130236406];12
[0.028374452135303388, 0.0873994655459797, 0.01720997927578842, 0.005587262235070775];13
[0.0035533297165179297, 0.001481248202211326, 0.0001377776106203687, 0.17120901365977909];14
[0.00566758470777334, 0.0005271674966517046, 0.12899366413708, 0.0050016259497457916];15
[0.0010409858422992448, 0.00987659868112441, 0.0009186667814634998, 0.07297875912094272];16
[0.0003433212933544211, 0.0006414086184097994, 0.002238736054121973, 0.07413677392405078];17
[0.0010581350463503734, 0.012890723811772115, 0.25891713995328974, 0.0017445697581911267];18
[0.028751177468267615, 0.008237350260037288, 0.002082728310249951, 0.03691724262895553];19
[0.001507109152538388, 0.04404417506212746, 0.018360343771472245, 0.034301638028118905];20
[0.10182040974113597, 0.079297814839048, 0.003074709220102766, 0.0009982119347158303];21
[0.0002275688543820309, 0.00457084044771071, 0.018078024658924496, 0.04336693705750423];22
[0.024103176226985996, 0.030949090898353758, 0.07424300952680281, 0.03973941933686547];23
[0.002244534806634116, 0.0351104401024052, 0.1225474773448158, 0.3331185807899093];24
[0.0013489909135126453, 0.011294962631256532, 0.0025202468207828, 0.044672433138401156];25
[0.002392677573502533, 0.009463223376413955, 0.006503971969413417, 0.5854689685389366];26
[0.0007494758408656561, 0.09816194020571244, 0.004312935679447149, 0.046368417305342];27
[0.017781735319586902, 0.07032812745563284, 0.00015384222752530386, 0.07969220883343696];28
[0.004383784226683947, 0.022262698579521845, 0.022262698579521845, 0.047130133262690714];29
[0.008914989121952733, 0.0028942732149148027, 0.02423344715340945, 0.13945387646205];30
[0.1703253980707016, 0.00029016978906306137, 0.029598116092512658, 0.04306500480347874];31
[0.16066104748309362, 0.00333441406009975, 0.00018811467907785376, 0.021743105774235008];32
[0.0019650383095380637, 0.0006379545356452129, 0.009979287959946268, 0.06507314725114316];33
[0.5962324609185002, 0.010920378447924565, 0.0001374673427932065, 0.0002568228074523576];34
[0.6036172449016851, 5.801464370436356e-05, 0.00013916989547070157, 0.016085852795704535];35
[0.003818801528199282, 0.011762736809833354, 0.1623795342082243, 0.30336490835424235];36
[0.302467168214794, 0.0009626865798075154, 0.001587201841146207, 0.010349856113569346];37
[0.0018348252281395689, 0.001619227580617243, 0.0011128777560808758, 0.39621201994104743];38
[0.004530484447982287, 0.023007692982819412, 0.07086868358041351, 0.07086868358041351];39
[0.2964342066859924, 0.04545965793803304, 0.0022633030977405595, 0.001069108682087768];40
[0.00125161325870674, 0.08774486360021772, 0.03227953138691252, 0.3062596667204698];41
[0.003786478903822678, 0.002026756107117147, 0.010292716798104711, 0.016969821118327753];42
[0.031286185754998065, 0.0012130970687261556, 0.2311753541069943, 0.0054367238741691555];43
[0.10814049820942308, 0.007833673283546543, 0.13885516482699897, 0.06559052772061423];44
[0.11868754967339076, 7.43846561537415e-05, 0.000549632397219663, 0.19568271104099297];45
[0.01081814712282326, 0.0005386038304176122, 0.07993587691882581, 0.2790036250521602];46
[0.001763819977318759, 0.02148773134452768, 0.0007352695580943987, 0.018962856355115604];47
[0.0012629675435060306, 0.032572362251402844, 0.06085318410020128, 0.022386635360284946];48
[9.819664450639946e-05, 0.5468729603066629, 0.0010557134199167529, 0.006884116254182255];49
[0.012824796691051006, 0.00034176925533878805, 0.050723066962284784, 0.15623802686100186];50
[0.05459956369030149, 0.022760484393504435, 0.0034904324973563288, 0.03311630938510051];51
[0.02578966722230855, 0.0008824736738333051, 0.0044815711050053015, 0.07943776750614388];52
[0.00046644671643151174, 0.3515628131971176, 0.16606651414185575, 0.0014367570350748335];53
[0.04546134876409666, 0.024333706481870408, 0.06614587214872442, 0.040119499471633326];54
[0.308782550612202, 0.028721251222359818, 0.006408577384908432, 0.0016203421156836871];55
[0.06504755311766598, 0.00471203006695167, 0.09464363132812542, 0.027115854367775298];56
[0.015993347138571853, 0.008560621836192075, 0.2834888949474588, 0.0010224204761053151];57
[0.00882378607221821, 0.10749572053533776, 0.012838532979505156, 0.10749572053533776];58
[0.0023263314568969205, 0.017189393639718414, 0.03638994662084569, 0.09891813063803948];59
[0.0019033783927748325, 0.006643443368606675, 0.09170990683286633, 0.00752800757617372];60
[0.06253717407076445, 0.0003281648150879303, 8.297305920417167e-05, 0.015811873814823154];61
[0.07482270011030052, 0.0042212088938865175, 0.05827197743741894, 0.0005041515078707431];62
[0.014369530327377365, 0.03447071128825651, 0.011191001471329794, 0.10617726570427667];63
[0.017203735370587815, 0.0018132603676274733, 0.1271193354568159, 0.006328900554193221];64
[0.0016870099572579129, 0.2209547006100744, 0.07173348872748612, 0.004585768511243655];65
[0.00010319390995841373, 0.015315334177075021, 0.011927594250106277, 0.015315334177075021];66
[0.0022642119893354724, 0.005431562201520959, 0.00895513213477842, 0.03541823465694018];67
[0.014409999868262533, 0.020966426092971398, 0.0005587363297470982, 0.03917044078999528];68
[0.0004796860132976186, 0.00013743234379650867, 0.40968011617457406, 0.026189975167000123];69
[0.017512191581290783, 0.12939856600937866, 0.24174834784454827, 0.004427775441068846];70
[0.05283293983052754, 0.0038272053247286417, 0.059867564039935, 0.04114633491197926];71
[0.0006720552126033334, 0.015295906135909672, 0.01191246367643316, 0.0034129779857208753];72
[0.07624391042596028, 0.0005137274274531402, 0.1614083788797502, 0.03601507313540557];73
[0.054802819603783186, 0.0006898656884588731, 0.048363318553241004, 0.010791315014094192];74
[0.0026662836594250508, 0.18692091537722905, 0.009306244393269813, 0.4483999925508708];75
[0.026777188600596514, 0.0015106656076102096, 0.05668730871230354, 0.0021980054894318434];76
[0.0023109458020788834, 0.031901622764778266, 0.49902540090612374, 0.003810105499322623];77
[0.14488234681350803, 0.032327621247178404, 0.004957601284536449, 0.04703641136967353];78
[0.306359608149396, 0.0004605929871300872, 0.0004605929871300872, 0.06835806028046865];79
[0.11354831414185013, 0.010561640958727277, 0.004402746981174311, 0.009320615432287419];80
[0.06174584908252756, 0.0003671542395046319, 0.04808771561688125, 0.002394146385072065];81
[0.02801922527343158, 0.30123509628832645, 0.04076773221709628, 0.021821394584002615];82
[0.02211274451119285, 0.0006677470245242594, 0.004934020224103773, 0.009217963337570701];83
[0.496326387815055, 0.013226651007854934, 0.0010857096297785618, 0.002298447304277756];84
[0.00040519931449691107, 0.019523596318164728, 0.0012481017556834218, 0.0991490032163867];85
[0.13812603037291438, 0.0009306860937395961, 0.00020766413714403263, 0.024002704991057288];86
[0.11193285992440387, 0.010411377791757171, 0.004917986636776693, 0.009188008652863748];87
[0.27729929694856087, 0.00010540951789857587, 0.009488662413000807, 0.00019693090568889384];88
[0.11627279942197875, 0.0005384497566671538, 0.09055334723974146, 0.003098564410611438];89
[0.3583870814744472, 0.0016596614494563233, 0.005112117160115088, 0.03777372048039643];90
[0.0004614782781925615, 0.019622555708273693, 0.04707206409307081, 0.03665976037647091];91
[0.12202865161277437, 0.014574244075699065, 0.0022350327170187253, 0.012861725254316315];92
[0.01047651179789259, 0.04695245722554354, 0.0038540933056347487, 0.06831542215839419];93
[0.011618431433550269, 0.001387623752712267, 0.004274182063063192, 0.09727993536595189];94
[0.007629784289764267, 0.005243868941842773, 0.0017024349904730747, 0.08202791150617385];95
[0.0025378293454313508, 0.1385607873603771, 0.021248984951657817, 0.01137376203980289];96
[7.550583779686113e-05, 0.018475669347742755, 0.023723229032820325, 0.016304720972560135];97
[0.03160273402175614, 0.0029395121626941043, 0.0033309036599279453, 0.011625996131413376];98
[0.0012332786224102772, 0.013258994731638971, 0.006263105634195576, 0.03604168444264843];99
[0.2673879063916003, 0.036187018045552105, 0.05265180057691224, 0.09836651357934385];100
[0.00038497235949417534, 0.002844582360840159, 0.01854900704792028, 0.06474239611761862];101
[0.003791389526302598, 0.0005131087754024889, 0.011678301899728615, 0.38673217636645996];102
[0.006003508194229618, 0.03454781255677549, 0.03048833757242756, 0.0019490537480627162];103
[0.012395753020637244, 0.0003743193067725456, 0.4651472004542004, 0.015916461937482067];104
[0.1606526206967921, 0.000743969319464034, 0.000743969319464034, 0.06696998391375382];105
[0.0006118464198431729, 0.46115116909871956, 0.0016631710048674207, 0.012289263857080233];106
[0.0004135780958093787, 0.006469449908109618, 0.21423880870967674, 0.005709269505332934];107
[0.014800536479106398, 0.0013766643406478735, 0.007922156298653917, 0.1404235468705629];108
[0.15873892708267076, 0.004793501388022521, 0.05839678778732725, 0.010147842518076556];109
[0.002235187255625315, 0.002532798981026511, 0.4259513707768359, 0.03961965154290451];110
[0.04155591860348418, 0.04708902488130905, 0.025204938725535753, 0.1280012406547182];111
[0.24043250893862264, 0, 0.0018357248590232737, 8.065612128174452e-05];112
[0.07415752796444466, 0.010036127658395563, 0.006897722940192815, 0.09522015074507889];113
[0.08128376156048585, 0.0002587085187245905, 0.011000560893325644, 0.011000560893325644];114
[0.0006822379601880374, 0.0005313274576354814, 0.21435274407776186, 0.010671997268640893];115
[0.029480994833822917, 0.00010632504383086703, 0.0006933267093861141, 0.04860594326392443];116
[0.00013927598136472682, 0.008616695739469023, 0.00012291062215880126, 0.07214671011295709];117
[0.07844665142490492, 0.0012679717234581327, 0.0012679717234581327, 0.2738057173373808];118
[0.008936418611747573, 0.29593354122009063, 0.001209412743941795, 0.0013704441799169507];119
[0.20591449865141997, 0.0015721767856509705, 0.0015721767856509705, 0.03157801487797107];120
[0.0030991894606504085, 8.259056221842143e-05, 0.009546175594684575, 0.10263103522590564];121
[0.019004496100654612, 0.008977086169341892, 0.0015599836643409909, 0.035505073013084414];122
[0.12899421771901795, 0.0016237979482420515, 0.060932553947456426, 0.007277357517073777];123
[0.2522115790837364, 0.00048688300212866066, 0.0021820582291734035, 0.02658290486094914];124
[0.07422531072390876, 0.07422531072390876, 0.021265907570837968, 0.37694720855309993];125
[0.0007658247433258834, 0.025360626449940922, 0.002081727483567061, 0.08851728392637179];126
[0.00039070806436155507, 0.035170410744526474, 0.0017510320617421227, 0.035170410744526474];127
[0.004373926778060025, 0.000975954982466039, 0.0012531510030294331, 0.3474640414624277];128
[0.019738584428899548, 0.0016202416756839295, 0.11358771077511039, 0.16526916368553937];129
[0.12382124800834571, 0.04019887367729958, 0.006985516801170644, 0.005440325954910153];130
[0.0024359443633617073, 0.007503236871053637, 0.01799932955475356, 0.09140815966073951];131
[0.4475376299140439, 0.0034169919708790055, 0.000408101493625628, 0.0016140727180278416];132
