id;confidence_per_choice
0;[0, 0, 0.0033242458216051506, 0]
1;[0.00040437937176425866, 0, 0, 0]
2;[6.444823454913074e-06, 0.9256739242319686, 2.6866021218864863e-06, 0]
3;[0, 0.0011964836897794032, 0, 0.004732184790800642]
4;[0, 0, 0.00019997298764176018, 0.5260659888861462]
5;[0, 0, 0, 0]
6;[0.0008429275946775674, 0, 0, 0]
7;[0, 0, 0.004733459874629478, 0]
8;[0, 0, 0, 0]
9;[0, 0, 8.540671235907829e-05, 0]
10;[0.00024892903433955025, 0, 0, 0]
11;[0, 0.006730221185911506, 0, 0]
12;[0.03680745465963476, 9.123651485014711e-05, 0.0006741520479593265, 0]
13;[0.00018727910050791129, 0.01685832738026427, 0.00039646985888645495, 0]
14;[0, 0, 0, 0]
15;[0, 0, 0.21084966892069545, 0]
16;[0, 0, 0, 0]
17;[0, 0, 0, 0.006073571854842369]
18;[0, 0, 0.0041759651775290325, 0]
19;[0, 0, 0, 0]
20;[0, 0, 0, 0]
21;[0, 0.18301365640077624, 7.883176731811629e-05, 0]
22;[0, 0, 9.182625168001526e-05, 0]
23;[0, 0, 0, 0]
24;[0.0002641723656433878, 0, 0.00043554680605227704, 0.1368447385788901]
25;[0.0004111134490555455, 0.00011778597520815118, 0.00024935291147239614, 0.18793831738549494]
26;[0.0001024980239647969, 7.982554132705545e-05, 0.0005898356842486242, 0.7329581663636124]
27;[0, 0.20212191482659708, 0.0001266751550607797, 0]
28;[0, 0, 0, 0]
29;[0, 0, 0, 0]
30;[0, 0.00033008070832253437, 0, 0.1709860808529367]
31;[1.0434487475790635e-05, 1.720356145019011e-05, 4.676412847483031e-05, 0.9090145424156861]
32;[0.0004783208277952628, 0, 0, 0]
33;[0, 0, 0, 0]
34;[0, 0, 0, 0]
35;[0.0003921833905980697, 0, 0, 0]
36;[0, 0, 0, 0]
37;[0.00011565692658357725, 0, 0.00019068603496214692, 0.0871711127771558]
38;[0.00032019990443776255, 0, 0, 0]
39;[0, 0.0005261243264850341, 0, 0]
40;[0.459068241124769, 8.243035328820869e-05, 0, 0]
41;[0, 0.016483407021547252, 0, 0]
42;[0.00035356642143127587, 0.00024300241079020654, 0.07634908789719048, 0]
43;[0, 0, 0.005612327268780059, 0]
44;[0, 0, 0, 0]
45;[0.0013788323134706108, 0, 0, 0]
46;[0, 0, 0, 0]
47;[0.1557717388290013, 0.03067327404228885, 0.0002066748947853663, 3.1694621637488926e-05]
48;[0, 0, 0.00036028743392767286, 0]
49;[0, 0.0006283443471251512, 0, 0.0002968088531858112]
50;[0, 0, 0.008035642866726127, 0]
51;[0.00044617623282822817, 0.05843755427747023, 0.0005729016232734324, 0]
52;[0, 0, 0, 0]
53;[0, 0, 0, 0]
54;[0, 0, 0, 0]
55;[6.390063939235389e-05, 0, 0, 0]
56;[0, 0, 0, 0]
57;[0, 0, 0, 0]
58;[0.00013673240650819668, 0, 0, 0]
59;[0, 0, 0, 0.006676763633509451]
60;[0, 0, 0, 0]
61;[0.011215874816977982, 0.0007170068886115752, 0, 0]
62;[0, 0, 0, 0]
63;[0, 0, 0, 0]
64;[0, 0, 0, 0]
65;[0, 0, 0, 0]
66;[0.00014346716919725507, 0, 0, 0]
67;[0, 0, 0, 0]
68;[0, 0, 0, 0]
69;[0, 0, 0.19689113678708242, 0]
70;[0, 0.00021987067036500693, 0, 0]
71;[0, 0, 0, 0]
72;[0, 0, 0, 0]
73;[0, 0, 0, 0.0004723104255242182]
74;[0, 0, 0.0003573036928520944, 0.02838415479890989]
75;[0.000137238241633267, 0, 0, 0.10343701618126475]
76;[0.0013533888847176705, 0, 0.00012588477581540364, 0]
77;[0.000638190334543705, 0, 0.009982976475314076, 0]
78;[0, 0.004905755869321421, 0, 0]
79;[0.0006572115253806456, 0, 0, 0]
80;[0, 0, 0, 0]
81;[0.004028387778273292, 0, 0, 0]
82;[0, 0, 0, 0]
83;[0, 0, 0, 0.0008644128037404151]
84;[0.0006048612326983799, 0, 0, 0]
85;[0, 0, 0, 0]
86;[0, 0, 0, 9.114207099175256e-05]
87;[0.00012362195088449365, 0, 0, 0]
88;[0, 0, 0, 0]
89;[0, 0, 0, 0]
90;[0, 0, 0, 0]
91;[5.008126324463457e-06, 7.28678080541774e-06, 0.923625311321349, 0]
92;[0.0004035283759591454, 0, 0, 0]
93;[0, 0.00028886712166655714, 0, 0]
94;[0, 0, 0, 0]
95;[0.000545347842742486, 0, 0, 0.049090648364606686]
96;[0, 0, 0, 0]
97;[0, 0, 0.004354191124870521, 0]
98;[0, 0, 0, 0]
99;[0.00016895747619123959, 0.5707159726082333, 0.00013158421476350564, 0]
500;[0.000999336367051288, 0, 0, 0.0004720530747327463]
501;[0.0002823895404421488, 0, 0.006427153251266307, 0]
502;[0, 0, 0, 0]
503;[0, 0, 0, 0]
504;[0, 0, 0, 0]
505;[0, 0, 0, 0]
506;[0, 0, 0, 0]
507;[0, 0.0021717495856868217, 0, 0]
508;[0, 0.010033816480432257, 0, 0]
509;[6.64302480197234e-05, 0, 0.034411704011332395, 0]
510;[0.006635196266869959, 0, 0, 0.00017682190684636443]
511;[0.00034651048342796857, 0.001552952246336686, 0, 0]
512;[0, 0, 0.9255424804013406, 0]
513;[0, 0, 0, 0]
514;[0, 0, 0.00011205813404767803, 0]
515;[0, 0, 0, 0]
516;[0, 0, 0, 0]
