confidence_per_choice;id
[0.03767206318794387, 0.24565270993822855, 0.14899590021902995, 0.24565270993822855];('clinical_knowledge', 13)
[0.002431774491657621, 0.5950354927938986, 0.004009318329941911, 0.1034016579125554];('clinical_knowledge', 14)
[0.06075375141901707, 0.0004638607268263946, 0.6531644020752734, 0.025325931519577502];('clinical_knowledge', 15)
[0.08689548603436495, 0.0006232583545436458, 0.06767427256893374, 0.642075563645736];('clinical_knowledge', 16)
[0.00649663524941882, 0.07914521969093809, 0.5160916926048574, 0.022675485090007334];('clinical_knowledge', 17)
[0.013601055231316292, 0.0028509360537549034, 0.6553355797121274, 0.028793434150646495];('clinical_knowledge', 18)
[0.002882685716652421, 0.00017311865081068374, 0.7053698960748265, 0.01658871093913152];('clinical_knowledge', 19)
[0.013134995671366018, 0, 0.0037632392665841972, 0.8126332977178555];('clinical_knowledge', 20)
[0.5289313597545481, 0.0017920472272938597, 0.00587589664448107, 0.029840265379835227];('clinical_knowledge', 21)
[0.23842245181470792, 0.18568359217509883, 0.18568359217509883, 0.09938927664830535];('clinical_knowledge', 22)
[0.013819622147579445, 0.6658667439669309, 0.022784704987752816, 0.05465766587544914];('clinical_knowledge', 23)
[0.00921858311931505, 0.503317644241509, 0.0006677919213632341, 0.08746348142157516];('clinical_knowledge', 24)
[0.003667941281720149, 0.4804054747659026, 0.15596483201143785, 0.05063436753364382];('clinical_knowledge', 25)
[0.10037750428408822, 0.015393388841463013, 0.08858283661987981, 0.5776327236231732];('clinical_knowledge', 26)
[0.31851221050703077, 0.10340577502486963, 0.06271877294393033, 0.06271877294393033];('clinical_knowledge', 27)
[0.0048421305108350046, 0.002434776125504404, 0.6341939811937891, 0.16034934030927486];('clinical_knowledge', 28)
[0.021254198662409293, 0.02729093129386413, 0.08406198639402465, 0.6211387517643703];('clinical_knowledge', 29)
[0.0006797103909431349, 0.42471207688695545, 0.00686483176546684, 0.22733200653382207];('clinical_knowledge', 30)
[0.004466143085267977, 0.0004154160178179376, 0.17839941719265975, 0.5495089234272709];('clinical_knowledge', 31)
[0.24678014955322142, 0.00227276606169509, 0.006178018685844192, 0.40687165750351356];('clinical_knowledge', 32)
[0.06478827209598972, 0.0022169332883470094, 0.006414909171660271, 0.5424655606926181];('clinical_knowledge', 33)
[0.0011399264085410331, 0.5547201575844738, 0.007912657610190702, 0.013045766909688653];('clinical_knowledge', 34)
[0.07242885986310103, 0.007633947485545484, 0.01426209152912023, 0.6871859507489424];('clinical_knowledge', 35)
[0.015501076614138347, 0.01065372376661475, 0.5133252191166383, 0.12978892544578724];('clinical_knowledge', 36)
[0.038752064355342036, 0.6061842774629853, 0.030180138065573854, 0.056383920935754686];('clinical_knowledge', 37)
[0.07920902495134906, 0.276466629448968, 0.0030712671956116626, 0.2153124275079682];('clinical_knowledge', 38)
[0.05874717373612778, 0.05184419885773186, 0.027750199941012157, 0.1809540559397388];('clinical_knowledge', 39)
[0.17057609770386092, 0.46367393439497917, 0.0380606719981567, 0.15053287787862457];('clinical_knowledge', 40)
[0.08548401101424621, 0.021613742792610507, 0.003755905317795564, 0.49192654785939083];('clinical_knowledge', 41)
[0.19231126714946375, 0, 0.2798112426368171, 0.03341868327869663];('clinical_knowledge', 42)
[0.05828010548064095, 0.7099970542066305, 0.045388591785807245, 0.045388591785807245];('clinical_knowledge', 43)
[0.008762778693896831, 0.00018186575644592198, 0.00773312505539824, 0.7888002942782432];('clinical_knowledge', 44)
[0.007354820782431827, 0.003936751878505618, 0.08960005976403214, 0.5842658525419345];('clinical_knowledge', 45)
[0.010220032699112343, 0.00016519144322298064, 0.002280397532875127, 0.8118777215425856];('clinical_knowledge', 46)
[0.6977081707356074, 0.000816932278373812, 0.001265289464677574, 0.09442453290300235];('clinical_knowledge', 47)
[0.015581207188885818, 0.03511279242693072, 0.0044640906004882654, 0.48471714793754];('clinical_knowledge', 48)
[0.002385978374168212, 0.008327882814934273, 0.0014471690373443222, 0.7496520537831781];('clinical_knowledge', 49)
[0.17880663135291755, 0.1392547445160122, 0.0844622720594111, 0.15779629833053535];('clinical_knowledge', 50)
[0.39995280848076287, 0.004443075159356762, 0.013685634966859863, 0.06133474602826756];('clinical_knowledge', 51)
[0.0030734295500862703, 0.0017511873706596449, 0.16780360769940214, 0.6636761230549114];('clinical_knowledge', 52)
[0.009668882085118352, 0.5981925168513479, 0.01095627877763741, 0.15124676318912814];('clinical_knowledge', 53)
[0.0049013366847147286, 0.005553942082244181, 0.014182487951910802, 0.6833506805621082];('clinical_knowledge', 54)
[0.00412901839847814, 0.009905000224444805, 0.22543681975804228, 0.08293357127205576];('clinical_knowledge', 55)
[0.006406860228523094, 0.5417851419613845, 0.09414814623315565, 0.05710373724551738];('clinical_knowledge', 56)
[0.11354872022299202, 0.000814429018460876, 0.39632399958187564, 0.08843183222642205];('clinical_knowledge', 57)
[0.0030725635465977054, 0.0007297978103107329, 0.001544981976551715, 0.8003203346267915];('clinical_knowledge', 58)
[0.06933287373515554, 0.5123045546005981, 0.0005293630234322337, 0.01753009577117825];('clinical_knowledge', 59)
[0.014206339872446993, 0.015122570075723674, 0.5674702217293353, 0.08702438222584365];('clinical_knowledge', 60)
[0.0060671459040987, 0.6188658544645106, 0.005029840618746773, 0.011334920808483863];('clinical_knowledge', 61)
[0.0016132547875523729, 0.00020510232982158628, 0.7850550087572806, 0.015306135261037608];('clinical_knowledge', 62)
[0.02036938873400786, 0.009621817937724955, 0.46360515070528413, 0.10344429152250699];('clinical_knowledge', 63)
[0.07457792048867927, 0.006121727041152834, 0.003713015140851096, 0.8017881946163695];('clinical_knowledge', 64)
[0.1002616452604733, 0.11361132822884024, 0.24051515507620033, 0.3499474857214368];('clinical_knowledge', 65)
