id;confidence_per_choice
('abstract_algebra', 0);[0.0052338366569092964, 0.01826788491594899, 0.014227043077599378, 0.03412890214505877]
('abstract_algebra', 1);[0.006928362888416981, 0.0053958144429020055, 0.014667344349877388, 0.011422939265262456]
('abstract_algebra', 2);[0.004045873014473906, 0.0019111350886749363, 0.018132344868943422, 0.016001738183438252]
('abstract_algebra', 3);[0.08157069669947227, 0.007587256688059367, 0.07198588717895175, 0.10473884781904926]
('abstract_algebra', 4);[0.00537517285614019, 0.008862161821608292, 0.006901858566374045, 0.012894369365397264]
('abstract_algebra', 5);[0.03376625775815967, 0.009674194819730354, 0.11785581996603385, 0.15132986834096207]
('abstract_algebra', 6);[0.051785988319032264, 0.021587611681719434, 0.058681212554248144, 0.14076891101641778]
('abstract_algebra', 7);[0.04396621158926804, 0.008657460376424822, 0.05645373315609131, 0.07248802823932872]
('abstract_algebra', 8);[0.006250828311982751, 0.02801426892637283, 0.019253906686263127, 0.03597103333138832]
('abstract_algebra', 9);[0.00285713635961903, 0.0022251400342130833, 0.01130019351013926, 0.006048557720778163]
('abstract_algebra', 10);[0.0823068369132428, 0.009830149841193394, 0.0641006290401639, 0.09326586492506464]
('abstract_algebra', 11);[0.07478515818021016, 0.007882297680930517, 0.13971706944610693, 0.058242739752866556]
('abstract_algebra', 12);[0.013593197090157173, 0.015403110254944084, 0.032608384665603486, 0.01745401055780766]
('abstract_algebra', 13);[0.0037370261111918635, 0.0029103988617545104, 0.004798436509596103, 0.007911284339475175]
('abstract_algebra', 14);[0.015694459052052488, 0.015694459052052488, 0.04266196284868885, 0.07033768559845194]
('abstract_algebra', 15);[0.03256649955755269, 0.008234102548069873, 0.053693080532783426, 0.1003118806474554]
('abstract_algebra', 16);[0.0395656663331092, 0.014555395220199963, 0.0575677048283223, 0.12187083207791186]
('abstract_algebra', 17);[0.00393908779508836, 0.00393908779508836, 0.01374876734441055, 0.009449380392404798]
('abstract_algebra', 18);[0.010882654798331936, 0.03352094466279573, 0.03798420658998567, 0.46274233980301993]
('abstract_algebra', 19);[0.06830944484652565, 0.010475592649634411, 0.1126232347081841, 0.1126232347081841]
('abstract_algebra', 20);[0.038024863235734514, 0.012344865670445012, 0.055325849550024994, 0.09121690497268133]
('abstract_algebra', 21);[0.0076555860244593805, 0.0076555860244593805, 0.00867491546093616, 0.016206875740960268]
('abstract_algebra', 22);[0.19464869868792306, 0.010981326830330342, 0.06319317276391251, 0.11806038955349557]
('abstract_algebra', 23);[0.018083714935054944, 0.00967951508906771, 0.46638512734196724, 0.10406459435739197]
('abstract_algebra', 24);[0.012094664162472573, 0.008312533009444793, 0.08936815199423594, 0.10126738318570945]
('abstract_algebra', 25);[0.027181889794968828, 0.0053524301786241485, 0.2922328556081842, 0.15642097575302047]
('abstract_algebra', 26);[0.007839297057920452, 0.012924815806730385, 0.122627238107849, 0.122627238107849]
('abstract_algebra', 27);[0.015380724972214583, 0.003431903626249194, 0.009328881264255887, 0.028734970400765097]
('abstract_algebra', 28);[0.034474072801474236, 0.007692207219126472, 0.08269900152587964, 0.08269900152587964]
('abstract_algebra', 29);[0.1394397632325429, 0.007866655010457309, 0.08457449158360764, 0.08457449158360764]
('abstract_algebra', 30);[0.07692676974500845, 0.009187592449816841, 0.07692676974500845, 0.11192778953329849]
('abstract_algebra', 31);[0.03360378019390855, 0.36127468396672224, 0.01798680310184109, 0.09134454506863357]
