id;confidence_per_choice
('astronomy', 15);[0, 8.960432086913458e-06, 0.28716671408058275, 0]
('astronomy', 16);[0, 0, 0.0002573008561847165, 0]
('astronomy', 17);[0.09379768935723246, 0, 0.00012444890904378912, 9.692090781568501e-05]
('astronomy', 18);[1.5453598041090838e-06, 0, 0, 0.00020240219174922375]
('astronomy', 19);[0, 0, 0.9103066725108461, 0]
('astronomy', 20);[0, 0, 9.216622228071593e-05, 0.2747437019471587]
('astronomy', 21);[0, 0, 0.000810729480576797, 0.002203791214847948]
('astronomy', 22);[0, 0, 3.3691708770240395e-05, 0.5100439279155663]
('astronomy', 23);[6.834817795158006e-05, 0.1235764341501618, 0.0009435179429194095, 7.74486321157691e-05]
('astronomy', 24);[1.5237956724845046e-06, 0, 0.980878923979249, 0]
('astronomy', 25);[1.0667401702647735e-06, 0, 7.331590822786351e-07, 6.4701061921266e-07]
('astronomy', 26);[0, 0, 0.13140458784654382, 0.00010574560952193338]
('astronomy', 27);[0, 0, 2.7408176149846634e-05, 0.4149201984042833]
('astronomy', 28);[0.00022422305405202003, 0, 2.0855992841903634e-05, 0]
('astronomy', 29);[0, 2.877682314893419e-05, 0.16026282945686013, 6.90320100908387e-05]
('astronomy', 30);[0, 0.04634879866826931, 7.896073092293159e-05, 0]
('astronomy', 31);[3.221426933247939e-06, 0, 0.0001369785587858464, 0]
('astronomy', 32);[2.627295782266313e-05, 0, 8.092640735627977e-05, 0.07831858346467811]
('astronomy', 33);[0, 0, 2.627894685214831e-05, 0.8421958108748284]
('astronomy', 34);[0, 0, 0.0001232998104027389, 0]
('astronomy', 35);[0, 0, 1.7493319678962897e-05, 0.494755547146089]
('astronomy', 36);[0.9872375722082106, 1.3534616809601844e-06, 1.6488538754341018e-05, 0]
('astronomy', 37);[6.932238548525602e-06, 0, 0.5329498163351014, 1.0086347572190092e-05]
('astronomy', 38);[0, 0.03694541018844914, 0.000984561597505756, 9.157849408843273e-05]
('astronomy', 39);[0.7987444992871866, 1.1772852893674583e-05, 0.0005005944432666133, 0]
