id;confidence_per_choice
('easy', 0);[1.9696601631060112e-06, 0.01242991689533463, 0, 5.643170849142967e-07]
('easy', 1);[0, 0.03305579014209547, 0, 1.4238538421274665e-05]
('easy', 2);[0, 0, 0, 0.059975569306459565]
('easy', 3);[0.015886784100858396, 0, 0, 0]
('easy', 4);[0, 0, 0.0019265303035901668, 0]
('easy', 5);[0, 0, 0.02030801825725256, 0]
('easy', 6);[0.0009109662615684738, 0, 0, 0]
('easy', 7);[0, 0, 0.010980923642271918, 5.649120814206659e-07]
('easy', 8);[0, 0.002800574676720396, 0, 0]
('easy', 9);[1.3648551637138374e-06, 2.1139290308072413e-06, 0.004068577841476542, 2.419263664119473e-05]
('easy', 10);[0.01723741034826787, 0, 0, 0]
('easy', 11);[0.022957205416404475, 0, 2.0727730866597263e-06, 0]
('easy', 12);[7.785488915393089e-07, 0.0027994438059989637, 0, 6.454397010131613e-07]
('easy', 13);[0.0001375789533894838, 0.014033428071881276, 0, 0.0001766548729533953]
('easy', 14);[0.010974600239839417, 0, 0, 0]
('easy', 15);[0.03306048762008943, 0, 0, 0]
('easy', 16);[2.2134526131714132e-06, 0, 0.02032391044714641, 7.72570874005835e-06]
('easy', 17);[0.003590524463941367, 0, 0, 6.511390866766572e-06]
('easy', 18);[2.475379736075776e-06, 0.033070404958250886, 0, 9.106413139946688e-07]
('easy', 19);[0.0028004838697638364, 0, 0, 0]
('easy', 20);[0, 0, 0.009703740078645627, 0]
('easy', 21);[0, 0.00970027499668282, 0, 1.0023271248305073e-05]
('easy', 22);[2.6111295809985957e-05, 0.10639009632851379, 0, 6.667752971674281e-05]
('easy', 23);[0, 0, 0, 0.08504519740320472]
('easy', 24);[0.004055863267639426, 0.0027875513400906966, 0, 2.541919007167177e-06]
('easy', 25);[7.052769998081134e-06, 0.04737835157856448, 0, 8.507264513894217e-06]
('easy', 26);[0, 0, 0, 0]
('easy', 27);[0, 0, 0, 0.047408634208682264]
('easy', 28);[3.2442029934932285e-05, 0.0202711716666499, 0, 1.4396063517196073e-05]
('easy', 29);[6.825157715055912e-07, 0.009706303832790392, 0, 4.406653021363808e-07]
('easy', 30);[0.017970728833526798, 0, 9.245011913315043e-07, 0]
('easy', 31);[0.015893520067059748, 0, 0, 1.9614161977235535e-06]
('easy', 32);[0, 0, 0.022922442677761563, 3.866586117870481e-06]
('easy', 33);[0.028926928379583, 0, 0, 0]
('easy', 34);[0, 0, 0, 0]
('easy', 35);[2.651817579418405e-06, 0.025919355467043173, 0, 3.1987025802408043e-06]
('easy', 36);[0, 0.04738041876956577, 0, 3.812858701739739e-05]
('easy', 37);[6.0242494355903276e-05, 0.08482776859500506, 0, 0.0001275333615522362]
('easy', 38);[4.421139867304375e-06, 0, 0, 0.07584122679965795]
('easy', 39);[6.107151417980101e-06, 0, 0, 0.11871262374442448]
('easy', 40);[0, 0.04729409155904357, 0, 0.0005953446098307046]
('easy', 41);[7.644065789121697e-06, 0.029258616619428985, 0, 0.0001535351656506795]
('easy', 42);[0.047104711470605756, 0, 0, 0]
('easy', 43);[0.014054810816060984, 0, 0, 0]
('easy', 44);[5.611935844340805e-07, 0.017985310804712377, 4.1057799723656016e-07, 2.2195636828475954e-06]
('easy', 45);[7.426464902644611e-07, 0, 0, 0.10666670960805863]
('easy', 46);[0, 0, 0, 0.16447185750926457]
('easy', 47);[0, 0.042051200247695084, 1.2449039193977542e-05, 3.38399970227636e-05]
('easy', 48);[9.606903383219476e-07, 0, 0.042082893673376066, 0]
('easy', 49);[0, 0.029309458501168843, 0, 1.9360800192013618e-06]
('easy', 50);[0.04199119865487909, 0, 0, 0]
('easy', 51);[0.020320455829516706, 0, 0, 0]
('easy', 52);[0, 0, 0, 0.001700357279863318]
('easy', 53);[0.017972759827656844, 0, 0, 0]
('easy', 54);[0, 0, 0.04742287825308191, 2.4155932506528796e-07]
('easy', 55);[2.277416585559684e-06, 0, 2.424297335975915e-06, 0.16447958268055707]
('easy', 56);[6.462422472100799e-07, 0, 0, 0.11918344624528873]
('easy', 57);[0, 0, 0, 0.05335423790796035]
('easy', 58);[5.60381744828523e-07, 0.015849020189503158, 0, 9.835005909368369e-07]
('easy', 59);[0, 0.037281999654792904, 0, 0]
('easy', 60);[1.5679340273094363e-05, 0, 2.428463727756293e-05, 0.060014619075231375]
('easy', 61);[0, 0, 0.14785316579724406, 3.1707726453787143e-06]
('easy', 62);[0.03715329143273992, 0, 0, 0]
('easy', 63);[6.665155668214513e-06, 0.04206169855737788, 0, 3.3514507420702646e-06]
('easy', 64);[0, 0.06746524696330022, 0, 0]
('easy', 65);[0, 0.04205354634739341, 0, 2.957069546495597e-06]
('easy', 66);[5.813557438329997e-06, 0, 6.5876236180587775e-06, 0.1644222407578084]
('easy', 67);[0, 0, 0, 0]
('easy', 68);[0, 0, 0.022959646693434192, 6.797080787007961e-06]
('easy', 69);[1.3180016501824305e-05, 0.04182298318090273, 0.00010366886002749597, 0]
('easy', 70);[0.029046550314307175, 0, 0, 0]
('easy', 71);[0, 0, 0.015746084023815464, 2.656069654921838e-06]
('easy', 72);[0, 8.251376054121156e-06, 1.1278293857665724e-05, 0.012368151014816248]
('easy', 73);[0.020301812006824214, 0, 0, 0]
('easy', 74);[0.020319133249201288, 0, 0, 0]
('easy', 75);[0, 0.0372838485546848, 0, 1.3313991799321205e-05]
('easy', 76);[0, 0.014061849526832381, 0, 0]
('easy', 77);[4.485797475432204e-06, 0, 0.00048707434277585186, 0]
('easy', 78);[1.2334284718431582e-06, 0.042078720009370865, 0, 0]
('easy', 79);[0.012423493637407294, 0, 0, 0]
('easy', 80);[1.2902966203916166e-06, 0, 0, 0.0530968100071166]
('easy', 81);[0.025871112588089537, 0, 0, 0]
('easy', 82);[0, 0, 0, 0.06754090479031452]
('easy', 83);[8.197628422316223e-07, 0.014062392659523004, 0, 0]
('easy', 84);[1.260412941476148e-06, 0.017924780117769493, 0, 0]
('easy', 85);[7.167842804071526e-07, 0, 0, 0.022971725527584485]
('easy', 86);[0, 0.015903511828901398, 0, 1.4502125625758105e-05]
('easy', 87);[0, 0, 0, 0.0532685061329663]
('easy', 88);[0.010928702792114262, 0, 0, 0]
('easy', 89);[2.0438591142016995e-06, 0.03732204706076211, 0, 0]
('easy', 90);[0.017914799766268384, 3.645095089594898e-06, 2.3534502732864906e-06, 2.6668085365442865e-06]
('easy', 91);[3.4678880766747314e-07, 0, 0, 0.06008173529411666]
('easy', 92);[2.2015496313132893e-06, 0.025956088627827657, 0, 5.229138717088363e-07]
('easy', 93);[1.5136202595234348e-07, 0.015905476047005138, 0, 2.068873599245959e-07]
('easy', 94);[0, 0.0046000938145033905, 0, 0]
('easy', 95);[2.927882874157661e-06, 0.04163847221450932, 0, 0]
('easy', 96);[9.695205586198302e-07, 0.033075435714994814, 0, 0]
('easy', 97);[0.02297395472840654, 0, 0, 0]
('easy', 98);[0.006685030523895617, 6.907622960816629e-06, 0, 1.6407042636557593e-06]
('easy', 99);[5.140106349693139e-07, 0, 0, 0.042065740152571515]
('easy', 100);[3.1805320000467894e-07, 0, 0, 0.02297043301881377]
('easy', 101);[3.650804054921488e-06, 0, 0, 0.020331916951442975]
('easy', 102);[0, 0, 0.002465403719964403, 0]
('easy', 103);[0, 0.010978729930319635, 0, 7.796809100722967e-06]
('easy', 104);[4.303083098633577e-07, 0, 0, 0.025764340725985935]
('easy', 105);[0, 0, 0, 0.10663187438182467]
('easy', 106);[2.491302859193791e-07, 0, 0, 0.13294891563200945]
('easy', 107);[0.007567734409367209, 0, 3.469980645287362e-06, 0]
('easy', 108);[2.1760958694221184e-06, 0, 0, 0.09532352477116249]
('easy', 109);[4.607027846851569e-06, 0, 0, 0.09532836572363836]
('easy', 110);[0.02295125110307703, 0, 0, 2.0722354802659686e-06]
('easy', 111);[0, 0.0018792658844418997, 0, 0.022894145287769514]
('easy', 112);[0, 0, 0.008576053527684601, 0]
('easy', 113);[0.0203304336684854, 0, 0, 0]
('easy', 114);[6.977396434405234e-07, 0, 0, 0.10668018906211642]
('easy', 115);[0, 0, 0, 0.06752942432246746]
('easy', 116);[0.01242987540608013, 0, 0, 0]
('easy', 117);[0.002795961939374508, 0, 0, 0]
('easy', 118);[0, 0.00586377996386096, 0, 0]
('easy', 119);[0, 0.005189044653502521, 0, 0]
('easy', 120);[0, 0.002456027406623876, 0, 0]
('easy', 121);[0, 0.0002945063707170857, 0.004606856941395675, 2.133396993978488e-05]
('easy', 122);[4.2230123691222924e-06, 0, 0, 0.060056973161474604]
('easy', 123);[0, 6.384526857370598e-05, 0.0330726758007138, 3.417390966094046e-05]
('easy', 124);[0, 0.03731824769311584, 0, 0]
('easy', 125);[6.524042872908489e-07, 0, 0, 0.0533915987863966]
('easy', 126);[1.3131606008407691e-06, 0, 0, 0.0420845692751339]
('easy', 127);[0, 0, 0.0008025510343481645, 0]
('easy', 128);[0.010984945713031772, 0, 0, 0]
('easy', 129);[0, 0.02594115409512867, 0, 8.616427572105484e-07]
('easy', 130);[2.8686550790813054e-06, 0, 0, 0.010980133017759667]
('easy', 131);[0.05339620708203997, 0, 0, 0]
('easy', 132);[8.199067560524656e-05, 0.03307741510961571, 6.663804859591745e-07, 1.8294592578476626e-05]
('easy', 133);[0.029309926695511468, 0, 0, 0]
('easy', 134);[7.762594796224974e-07, 0, 0.004061191028161146, 0]
('easy', 135);[2.6177080767704366e-06, 0, 0, 0.09506338466235381]
('easy', 136);[0.002742206094791895, 0, 0, 8.727840898575411e-06]
('easy', 137);[0.00757544264420594, 0, 0, 0]
('easy', 138);[7.146260600841442e-07, 0, 0.02595201697095515, 0]
('easy', 139);[5.142263676746804e-07, 0, 0, 0.04208340537701647]
('easy', 140);[0, 0, 0.007576342148488164, 0]
('easy', 141);[0, 0, 0.015904065425669623, 2.068690115442585e-07]
('easy', 142);[5.40969208694186e-06, 0, 0.002182425551802151, 0]
('easy', 143);[0, 0, 0.0021825972677208946, 1.0548055357804486e-07]
('easy', 144);[8.640789437926754e-06, 0.03307371665562125, 0, 1.7014723233088636e-06]
('easy', 145);[5.784420681414178e-07, 0, 0, 0.10667940059431827]
('easy', 146);[7.235962253392606e-05, 0.033078818895518114, 0, 0]
('easy', 147);[0, 0.029307460024342678, 0, 8.590721301260871e-07]
('easy', 148);[0, 0, 0, 0.04208606432942726]
('easy', 149);[0.008576597432603498, 0, 0, 0]
('easy', 150);[4.772254239821049e-07, 0, 0, 0.053382268842170746]
('easy', 151);[2.200489608113758e-06, 0, 0, 0.08506573983152908]
('easy', 152);[0.0009108394306899109, 0, 0, 8.929551313565345e-06]
('easy', 153);[0.02032930431318029, 0, 1.3428828535811707e-06, 0]
('easy', 154);[0, 0.029282427725191563, 0, 0]
('easy', 155);[0, 0, 0.008549342481027568, 3.2498526477821446e-06]
('easy', 156);[4.171872629089351e-07, 0, 0.002182617041936565, 5.702273795183801e-07]
('easy', 157);[0.007571712106185619, 0, 0, 0]
('easy', 158);[9.961695775536959e-07, 0.006691960922792052, 0, 8.258535864374824e-07]
('easy', 159);[2.3467915241647867e-06, 0, 0.022937974389328753, 0]
('easy', 160);[0.004607975207868718, 0, 0, 5.342153854116358e-07]
('easy', 161);[9.648800029728838e-07, 0, 0, 0.09524885071723474]
('easy', 162);[0, 0.014060180028066688, 0, 2.371689205951342e-06]
('easy', 163);[0.004592760229930699, 0, 0, 0]
('easy', 164);[2.2274550582802127e-07, 0, 0.0046090366036772475, 0]
('easy', 165);[0, 0, 0.022966457367270984, 0]
('easy', 166);[2.8350963400611804e-06, 0, 0.022973023586277546, 0]
('easy', 167);[1.2415230840565515e-06, 0.03298601357266668, 0, 0]
('easy', 168);[0, 0.03305619208137948, 0, 0]
