id;confidence_per_choice
('easy', 0);[0.013411635428824701, 0.3458906365548584, 0.005951377145329072, 0.008134568084470373]
('easy', 1);[0.015691218943914412, 0.2781334776075001, 0.033218310764939925, 0.02587044643604449]
('easy', 2);[0.010238895101882896, 0.004543482159662879, 0.007974059523132371, 0.299224340393399]
('easy', 3);[0.37931056047954775, 0.005410574881329262, 0.00838006230923154, 0.006947315666519033]
('easy', 4);[0.003194205008984835, 0.0030006779107445898, 0.32581769103010266, 0.012633325879272234]
('easy', 5);[0.0034637635446588414, 0.004447560428738377, 0.2751608530363982, 0.010669142830926208]
('easy', 6);[0.5789955026374362, 0.004705794635429065, 0.009358590115637123, 0.0060423599176037445]
('easy', 7);[0.0032438969180080142, 0.0032438969180080142, 0.27431452775295073, 0.009386526965259264]
('easy', 8);[0.00599049990454714, 0.25472250729732626, 0.004966298853326488, 0.005286597610696165]
('easy', 9);[0.01690975673649401, 0.01690975673649401, 0.16043526672218633, 0.04056438799086428]
('easy', 10);[0.3658936873952573, 0.004605921233471548, 0.01821677185810895, 0.01252019199225938]
('easy', 11);[0.44886000815893706, 0.028694660302826157, 0.006014726115882306, 0.01055617308001997]
('easy', 12);[0.007364731368071722, 0.5163074370582823, 0.007364731368071722, 0.008345333956983203]
('easy', 13);[0.05423920866861883, 0.1148244056525244, 0.015539797166436019, 0.02562078802219604]
('easy', 14);[0.31842956138159667, 0.013990820169989584, 0.007488746390340926, 0.007035026183183531]
('easy', 15);[0.1797437164960218, 0.12353592927775979, 0.004499795895011217, 0.013020591151405195]
('easy', 16);[0.026237949352501375, 0.026237949352501375, 0.09157944174074366, 0.1938736796865338]
('easy', 17);[0.5146404423853015, 0.008854879522195425, 0.009425970185762253, 0.006478368250877745]
('easy', 18);[0.009331176898993775, 0.3501498298880055, 0.004994619076718809, 0.010573608668387701]
('easy', 19);[0.3812522398864091, 0.003098633854390058, 0.0054382717763621115, 0.006982879183704544]
('easy', 20);[0.024634988937477217, 0.02174030143252942, 0.18202929355597108, 0.006630417323505831]
('easy', 21);[0.0059601326332559485, 0.06407746453089869, 0.006753715073447088, 0.007652961787930675]
('easy', 22);[0.015850312557890572, 0.46321408743248493, 0.004266053751172579, 0.008484060942208998]
('easy', 23);[0.013069913127589266, 0.0065719650418888265, 0.006173789808703875, 0.2044478398131974]
('easy', 24);[0.4053659139993653, 0.004793640818944692, 0.00841310164308386, 0.010802636342897076]
('easy', 25);[0.3543484975171125, 0.006096901228139658, 0.003697957524106312, 0.005380496449197464]
('easy', 26);[0.19930689899602866, 0.018538431616230037, 0.023803817380766975, 0.011244127158229545]
('easy', 27);[0.005370003044106169, 0.0034671345523404427, 0.01210148866733408, 0.18929910990756812]
('easy', 28);[0.20763492288090207, 0.005533283929898631, 0.00805088061264737, 0.00912284291204707]
('easy', 29);[0.007676107206137254, 0.3474471835481871, 0.017298374619408294, 0.008171173586992557]
('easy', 30);[0.3695965741571159, 0.011160849461397802, 0.004952596926715144, 0.007670732177018706]
('easy', 31);[0.3110624558629106, 0.007787294351935689, 0.015486884064361056, 0.022533288725186812]
('easy', 32);[0.003545576326288912, 0.004276781416400599, 0.4362436683500004, 0.005491496040276168]
('easy', 33);[0.3235801955075264, 0.009771275231609557, 0.005230186738923559, 0.005926578012461861]
('easy', 34);[0.3781624471634329, 0.0037073750633994846, 0.006926288474881116, 0.006926288474881116]
('easy', 35);[0.011476038673470504, 0.26119340516076217, 0.031195107388788116, 0.018920789064328102]
('easy', 36);[0.005314141296761085, 0.2725634839851576, 0.006410077981850458, 0.011975602276417417]
('easy', 37);[0.29452353212085636, 0.006926529577032436, 0.012940460881325569, 0.011419916645786938]
('easy', 38);[0.009150673783246124, 0.004601247737926969, 0.004601247737926969, 0.20826840016929365]
('easy', 39);[0.005894836762126261, 0.003805992668999787, 0.029936451233850993, 0.22120209120048098]
('easy', 40);[0.01080788143401706, 0.0035088053744701374, 0.015725374696706276, 0.24598627694535108]
('easy', 41);[0.0939950947145938, 0.154971711997424, 0.004679741322536472, 0.00771558905984023]
('easy', 42);[0.40965096111971044, 0.002435873509916118, 0.0058433567821666935, 0.006220220916096539]
('easy', 43);[0.3217477879626403, 0.007108333671083606, 0.007566781805007745, 0.011009602562575485]
('easy', 44);[0.009341483067414735, 0.29060502020497675, 0.01446837200898966, 0.018577757397636206]
('easy', 45);[0.007949249985379523, 0.0024243842697173946, 0.003997133913833865, 0.1409038274383748]
('easy', 46);[0.00647432584574402, 0.003926877126413673, 0.00368895966861645, 0.22822782590338425]
('easy', 47);[0.0038911359506727428, 0.0026743360212154936, 0.21244887508594465, 0.005318552251644875]
('easy', 48);[0.007285878162281946, 0.00366356961324425, 0.27340049583044695, 0.010600890174074468]
('easy', 49);[0.002939146349946669, 0.40977948847552603, 0.004845833104857716, 0.006623468544315545]
('easy', 50);[0.27640948723997905, 0.0065005272981763325, 0.005736695205807222, 0.009458211409337816]
('easy', 51);[0.3525149021128839, 0.0028650696440428764, 0.0041686517343656115, 0.006065352484035239]
('easy', 52);[0.004877634819128209, 0.0035685538659685242, 0.004877634819128209, 0.301768616556397]
('easy', 53);[0.053846814924451335, 0.053846814924451335, 0.010603064003216155, 0.08877838912539603]
('easy', 54);[0.014471849551770636, 0.006836017684556495, 0.22637776124903106, 0.0077462228643926595]
('easy', 55);[0.01694449638681488, 0.008520227856105032, 0.013196387054802017, 0.34033930782219024]
('easy', 56);[0.011804164083896937, 0.004622577073470223, 0.0038322509949399544, 0.2092338397290138]
('easy', 57);[0.007435402168666574, 0.003512235290656094, 0.005439856434100219, 0.1917615493509454]
('easy', 58);[0.020517644013626, 0.36368394211468935, 0.00969185108380092, 0.02634517640404687]
('easy', 59);[0.06931733704568471, 0.009381081442285487, 0.10085613028566746, 0.02889576511960002]
('easy', 60);[0.018439865469781207, 0.012673521839728478, 0.03040219842887709, 0.19824726044800547]
('easy', 61);[0.021477436432001302, 0.003972925310392419, 0.12359411316533767, 0.00790110542862926]
('easy', 62);[0.37944716405443124, 0.007875174648002843, 0.006133192182688689, 0.00694981723417524]
('easy', 63);[0.013524709119395552, 0.3952498902464103, 0.01967833565392902, 0.011935513906224205]
('easy', 64);[0.010425456785603528, 0.3452437956436018, 0.015168950116526202, 0.010425456785603528]
('easy', 65);[0.0059526826938787435, 0.17396286756756738, 0.0029931968321233603, 0.006745273186166366]
('easy', 66);[0.020575320835623134, 0.006679830268570165, 0.0718149261761351, 0.1722750726787893]
('easy', 67);[0.10644708221837697, 0.12062034654923114, 0.008737706514181695, 0.014406042587066433]
('easy', 68);[0.00647056672892446, 0.01458164721661565, 0.1220906373527591, 0.018723205643308555]
('easy', 69);[0.004753606524321978, 0.051106086424404173, 0.09547873936257488, 0.010063385090959746]
('easy', 70);[0.4970387332794818, 0.0031461143006661346, 0.004039690725860096, 0.004872797151837846]
('easy', 71);[0.015768422082993915, 0.013915583646888665, 0.31671714845712057, 0.010837467441092527]
('easy', 72);[0.00829352097874549, 0.004725505810234775, 0.007319006575263257, 0.2746437282801349]
('easy', 73);[0.4668868859620456, 0.005186645109051225, 0.005521154978958446, 0.01098012778202549]
('easy', 74);[0.45658351569658284, 0.008362618297596398, 0.004764876275750978, 0.007855952868085048]
('easy', 75);[0.43605087902613365, 0.004015890716423964, 0.002435760845566467, 0.0062199332176009715]
('easy', 76);[0.005966908998810526, 0.27008292397538436, 0.008681801365077403, 0.007661662813535521]
('easy', 77);[0.01388117491144181, 0.012250093863582393, 0.3159340847593108, 0.015729431877650326]
('easy', 78);[0.0104360359880948, 0.3246554860964031, 0.004350387039434796, 0.008127592999689593]
('easy', 79);[0.4072948953608065, 0.004816452209462421, 0.01229924158734713, 0.007459867113938711]
('easy', 80);[0.005633355737154333, 0.0036371678305378062, 0.0043872618594155855, 0.25498515053396104]
('easy', 81);[0.4274852155864195, 0.0028803732405647446, 0.008872174186760156, 0.00782966623900684]
('easy', 82);[0.056423779993615066, 0.020757148652831518, 0.0930270862487775, 0.0930270862487775]
('easy', 83);[0.0045097069146214355, 0.2970000434029876, 0.005439744896439335, 0.01304926963755193]
('easy', 84);[0.005257968017252632, 0.5709175268106793, 0.007186790179459255, 0.007186790179459255]
('easy', 85);[0.005340519396822245, 0.004712991825888584, 0.0041592006882531915, 0.27391642257901117]
('easy', 86);[0.013079794930457887, 0.204602392827316, 0.011542878512570777, 0.013079794930457887]
('easy', 87);[0.005113736014268499, 0.003982581612332752, 0.024396270087093483, 0.20426746853189937]
('easy', 88);[0.1537318968796159, 0.004642300480908715, 0.009827750195204776, 0.005260415608613094]
('easy', 89);[0.0042440779878551525, 0.279506234041417, 0.003305291260357705, 0.005449504006810984]
('easy', 90);[0.0751618209230369, 0.05165791369481024, 0.006567566719329537, 0.011526438555656774]
('easy', 91);[0.00670436295916631, 0.0023169658406074767, 0.005221363122593643, 0.2515793640041991]
('easy', 92);[0.008503980134457967, 0.3191095003002817, 0.009636271934272066, 0.010919326635651667]
('easy', 93);[0.0071990999565037074, 0.27014423286609723, 0.01047462862969116, 0.015240494727514655]
('easy', 94);[0.008894828214066418, 0.3337759264958571, 0.01661772685298366, 0.024178649901561565]
('easy', 95);[0.014285450623454269, 0.4174820629626471, 0.02355272630442546, 0.014285450623454269]
('easy', 96);[0.004862695630969096, 0.3008442540125252, 0.005510156031967446, 0.005510156031967446]
('easy', 97);[0.4597392789502233, 0.007910250770946502, 0.009541583760421303, 0.01081203087792895]
('easy', 98);[0.49652839449796715, 0.03596839197027299, 0.007082596317267536, 0.01167722720006138]
('easy', 99);[0.03086346010053407, 0.02723690794176456, 0.012865804311775692, 0.09506614981757443]
('easy', 100);[0.0057650882894758485, 0.0034967028035173637, 0.00508767255858916, 0.19091354980508896]
