id;confidence_per_choice
0;[0.9995067170157623, 1.2745620142213823e-07, 2.8439295513393597e-08, 1.4159091500592132e-09]
1;[0.9998611404674707, 6.824653069710504e-08, 2.8449386622446528e-08, 0]
2;[1.066067931862969e-06, 6.951636153662827e-06, 1.889650623456059e-05, 0.9984672947316624]
3;[0, 0, 0, 0]
4;[0, 0, 0, 0]
5;[0, 0.9992900170635234, 6.344297026197243e-09, 0]
6;[2.335370309910579e-09, 2.2157376580506316e-08, 0.9999038073576505, 6.348194676152696e-09]
7;[2.0609531339242214e-09, 7.73366957954185e-08, 7.73366957954185e-08, 0.9999029730532689]
8;[3.3315381877555444e-11, 1.162821085114775e-10, 0.9999988079084972, 5.492777874302323e-11]
9;[0, 0, 0, 0]
10;[1.8189582181622667e-09, 7.734407154916583e-08, 7.734407154916583e-08, 0.9999983310727032]
11;[7.581996408025576e-10, 6.023125781393736e-08, 9.930455591886182e-08, 0.9999246654044206]
12;[0.9998404042309772, 2.8448789736822663e-08, 1.0465724870386186e-08, 5.21057759641171e-10]
13;[0, 0.9999868871505255, 5.905225155155819e-10, 0]
14;[7.193652786162452e-09, 1.6372678275231367e-07, 2.102293504464829e-07, 0.9999328896775282]
15;[0.9999992847447459, 1.8189616875530459e-09, 1.8189616875530459e-09, 1.917171513758312e-10]
16;[4.36320425861446e-09, 8.151538717607521e-09, 0.9999414716651684, 1.1860418850046806e-08]
17;[0, 0, 0, 0]
18;[0, 0, 0, 0]
19;[0, 0, 0, 0]
20;[3.4661588236431507e-07, 3.726471921802242e-06, 1.1478341600555223e-05, 0.9999512457787185]
21;[0, 0, 0, 0]
22;[1.1853679423343146e-08, 1.2743906378388412e-07, 5.040312747624309e-07, 0.9993722805592462]
23;[0.9994274081769091, 9.92551326270449e-08, 2.8437071610642726e-08, 4.941622073964087e-09]
24;[1.6051545753585704e-09, 0.9999532721416701, 1.4165439409234298e-09, 1.6051545753585704e-09]
25;[0, 0, 0, 0]
26;[8.301001549738246e-07, 5.412932962342305e-06, 6.950343502474389e-06, 0.9982819323471]
27;[0, 0, 0, 0]
28;[0, 0, 0, 0]
29;[0, 0, 0, 0]
30;[3.398209484862448e-09, 1.2751687015779368e-07, 1.6373490233907766e-07, 0.9999823573372132]
31;[1.4165871710734509e-09, 0.9999848606494245, 2.9989150646957974e-09, 9.736051751516156e-10]
32;[0, 0, 0, 0]
33;[0.9999966621509202, 6.348775897339431e-09, 3.398254856156838e-09, 0]
34;[0, 0, 0, 0]
35;[0, 0, 0, 0]
36;[0, 0, 0, 0]
37;[0, 0, 0, 0]
38;[0, 0, 0, 0]
39;[0, 0, 0, 0]
40;[0, 0, 0, 0]
41;[0, 0, 0, 0]
42;[5.492777874302323e-11, 4.599046606658694e-10, 0.9999979734461775, 7.052866398824247e-11]
43;[5.905258945221871e-10, 0.9999928474936721, 1.2501433285136848e-09, 3.1608573387940045e-10]
44;[4.598748368830385e-10, 0.9999337240286982, 4.363170970134736e-09, 0]
