id;confidence_per_choice
0;[0.0067809178708806185, 0.009268415821903067, 0.02223376842843291, 0.011900881487754342]
1;[0.03031842775310221, 0.038929631828994254, 0.008686372913529965, 0.020837530344505816]
2;[0.061970270837825615, 0.02583305226148016, 0.008386766155647362, 0.006531620049454921]
3;[0.025655844069543823, 0.01373258374652449, 0.009438257579085443, 0.008329233079338486]
4;[0.07204763097477036, 0.023390441163283062, 0.038564317876964634, 0.030033920961194633]
5;[0.03103208847933544, 0.02738572196374463, 0.007846140708092302, 0.0037062544386025045]
6;[0.0585158382073817, 0.002268905813049673, 0.016765072335813893, 0.0069887219139636685]
7;[0.04215994998106011, 0.010659704712359568, 0.032834202059500876, 0.025571302275464017]
8;[0.03913300945316827, 0.02373537004017087, 0.008731754666375454, 0.006388288182048052]
9;[0.009754023087573284, 0.005916114058158082, 0.03404487767369929, 0.01419201985040685]
10;[0.022262151878615456, 0.01191607121645443, 0.017337781315920262, 0.005991776892983891]
11;[0.025322689228448325, 0.015358987403428758, 0.004400423565997575, 0.01055606737546218]
12;[0.033012795123607074, 0.020023272405279405, 0.015594140228883653, 0.01071768539127473]
13;[0.02869403090643631, 0.025322393397596694, 0.010555941538083001, 0.005650188347037254]
14;[0.034589145016335206, 0.018514235172694092, 0.006811006489047365, 0.026938053224492237]
15;[0.04011100644287504, 0.006151222063163814, 0.05150355176157731, 0.005778538358402546]
16;[0.020361935461433653, 0.026145242665436247, 0.004543363003663706, 0.015857895063030297]
17;[0.0244139238053042, 0.014807793311805121, 0.0244139238053042, 0.0244139238053042]
18;[0.022259742308405335, 0.02522359256243569, 0.02522359256243569, 0.0072266802631848395]
19;[0.033010756632846805, 0.029131890480461192, 0.020022035998133764, 0.020022035998133764]
20;[0.012551993204980186, 0.016117078305286383, 0.011077095124657902, 0.007613168719325124]
21;[0.02608879690180489, 0.013964326698001892, 0.009597532025071239, 0.00375844754322867]
22;[0.009151114495368035, 0.003583627926749739, 0.01937290953871862, 0.008075830197359284]
23;[0.027937497615953263, 0.03587245701753717, 0.02465475511204327, 0.00906997753283724]
24;[0.02955776495215184, 0.02301961049057638, 0.013962096208353612, 0.012321506657460186]
25;[0.028722045564213292, 0.02534711624631185, 0.01056625007146349, 0.013567333650837786]
26;[0.012719770071241466, 0.02376365901506424, 0.026927753452127584, 0.02376365901506424]
27;[0.013888775672491622, 0.04847659035624848, 0.0074341259068376655, 0.012256801511666138]
28;[0.04702498533060171, 0.025170660824142432, 0.010492690006142183, 0.01960293036026686]
29;[0.012075814403523023, 0.019909647321284998, 0.012075814403523023, 0.008299577772210973]
30;[0.019597383459971356, 0.019597383459971356, 0.02220674475182395, 0.01346907154439384]
31;[0.01360284534394235, 0.0022206034590038113, 0.00878265705154289, 0.006425529162587211]
32;[0.04231854193431637, 0.022651483208602975, 0.012124465260310748, 0.017640992860588775]
33;[0.011425243528684724, 0.0053969028998713895, 0.02134517012422842, 0.010082742025338962]
34;[0.03774081804642292, 0.01782750436862243, 0.0051076655176563205, 0.0014633706715659219]
35;[0.18534178536918927, 0.019534882785563402, 0.013426115500956048, 0.03649596579304114]
36;[0.006238575056526823, 0.009077073146697787, 0.03590052071475185, 0.010285671394555027]
37;[0.049796767234878615, 0.008653378550362311, 0.0067392579912354655, 0.0067392579912354655]
38;[0.010168161886930373, 0.014794588247931702, 0.011522036912708214, 0.03132015103395411]
39;[0.04879657710180184, 0.029596620101274253, 0.007483195679459723, 0.010887985467521915]
40;[0.04139116391814796, 0.03652757395213684, 0.0031917430802479796, 0.0036167187339697453]
41;[0.004457333017486713, 0.010044755013100329, 0.014615032306004118, 0.006903652428585728]
42;[0.01403102597156213, 0.015899235374616093, 0.026213407549997472, 0.012382336959987594]
43;[0.035808096186557184, 0.013173062414523911, 0.03160053397208798, 0.0037741455710997786]
44;[0.01110059838306177, 0.009796243689887579, 0.018301792671653386, 0.003603836654215111]
45;[0.03911585527694101, 0.0077023667532397115, 0.0025005923709381936, 0.014389915549400443]
46;[0.026287058038105535, 0.007075065689788248, 0.03824744376101393, 0.010294159836501704]
47;[0.01355547394158584, 0.005650762244988865, 0.00601520509845289, 0.00931653190898235]
48;[0.00877193420998956, 0.009939903680453643, 0.02104277625664875, 0.005320447043340786]
49;[0.0056274948280346975, 0.0471184485440131, 0.011913406644437194, 0.008187956660598815]
