id;confidence_per_choice
0;[0.000410824400317579, 0.10052541633499801, 0.8416889557556796, 0.04190522808243019]
1;[0.6582542168846446, 0.05403279970775737, 0.013661627981121877, 0.242158207890022]
2;[0.36444752173832157, 0.600872416958704, 0.006675089202053198, 0.016012706571831965]
3;[0.5120783653171578, 0.3105912102277033, 0.05397265940231423, 0.08898587159284874]
4;[0.08888224994172368, 0.18816372460320094, 0.24160700488914252, 0.45138133707587114]
5;[0.316682264179736, 0.5916403245797625, 0.02945603904475454, 0.007447651230425932]
6;[0.9164614389550692, 0.002916895390531359, 0.03553506895137172, 0.027674739525824662]
7;[0.15850675853738466, 0.011482191076734908, 0.43086606710173647, 0.38023796964608886]
8;[0.4725944962383772, 0.41706317910889507, 0.0724747219413916, 0.012594218232230118]
9;[0.29037667522197236, 0.012758263746820285, 0.6147274629094597, 0.050459899939351294]
10;[0.5420186377154496, 0.2560314754190279, 0.09418871609945184, 0.05712834411328646]
11;[0.40555362130188183, 0.3578998146308767, 0.009537708133745161, 0.19156996604600487]
12;[0.46380072319676463, 0.3187652645486357, 0.15057404914841663, 0.03807108172536969]
13;[0.22141673625827307, 0.6018730906875727, 0.1342960551234849, 0.018174994657696578]
14;[0.03769051615831555, 0.062141155693881726, 0.020174279520518066, 0.85783210430527]
15;[0.024945728465051813, 0.007147069162414854, 0.9360814709734385, 0.00917701845936584]
16;[0.027226403024136984, 0.4825994833743289, 0.014573243376133319, 0.42589254926677117]
17;[0.025077330315717503, 0.07724361536435598, 0.1852978005142509, 0.6467528345086107]
18;[0.00678787646855628, 0.0826932640841881, 0.8890364123118243, 0.005990279958627779]
19;[0.2576305161558662, 0.330804130858514, 0.17706669164331118, 0.2006428477252788]
20;[0.037219182708527025, 0.5822060088420112, 0.18901460601526734, 0.16680480435172107]
21;[0.25216302722705913, 0.6854501951485457, 0.026577790701223673, 0.007614664525846738]
22;[0.0037130399279840655, 0.2603041952110391, 0.48631228939214227, 0.2027251110671291]
23;[0.07874470835785907, 0.31144136307933784, 0.5134799692789538, 0.07874470835785907]
24;[0.0059502449557681785, 0.1534588399998247, 0.6069414860096999, 0.2232812946970132]
25;[0.027401370551698348, 0.7066906396642418, 0.08440216325678762, 0.15768400030302793]
