confidence_per_choice;id
[0, 0, 0, 0];0
[0, 0, 0, 0];1
[0, 4.3465029567715e-06, 0, 0];2
[0, 0, 0, 0];3
[2.241312232299696e-05, 0, 0, 4.457381617407535e-05];4
[0, 0, 0, 0];5
[3.398025199745328e-05, 0, 0, 0];6
[0, 0, 0, 0];7
[0, 0, 0, 0];8
[0, 0, 0, 0];9
[3.2655948105007923e-06, 0, 0, 0];10
[0, 0, 0, 0];11
[0, 0, 0, 0];12
[0, 0, 0, 0];13
[0, 0, 0, 9.413276249178838e-05];14
[0, 0, 0, 0];15
[0, 0, 0, 3.3942066684567334e-05];16
[0, 0, 0, 0];17
[0, 0, 0, 0];18
[0, 0, 0, 0];19
[0, 0.6116510000385903, 0, 0];20
[0, 0, 0, 0];21
[0, 3.264852235495968e-05, 0, 0];22
[0, 0, 0, 0];23
[0, 0, 0, 3.4534771681637347e-06];24
[0, 0, 0, 0];25
[0, 0, 0, 0.00015431066790248967];26
[0, 0.7242561147825445, 0, 0];27
[0, 0, 0, 0];28
[0, 0, 0, 0];29
[0, 0, 0, 0];30
[0, 0, 0, 4.901497636535078e-05];31
[0, 0, 0, 0];32
[0, 0, 0, 0];33
[0, 0, 0, 0];34
[1.6276917501398612e-05, 0, 0, 0];35
[0, 0, 0, 3.441015831981995e-05];36
[0, 0, 0, 0];37
[0, 0, 0, 0];38
[0, 0, 0, 0];39
[0, 0, 0, 0];40
[0, 2.914823522842572e-05, 0, 0];41
[8.550385072026796e-07, 0, 0, 0];42
[0, 0, 0, 0];43
[0, 0, 0, 0];44
[7.426259989964239e-05, 0, 0, 0];45
[0, 0, 0, 0];46
[0, 0, 0, 0];47
[0, 0, 0, 0];48
[0, 0, 0, 6.361128116353233e-05];49
[0, 0, 0, 0];50
[0, 0, 0, 0];51
[0, 0, 0, 5.3966014702233244e-05];52
[0, 1.3654110717579068e-06, 0.6430356694509259, 0];53
[0, 0, 0, 1.4181681395148194e-06];54
[0, 0, 0, 0];55
[0, 0, 0, 0];56
[0, 0, 0, 0];57
[0, 0, 0, 1.4618710993902931e-05];58
[0, 0, 0, 0];59
[0, 0, 0, 0];60
[1.547048192363312e-06, 0, 0, 0];61
[0, 0, 0, 0];62
[0, 0, 0, 0];63
[0, 0, 0, 0];64
[0, 0, 0, 0];65
[0, 0, 0, 0];66
[0, 0, 0, 0];67
[0, 3.085811440145519e-06, 0, 0];68
[0, 0, 0, 0];69
[0, 0, 0, 0];70
[0, 0, 0, 0];71
[0, 0, 0, 0];72
[0, 0, 0, 1.260761015620304e-05];73
[0, 0, 0, 8.908805210304453e-06];74
[0, 0, 0, 0.17545466910741947];75
