id;confidence_per_choice
0;[0, 9.930588178657566e-08, 2.6727815490188803e-08, 4.0062890282821684e-05]
1;[4.700781594170512e-07, 2.106744149264033e-06, 0, 0.06751760775870687]
2;[0.05228238249324455, 0.0017890043232376995, 0, 0]
3;[0, 0.00043048135856167083, 4.9906901513672255e-08, 6.408173001168709e-08]
4;[0, 0, 0, 5.8286769899830206e-05]
5;[0, 0.000329742797487608, 0, 0]
6;[3.7266389560521204e-06, 0, 0, 0]
7;[0, 0, 5.714969584801392e-07, 1.27518207870014e-07]
8;[1.8514426435734532e-07, 0.001500239512796773, 0, 0]
9;[0, 0, 2.11724701130684e-05, 8.652696362123979e-08]
10;[3.650466114319306e-08, 9.825096258286527e-09, 1.6360238483837606e-07, 0]
11;[0, 2.7043392057684396e-06, 0, 0.00027585009834464646]
12;[0.0008072060831127238, 0.0009146843243853151, 0.00010924341179704675, 0]
13;[0, 0.0051541089645146115, 0, 0]
14;[0, 0, 0, 0.46865852541251984]
15;[0, 0, 0.00018369743381432157, 0]
16;[0, 5.6860102511660105e-05, 0, 8.273096098877628e-05]
17;[0, 0, 0, 0.0007956667403274923]
18;[0, 2.73923408110853e-05, 0.0019203513477021412, 0]
19;[0, 0, 6.516121097636687e-07, 0.00010294492970950171]
20;[0, 0.0001583892570324276, 8.673842503783402e-09, 4.361481913248825e-09]
21;[0, 8.479575109275684e-05, 0, 0]
22;[0, 0, 0.001643491164512603, 8.101733224087551e-06]
23;[0, 6.465110532477382e-05, 3.460524299147013e-05, 0]
24;[0, 0, 0, 0.001500991555039366]
25;[3.150162598028695e-06, 1.4880314470044935e-06, 0, 1.4118049285372966e-05]
26;[0, 0, 0, 0.007518221421684614]
27;[0, 0.10604201988671352, 2.026897081569838e-05, 0.0036285583824916057]
28;[5.828060011430227e-05, 1.7425583881519654e-07, 0, 7.887421523668859e-06]
29;[0, 0.0008002643044211834, 0, 0]
30;[0, 0, 0, 0.04840882861789605]
31;[0, 0, 0, 0.00017251182302850332]
32;[2.9021847862660946e-06, 0, 0, 1.3573698872692222e-07]
33;[0, 0, 0.00010804680831573568, 0.00015720717847629388]
34;[2.5612790004194033e-06, 0, 0, 0]
35;[3.535615209451749e-05, 0, 0, 2.8171555057330085e-09]
36;[0, 0, 8.481063202385453e-05, 6.023033876489121e-08]
37;[9.786022800591175e-06, 0, 0, 0]
38;[3.431343454251132e-08, 1.3706453346588027e-06, 0.00015842506034706541, 0]
39;[7.336032055583556e-07, 1.8548393797444095e-07, 0, 0]
40;[1.7606124778991603e-05, 1.4595990100101506e-05, 0, 0]
41;[0, 1.553497204890439e-06, 0, 2.9989551047989332e-09]
42;[0, 2.635604715598147e-07, 0, 0]
43;[0, 0, 0.010986449130597662, 0]
44;[7.576207269190533e-08, 1.6038846210565828e-07, 4.055251525662883e-08, 0]
45;[0.0026999418802322183, 0, 0, 0.0009932531100952018]
46;[4.40590699776937e-08, 0, 0.0002034208341374839, 0]
47;[0.00010248091918890625, 0, 0, 0.0005897369718040069]
48;[0, 0.003133219711284045, 0.00012148817019783562, 0]
49;[0, 0.4378224304772368, 0, 0]
