id;confidence_per_choice
0;[0.018523551346236452, 0.19914696851651773, 0.12078872779495525, 0.3283378429886315]
1;[0.5586957215149222, 0.011595357699499438, 0.007032939955081358, 0.058886099323589035]
2;[0.2769200661336753, 0.130807777024378, 0.013787041552117161, 0.03307338547096114]
3;[0.23011915168464406, 0.15815842579732936, 0.06593023294755151, 0.15815842579732936]
4;[0.060627329238099034, 0.011938228963430294, 0.060627329238099034, 0.5076264732033317]
5;[0.1633440116889958, 0.18509301416311516, 0.0283849330502124, 0.09907315116983471]
6;[0.5666831794183056, 0.0055555657433447115, 0.03622683932345317, 0.06768064611658806]
7;[0.14860519427941368, 0.029262097749604064, 0.1311436236595646, 0.27763105346594463]
8;[0.17770722969051359, 0.2929896895479431, 0.0839429614928438, 0.057693097463994966]
9;[0.14096165473081798, 0.014857245559341673, 0.38317350456430055, 0.058761560088313354]
10;[0.20646875177152313, 0.11051475901775827, 0.1419037594979224, 0.16079802555943773]
11;[0.17107277188741538, 0.11757648201127421, 0.029727990187874618, 0.1037608811917429]
12;[0.16362539228809175, 0.07729116249602212, 0.16362539228809175, 0.21009916251341218]
13;[0.13975101762670214, 0.3798826517233242, 0.04003933691614314, 0.051411526267651574]
14;[0.08400378471794644, 0.05095087096333409, 0.05095087096333409, 0.293202018390425]
15;[0.15151770829476296, 0.01409334560352272, 0.22045696473150514, 0.08110158498777847]
16;[0.031104375738525123, 0.22983197725417961, 0.014692670245773512, 0.2951101003619655]
17;[0.06826338660592941, 0.04691669374821854, 0.05316357894380388, 0.3466700820819357]
18;[0.0628817962046354, 0.28181665877354006, 0.09149247361351591, 0.10367455494241297]
19;[0.07216969446445917, 0.05620581456294484, 0.15278322616701082, 0.2518969547877391]
20;[0.043896391663244626, 0.17361361758385846, 0.15321347976426153, 0.25260632304532166]
21;[0.05854112335732033, 0.38173609926726204, 0.011527433416979286, 0.01900552013988356]
22;[0.047118661988854026, 0.053392438943248605, 0.23928831005064974, 0.1644602900378216]
23;[0.040787779340700714, 0.3013832256269202, 0.20713745978082287, 0.059345868762061174]
24;[0.031917188313302716, 0.01935875328383985, 0.03616691256346156, 0.38883095386944583]
25;[0.12468193701272083, 0.16009479521097925, 0.04047829848619817, 0.23293655255703397]
26;[0.009350217706308287, 0.013604486487489648, 0.06097107839854425, 0.5784775199832395]
27;[0.06621982935096461, 0.12371492848679126, 0.058438794291906744, 0.33629204201475493]
28;[0.35781219148450866, 0.11616459696844413, 0.012243658442015509, 0.09046907908419843]
29;[0.04208003426756596, 0.3992442967092064, 0.06937824756872628, 0.12961563055400477]
30;[0.17263982197806685, 0.043650177605230836, 0.08154926785217104, 0.17263982197806685]
31;[0.2464334023404455, 0.013902822862174601, 0.09065779314623076, 0.21747671425882653]
32;[0.32237804546824106, 0.10466081540688453, 0.033978391957581844, 0.10466081540688453]
33;[0.03615492876847062, 0.01935233882061392, 0.12619310100456596, 0.388702115931479]
34;[0.3564815894517535, 0.0258234397270688, 0.006529188062880309, 0.015662707933708466]
35;[0.5598788533119534, 0.0054888597940449205, 0.01161991627517774, 0.0217088616068017]
36;[0.03363670062989487, 0.15074921560452537, 0.1708212404633054, 0.24854343830854067]
37;[0.38580017230707264, 0.02794727074569669, 0.013201359088113455, 0.05221237559191166]
38;[0.02531068972203807, 0.21192378513313576, 0.04728659375301893, 0.3494032523162845]
39;[0.02748077635444923, 0.5519661810448998, 0.05817680399889821, 0.05134084933129878]
40;[0.3239685189835742, 0.03414602661280053, 0.012561621188542257, 0.05629728038641688]
41;[0.011852438262027877, 0.3924989200438206, 0.09923927421280061, 0.14439229197256637]
42;[0.11687811825760848, 0.10314457734225553, 0.19269943965072409, 0.15007447449740485]
43;[0.025653366873039277, 0.012117789586911587, 0.45471678086484235, 0.03732542855632312]
44;[0.3473283729509959, 0.01729246145021018, 0.02220396001916283, 0.09951124493610543]
45;[0.235519970658436, 0.013287127520591873, 0.009132100290831268, 0.34267953527915507]
46;[0.09225557731267323, 0.0110183574376124, 0.28416718364515614, 0.22130962514604333]
47;[0.25431148070407306, 0.05674456141708414, 0.05007689968909809, 0.1747855541613666]
48;[0.10721550037105511, 0.3742189112612275, 0.0348077767345231, 0.0348077767345231]
49;[0.01204336457517097, 0.2741057143039874, 0.01546398621695629, 0.2741057143039874]
50;[0.06236207776880351, 0.015767602536608444, 0.35886897960963415, 0.08007449289260127]
51;[0.33448141718477586, 0.03994811324662265, 0.04526714272834886, 0.15799783399150177]
52;[0.16169315205670756, 0.05948358641987063, 0.04632586368369083, 0.26658693912244397]
53;[0.02570395517264904, 0.5162777099196525, 0.061660583020905574, 0.02570395517264904]
54;[0.14489321088211782, 0.11284293264479693, 0.07755573779410074, 0.21081837786994598]
55;[0.279974902147545, 0.19242374857655922, 0.048652342813331396, 0.1029970105440681]
56;[0.19644489142975063, 0.030125803403340385, 0.22260122483650258, 0.05628241042268856]
57;[0.09334047535291404, 0.07269363529710662, 0.3257902707941841, 0.03891009907336778]
58;[0.04121888526294027, 0.20932677161065738, 0.08726038078640048, 0.23719830743608925]
59;[0.041901421690053606, 0.03697787485536329, 0.21279297759567858, 0.2732315917255164]
60;[0.040036062730239665, 0.23039160625934915, 0.23039160625934915, 0.06600830821843079]
61;[0.3371223090145327, 0.06638332653026634, 0.03135726311258305, 0.14053348661448034]
62;[0.1589243497485469, 0.05159518841981248, 0.20406290440770633, 0.12377042278786546]
63;[0.17854479290056685, 0.10829290393575569, 0.031026436443513765, 0.2943705978279138]
64;[0.07027211268206374, 0.007406626185013471, 0.40438803948196644, 0.062014921779996915]
65;[0.015274026243242944, 0.1449159434288223, 0.2389259983946758, 0.053311589930190355]
66;[0.04194387103657038, 0.2413702837355054, 0.12919621827568908, 0.18797936598337878]
67;[0.13149848394582508, 0.13149848394582508, 0.11604700477676078, 0.19132916517648488]
