confidence_per_choice;id
[5.815334824920336e-05, 3.4923800161060953e-06, 0.9975759282962553, 3.112724425703091e-05];('easy', 451)
[0.0012355983973888333, 0, 0, 0];('easy', 452)
[0.0006350127246348641, 0.0003398978181157935, 0.0001936678465778467, 0];('easy', 453)
[0.00015358788681624216, 0, 0, 0];('easy', 454)
[0, 0.0003071117722623153, 0, 0];('easy', 455)
[0.0038748238271301473, 0, 0, 0];('easy', 456)
[0.0004163278154877183, 0, 0.00020934277241488414, 0];('easy', 457)
[0.00017905609310983126, 0, 5.460902303122157e-05, 0.00022991257456583014];('easy', 458)
[0.0033290220576965854, 0, 0, 0];('easy', 459)
[2.0140929125605653e-05, 2.560631786316057e-06, 3.3206778261049776e-05, 0.999743884839861];('easy', 460)
[0.00010233335033948294, 0, 0, 0];('easy', 461)
[0.0006653613365349801, 0, 0.001096995388246688, 0];('easy', 462)
[0.0038743693294317617, 0, 0.0005243388705618927, 0];('easy', 463)
[0.0001773226038748348, 0, 0.000701324168615522, 0];('easy', 464)
[0.0016071476835967748, 0, 0, 0];('easy', 465)
[0, 0, 0, 0];('easy', 466)
[6.586100511297984e-05, 5.406200514067541e-06, 0.9970403548980634, 4.8184940678790726e-05];('easy', 467)
[0.000239227934990478, 0, 0, 0];('easy', 468)
[0.000860670874997576, 0, 0, 0];('easy', 469)
[0.0001756197976354035, 0, 0, 0];('easy', 470)
[1.2216603648113603e-05, 2.7258927284734803e-06, 2.405591889655718e-06, 0.9997854693149376];('easy', 471)
[0, 0, 0, 0];('easy', 472)
[0, 0, 0.0002648148225114566, 0];('easy', 473)
[7.401234448716809e-06, 2.257248974049323e-06, 2.4267713484261594e-05, 0.9986370330359218];('easy', 474)
[0, 0, 0.00012731935916437967, 0];('easy', 475)
[0.00043887996155292673, 0, 0.00038731020667690414, 0];('easy', 476)
[0.0023017321246073864, 0, 0, 0];('easy', 477)
[9.017366325230564e-05, 1.890142663881176e-05, 0.9987273935372221, 6.197539198261713e-05];('easy', 478)
[0.00011379348819441995, 0, 0, 0.00022630537376671313];('easy', 479)
[0, 0, 6.974190310511383e-05, 0];('easy', 480)
[0.00026061826590059685, 0, 0.00026061826590059685, 0];('easy', 481)
[0.00016248419709488293, 0, 0.0006037023178675796, 0];('easy', 482)
[0.00019672217395007202, 0, 0.00025259627137795955, 0];('easy', 483)
[0, 0, 0, 0];('easy', 484)
[0, 0, 0.00021609165926406477, 0];('easy', 485)
[0.0005402745031145017, 0, 0, 0];('easy', 486)
[0.9996028332300226, 6.473377317020646e-07, 7.408388029574908e-06, 6.959536489373655e-06];('easy', 487)
[0.00916778986213181, 0, 0, 0];('easy', 488)
[0.0001885615565739152, 0, 0, 0];('easy', 489)
[0.0009084949423450022, 0, 0, 0];('easy', 490)
[0.0001864804868822428, 0, 0.00042024026432559055, 0];('easy', 491)
[0.000129397874876008, 9.466950761176944e-05, 0, 0];('easy', 492)
[9.176558409961846e-05, 0, 5.2286453721363676e-05, 0];('easy', 493)
[0.00015200424122600794, 0, 0, 0];('easy', 494)
[0, 0, 0, 0];('easy', 495)
[3.28791316080852e-06, 0.9997420976256268, 5.770467304558048e-06, 8.395980386466994e-06];('easy', 496)
[0, 0, 0, 0];('easy', 497)
[1.5670072163227146e-05, 2.4030833970493356e-06, 3.116365966206827e-05, 0.9987428514934904];('easy', 498)
[2.5862944760214763e-05, 1.6533627430277543e-06, 2.282396864260602e-05, 0.999800364305984];('easy', 499)
[0.0006305591219995397, 0, 0.0010396162368746383, 0];('easy', 500)
[0.00033437314663832177, 0, 0, 0];('easy', 501)
[0, 0, 8.109065303441568e-05, 0];('easy', 502)
[0.999303349748821, 1.0669599346028004e-06, 2.58500729251383e-05, 1.99334358456383e-06];('easy', 503)
[0.001232650720264639, 0, 0, 0];('easy', 504)
[0.0002049732738974, 0, 0, 0];('easy', 505)
[0, 0, 0, 0];('easy', 506)
[0, 0, 0, 0.00010850217808501909];('easy', 507)
[0.00025853217143115064, 0, 0, 0];('easy', 508)
[2.4038925241341403e-06, 6.077992141601278e-07, 2.427845444226099e-05, 0.9990792415330009];('easy', 509)
[0.0006103966783456934, 0, 0.0014642655112030655, 0];('easy', 510)
[0, 0, 0, 0];('easy', 511)
[9.585544003111727e-05, 9.004785250696533e-05, 0, 0];('easy', 512)
[0.0041060585129103514, 0, 0, 0];('easy', 513)
[0.00013470978316468195, 0, 0, 0];('easy', 514)
[0, 0, 0.00014473173624249112, 0];('easy', 515)
[1.75987799008198e-06, 0.9997341147899055, 2.2822445029174166e-05, 7.88722595327893e-06];('easy', 516)
[0.00027027640326769215, 0, 0.001068963401597152, 0];('easy', 517)
[0.0008321098799173775, 0, 8.239003534383376e-05, 0];('easy', 518)
[4.2631801037505965e-05, 4.783155513690134e-06, 0.9995899690304098, 7.028795717879189e-05];('easy', 519)
[0.0001678891894566549, 0, 0, 0];('easy', 520)
[0, 0, 0, 0];('easy', 521)
[7.833930528468922e-05, 0, 0, 0];('easy', 522)
[0.0003216803738556017, 0, 0.0008744179148235942, 0];('easy', 523)
[0.0017053859455173094, 0, 0.00015862567826793655, 0];('easy', 524)
[0.006693856630774511, 0, 0.0004849013479554187, 0];('easy', 525)
[0.00010062918994384674, 0, 0, 0];('easy', 526)
[0.0001929910128418284, 0, 0.00021868746765751787, 0];('easy', 527)
[0.0005599904713675558, 0, 0, 0];('easy', 528)
[0.000987107563234387, 0.00111853940828961, 0.0004963488536481971, 0];('easy', 529)
[0.00010463460791189659, 0, 8.148951457815448e-05, 0];('easy', 530)
[0, 0, 8.26713353009013e-05, 0];('easy', 531)
[0, 0, 0, 0];('easy', 532)
[5.533061948560762e-05, 0, 0.00017043030640064092, 0];('easy', 533)
[1.3000514038634266e-05, 5.091074447219894e-06, 0.9994787312391035, 2.2816612706382805e-05];('easy', 534)
[0.0003847620467444084, 0, 0.00026444282961310276, 0.0003189789403218029];('easy', 535)
[0, 0, 0, 0.00015014095507071487];('easy', 536)
[0, 0, 0, 0];('easy', 537)
[0.00011628246350682764, 0, 0, 0];('easy', 538)
[0.0014270118151234485, 0, 0, 0];('easy', 539)
[1.4731414028825296e-05, 2.2591355099694174e-06, 2.013545562173835e-05, 0.9994718243352931];('easy', 540)
[3.759926131780545e-05, 2.723681354529156e-06, 0.9989747794379994, 2.0125434324227358e-05];('easy', 541)
[0.00032880293902662095, 0, 0.0006142847616283181, 0];('easy', 542)
[7.844920627147526e-05, 0, 0, 0];('easy', 543)
[0.001432739759700763, 0, 0, 0];('easy', 544)
[0, 0, 0, 0];('easy', 545)
[0.001051308291802548, 0, 0.002521957487547885, 0];('easy', 546)
[7.588533423985123e-05, 0, 5.5518896537714896e-05, 0];('easy', 547)
[0.003867442075125183, 0, 0.0004076253957561218, 0.0001243186625148714];('easy', 548)
[0.00012026314253607171, 1.3493150636752132e-05, 1.963241833262447e-05, 0.9745024825759252];('easy', 549)
[0, 0, 0, 0];('easy', 550)
[0.00012492800562480163, 0, 0, 0.0004096233558476475];('easy', 150)
[6.140334537236941e-06, 1.9934747579196633e-06, 6.536352090790682e-06, 0.999368708742345];('easy', 151)
[0.9999423060344126, 3.4661290734910046e-07, 1.7777850659841523e-05, 2.260200073595224e-06];('easy', 152)
[0.0018238039383883453, 0, 0, 0];('easy', 153)
[0, 0, 0, 0];('easy', 154)
[0, 0, 0, 0];('easy', 155)
[5.4294799169794244e-05, 0, 0, 0];('easy', 156)
[0.00018365083984294095, 0, 0, 0];('easy', 157)
[0.00015786476930089305, 0.00011549633248058939, 0, 0];('easy', 158)
[0, 0, 0, 0];('easy', 159)
[0.003819296857760055, 0, 0.0003135069773134951, 0];('easy', 160)
[0, 0, 0, 0];('easy', 161)
[7.393051269966067e-06, 0.9975334597818063, 3.313335707305587e-05, 2.1392503169827697e-05];('easy', 162)
[0.00014289762251141772, 0, 0, 0];('easy', 163)
[0.0003538430230867319, 0, 0.0002933461694038804, 0];('easy', 164)
[0.0004857805449575319, 0, 0.00262610481486766, 0];('easy', 165)
[0.0003495089061819933, 0, 0.00044877831889641073, 0];('easy', 166)
[0, 0.00014547914296034921, 0, 0];('easy', 167)
[8.750472982870232e-05, 0, 7.254396900650327e-05, 0];('easy', 168)
[0.000126746692903535, 0, 0.0002089699685809551, 0.00014362281899497675];('easy', 169)
[0.9987831635729709, 0, 1.9923059084325787e-06, 6.885224982587678e-07];('easy', 170)
[5.826920718216398e-05, 1.2213889345648105e-05, 0.9995629314452078, 0.00010226564342244137];('easy', 171)
[0.0008213933930779596, 0, 0, 0];('easy', 172)
[0.0045852481145450385, 0, 0.0002753656840411481, 0];('easy', 173)
[0.00020914222548710026, 0, 0, 0];('easy', 174)
[0, 0, 0, 0.00014979055992651877];('easy', 175)
[0, 0, 0.0010151075072427455, 0];('easy', 176)
[3.7628388843553926e-05, 0.999748412508168, 7.409469082419009e-06, 6.960552044536995e-06];('easy', 177)
[0.001453679902093003, 0, 0, 0];('easy', 178)
[0, 0, 0, 0];('easy', 179)
[1.1467258049797803e-05, 1.2865906959816946e-06, 4.535388538847891e-05, 0.99898596217222];('easy', 180)
[0.0007826773079566532, 0, 0.0015565396889251947, 0.004794479775837016];('easy', 181)
[0, 0, 0.0001267418579931257, 0];('easy', 182)
[7.410274675331073e-06, 1.209694086799011e-06, 8.938497469902577e-06, 0.9998572076678064];('easy', 183)
[0, 0, 0, 0];('easy', 184)
[0, 0, 0, 0];('easy', 185)
[0.0008961090674856479, 0, 9.444920083584264e-05, 0];('easy', 186)
[0.00041854062856913404, 0, 0, 0];('easy', 187)
[0.00028328343782753904, 0, 0.00014244385805585441, 0.0006383887773781464];('easy', 188)
[0, 0, 8.676035976000208e-05, 0];('easy', 189)
[7.72420978319003e-05, 6.403594825198452e-05, 0, 0];('easy', 190)
[6.133481130019611e-06, 1.368564626808648e-06, 0.9982533023019292, 5.1355008747017175e-05];('easy', 191)
[0.00032734369198984326, 0.00037092899819947454, 0.00014525788279250246, 0];('easy', 192)
[0, 0, 7.651603910439649e-05, 0];('easy', 193)
[0, 0, 0.0012786967653815736, 0];('easy', 194)
[2.7500469313613373e-05, 3.961818236326374e-06, 0.9986932686591566, 0.0001232485527519884];('easy', 195)
[0, 0, 0, 0];('easy', 196)
[0.0001312709924258512, 3.7238714183082255e-06, 0.9992533540413328, 0.00023038776658079022];('easy', 197)
[7.887015344435935e-06, 1.2875198616346772e-06, 2.752838846284544e-05, 0.9997068311164607];('easy', 198)
[2.7503354378978515e-05, 6.953937004455631e-06, 0.9987977909069383, 6.597711732095335e-05];('easy', 199)
[0.00023315086040659512, 0.0001247966626016658, 0, 0];('easy', 200)
[0.0006011007219480768, 0, 0, 0];('easy', 201)
[0.005397474234643887, 0, 0.00020928268794666077, 0];('easy', 202)
[0.9998562542610705, 4.450211602345653e-07, 7.88818880818261e-06, 2.123077215808762e-06];('easy', 203)
[4.3623685204821524e-05, 0, 0, 0];('easy', 204)
[0.0017231969388189323, 0, 0, 0];('easy', 205)
[0.0004632312165550933, 0.00020555760629190886, 0.00038403216697430306, 0];('easy', 206)
[0.00011571054434178304, 6.527942211644046e-06, 0.0013242364238292867, 0.9980826256686111];('easy', 207)
[9.922121338542296e-05, 0, 0, 0.00011968362896975109];('easy', 208)
[0.000142978594452572, 0, 0, 9.23139188190343e-05];('easy', 209)
[0.0008195413142572813, 0.0017349689758974379, 0, 0];('easy', 210)
[0.00016304517789007835, 0, 0, 0];('easy', 211)
[0.0032915276708083982, 0, 0, 0];('easy', 212)
[0, 0, 9.480204675290749e-05, 0];('easy', 213)
[0, 0, 0, 0.00014185753822987019];('easy', 214)
[0.00025382806833995267, 0, 0, 0];('easy', 215)
[0.003247950545569919, 0, 0.00023528063618977275, 0];('easy', 216)
[0.00013916047247412503, 0, 0, 0];('easy', 217)
[0, 0, 0, 0];('easy', 218)
[0.00019488901215095544, 0.00010431657104657526, 0.00012582980351225192, 0];('easy', 219)
[0.00021110442244385007, 0, 0.00023921264972781453, 0.00032696492565669453];('easy', 220)
[0.0001893277304357252, 0, 0.000228372835505793, 0];('easy', 221)
[0, 0, 0.0002085230427251496, 0];('easy', 222)
[0.003685938887335324, 0, 0.0007258044010054817, 0];('easy', 223)
[0.007462190289227279, 0, 0.00047704186510776254, 0];('easy', 224)
[0.00012505316594136985, 0, 0, 0];('easy', 225)
[0, 0, 0, 0];('easy', 226)
[0.00015084794655374146, 0, 0.00028182106633597943, 0];('easy', 227)
[0.0010807339974049717, 0, 0.00022653426035733427, 0];('easy', 228)
[0, 0, 0, 0];('easy', 229)
[0.0003939555394439992, 0, 0.0006101702758056203, 0];('easy', 230)
[7.140279811784654e-05, 0, 0.0002492202535536953, 0];('easy', 231)
[0.0004104715467319724, 0, 0, 0];('easy', 232)
[0.00044463473760758375, 0, 0.00014435183346983612, 0];('easy', 233)
[0, 0, 0, 0];('easy', 234)
[0.00014949514919011193, 0, 9.067339146211715e-05, 0.0005217895899590204];('easy', 235)
[0.0006576177951086203, 0, 0, 0];('easy', 236)
[0.00011516757521680545, 6.562050632444245e-05, 0, 0];('easy', 237)
[0.00047650306266561567, 0, 0, 0];('easy', 238)
[0.0018429439552406443, 0, 0.0009864568141625452, 0];('easy', 239)
[0.00019963666920713567, 0, 0.0011488291630436897, 0];('easy', 240)
[0, 0, 0, 0.00039552534981990257];('easy', 241)
[0.001002105446124039, 0, 0.00013562022438414894, 0];('easy', 242)
[9.379448248939738e-05, 0, 0.00012043449946145956, 0.0001282018573392696];('easy', 243)
[0.00011109779838412682, 0, 0, 0];('easy', 244)
[0, 0, 0, 0];('easy', 245)
[0.0003320169692519125, 0, 0.001088641730990597, 0];('easy', 246)
[4.515906173604781e-05, 0, 0, 5.117192094815189e-05];('easy', 247)
[0.0008465956106669371, 0, 0, 0];('easy', 248)
[0.00015809422594741525, 1.2190917679864875e-05, 0.997683776504692, 0.0001682904275079316];('easy', 249)
[0.0005350819787863374, 0, 0.00018491938373914706, 0];('easy', 250)
[0, 0, 0.00010287358054122092, 0];('easy', 251)
[0, 0, 0, 0.0003825858623504865];('easy', 252)
[4.749525653095392e-05, 0, 0, 0];('easy', 253)
[0, 0, 0, 4.034077354311651e-05];('easy', 254)
[0.00043263652299114504, 0, 0, 0];('easy', 255)
[0.00031991695485188875, 0, 0.00036251340250026745, 0.0004954970727213733];('easy', 256)
