id;confidence_per_choice
('easy', 0);[0.004485545511414174, 0.96860819353681, 0.008380102268577782, 0.006526430208986832]
('easy', 1);[0.2166116805076036, 0.3571322851349864, 0.31516813544458405, 0.10232011280481476]
('easy', 2);[0.019630402923300098, 0.011906444074211155, 0.011906444074211155, 0.9458457954802734]
('easy', 3);[0.9209040504623504, 0.013135991566505908, 0.045849115653432033, 0.014885028523085046]
('easy', 4);[0.002149540126833012, 0.0005434888568345423, 0.9826510458765071, 0.007502632243473237]
('easy', 5);[0.0040002704841826525, 0.0058203592106363545, 0.9788340729743557, 0.007473489160709679]
('easy', 6);[0.9858382398837572, 0.004028894923828441, 0.003137706521589998, 0.0014821476131164676]
('easy', 7);[0.012237424798403673, 0.0039729101549140075, 0.9721392435930795, 0.00578055016644935]
('easy', 8);[0.003991286829954436, 0.9766356739084057, 0.009574599367513953, 0.003522298264761478]
('easy', 9);[0.05889302122366625, 0.03572042301526041, 0.8129929836074029, 0.08568884026136192]
('easy', 10);[0.9480192432241368, 0.010531542373464868, 0.01736357792441124, 0.019675511464751893]
('easy', 11);[0.9673743553599332, 0.01563614986634474, 0.008369427913996705, 0.004479831941132589]
('easy', 12);[0.00729387663173372, 0.9553091659957235, 0.00936552298133087, 0.017497100449109973]
('easy', 13);[0.0950859615604456, 0.7025955460688527, 0.050895847616945905, 0.13834925772116466]
('easy', 14);[0.88689990805333, 0.03034804281882686, 0.034388837773759465, 0.04415614175185864]
('easy', 15);[0.45722105178880396, 0.45722105178880396, 0.04252818512337521, 0.03753099164392289]
('easy', 16);[0.04956691398689805, 0.05616667190754996, 0.2852378618673445, 0.6038485583117321]
('easy', 17);[0.9813987638395595, 0.004010752430332845, 0.005835610352293376, 0.005835610352293376]
('easy', 18);[0.035402430332473075, 0.91304069856386, 0.018949555432803567, 0.024331710810653058]
('easy', 19);[0.9869214157108146, 0.002772058768557679, 0.0035593939153801815, 0.0021588815396726747]
('easy', 20);[0.018876105651981154, 0.05814249867118922, 0.9095016086718974, 0.010103648867256924]
('easy', 21);[0.028359376964060885, 0.7313979063508733, 0.08735303074951822, 0.14402078268823684]
('easy', 22);[0.045938533162133956, 0.9227002002702487, 0.011615080156576892, 0.011615080156576892]
('easy', 23);[0.0288050587547721, 0.0038983398557875925, 0.002679287187966357, 0.9538925109327524]
('easy', 24);[0.9576703419819055, 0.015479301811796803, 0.010638758178417614, 0.012055292372425967]
('easy', 25);[0.9896061138797866, 0.0019103888795088473, 0.0019103888795088473, 0.0019103888795088473]
('easy', 26);[0.7704192142446502, 0.06323986579518165, 0.1181476236204044, 0.04346408175320827]
('easy', 27);[0.028091679843536357, 0.010334351482407226, 0.021877822259937316, 0.9302687228148868]
('easy', 28);[0.8405869475260991, 0.02240088538708809, 0.11376108279947725, 0.019768711969257766]
('easy', 29);[0.014555950475054006, 0.9005446869334702, 0.0508052592297681, 0.023998705163479177]
('easy', 30);[0.9336320115241482, 0.021956920697243094, 0.01710006295587646, 0.021956920697243094]
('easy', 31);[0.7724427622027172, 0.04938061663553516, 0.0922551374048489, 0.08141487300729541]
('easy', 32);[0.03592263632782827, 0.01029201007759305, 0.9264570361296126, 0.021788180310534696]
('easy', 33);[0.9329236693611505, 0.03617338028963201, 0.017087094948403242, 0.007122960910629813]
('easy', 34);[0.8974664379656826, 0.008798451232936202, 0.057373109029022436, 0.030709612297450326]
('easy', 35);[0.34428983790965884, 0.1842850704640956, 0.30383471554662633, 0.16263100387714827]
('easy', 36);[0.005140558009805855, 0.9796170799773088, 0.0031179060409786074, 0.0035330504071426215]
('easy', 37);[0.8076991228630274, 0.09646591089722739, 0.040212974446745244, 0.05163448127023556]
('easy', 38);[0.04366503093982365, 0.09243887122499961, 0.17269854747570332, 0.6830360255594079]
('easy', 39);[0.09143967835503922, 0.033638777774148254, 0.67565297344164, 0.1935778236729491]
('easy', 40);[0.02247408270944524, 0.0023687508903147314, 0.004425409274994474, 0.9556223742840152]
('easy', 41);[0.039293721888973225, 0.8943210479961429, 0.018561039953058436, 0.039293721888973225]
('easy', 42);[0.9836531699487158, 0.002151732652793542, 0.003547607393520726, 0.005161738300008711]
('easy', 43);[0.9589491378962017, 0.009401205774344213, 0.017563764682907042, 0.01065296178016106]
('easy', 44);[0.0044481967028698974, 0.960543067391539, 0.007333836520279777, 0.013701410431481492]
('easy', 45);[0.013778813143052557, 0.0018647595793793792, 0.005743863875585665, 0.9659692115099238]
('easy', 46);[0.008428890363493792, 0.0016597469215880508, 0.002736460053601277, 0.974247492486535]
('easy', 47);[0.05792318279336331, 0.014645274125198424, 0.9060709719910846, 0.016595269719708212]
('easy', 48);[0.004567295700651923, 0.0008993538475682832, 0.9862610666981367, 0.0021574377254658062]
('easy', 49);[0.0014775172132348948, 0.9827583401993081, 0.0045510734147725385, 0.0018971696553872464]
('easy', 50);[0.9360148334269403, 0.03629323341446518, 0.01039818546681081, 0.011782687776418624]
('easy', 51);[0.9804089036036434, 0.006605944165057045, 0.004540194600935487, 0.004540194600935487]
('easy', 52);[0.00748442683241262, 0.0007888527844263008, 0.002753366760596503, 0.9802663826527013]
('easy', 53);[0.14796401866768907, 0.08974471385624587, 0.1676651988628429, 0.5852090460623628]
('easy', 54);[0.04067790387851938, 0.009076467206916464, 0.9258247214306837, 0.019214881227826552]
('easy', 55);[0.025505828708378257, 0.0044322494923569634, 0.0026882952086102535, 0.9570992075892376]
('easy', 56);[0.05665508386653453, 0.02676196666128799, 0.018393212765664666, 0.8862345552623856]
('easy', 57);[0.01948504158875388, 0.017195484749083795, 0.01042958870894032, 0.9388418241011058]
('easy', 58);[0.031063230116115878, 0.9078006317842484, 0.031063230116115878, 0.02419206793915829]
('easy', 59);[0.20488275848500964, 0.021594483870415748, 0.7151111144954804, 0.05180247384271133]
('easy', 60);[0.3085217900901734, 0.06884050822567207, 0.3085217900901734, 0.3085217900901734]
('easy', 61);[0.34897008914670113, 0.05351629007132478, 0.44808646412815123, 0.14547237616908296]
('easy', 62);[0.9373423962785404, 0.0133704691013659, 0.011799397568058445, 0.03207409564307652]
('easy', 63);[0.061033065037398054, 0.8425354364475495, 0.0691595232330546, 0.022452809858938293]
('easy', 64);[0.014886646894568978, 0.921004450035321, 0.027811924511378174, 0.027811924511378174]
('easy', 65);[0.021375456379499242, 0.9089075809046755, 0.02422156533002699, 0.03524216960380315]
('easy', 66);[0.02134108906813807, 0.001751783684448342, 0.25998771968037643, 0.7067198729677776]
('easy', 67);[0.07757352791529346, 0.8339941085001421, 0.04705072306269933, 0.03233745752035638]
('easy', 68);[0.04559100312489298, 0.031334207657064655, 0.7131632791135736, 0.20432470041058146]
('easy', 69);[0.02534237880191081, 0.272456248665885, 0.6535885246546347, 0.041782518980850385]
('easy', 70);[0.9860450876575286, 0.005863237551723833, 0.0011545399284300774, 0.0016798456836996751]
('easy', 71);[0.0363030299110455, 0.005567249948378828, 0.9362674465512094, 0.015133354369167728]
('easy', 72);[0.03630177491180149, 0.0033765902458197496, 0.011785457984731311, 0.9362350517933372]
('easy', 73);[0.9845513635421126, 0.0031336111730592437, 0.0027654021541292633, 0.005166451395126355]
('easy', 74);[0.9720413521099615, 0.005779968599291243, 0.012236193620720301, 0.005779968599291243]
('easy', 75);[0.9824043153996058, 0.005841590516171019, 0.004014862532851362, 0.004014862532851362]
('easy', 76);[0.0024057664822420086, 0.9705552469967269, 0.005771133777304489, 0.00951499101469789]
('easy', 77);[0.012128911968722953, 0.00833607115950279, 0.9635189571355811, 0.010703727244119233]
('easy', 78);[0.02251450406269708, 0.957341148334534, 0.008282625147568654, 0.006450514950813378]
('easy', 79);[0.854301001430632, 0.013808490024813774, 0.09004266577669329, 0.03753536751290927]
('easy', 80);[0.06200105452272525, 0.06200105452272525, 0.0122087315104964, 0.8558982205427359]
('easy', 81);[0.9872999680695719, 0.0027731230384102695, 0.0021597103938672713, 0.003142360081138574]
('easy', 82);[0.07841061875365395, 0.061066251286459074, 0.27367991833185085, 0.5793803916550837]
('easy', 83);[0.005139205120455168, 0.9793592922329186, 0.0035321205807965043, 0.0035321205807965043]
('easy', 84);[0.0027555615034292012, 0.9810478985541331, 0.0031224602549412978, 0.004543152863426148]
('easy', 85);[0.015421431667498634, 0.013609365679987537, 0.007284568515107448, 0.9540899652995873]
('easy', 86);[0.14472664321891882, 0.4457894449302623, 0.2386138951120599, 0.16399677188107234]
('easy', 87);[0.010772041017685191, 0.003962812429861883, 0.5190260642071913, 0.45803889402351966]
('easy', 88);[0.9732834034712649, 0.010812201013344123, 0.007431109836604301, 0.003977586466622338]
('easy', 89);[0.0034816540279170045, 0.9653660331777674, 0.010724249398893286, 0.008352053829711135]
('easy', 90);[0.8367861561966661, 0.0881966185583916, 0.04166113267184164, 0.028633249827645053]
('easy', 91);[0.013700959638326144, 0.002101110211079209, 0.00831005208813012, 0.9605112818628366]
('easy', 92);[0.017019740138695668, 0.9292464640861364, 0.02806081427867497, 0.017019740138695668]
('easy', 93);[0.026336823759647396, 0.872155873941689, 0.043422081535211175, 0.04920366452056615]
('easy', 94);[0.09720358965817685, 0.8138757159412884, 0.02168905252743126, 0.05895695736181012]
('easy', 95);[0.021946573663892036, 0.7267706625056103, 0.2082232934361907, 0.036183782818646044]
('easy', 96);[0.006464287889351955, 0.9593851975858485, 0.017571756303553294, 0.009405483380627508]
('easy', 97);[0.9041857826439287, 0.016560740653395085, 0.05101067239114935, 0.02409573547040847]
('easy', 98);[0.4506365651095005, 0.3509561097878871, 0.10055060894162117, 0.0887356009439756]
('easy', 99);[0.03418976388232958, 0.06387488815872444, 0.011099793849194451, 0.8817656716318466]
('easy', 100);[0.013832154864449869, 0.002723712786042665, 0.0039629787195779, 0.9697087397931574]
('easy', 101);[0.0035404168006119164, 0.0007899737677127285, 0.0013024465541230975, 0.981659235051789]
('easy', 102);[0.0021495278271009355, 0.002435734132103522, 0.9826454066453298, 0.007502589313190006]
('easy', 103);[0.033891651185291166, 0.8740772825721939, 0.033891651185291166, 0.04931206150183344]
('easy', 104);[0.11343466853490528, 0.011955928952526382, 0.02531069575657747, 0.8381751668373676]
('easy', 105);[0.004246608409513309, 0.9170122553425836, 0.016795662071824865, 0.05173429363678378]
('easy', 106);[0.005849626598828423, 0.0006165461074929716, 0.000698638267950034, 0.9837559505656563]
('easy', 107);[0.7623233892300296, 0.08034828930108602, 0.06257531062613357, 0.09104653972809144]
('easy', 108);[0.009557211395028803, 0.0010073226700098494, 0.0035159015871605364, 0.9748619363071542]
('easy', 109);[0.06648319092192535, 0.09673247200782412, 0.49124799807736, 0.33762950243038364]
('easy', 110);[0.9933879594146764, 0.0011631379945316498, 0.0009058527809613523, 0.001026465677452639]
('easy', 111);[0.025225649356688893, 0.010515615138531198, 0.010515615138531198, 0.9465855474202826]
('easy', 112);[0.007504145692914568, 0.0024362394146212473, 0.9828489592757889, 0.0024362394146212473]
('easy', 113);[0.9619235259524108, 0.010686005756794723, 0.009430366981372498, 0.012108830892775141]
('easy', 114);[0.005851671527245412, 0.0014795342637308735, 0.0016765319622060052, 0.9840999829653546]
('easy', 115);[0.012209593134271389, 0.0021217091468678194, 0.004491658299166437, 0.9699280509329007]
('easy', 116);[0.9914070105488538, 0.00102441836551828, 0.0014905199268063077, 0.0019138654700988512]
('easy', 117);[0.9879281993244184, 0.0024488296990150095, 0.0024488296990150095, 0.003144359574675064]
('easy', 118);[0.1389823156025395, 0.29422556443944414, 0.07439186392009066, 0.48509594647506277]
('easy', 119);[0.014961767629374189, 0.9256518616055299, 0.027952261889618614, 0.021769243448251964]
('easy', 120);[0.10818095883914272, 0.6225385094409654, 0.12258508615986058, 0.13890711731012742]
('easy', 121);[0.2297499071830106, 0.20275358145810515, 0.48638058631373515, 0.07458887424231624]
('easy', 122);[0.007754981850690461, 0.06493166805811869, 0.009957593802238693, 0.8963539285580192]
('easy', 123);[0.03392164272906325, 0.029935744638979578, 0.8748507617135803, 0.05592733390449692]
('easy', 124);[0.003107071754283832, 0.9762127642013746, 0.004520762727085689, 0.0051226952908793155]
('easy', 125);[0.012264337385804912, 0.0008884256204137946, 0.0027365435650090254, 0.9742767981520719]
('easy', 126);[0.02848278335010111, 0.004367976296306036, 0.010478230421842458, 0.9432201909735777]
('easy', 127);[0.005156282003350289, 0.0014772995279237284, 0.9826135229934257, 0.005156282003350289]
('easy', 128);[0.9690870023325499, 0.010765586359939077, 0.008384247087343389, 0.0073990720850844564]
('easy', 129);[0.15096167110527392, 0.31958586023774205, 0.05553568858414487, 0.4649946828792871]
('easy', 130);[0.14218493196309157, 0.01924264033310485, 0.007078970084647479, 0.8182178143472902]
('easy', 131);[0.9925764498446744, 0.0013169312527967212, 0.0009051127309519499, 0.0009051127309519499]
('easy', 132);[0.005752086418587149, 0.9673523799402044, 0.007385825160450263, 0.009483587229229954]
('easy', 133);[0.9870093199507816, 0.005179349402601298, 0.0024465514227480093, 0.0021590740525890533]
('easy', 134);[0.10019411463369586, 0.01355979888259287, 0.8389150757432244, 0.04176712098610245]
('easy', 135);[0.010789498734865172, 0.0018749337430111097, 0.0021245782704958334, 0.971239702574273]
('easy', 136);[0.9755164055905464, 0.0018831895328062706, 0.012279938312728661, 0.005119039886571564]
('easy', 137);[0.7994153996026312, 0.027354490723770615, 0.15741422551978432, 0.01292134648517359]
('easy', 138);[0.007489260619402185, 0.0016710799214005383, 0.9808994545231337, 0.005147288529786557]
('easy', 139);[0.08694826952738421, 0.04654005495448186, 0.028227970234604095, 0.8249421266561494]
('easy', 140);[0.008481929223389804, 0.0014739382892160178, 0.980377623912682, 0.005144550127498483]
('easy', 141);[0.009583104149619765, 0.0027456053076768553, 0.9775030942192774, 0.00581244648196375]
('easy', 142);[0.056800206227572175, 0.01844032709824441, 0.888504756683141, 0.03040295952554353]
('easy', 143);[0.003549995088052097, 0.0011525146644461354, 0.9843152261089492, 0.005165212375052587]
('easy', 144);[0.01160040686444132, 0.9215344188563697, 0.016878492393840167, 0.03573176867815654]
('easy', 145);[0.10172264919237936, 0.015599673494275625, 0.022697391005018153, 0.8517133266000415]
('easy', 146);[0.009346762982981297, 0.953395651267249, 0.022421718798440047, 0.006423929989603371]
('easy', 147);[0.17032482954929892, 0.5246373784960168, 0.21870141023430711, 0.08045575258040326]
('easy', 148);[0.022398690431066005, 0.00499782338299886, 0.0105803921848358, 0.9524164638126796]
('easy', 149);[0.9368386684393937, 0.009184443061169044, 0.02829007626494119, 0.022032333548285963]
('easy', 150);[0.006566311043783139, 0.006566311043783139, 0.0014651420347837351, 0.9745269366148265]
('easy', 151);[0.008452725751725608, 0.00166444038781392, 0.0012962674774051536, 0.9770021655075088]
('easy', 152);[0.9851800341094343, 0.005858095518274358, 0.002767168385594847, 0.0031356125755122276]
('easy', 153);[0.9801355829074859, 0.004538928291469693, 0.005143279572060136, 0.004005590158275594]
('easy', 154);[0.006516628412780216, 0.9671532977475843, 0.008367516513119292, 0.005750904389573309]
('easy', 155);[0.18431086327891708, 0.028264989696747612, 0.7289636268606505, 0.05280595273781214]
('easy', 156);[0.34584256177844985, 0.019511102211636763, 0.5701979879175534, 0.060098425773245416]
('easy', 157);[0.9697832891058397, 0.003086607882309267, 0.006534348938125532, 0.01567508822982948]
('easy', 158);[0.005713659688055289, 0.9608899855499528, 0.015531337304039671, 0.008313325792170556]
('easy', 159);[0.00650200601988224, 0.0023919543410876325, 0.964983462415596, 0.020027593269157505]
('easy', 160);[0.9849919383641498, 0.0031350130670180906, 0.0045614170972271975, 0.0031350130670180906]
('easy', 161);[0.007493854536649695, 0.0011492198140086306, 0.0008950132910710958, 0.9815013052402144]
('easy', 162);[0.00242880782801254, 0.9798508528958405, 0.0040044271284872535, 0.002752199833109008]
('easy', 163);[0.9109587201415525, 0.021423696304080253, 0.05139277576931235, 0.011467275553867139]
('easy', 164);[0.013397445671838629, 0.005584886261295742, 0.9392332782707484, 0.03641802443479156]
('easy', 165);[0.021880420021643504, 0.015038178096318912, 0.9303791270042542, 0.0280950154355936]
('easy', 166);[0.00402754267753964, 0.0007930701755907158, 0.9855070008757594, 0.0027680869021460804]
('easy', 167);[0.008330317420692877, 0.9628536247180426, 0.008330317420692877, 0.008330317420692877]
('easy', 168);[0.0014772812128232354, 0.9826014378589024, 0.00401566667634134, 0.00354381340368341]
('easy', 169);[0.024180321704768994, 0.02739989413441719, 0.01883165347859258, 0.9073599454851292]
('easy', 170);[0.9908720699020538, 0.0016880689180900812, 0.0011601916692635886, 0.0003766590880350265]
('easy', 171);[0.007410893773537099, 0.008397642815326139, 0.9706357679419227, 0.008397642815326139]
('easy', 172);[0.7512943547144885, 0.06988125648537558, 0.06988125648537558, 0.10167662822895397]
('easy', 173);[0.9337543286519286, 0.017102305437893695, 0.021959794866212478, 0.021959794866212478]
