id;confidence_per_choice
('easy', 0);[1.4721779586448478e-05, 0.9988182460462768, 2.7503905198590584e-05, 1.8903139167874593e-05]
('easy', 1);[2.280214714819412e-05, 0.9988447676084355, 4.001901454113209e-05, 5.822732257882814e-05]
('easy', 2);[1.8727283752158954e-06, 1.458482325098179e-06, 4.782179436766623e-06, 0.9993859725647344]
('easy', 3);[0.9991934848642076, 6.200430074490286e-05, 2.1428112957440038e-05, 9.603413963932848e-05]
('easy', 4);[9.50722575494589e-06, 6.5342143324197175e-06, 0.9990416422059489, 3.532362894698638e-05]
('easy', 5);[1.4723618912924765e-05, 2.142273911041571e-05, 0.998942897755343, 1.8905500909819733e-05]
('easy', 6);[0.9995773433723147, 9.512322660632116e-06, 4.783096213614387e-06, 2.9010945019125326e-06]
('easy', 7);[1.2991206281673324e-05, 1.2204108882708404e-05, 0.9987631855156552, 1.2991206281673324e-05]
('easy', 8);[4.53528905841694e-05, 0.9989641915600717, 3.532086670150287e-05, 4.002378546378756e-05]
('easy', 9);[0.0010311152495465258, 0.0001581266449075076, 0.9978879094768187, 0.00033475410989610013]
('easy', 10);[0.999423716964206, 2.0134495511285568e-05, 3.5337140112627966e-05, 4.004222565443007e-05]
('easy', 11);[0.9915374371158477, 0.00757048103474929, 9.52983375508506e-05, 0.000178040733879388]
('easy', 12);[8.389905249022944e-06, 0.9990195121726893, 9.507008154307594e-06, 6.5340647778339584e-06]
('easy', 13);[0.001168347037529428, 0.9978371056909634, 9.590381069832898e-05, 0.00017917190663949826]
('easy', 14);[0.9995199363492225, 7.481586086176185e-05, 3.118789086282031e-05, 1.3839542677478803e-05]
('easy', 15);[0.9783737688262759, 0.02030550067271213, 0.0002896422731226762, 0.00032820769373171976]
('easy', 16);[0.0002594838972320577, 0.0002940337767442576, 0.005905826279461105, 0.9932071825061136]
('easy', 17);[0.9996701375272788, 2.4292814004924975e-05, 1.6696190617248115e-05, 1.1475112807885055e-05]
('easy', 18);[3.5327065212358926e-05, 0.999138978070178, 1.5676290161043166e-05, 1.4726511753738316e-05]
('easy', 19);[0.9994089522497214, 7.406953934950672e-06, 8.934491892405264e-06, 4.492544656626717e-06]
('easy', 20);[3.117424177185206e-05, 3.532504383930541e-05, 0.9990818593416988, 1.8908133427922566e-05]
