confidence_per_choice;id
[5.141533354790677e-05, 0.99942597935817, 0.00023042753840943982, 0.0001397613668874357];('easy', 0)
[7.476115544870889e-05, 0.9987889906446114, 0.0003796686561123824, 0.0002956861056938354];('easy', 1)
[2.7530751344782298e-05, 2.7530751344782298e-05, 6.604283922534971e-05, 0.9997927380058335];('easy', 2)
[0.997995943844424, 0.0004298793139407667, 0.00026073485955320833, 0.001031226865600031];('easy', 3)
[4.5378373101843805e-05, 4.004627370670528e-05, 0.9995250574574381, 0.00017947494717910766];('easy', 4)
[0.00012334814848686718, 0.00012334814848686718, 0.9995000479270162, 8.477586001374068e-05];('easy', 5)
[0.999693368550811, 6.603622630369741e-05, 8.479219299609107e-05, 1.568497856162725e-05];('easy', 6)
[5.142710293069214e-05, 6.603370726962535e-05, 0.99965512728654, 5.142710293069214e-05];('easy', 7)
[7.481307826487557e-05, 0.9994819465301688, 0.0001583792879295869, 0.0001583792879295869];('easy', 8)
[0.002791034710625589, 0.0011634763664642043, 0.9936770802713717, 0.001918248233346431];('easy', 9)
[0.9976314512291933, 0.0002606396416425667, 0.0009097221714317424, 0.0009097221714317424];('easy', 10)
[0.9908786238022149, 0.007565450524844144, 0.000621009995921006, 0.0004268135122185328];('easy', 11)
[3.534890341302904e-05, 0.999756514725603, 5.1432350982125286e-05, 2.014119803781625e-05];('easy', 12)
[0.0031637517147636513, 0.9940211379457305, 0.0009064300423544379, 0.00149445049123138];('easy', 13)
[0.998511387845261, 0.0005522610872931566, 0.0005522610872931566, 0.00013963347008989153];('easy', 14)
[0.9220056063690822, 0.07568283174943823, 0.0007419683746056362, 0.0008407603159088842];('easy', 15)
[0.001598752887821581, 0.006323190332325188, 0.052943424450476166, 0.9384445968915938];('easy', 16)
[0.9988421510605118, 0.00029570189745722143, 0.00048753000812410915, 0.000179352266943006];('easy', 17)
[0.00020335779480921905, 0.9994561055795064, 7.481115191227234e-05, 0.00013976563213095067];('easy', 18)
[0.9997161240814908, 2.752862474191288e-05, 6.603773777026619e-05, 4.538702916511359e-05];('easy', 19)
[0.0003797017879004374, 0.0003797017879004374, 0.998876167183296, 0.00013968448154461045];('easy', 20)
[0.002778121971901133, 0.9890797619349446, 0.0035671792225797226, 0.004042143617878337];('easy', 21)
[3.118908060913273e-05, 0.9995574526441869, 5.826887376403994e-05, 4.004757222524921e-05];('easy', 22)
