confidence_per_choice;id
[0.00012327359109754436, 3.722539896218656e-06, 5.823032127075247e-05, 4.534981980416151e-05];0
[0.00243947105284172, 0.0005443195666980317, 0.00025711835731063206, 0.0004239165047855149];1
[0.00015463417455630917, 7.304401197111609e-05, 2.092745981163791e-05, 9.379036790775672e-05];2
[7.352688333764974e-05, 5.726279432016145e-05, 5.726279432016145e-05, 5.726279432016145e-05];3
[0.00033315214588760443, 9.544968788106453e-05, 2.734679343673294e-05, 2.734679343673294e-05];4
[0.0006949817011951802, 0.010871342918043063, 9.40555902247023e-05, 4.4428714920464106e-05];5
[5.686872510246707e-05, 3.4492625353415746e-05, 2.6862883635428776e-05, 9.376067671403578e-05];6
[0.0004091807964069382, 0, 0, 0.00015052920272027014];7
[9.595787938569067e-05, 3.720690758392083e-06, 0.00043005337925566817, 0.0007090381539152893];8
[0.0024670748081163907, 0.0007068287667382789, 0.00033388210871490977, 0.00012282836357118378];9
[7.48030189703283e-05, 4.537032444456986e-05, 0, 9.604897760287682e-05];10
[0.000334115588353969, 4.521762778365189e-05, 9.57257187691768e-05, 9.57257187691768e-05];11
[0.05994646301695169, 0.00024498749289462063, 9.012586198006574e-05, 4.2572442736336137e-05];12
[0.0024585864761977566, 0.0002591329845452646, 0.00020181297128348235, 0.00020181297128348235];13
[0.00020322944896378794, 0.0003350687153392633, 1.0118198469923425e-05, 0.00015827525399616816];14
[0.002837425504380213, 0, 0, 1.9118413545995068e-05];15
[0.00033418856429960836, 5.807326467438559e-05, 5.807326467438559e-05, 1.0091620211509414e-05];16
[0.0024578515255112756, 0.0014907623072440564, 0.003155943829201217, 0.0009041930456874651];17
[0.0008940582504252782, 4.451256046401392e-05, 3.46664169458873e-05, 0.0005422737404519668];18
[0.010885016165140239, 0.006602096035625188, 0.0005419330439991412, 0.0003286988499610118];19
[0.0005514406076019476, 0, 1.296864006426585e-05, 0.00042946237701776816];20
[0.006610721230302396, 0.00025632535667583834, 0.006610721230302396, 0.002431948431943835];21
[0.0005374883063795875, 0.0008861684034806133, 2.6759967056647925e-05, 0.0002538914984231321];22
[9.608782362005084e-05, 2.1440091472656023e-05, 3.7257292431416985e-06, 1.0127582099390551e-05];23
[0.000551888325683751, 9.590381069832898e-05, 0.00026069358590124385, 9.590381069832898e-05];24
[0.0024683279847725094, 4.520900402805024e-05, 2.135522138558474e-05, 0.00015779492882316918];25
[0.0024137593676113083, 5.676620643327411e-05, 0.00041944848385026964, 7.288925186926714e-05];26
[0.0004293962370022185, 0.00012302402299241115, 0.000334413966164199, 0.00012302402299241115];27
[0.00019751378342107488, 0.0005368978723307865, 0.0014594397300951017, 0.00019751378342107488];28
[0.00033498149051952385, 5.821105459048556e-05, 0.00012323280353509925, 0.00012323280353509925];29
[0.0003351323111128952, 7.477812624953372e-05, 5.823726327974923e-05, 0.0002610013063272524];30
[3.722990785040908e-06, 0.0005525410871897618, 0, 4.7804147940867735e-06];31
[0.005178620890497401, 0.0001217895480611056, 0.0014836997262478947, 2.7174921363279384e-05];32
[0.0003340187366077124, 9.569797027928997e-05, 1.2951311912916651e-05, 2.135310343429765e-05];33
[0.000908967257597626, 9.580444410291416e-05, 2.137686095561453e-05, 0.00020281800975743735];34
[0.00020314108867219169, 1.0113799270044719e-05, 2.256693650834151e-06, 0.0002608383210287124];35
[0.00012319414421753643, 1.2984567271090822e-05, 5.819279322191709e-05, 2.7488329128607664e-05];36
[0.0006175959641198001, 0.0021556217239224007, 0.0002917316765580334, 0.0006175959641198001];37
[0.0815314601364876, 0.03851273476461411, 0.023359154424119066, 0.0815314601364876];38
[0.00012285413669104318, 4.519551115150095e-05, 7.451480057564446e-05, 2.7412463194769555e-05];39
[0.00020427699458667504, 0.00033679582608974606, 7.514930661272776e-05, 0];40
[0.005025197033887752, 0, 0.0014397430553764403, 0.00019484812709812176];41
