confidence_per_choice;id
[0.002389462348152381, 0, 0, 0];0
[0, 0, 0, 0];1
[0, 0, 0, 0];2
[0, 0, 0, 0];3
[0, 0, 0, 0];4
[0, 0, 0, 0];5
[0, 0, 0, 0];6
[0, 0, 0, 0];7
[6.80513342364749e-05, 0, 0, 0];8
[0, 0, 0, 0];9
[0.0004880477664750459, 0, 0, 0];10
[0, 0, 0, 0];11
[0, 0, 0, 0];12
[0, 0, 0, 0];13
[0.00011550899995209509, 0, 0, 0];14
[0, 0, 0, 0];15
[0, 0, 0, 0];16
[0, 0, 0, 0];17
[0, 0, 0, 0];18
[0, 0, 0, 0];19
[0.000697726402170207, 0, 0, 0];20
[0, 0, 0, 0];21
[0, 0, 0, 0];22
[0, 0, 0, 0];23
[0, 0, 0, 0];24
[0.00030955413229215404, 0, 0, 0];25
[0.0012049855216306731, 0, 0, 0];26
[0.00014557601552519966, 0, 0, 0];27
[0, 0, 0, 0];28
[0, 0, 0, 0];29
[0.0010314998103599902, 0, 0, 0.000552122062010356];30
[0.0002790658010860548, 0.00016926196443595935, 0, 0];31
[0, 0, 0, 0];32
[0, 0, 0, 0];33
[0, 0, 0, 0];34
[0.0004358249849321319, 0, 0, 0];35
[0, 0, 0, 0];36
[0, 0, 0, 0];37
[0, 0, 0, 0];38
[0, 0, 0, 0];39
[0, 0, 0, 0];40
[0, 0, 0, 0];41
[6.880525583627666e-05, 0, 0, 0];42
[0.001779461900522366, 0.0002408240951498053, 0, 0];43
[0, 0, 0, 0];44
[0, 0, 0, 0];45
[0, 0, 0, 0];46
[0.0013475392389330231, 0, 0, 0.00021997973361143845];47
[0, 0, 0, 0];48
[0, 0, 0, 0];49
[0, 0, 0, 0];50
[0, 0, 0, 0];51
[0, 0, 0, 0];52
[8.811566673095972e-06, 0, 0, 0];53
[0, 0, 0, 0];54
[8.635793296552431e-05, 0, 0, 0];55
[9.133750220737625e-05, 0, 0, 0];56
[0, 0, 0, 0];57
[0, 0, 0, 0];58
[5.865295253570781e-05, 0, 0, 0];59
[0.0003418023395009384, 0, 0, 0];60
[0, 0, 0, 0];61
[0.0006365852800547535, 0.0004110103480130386, 0, 0];62
[0, 0, 0, 0];63
[0, 0, 0, 0];64
[0.00017206474417430842, 0, 0, 0];65
[0.00027670139212457345, 0, 0, 0];66
[0, 0, 0, 0];67
[0, 0, 0, 0];68
[0, 0, 0, 0];69
[0, 0, 0, 0];70
[0, 0, 0, 0];71
[2.53573651933006e-05, 0, 0, 0];72
[0, 0, 0, 0];73
[0, 0, 0, 0];74
[0, 0, 0, 0];75
[0, 0, 0, 0];76
[0, 0, 0, 0];77
[0, 0, 0, 0];78
[0.00010379231866112869, 0, 0, 0];79
[0, 0, 0, 0];80
[0, 0, 0, 0];81
[0, 0, 0, 0];82
[0, 0, 0, 0];83
[9.580873841232841e-05, 0, 0, 0];84
[0, 0, 0, 0];85
[0.0006969622719944879, 0, 0, 0.0013020969471364788];86
[0, 0, 0, 0];87
[0, 0, 0, 0];88
[0, 0, 0, 0];89
[7.560844681529e-05, 0, 0, 0];90
[0, 0, 0, 0];91
[1.738002732947026e-05, 0, 0, 0];92
[0, 0, 0, 0];93
[0.00010461874292799471, 0, 0, 0];94
[0, 0, 0, 0];95
[0, 0, 0, 0];96
[0, 0, 0, 0];97
[0, 0, 0, 0];98
[0, 0, 0, 0];99
[8.828031905764858e-05, 0, 0, 0];150
[0.00032613311950463995, 0, 0, 0];151
[0, 0, 0, 0];152
[0, 0, 0, 0];153
[0, 0, 0, 0];154
[0, 0, 0, 0];155
[0, 0, 0, 0];156
[0, 0, 0, 0];157
[0, 0, 0, 0];158
[0, 0, 0, 0];159
[0, 0, 0, 0];160
[0, 0, 0, 0];161
[0, 0, 0, 0];162
[0, 0, 0, 0];163
[0, 0, 0, 0];164
[3.003005158125539e-05, 0, 0, 0];165
[0, 0, 0, 0];166
[0.0011881001941914605, 0, 0, 0];167
[0, 0, 0, 0];168
[0, 0, 0, 0];169
[7.126796127200996e-05, 0, 0, 0];170
[0, 0, 0, 0];171
[0, 0, 0, 0];172
[0, 0, 0, 0];173
[0, 0, 0, 0];174
[6.814491770976033e-05, 0, 0, 0];175
[0, 0, 0, 0];176
[0, 0, 0, 0];177
[0, 0, 0, 0];178
[0, 0, 0, 0];179
[0, 0, 0, 0];180
[0, 0, 0, 0];181
[0, 0, 0, 0];182
[0, 0, 0, 0];183
[0, 0, 0, 0];184
[0, 0, 0, 0];185
[0, 0, 0, 0];186
[0, 0, 0, 0];187
[0, 0, 0, 0];188
[0, 0, 0, 0];189
[0, 0, 0, 0];190
[0, 0, 0, 0];191
[0, 0, 0, 0];192
[0.00010542902181464283, 0, 0, 0];193
[0.001368883255419856, 0, 0.00030543928565110267, 0.00011961174286911388];194
[0, 0, 0, 0];195
[0.009145465388818505, 0, 0, 0];196
[0, 0, 0, 0];197
[0.00040973451007558385, 0, 0, 0.0005961601944327693];198
[0, 0, 0, 0];199
[0, 0, 0, 0];200
[0, 0, 0, 0];201
[0, 0, 0, 0];202
[0, 0, 0, 0];203
[0, 0, 0, 0];204
[0, 0, 0, 0];205
[0, 0, 0, 0];206
[0, 0, 0, 0];207
[0, 0, 0, 0];208
[0, 0, 0, 0];209
[0, 0, 0, 0];210
[0, 0, 0, 0];211
[0, 0, 0, 0];212
[0, 0, 0, 0];213
[8.690221114597778e-05, 0, 9.250692223260318e-05, 0];214
[0, 0, 0, 0];215
[0, 0, 0, 0];216
[0, 0, 0, 0];217
[0, 0, 0, 0];218
[0, 0, 0, 0];219
[0, 0, 0, 0];220
[0, 0, 0, 0];221
[0, 0, 0, 0];222
[0, 0, 0, 0];223
[0.00012553698316252572, 0, 0, 0];224
[0, 0, 0, 0];225
[0, 0, 0, 0];226
[0, 0, 0, 0];227
[0, 0, 0, 0];228
[0, 0, 0, 0];229
[0, 0, 0, 0];230
[0, 0, 0, 0];231
[8.502013136488019e-05, 0, 0, 0];232
[0.00026087464175913343, 0, 0, 0];233
[0, 0, 0, 0];234
[0, 0, 0, 0];235
[0, 0, 0, 0];236
[0, 0, 0, 0];237
[0, 0, 0, 0];238
[0, 0, 0, 0];239
[0, 0, 0, 0];240
[0, 0, 0, 0];241
[0, 0, 0, 0];242
[0.002118901488192429, 0, 0, 0];243
[0.0007696470288966675, 0, 0, 0.00022050756566808862];244
[0, 0, 0, 0];245
[0, 0, 0, 0];246
[0, 0, 0, 0];247
[0, 0, 0, 0];248
[0.0009266038126094489, 0, 0, 0];249
[0, 0, 0, 0];250
[0, 0, 0, 0];251
[0, 0, 0, 0];252
[0, 0, 0, 0];253
[0, 0, 0, 0];254
[0, 0, 0, 0];255
[0, 0, 0, 0];256
[0.020864046803795663, 0.0019406581936334056, 0.005275255903003841, 0.026789966391036268];257
[0, 0, 0, 0];258
[0, 0, 0, 0];259
[0, 0, 0, 0];260
[0, 0, 0, 0];261
[0, 0, 0, 0];262
[0.000988008874297922, 0, 0, 0];263
[0, 0, 0, 0];264
[0, 0, 0, 0];265
[0, 0, 0, 0];266
[0, 0, 0, 0];267
[0, 0, 0, 0];268
[0.0010685434736085013, 0, 0, 9.336824364992413e-05];269
[0, 0, 0, 0];270
[0.000346254307875997, 0, 0, 0.000503797045234143];271
[0.00010645724945662838, 0, 0, 0];272
[0.0009745635834259972, 0, 0, 0];273
[0, 0, 0, 0];274
[0, 0, 0, 0];275
[0, 0, 0, 0];276
[0, 0, 0, 0];277
[0.001541352082558903, 0, 0, 0.0006425311421711793];278
[0, 0, 0, 0];279
[0.0010667499372036095, 0, 0, 6.018191327292456e-05];280
[0, 0, 0, 0];281
[0.00010163124833537301, 0, 0, 0];282
[0, 0, 0, 0];283
[0.0002730339265631499, 0, 0, 0];284
[0, 0, 0, 0];285
[0.006285382499316863, 0.0005846316426676015, 0, 0.0012376651972396074];286
[0, 0, 0, 0];287
[0, 0, 0, 0];288
[0, 0, 0, 0];289
[0, 0, 0, 0];290
[0, 0, 0, 0];291
[0, 0, 0, 0];292
[0, 0, 0, 0];293
[0, 0, 0, 0];294
[0, 0, 0, 0];295
[0, 0, 0, 0];296
[0, 0, 0, 0];297
[0.00014858944983213763, 0, 0, 0];298
[0.00022763635965610167, 0, 9.489295263850587e-05, 0];299
[0, 0, 0, 0.00028107783639561565];100
[0, 0, 0, 0];101
[1.8499531331988214e-05, 0, 0, 0];102
[0, 0, 0, 0];103
[0, 0, 0, 0];104
[0.0007847367709851234, 0, 0, 0.00022483074195213667];105
[0, 0, 0, 0];106
[0, 0, 0, 0];107
[0, 0, 0, 0];108
[0, 0, 0, 0];109
[0, 0, 0, 0];110
[0, 0, 0, 0];111
[0, 0, 0, 0];112
[0.0008306288260494125, 0, 0, 0];113
[0, 0, 0, 0];114
[0, 0, 0, 0];115
[0, 0, 0, 0];116
[4.535626435682972e-05, 0.9990379537554941, 1.567470553315699e-05, 1.299478730589058e-05];117
[0, 0, 0, 0];118
[0, 0, 0, 0];119
[0, 0, 0, 0];120
[0, 0, 0, 0];121
[0, 0, 0, 0];122
[0, 0, 0, 0];123
[0, 0, 0, 0];124
[0, 0, 0, 0];125
[0, 0, 0, 0];126
[0.0006349570123089459, 0, 0, 0.00015081543773960384];127
[0.0037243317051584004, 0, 0, 0];128
[0, 0, 0, 0];129
[0.000418919395000081, 0, 0, 0.00016405119220607223];130
[0, 0, 0, 0];131
[0, 0, 0, 0];132
[0, 0, 0, 0];133
[0, 0, 0, 0];134
[0, 0, 0, 0];135
[0, 0, 0, 0];136
[0, 0, 0, 0];137
[0, 0, 0, 0];138
[0, 0, 0, 0];139
[0, 0, 0, 0];140
[0.0002465766927079562, 0, 0, 0];141
[0, 0, 0, 0];142
[0, 0, 0, 0];143
[0, 0, 0, 0];144
[0, 0, 0, 0];145
[8.481249232385177e-05, 0, 0, 0];146
[0, 0, 0, 0];147
[0.00020451519572804545, 0, 0, 0];148
[0, 0, 0, 0];149
[0.00017057079451715502, 0, 0, 0];300
[0, 0, 0, 0];301
[0.0063647360472067205, 0, 0.001334121151705596, 0.0009760638854961076];302
[0, 0, 0, 0];303
[0, 0, 0, 0];304
[0, 0, 0, 0];305
[0, 0, 0, 0];306
[0, 0, 0, 0];307
[0, 0, 0, 0];308
[0, 0, 0, 0];309
[0, 0, 0, 0];310
[0, 0, 0, 0];311
[0.0006216718819103266, 0, 0, 0.00010148519333256764];312
[0, 0, 0, 0];313
[0, 0, 0, 0];314
[0, 0, 0, 0];315
[0, 0, 0, 0];316
[0, 0, 0, 0];317
[0, 0, 0, 0];318
[0, 0, 0, 0];319
[0.00020305838261567167, 0, 0, 0];320
[0, 0, 0, 0];321
[0, 0, 0, 0];322
[0, 0, 0, 0];323
[0, 0, 0, 0];324
[0, 0, 0, 0];325
[0, 0, 0, 0];326
[6.603295157814178e-05, 0, 0, 0];327
[0.0011099460053260988, 0, 0, 0.000762853989497495];328
[0, 0, 0, 0];329
[0.0007502302877689992, 0, 0, 0];330
[0, 0, 0, 0];331
[0, 0, 0, 0];332
[0, 0, 0, 0];333
[0.002798003842210172, 0, 0.00033417390409684703, 0.0003139273307599558];334
[0, 0, 0, 0];335
[0, 0, 0, 0];336
[0, 0, 0, 0];337
[0, 0, 0, 0];338
[0, 0, 0, 0];339
[0.0001953927869099124, 0, 0, 0];340
[0, 0, 0, 0];341
[0, 0, 0, 0];342
[0, 0, 0, 0];343
[0.00647953604601395, 0, 0.0008769098460291394, 0.0008769098460291394];344
[0.0003907505440107492, 0, 0, 0];345
[0, 0, 0, 0];346
[0, 0, 0, 0];347
[0, 0, 0, 0];348
[0, 0, 0, 0];349
[0, 0, 0, 0];350
[0, 0, 0, 0];351
[0.00024676512291000826, 0, 0, 0];352
[0, 0, 0, 0];353
[0, 0, 0, 0];354
[0, 0, 0, 0];355
[0, 0, 0, 0];356
[0.0004556595233839434, 0, 0.00016762777082693088, 0];357
[0, 0, 0, 0];358
[0, 0, 0, 0];359
[0, 0, 0, 0];360
[0, 0, 0, 0];361
[0, 0, 0, 0];362
[0, 0, 0, 0];363
[0, 0, 0, 0];364
[0, 0, 0, 0];365
[0.0001487520754765937, 0, 0, 0];366
[0, 0, 0, 0];367
[0, 0, 0, 0];368
[0.007067522848935184, 0.0005449888427967699, 0.0001769320568645022, 0.0003987223549916613];369
[0, 0, 0, 0];370
[0, 0, 0, 0];371
[0, 0, 0, 0];372
[0, 0, 0, 0];373
[0.004344578378575472, 0, 0, 0.002052233511800843];374
[0, 0, 0, 0];375
[0, 0, 0, 0];376
[0, 0, 0, 0];377
[0, 0, 0, 0];378
[0, 0, 0, 0];379
[0, 0, 0, 0];380
[0.009096514956044301, 0, 0.000701447913978093, 0.0007948446186312283];381
[0, 0, 0, 0];382
[0, 0, 0, 0];383
[0, 0, 0, 0];384
