id;confidence_per_choice
0;[0.0040987815017896525, 0.001818823266029247, 0.0036171619797004044, 0.004363130196970107]
1;[0.003362868089616981, 0.0029677206728875613, 0, 0.004318008100036353]
2;[0.00544254700019448, 0.002570877164612817, 0, 0.0009457728546381853]
3;[0.004505990412480533, 0.002411882865077204, 0, 0.001999521124789372]
4;[0.014715050461030681, 0.0017574621547554552, 0.0027220106339880786, 0.003960502102952102]
5;[0.007120397020382047, 0.004893772532843765, 0, 0.0013171410087260693]
6;[0.012830008018916667, 0, 0.00098934398554596, 0.0015323259405850326]
7;[0.012254908040453968, 0.002129583696812253, 0.0035110899386705742, 0.00791236331782843]
8;[0.008226696903064502, 0.00498974389987159, 0.0010459071403808127, 0.0017244093495229907]
9;[0.004875204924365915, 0.001312143604699623, 0.0058806196518962905, 0.005524330918429011]
10;[0.006716765560249389, 0.002470959960784135, 0.001924385552396772, 0.001322609558422544]
11;[0.004825767285632252, 0.00242654817915501, 0, 0.0017753005722618209]
12;[0.005309526390138198, 0.0023560880534283317, 0, 0.0020792404093670715]
13;[0.006807830938881443, 0.0034231923735571486, 0.0009213397283404951, 0.0011830236285933747]
14;[0.004950653725844998, 0.0020637395108846785, 0, 0.0038555729984034526]
15;[0.011009849305357542, 0, 0.0062732230370684105, 0.0017973084918939497]
16;[0.0037204161300808214, 0.0037204161300808214, 0, 0.001991395252472154]
17;[0.004510066045023873, 0.0012138678085456464, 0.0013754924294811176, 0.0032996348061210337]
18;[0.005546148235967167, 0.004597918381361643, 0.0016914796446872238, 0.0024610883610213566]
19;[0.008678808801585064, 0.0040995789955031135, 0.002817596691165953, 0.0063495521598793065]
20;[0.0035305865655917926, 0.0027496235819842703, 0, 0.0016677310051423336]
21;[0.005719558517038714, 0.002875974634419712, 0.0011262478490185093, 0.0016386809510541471]
22;[0.005168183565305043, 0.0015762069329537257, 0.0029447422305674403, 0.0033368301032480506]
23;[0.005562314448133609, 0.004611320641978306, 0.0021782336352347753, 0.002046261130799232]
24;[0.0025793079171728796, 0.0021383213680895574, 0.0008913849642235241, 0.00121837878929256]
25;[0.0044951614905450145, 0.0035008352888688805, 0.0008315212653304213, 0.0024060865608526777]
26;[0.0026276605381480244, 0.0024684586341757416, 0.0014064853333120902, 0.0038232235235364184]
27;[0.003902424079543597, 0.006848967554236996, 0, 0.002366939851444044]
28;[0.004029079356223124, 0.0011543505624882918, 0, 0.0011543505624882918]
29;[0.0038335559518784972, 0.0033831012534175143, 0.0014102864212765182, 0.0026347619053714113]
30;[0.0036582226842137413, 0.001958105499792822, 0.0015249740965750744, 0.00236192608540769]
31;[0.006611859285997596, 0, 0.0027562330157910584, 0.00332465163809999]
32;[0.008619810743000354, 0.002978926881744582, 0, 0.0024696171258966008]
33;[0.004684831851199406, 0.0011127450986213744, 0.00221295787172237, 0.0025076097890442597]
34;[0.006234286891858515, 0.0015762745778683362, 0, 0]
35;[0.021369912317733355, 0.0016478706943925364, 0, 0.003953036296430661]
36;[0.002874842104549445, 0.002700664226539933, 0.004182870580502364, 0.004452642555315297]
37;[0.012324256629128968, 0.001471922550897669, 0, 0.0027499133553678945]
38;[0.0033380586775432325, 0.0033380586775432325, 0, 0.005503528344510668]
39;[0.009121524923783786, 0.0038024173022763617, 0, 0.0024550251280786536]
40;[0.010818425685114302, 0.005439846058407382, 0, 0.002413917055673441]
41;[0.0014781845586467697, 0.002150745842052245, 0.0010814629255735705, 0.002020438738815648]
42;[0.004421058073777588, 0.0032345151832564186, 0.003665185876328173, 0.003038545815019603]
43;[0.007149741524610843, 0.0015953229714062963, 0.0023211812269393595, 0]
44;[0.0032412405856086153, 0.0028603847773310833, 0.0028603847773310833, 0.0012692880507375367]
45;[0.007808224432953922, 0, 0, 0.0028724852409362906]
46;[0.007533659780521941, 0, 0.0058672201364640365, 0.0035586489000487788]
47;[0.006210748695868681, 0.0016716003343675958, 0.0013858053511508304, 0.0033243742191231256]
48;[0.0030273217491347862, 0.003887158070380656, 0.0019545858263519834, 0.0020806457816310714]
49;[0.00201922808240108, 0.0037724147020794367, 0, 0.0012247237409290029]
50;[0.003965371796343041, 0.0012873677376759795, 0.00372512206439679, 0.00212251057231949]
51;[0.004169027439455845, 0.0025286429632132242, 0, 0.0017379091985066837]
52;[0.007401348093437665, 0.002257283633730939, 0.002257283633730939, 0.004489144541875588]
53;[0.0032771900083855654, 0.005075811179368612, 0.003078635103199204, 0.0012833660469727733]
54;[0.004270054888991276, 0.001672177520747758, 0.0015708654063334958, 0.0015708654063334958]
55;[0.004992628439222633, 0.002510451236316913, 0.002081237174678706, 0.0017254062196481554]
56;[0.005429708099038244, 0.0012896687151328066, 0.0017627681313883805, 0.0017627681313883805]
57;[0.009062740535129381, 0.001676438431184905, 0.002763979700513706, 0.002439203524510043]
58;[0.0027566338986087864, 0.004838043161287974, 0.0009526671835994097, 0.0016719829771093958]
59;[0.002043663427447725, 0.002043663427447725, 0.0023157740514016378, 0.002043663427447725]
60;[0.006246853419636411, 0.0037889081257401922, 0.00355934978712046, 0.002158854774530194]
61;[0.007544958935221498, 0.0013111172673451114, 0, 0.0016835078955292995]
62;[0.007513591070349698, 0.004021735489622908, 0, 0.0024393058797106933]
63;[0.004325191696540843, 0.001591149104282808, 0, 0.0016937694048211644]
64;[0.005340679832391863, 0.001051642212525536, 0.00880529243966366, 0.0016288153220821865]
65;[0.0023493176562751554, 0.004389103214060202, 0.0046721760509856524, 0.0018296504303905684]
66;[0.004417159762654437, 0.0036619540628953545, 0.00303586654757927, 0.0028519326917544148]
67;[0.003946988338498423, 0.002712722768562959, 0.0012037634315455127, 0.0021126706164124615]
68;[0.003478335246661725, 0.0017490168007908572, 0, 0.0019818956822040493]
69;[0.0038308953339013926, 0, 0.004620941834117548, 0.0038308953339013926]
70;[0.0039150701949384045, 0.0034550373204344106, 0.0036778680829568384, 0.002095586065294852]
