id;confidence_per_choice
0;[1.7214695275672647e-08, 0.0024725581783580468, 0.9975011957149174, 2.4240118995209013e-05]
1;[0.00020342646013480465, 2.9017226106425657e-06, 2.06072908160369e-09, 0.9997936912938082]
2;[0.998673888585888, 0.0013250209109607958, 4.684940564656457e-08, 8.304263768796865e-07]
3;[8.764248219443636e-08, 0.9999995231630692, 1.7257827987960214e-08, 3.4663274126619643e-07]
4;[9.610211997584463e-05, 3.2884337113353752e-06, 2.6463111591181704e-09, 0.9999005893344576]
5;[1.6373771305908126e-07, 0.9999997615814777, 1.6373771305908126e-07, 4.139937718785167e-08]
6;[1.0, 1.026187963170189e-10, 9.056076989672867e-11, 2.172439935079017e-10]
7;[6.011958128040144e-08, 1.55050443690087e-06, 0.0019267314965255044, 0.9980717005328712]
8;[2.7535687796947383e-05, 0.9999724634116024, 1.8189131166843093e-09, 7.582357954407517e-10]
9;[4.363445607687925e-09, 4.363445607687925e-09, 0.9999963045256735, 3.7266389560521204e-06]
10;[0.7182865521798573, 0.2642428475418373, 0.016892478068779335, 0.000578028813134715]
11;[8.92246039932795e-06, 0.11920157674374256, 1.756936624174749e-06, 0.880787242638516]
12;[0.9995079078813597, 0.00026113002465222263, 0.0002304464379274255, 4.448662792759406e-07]
13;[7.734421907141565e-08, 0.9999998807907247, 2.061153622438558e-09, 1.7257827987960214e-08]
14;[2.200811829554685e-05, 0.3775322068930508, 4.567639230701322e-07, 0.6224453798789343]
15;[4.944450501938644e-09, 3.398267819495071e-09, 1.0, 1.4166087866431961e-09]
16;[2.8304818984707478e-08, 0.9947799187523881, 3.8306406942564385e-09, 0.005220125868449866]
17;[0.0282753020924965, 3.310698288513708e-05, 0.00010197668649964012, 0.9363493801561935]
18;[1.046388854719218e-08, 0.0003353500342255387, 0.9996645384165465, 8.761306613282907e-08]
19;[4.796702157036238e-05, 0.001799949205218458, 0.4990760579037714, 0.4990760579037714]
20;[1.5173294933002722e-08, 0.9962780051037144, 0.0005510258327165934, 0.003170934731499194]
21;[5.043471815847051e-07, 0.9999985694905718, 8.315279260963632e-07, 1.1253496007565217e-07]
22;[7.084193028279094e-07, 4.61947413509116e-06, 0.8519482536010895, 0.1480464142621715]
23;[1.5601033303347668e-05, 0.4999867669916483, 0.4999867669916483, 1.0722422927451757e-05]
24;[2.172439935079017e-10, 7.734421907141565e-08, 3.1608814543136926e-10, 0.9999998807907247]
25;[0.8955054577589399, 0.009948168438494038, 0.00016079716671776097, 0.09438557169675416]
26;[2.4616969518153846e-10, 2.9989608248573072e-09, 7.05287985111216e-11, 1.0]
27;[8.464547081259281e-05, 0.8806997573822279, 2.1401726626958432e-05, 0.11918975466387134]
28;[0.9988090886342467, 0.001169485212797123, 2.6434205570333866e-09, 2.1419858629519602e-05]
29;[3.775134544279098e-11, 1.0, 7.194133030325383e-09, 1.186112015134383e-08]
30;[0.00043055587784211264, 3.926159529537959e-07, 2.5601776129677404e-06, 0.9995665045962819]
31;[2.902312105056987e-06, 1.8553860543063036e-07, 1.4449761119935134e-07, 0.9999967813595916]
32;[0.9999988079084972, 1.5229950695859287e-08, 2.1724357914826287e-10, 1.2098659934854867e-06]
33;[7.334136334333241e-07, 8.310665241830917e-07, 0.0005527769450636432, 0.9994439596094168]
34;[0.999991059383269, 8.939699493298122e-06, 5.905247681845038e-10, 7.582488115325394e-10]
35;[1.0, 3.701011678592672e-13, 2.6810038677818034e-14, 5.675685232632723e-14]
36;[2.056057056494256e-09, 2.3298178729835986e-09, 0.9975274099865513, 0.002472623024627213]
37;[1.0, 1.4166087866431961e-09, 6.983296728391707e-12, 2.646573638909117e-09]
38;[4.944450501938644e-09, 1.0, 1.522997974471263e-08, 2.646573638909117e-09]
39;[0.2689403472877251, 0.7310556807588449, 2.236315958364655e-07, 3.4981867313433783e-06]
40;[0.9999995231630692, 3.927863545481039e-07, 1.917171513758312e-10, 5.211412487888539e-10]
41;[1.917171513758312e-10, 0.9999998807907247, 1.3176514270095466e-10, 1.4449802461092448e-07]
42;[5.517380636448824e-05, 0.3481848497298171, 0.14514503967982953, 0.5066059368609447]
43;[9.931194312156244e-08, 1.1253517471925912e-07, 0.9999994039539004, 3.059020287707785e-07]
44;[0.25573016315829694, 0.044439238911243, 0.6951466555020653, 0.004683862438084134]
45;[0.9968259074947758, 1.366606975730249e-06, 1.043417301985172e-08, 0.0031726785693210607]
46;[2.4299788403168118e-05, 8.939392578341781e-06, 0.9999566097022262, 1.0129658871505058e-05]
47;[0.5621651098516451, 1.987674387167804e-05, 1.0430357918244636e-07, 0.4378146277678836]
48;[2.1436718005425565e-05, 0.9995948526409025, 0.0003799749184183414, 3.725143022437961e-06]
49;[2.7346982915918745e-12, 1.0, 1.2256067444099483e-11, 4.8473687062702556e-11]
50;[0.0001231100521737723, 0.7769094200836546, 0.00037920583779622234, 0.22258827557983557]
51;[0.9973140573972427, 0.001323217032502222, 3.526253949627518e-05, 0.001323217032502222]
52;[1.8552993540647488e-07, 3.726468367963374e-06, 4.539767838746634e-05, 0.9999506497906105]
53;[2.638177120814826e-09, 0.9968272106900609, 0.0031726831078774057, 1.1217814568485675e-07]
54;[1.1630219716132115e-06, 0.0014452271212698445, 0.03727289871509569, 0.9612806595214831]
55;[0.7310583605840775, 0.2689413411553812, 1.741651263429113e-07, 5.65430840712921e-08]
56;[7.484490593399368e-05, 1.473783580796302e-05, 0.9999078597062382, 2.5610518462749113e-06]
57;[0.999997854237364, 6.47593982395546e-07, 1.370956471489639e-06, 1.1253496007565217e-07]
58;[2.4941923500801508e-08, 0.9933059723955735, 4.421057508316573e-07, 0.006692841690022039]
59;[3.9181400000369557e-07, 0.9975240887463106, 3.9181400000369557e-07, 0.0024726147713712327]
60;[2.6464676343212542e-09, 4.0063692636795675e-05, 0.9999599472811979, 9.23707966960389e-09]
61;[0.9999469546810004, 1.300660300797772e-05, 1.955463672969369e-08, 4.006315773236092e-05]
62;[0.9980709880509054, 0.001926730577788552, 4.44226535077468e-07, 1.756950028588555e-06]
63;[9.056076989672867e-11, 2.4616969518153846e-10, 1.0, 8.592166619174109e-10]
64;[0.00013982189220827394, 1.2096963941095742e-06, 0.9998587569502351, 2.6991975014864736e-07]
65;[1.1120076692461622e-07, 0.3208027608877662, 0.6791394906086597, 5.760342337990639e-05]
66;[8.212010264063092e-07, 0.6787531190157652, 0.07154004601702964, 0.24969932555851287]
67;[0.0013900462557818883, 0.5607846838691811, 0.43673955093176847, 0.0010825691125084089]
68;[1.473512342416073e-05, 0.9997237492153236, 1.8548782962315638e-07, 0.00026118631217533306]
69;[4.139929822488149e-08, 2.3823673954981372e-07, 0.9999985694905718, 1.2098659934854867e-06]
70;[1.8748441614879537e-06, 0.06008560306113411, 0.9398968966956034, 1.5697877970352557e-05]
71;[0.01795799964453989, 9.423497848194446e-05, 0.9804736483751855, 0.0014740823761100318]
72;[3.616690793765056e-06, 0.029306335067614618, 0.9704925924781627, 0.00019746462658147603]
73;[0.00043053432135243126, 1.2092823023586903e-06, 5.141999193981859e-05, 0.9995168398840025]
74;[6.475871888999462e-07, 2.5109704198035704e-08, 0.9999878408000585, 1.1478757578876643e-05]
75;[5.1173599713416994e-08, 0.9626729618756957, 2.4172696887975363e-08, 0.03732687913383872]
76;[8.764198070156538e-08, 1.6373677614705237e-07, 0.9999940395710211, 5.42221734436887e-06]
77;[6.021552103509784e-08, 0.0003353500342255387, 0.9996645384165465, 2.510156371468459e-08]
78;[0.11772279005724996, 0.8698602739317987, 8.811768356159806e-06, 0.01240788782702196]
79;[0.9999997615814777, 6.82560337633487e-08, 2.7894680928689246e-10, 6.82560337633487e-08]
80;[0.9996459545792723, 0.000230478306903968, 2.1016901151726737e-07, 0.00012336614779605618]
81;[2.1444958378736654e-05, 7.193982092990988e-09, 0.9999785427891018, 1.3176237818724307e-10]
82;[2.510999155743982e-08, 0.9999994039539004, 6.691586091292782e-10, 5.715002286213223e-07]
83;[0.2360065271784986, 0.015087392513344117, 0.7269513031346795, 0.02195202657589062]
84;[1.0, 2.7346982915918745e-12, 3.037975385443128e-14, 3.037975385443128e-14]
85;[1.5389804809492305e-07, 0.9399058497893831, 3.969082972960592e-06, 0.060086176084830745]
86;[0.0085768346350237, 0.9913474923757573, 1.3590972296324323e-06, 7.420419445310223e-05]
87;[0.22253701665458864, 0.7767305088549119, 2.423623562025194e-05, 0.0007082866275551173]
88;[1.0, 3.0988191387218256e-12, 4.363462252943702e-09, 3.331544542166412e-11]
89;[0.11918952732767255, 3.2820548172726944e-06, 0.8806981038292002, 0.0001086867286271886]
90;[0.9992773990039197, 1.2997898269735036e-05, 1.185254902228363e-08, 0.0007096611998465394]
91;[1.6052280551856116e-09, 1.186112015134383e-08, 1.0, 1.8189616875530459e-09]
92;[0.9992894218476001, 0.0007096696597177096, 1.3430851292515025e-08, 9.41576265985485e-07]
93;[0.004606696583584879, 0.9947693015660426, 5.685115228669859e-07, 0.0006234485869245956]
94;[0.00019774013797606334, 0.02285564692105914, 0.00509978537367533, 0.9718468676683371]
95;[0.00029547018157583584, 0.998059469430658, 1.888877675850072e-05, 0.00150052139503378]
96;[2.4365738483441324e-05, 0.28726994494488806, 0.6891247941650994, 0.02358055584650976]
97;[1.2726259519635153e-07, 0.11919279532721473, 0.8807223300038577, 8.464765039436482e-05]
98;[5.827526461024451e-05, 0.99966751666427, 1.3002969125175983e-05, 0.00026117161647479145]
99;[5.2573629775563764e-08, 0.9890102606716622, 2.870425663723137e-06, 0.010986910150022199]
100;[0.00010092645554953274, 0.43774490538165367, 0.5620755845356138, 7.860160261459743e-05]
101;[3.0988191387218256e-12, 5.789356328730652e-12, 3.331544542166412e-11, 1.0]
102;[1.994729895832688e-06, 3.0590173704000945e-07, 3.398261337819773e-09, 0.9999977350285647]
103;[5.915004554312287e-08, 0.01798549947912087, 0.9819751325042686, 3.934312036665981e-05]
104;[0.43782303069140843, 9.896246252426414e-07, 0.5621758994190256, 5.884517511094095e-09]
105;[0.9999685297375228, 3.1201903005200916e-05, 3.850624409243273e-09, 2.1023676871964931e-07]
106;[5.4927883509546835e-11, 1.0, 1.2917800047859961e-12, 1.2256067444099483e-11]
107;[2.2116757964895187e-08, 0.22269998769350194, 0.7772993800035053, 5.703992497557891e-07]
108;[1.4166087866431961e-09, 1.0467401794744658e-08, 2.061153622438558e-09, 1.0]
109;[1.9555681087850496e-08, 4.363462252943702e-09, 1.0, 9.736200313009565e-10]
110;[6.691522275659166e-10, 1.1032455109242994e-09, 0.999991059383269, 8.939699493298122e-06]
111;[0.00681248112306334, 0.03053142219111736, 0.4214733077651808, 0.541182439625947]
112;[1.0, 2.646573638909117e-09, 2.172439935079017e-10, 1.026187963170189e-10]
