confidence_per_choice;id
[8.878231610629212e-13, 0.9999963045256735, 3.0988073176874773e-12, 4.139921926206193e-08];0
[0.9987526022057593, 6.467872902224086e-07, 3.9740022484622716e-12, 0.00033504411116769256];1
[0.9881219576929707, 0.010977044368350288, 1.524485032977398e-13, 6.482275309510036e-12];2
[1.1253517471925912e-07, 3.775134544279098e-11, 1.8064461965456932e-16, 1.3887943864964021e-11];3
[4.5990553786523166e-10, 1.9810087980489796e-13, 1.1548224173015786e-17, 1.0];4
[2.577863830083124e-10, 0.07585817148650026, 3.181336702326958e-14, 7.481801075161391e-16];5
[0.9999991655356624, 0, 8.878265478459658e-13, 8.315279260963632e-07];6
[2.622972199257331e-05, 6.330177420310631e-17, 0.04742446118883485, 3.5498068550825182e-06];7
[1.2501528663867426e-09, 1.0, 6.224144622907783e-11, 1.2664165549094176e-14];8
[2.413348962500173e-12, 0, 0.9999938011552557, 6.144177195963701e-06];9
[1.0364018612851426e-06, 2.853885457602166e-11, 0.970683164508459, 1.1065714786099546e-12];10
[2.1530933870483914e-06, 1.5909327823137166e-05, 1.5489640253139987e-14, 0.04742501522883105];11
[0.0008678783693841527, 0.04738454212479999, 3.5468188408045024e-06, 1.631204737963892e-15];12
[1.0305763178391864e-09, 0.4999998798383977, 2.521737105578159e-07, 8.569554400225183e-16];13
[8.281202403578391e-07, 2.7423576035590753e-05, 3.0464841124560236e-07, 0.004070017612595642];14
[9.237449661970594e-09, 0, 0.9999998807907247, 3.442477108469977e-14];15
[6.1067281993255e-11, 0.0008946796147719642, 3.752096327508721e-16, 0.017970120436925606];16
[1.0815941557285693e-11, 0, 0, 0.9999998807907247];17
[1.463775722192624e-12, 0.9999971389852362, 1.3709551640442868e-06, 2.543660795724355e-13];18
[3.581303901077437e-10, 0.999876633606226, 5.384272646843293e-13, 4.59848523386639e-10];19
[9.29498983320055e-14, 0.9933071486460123, 1.3794988049716252e-11, 2.274409022662126e-11];20
[8.764164637457892e-08, 2.9400497006518893e-11, 0.9999897481064004, 0];21
