confidence_per_choice;id
[0, 0.009828476588701795, 0.00010918456446332882, 0.000628313487235903];0
[0.002587899586236314, 0.002015458224271006, 0, 0.009032657095438332];1
[0.013536612914621757, 0.0038783045332787323, 9.120902385769861e-05, 0];2
[0.01045170314407265, 0.00181623367111892, 0.004937034984438022, 0.0029944630861355446];3
[0.12100531199212453, 0.0017260480744870968, 0.0010469010773143795, 0.07339343171131632];4
[0.003046340690476927, 0.0006797304861327951, 0, 0];5
[0.03387904002885566, 0, 0.002165814568781175, 0.002165814568781175];6
[0.019211647183632993, 0, 0.011652453040455275, 0.019211647183632993];7
[0.003049114982487281, 0.006454976468579529, 0.0018493817218676852, 0];8
[0.036280040016852186, 0, 0.036280040016852186, 0.017137481521960037];9
[0.004904843647937204, 6.996380371989617e-05, 6.996380371989617e-05, 0];10
[0.0322217858392659, 0.00027877320291094733, 0, 0.0012493742208409334];11
[0.0038930512341172887, 0.0006765108650071834, 0.002361254933324241, 0.0002488744389652517];12
[0.003840667906471636, 0.003840667906471636, 0.013405248179302989, 0];13
[0.017336028737250472, 0.00019258579139690127, 0.00040770431799512714, 0.013501312755919046];14
[0.04493350775342654, 0, 0.010026020781052778, 0];15
[0.002120724981596788, 0.015670155859422337, 0, 0.0027230647781749185];16
[0.0008317203322740692, 0, 0, 0.0961338224526997];17
[0.0039059556536364236, 0.0014369207831002033, 0.0014369207831002033, 0.0006787533168749624];18
[0.05618985682076419, 0.0008015054520983259, 0.007604472000910028, 0.0008015054520983259];19
[0.0009728183101748982, 0.0026443943349406607, 0.004359869188135587, 0.003395469537808885];20
[0.030772915339331998, 0.0032434421875702783, 0, 0];21
[0.00025484412486968295, 0.0003272263336262175, 0.002417892583270215, 0.00015457077518109754];22
[0.00032659282679494767, 0.005108768929518354, 0.003978713242839757, 0];23
[0.0017588596948991198, 0.00018538235955826591, 0.0005039217395926482, 0.03532764134460287];24
[0.013088941469669246, 0, 0.00014540493614131875, 0.0037500445168825052];25
[0.007783656196175052, 0.006061917540739723, 0.007783656196175052, 0.0013525966316718303];26
[0.006314910175420481, 0.0023231256263815414, 0.0008546301572042984, 0.010411526728776425];27
[0.003817372352720697, 0.00014801565955481158, 0, 0.00808137733412648];28
[0.00041983127490861357, 0.0024159621780600053, 0.006567266086864848, 0.00019831425206144707];29
[0.0013776401631732387, 6.858866499022127e-05, 0.0006507511347957118, 0.004808436641448296];30
[0.04347574129199462, 0, 0.00017767537541706088, 0.015993827597787075];31
[0.007309366640314578, 0.0002834147660870892, 0, 0.0056925404632329965];32
[0.0006107949780699715, 0, 0.0007842762762270752, 0.007441006131565438];33
[0.016092542716244905, 0.00037846032977761814, 0, 0];34
[0.17853976990051634, 0, 0, 0.0007296513192405869];35
[0.0044155382356067426, 0.00046539430605621325, 0.01978906945017856, 0.0044155382356067426];36
[0.020237822266022627, 0, 0, 0.0016612220089233195];37
[0.0012015108731456598, 0.005384798148069248, 0.002543598538409671, 0.018794792293467068];38
[0.010380989645918548, 0.00024413759264042253, 0.00031347887411926065, 0.0006636344652725494];39
[0.09116309503342594, 0.0002901520790451192, 0, 0.0001370581373491814];40
[0.0010079895871696106, 0.004517495915832622, 0.001661893873010778, 0.015767610055189025];41
[0.003102932052423498, 0.0006923577257869512, 0.0014657213169928893, 0];42
[0.005181140249169102, 0, 0.00403507608325567, 0];43
[0.010750561033812974, 0.0014549302224635707, 0.02275893788717764, 0.005078205455574114];44
[0.036090869974660454, 0, 0, 0.0005148086112978347];45
[0.008166631741546367, 0, 0.008166631741546367, 0.006360179195372101];46
[0.025794033194256258, 0, 0, 0.007390116002466135];47
[0.0008747765696172235, 0.00015201337414043776, 0, 0.0018519020124120407];48
[0.00014706351405575018, 0.02182615550597846, 0, 0.016998231052187892];49
[0.005332341027612432, 0, 0.02389788880506451, 0.011288566044039966];50
[0.008030571306138642, 0, 0, 0.01031145766760529];51
[0.0006711921251692535, 4.290785656078987e-05, 0, 0.01731027305785824];52
[0.0018436989854534712, 0.0023673563580436595, 0.003039745734085384, 0];53
[0.0038739093433679808, 0.002349644789699916, 0.002349644789699916, 0.0006731845031665786];54
[0.016863657865615788, 0.002282247913648444, 0, 0];55
[0.013407997072902035, 0, 0.002329960525130212, 0.0003153258675986241];56
[0.007401281038223379, 0, 0.0016514490233623196, 0];57
[0.002915869098648703, 0.027664989145531543, 0.010177383173349108, 0.0003073303419214756];58
[0.00420278553266262, 0, 0.024185360872938485, 0.024185360872938485];59
[0.0003895374098060987, 0.01656355214445718, 0.027308687249814913, 0];60
[0.03095044125521658, 0.0005668771054775275, 0.00016241308739410815, 0.000267773911826745];61
[0.013500617477640557, 0.0004076833224103664, 0.0008630656003154561, 0.00014997838433849207];62
[0.0007886707467424093, 0.000614217395148498, 0, 0.05529008790614683];63
[0.059207100676190436, 0, 0.002295708974071903, 0];64
[0.0007758169816149744, 0.05438896940168053, 0.009451385693135623, 0];65
[0.0011133575774553766, 0.0014295794273145943, 0.00388599977960815, 0.0023569780099688795];66
[0.0023493266182278883, 0.00040825175090255855, 0.0011097433159150134, 0.0011097433159150134];67
[0.00645499493644176, 0.0003213752742148415, 0, 0.005027155111222797];68
[7.872103009680479e-05, 0, 0.00021398594562972205, 0.019262410149247736];69
[0.0006273575820488427, 0.002811621618662014, 0.0013281160116194873, 0];70
[0.002385406168049335, 0.001126786088488618, 0.001126786088488618, 0.002385406168049335];71
[0.016297359996781235, 0.0059954636881857, 0.002832056514472209, 0.001337768772908971];72
[0.0019522013130132169, 0, 0.0004355949916146141, 7.569502334592665e-05];73
[0.008256276831012035, 0, 0.00041105581904960723, 0.008256276831012035];74
[0, 0.012854858185842404, 0.0006400057033577312, 0.012854858185842404];75
[0.002387906455790869, 0, 0.000532813949900086, 0.0030661325819082183];76
[0.0005075827959442718, 0.007939930827703244, 0.027713075039895427, 0];77
[0.006441048300880945, 0.001119286363198871, 0, 0.003906693275174256];78
[0.03371641366530151, 0, 0, 0.007523148780769433];79
[0.004714266234059148, 0.001734281627719079, 0.0008192166339677372, 0.0010518949797879529];80
[0.021386441740648757, 0, 0.001367189805264943, 0];81
[0.00012954258455220508, 0.003340948882441283, 0.0007454664591868411, 0];82
[0.002395943966234286, 0.00032425590990660006, 0.00041635263129883204, 0.00025253075655079103];83
[0.05634622599872032, 0.0006259501788009372, 0, 0.0004874904894138557];84
[0.000465072193661971, 0.009341224717745403, 0.000766774418101661, 0.0016232614558593901];85
[0.03400395237283959, 0.0001784364508064731, 0, 0];86
[0.025271911340249007, 0.00439159864508626, 0.00036048436873862145, 0.03244977648915889];87
[0.01997023291578979, 0.00017277640951584146, 0.05428472124508608, 0];88
[0.01055729562705453, 0.00011728090465024278, 0.01055729562705453, 0];89
[0.05782299539755786, 0.00023630942241772865, 0.00030342730458716354, 0.0036964995430168956];90
[0.005311124183350448, 0.005311124183350448, 0.023802801528699086, 0.002508797421668688];91
[0.017648304299815305, 0, 0, 0];92
[0.017233292901786608, 0.003845267405060445, 0.0002458197209733807, 0.0029946972661800235];93
[0.05256298658882661, 0.003360239311260539, 0.024828996776736216, 0.14288102832668872];94
[0.0031040671080377327, 0.0004200898012517398, 9.37347493262236e-05, 0.0031040671080377327];95
[0.00792174833068126, 0.058534242817014054, 0.006169463803229159, 0.1591125875597961];96
[0.0003167019406789851, 0.006361128523152946, 0.004954051875049363, 0];97
[0.01768627314500376, 0.0008805476902430184, 0.0004159412769641574, 0.00113064561487772];98
[0.0036070292165680294, 0.0021877738103277503, 0.0013269518924801122, 0.0028091571784246176];99
[0.012240313592455612, 0, 0.025912744078572875, 0.009532765810843991];100
[0.0013167962479396192, 0.00017820907815650736, 0.00010808926974104667, 0.04360630288803075];101
[0.0010884517552010684, 0, 0.0017945535609308902, 0.028071540750100963];102
[0.01714986625363923, 0.006309083213553777, 0.008101023202201024, 0];103
[0.0005465823576474817, 0, 0.00854998661507124, 0.029842392683286922];104
[0.010341390781135107, 0, 0, 0.00011488247438824081];105
[0.001213500893857154, 0.008966626180812998, 0.002000724735715908, 0.014783467310723044];106
[0, 0.003507475489173364, 0.012242292372106278, 0];107
[0.010309014264718327, 0, 0.006252733222966556, 0.003792474406733006];108
[0.011651808524859628, 0.00021341021558005845, 0.0020247807156943713, 0];109
[0.0016195511261384108, 0, 0.011966954126123027, 0.03252955394304322];110
[0.005814431279535974, 0.0010103966523665837, 0.004528283633617488, 0.009586376527595123];111
[0.00514343408231027, 0, 3.465616971454298e-05, 0];112
[0.004270690205950826, 0.0012235732299087448, 0.0012235732299087448, 0.0070411777831218365];113
[0.004381460372293399, 0, 0, 0.007223806912529829];114
[0.0001953037361711969, 0.0001953037361711969, 0.013691848957130494, 0];115
[0.004794205441352499, 0, 0, 0.0017636896186258451];116
[0.00025296462661183403, 0.00837703793981273, 0.0003248130100925192, 0.0030817400359702775];117
[0.033103394794900924, 0.0003677454105032741, 0, 0.0007785170401446661];118
[0.00011667781149437554, 0.0023435376083725573, 0, 0];119
[0.008297136324828043, 0.0008745117347209527, 0.00019512985037478184, 0.002377169357266163];120
[0.008592746247960316, 0.0002594784531003463, 0.004058925923727303, 0.0014931954005770803];121
[0.00349138797529171, 0.00047250798052500727, 0, 0.02579806776330027];122
[0.010262444995534907, 0.0005109370506141396, 0.002289860995368156, 0];123
[0.012940423858422976, 0, 0.0001845851447810631, 0.00011195654963721017];124
[0.002347219260546933, 0.002347219260546933, 0, 0.010519506905680185];125
[0.00010086275751781468, 0.00010086275751781468, 0, 0.005506922593618987];126
[0.000942642385521639, 0.014745407835147988, 0, 0.008943541941984143];127
