id;confidence_per_choice
0;[0.10519286536316005, 0.2226932977213447, 0.36715917679553733, 0.28594385440021686]
1;[0.17600398201161901, 0.290181508870479, 0.09420814283656985, 0.42221160408750236]
2;[0.5776421574087726, 0.2407970763888718, 0.08858429389765526, 0.06898951745532139]
3;[0.2821589660480208, 0.19392483227955065, 0.21974562370881656, 0.2821589660480208]
4;[0.3067075942718645, 0.3067075942718645, 0.21079684126682388, 0.16416874504758106]
5;[0.20496009923523542, 0.49167374761048915, 0.1596230857827942, 0.08544008092070775]
6;[0.4861211032320403, 0.08447518110311256, 0.22962734974837778, 0.178833959798648]
7;[0.31017221794715094, 0.12929901722161183, 0.35147116895112057, 0.18812895997601617]
8;[0.25105423763257395, 0.41391846168422924, 0.1725468859199091, 0.13437964987095757]
9;[0.36990551515438524, 0.15419956013747613, 0.3264404713727041, 0.13608063420122973]
10;[0.3079050040191488, 0.2717252123371962, 0.3079050040191488, 0.08821626062874224]
11;[0.3358149191975141, 0.3358149191975141, 0.09621258520730494, 0.1797487733676507]
12;[0.26766402366869974, 0.26766402366869974, 0.3436874095235197, 0.09846809144894098]
13;[0.3720448300731559, 0.22565659622694584, 0.2897488049986416, 0.09406766445694233]
14;[0.2559020061604791, 0.42191108077161715, 0.1369744733783335, 0.15521241261830176]
15;[0.27455590068156654, 0.18869932696723965, 0.35253675477672664, 0.1665265715683868]
16;[0.33013996507780247, 0.4239081062243017, 0.06500840582571787, 0.15594707722584053]
17;[0.129722010631995, 0.07868037668787317, 0.35262098425212307, 0.39957192282419496]
18;[0.09464974658650882, 0.29154177893607264, 0.4806711322296575, 0.10725221392766959]
19;[0.22508533812198914, 0.47650566454352045, 0.10632277256656676, 0.17529663758729708]
20;[0.09127784091869819, 0.46354709736465094, 0.3185909692229005, 0.10343134423630271]
21;[0.510463269016001, 0.2411257746859976, 0.10051616544968853, 0.11389973738752374]
22;[0.0751726095219287, 0.1093755014688527, 0.4901869894957021, 0.2973134381213779]
23;[0.2641612116309401, 0.3391897098371565, 0.2993338683198583, 0.0756834452544939]
24;[0.24318059555070975, 0.2755597156641563, 0.24318059555070975, 0.2146061223421786]
25;[0.36412534184133694, 0.32133948632753684, 0.1720006324912359, 0.11821417656426374]
26;[0.21496045827973442, 0.3127656212794076, 0.3544098799252456, 0.10154014275775441]
27;[0.13375191447415136, 0.4668400527318927, 0.17174085771545536, 0.19460788724863817]
28;[0.23646863259722067, 0.5006040991366927, 0.052763277571624856, 0.18416195623853981]
29;[0.08021443933441076, 0.5927090275144405, 0.13225125234792806, 0.16981396940352397]
30;[0.1546957337646112, 0.2250809645055723, 0.4764963771960953, 0.12047715859368477]
31;[0.2578009931492387, 0.12177655191021873, 0.42504198101276786, 0.17718385865313663]
32;[0.28684530983871237, 0.47292796373165386, 0.09312503758930829, 0.11957491519467316]
33;[0.09842441114568717, 0.09842441114568717, 0.38927609748947195, 0.38927609748947195]
34;[0.8520501118211117, 0.0898054157209749, 0.025729682388082837, 0.015605841233040409]
35;[0.7958507893360242, 0.13829812387866233, 0.02120870673040278, 0.02723251849691354]
36;[0.16384513450499433, 0.23839326403173114, 0.39304402177349695, 0.1856608607068604]
37;[0.49445451914254307, 0.18189964134478914, 0.16052587006802524, 0.12501767331219665]
38;[0.14308865491380982, 0.23591330895226867, 0.09834329843888265, 0.4994284492028476]
39;[0.4058781027382779, 0.24617751341675972, 0.19172324022354376, 0.1317693275007077]
40;[0.2164253249771871, 0.5883050281038312, 0.09021949807956775, 0.07961842760795539]
41;[0.1080510949861417, 0.37713542338896333, 0.2018660454682907, 0.29371336305929047]
42;[0.20268519158240575, 0.2296724113011564, 0.3341713866178429, 0.20268519158240575]
43;[0.39121632046666616, 0.08729215503538862, 0.44330616835129855, 0.052945368381351735]
44;[0.1317357163943789, 0.4057745490562046, 0.35809480403387445, 0.079901750972399]
45;[0.5037491400949448, 0.3055393164830205, 0.05309477190440806, 0.11240163300367804]
46;[0.3467901144156982, 0.07737933376746704, 0.44528729462461464, 0.11258626630054083]
47;[0.09573522270412868, 0.3786401508807169, 0.42905550123947406, 0.07455866640949076]
48;[0.12080655524379176, 0.3721103869216743, 0.42165630931039344, 0.05706497604902687]
49;[0.08968901386263883, 0.5161246699456832, 0.27626161166254304, 0.10163096731553833]
50;[0.3281355858890924, 0.15500027553808374, 0.3281355858890924, 0.17563832245091143]
51;[0.3972789877621437, 0.24096190089978833, 0.14615078071835882, 0.1876613171111294]
52;[0.22967361598405495, 0.17886999197922313, 0.13930408982139486, 0.4290867790154855]
53;[0.08793755985327437, 0.44658380466049963, 0.3941088243573349, 0.04706958390753785]
54;[0.386725975688025, 0.26579261692035777, 0.20699949819217256, 0.1255515421986825]
55;[0.2789012700936264, 0.358116319546709, 0.21720852754852565, 0.1026020433840488]
56;[0.34327250373970675, 0.20820529815445177, 0.34327250373970675, 0.0765944578647636]
57;[0.467218331186588, 0.19476556556033062, 0.2833822257535395, 0.03384518037577486]
58;[0.16587153250286135, 0.5109202891711684, 0.1463811136607352, 0.1463811136607352]
59;[0.11886113904634193, 0.2220618425191176, 0.5326986360006097, 0.10489458704607367]
60;[0.1288526089787876, 0.2407283658292148, 0.5096219544595898, 0.10035051277347332]
61;[0.45134924123888975, 0.27375715304942033, 0.12931372267414903, 0.1141189597216199]
62;[0.2777603573272863, 0.31474371922870337, 0.31474371922870337, 0.054694257266631484]
63;[0.24497306045193443, 0.2775908444941556, 0.16836735804122724, 0.2775908444941556]
64;[0.2940831616897775, 0.2595274792935134, 0.2940831616897775, 0.13891504930657864]
65;[0.029070674002462438, 0.5152899954767175, 0.3541533104685781, 0.07902228488195043]
66;[0.2283416334289822, 0.2587449686908035, 0.3322351162390656, 0.15693675655735773]
67;[0.21564191305845357, 0.31375713213189454, 0.24435430019855772, 0.19030332034150188]
68;[0.3148099121299347, 0.35672636494013904, 0.13123229578529833, 0.16850560327860664]
69;[0.08891976624526064, 0.11417523990484736, 0.4515718336815344, 0.3103604798932986]
70;[0.08885873084445257, 0.5113466903039597, 0.3514430979911591, 0.022467005590434148]
71;[0.14179354222947774, 0.49490809153422577, 0.2337780291216568, 0.11042892172278557]
72;[0.2747917205771489, 0.2747917205771489, 0.2747917205771489, 0.14708540890131594]
73;[0.4170159498682582, 0.11947705576168874, 0.28661059142928735, 0.153411594597113]
74;[0.28203951637415237, 0.21965259620927016, 0.28203951637415237, 0.1710656139314467]
75;[0.10629879480984177, 0.2889500823186895, 0.1546638338325816, 0.4204198639679384]
76;[0.2421117933859906, 0.2743486041445703, 0.39917486364283733, 0.06121544797927615]
