id;confidence_per_choice
0;[8.592150230932485e-10, 0.9999985694905718, 1.3709577789362383e-06, 8.152005165739432e-09]
1;[0.9706877714009485, 0.029312232836486894, 4.2355577221360425e-09, 3.2986556707436856e-09]
2;[0.9999977350285647, 2.2603250957489616e-06, 3.978954946575725e-12, 6.224132751305368e-11]
3;[0.11919918949852097, 0.8807694850271486, 3.1141793430343845e-05, 6.01178612699891e-08]
4;[3.2241867372567335e-08, 2.9400777392844726e-11, 1.8553913626159784e-07, 0.9999997615814777]
5;[1.8553913626159784e-07, 0.9999997615814777, 1.9555681087850496e-08, 2.9400777392844726e-11]
6;[1.0, 1.2501528663867426e-09, 9.237449661970594e-09, 1.6052280551856116e-09]
7;[0.9994590825663191, 0.00033528128111069905, 2.2591075019093654e-06, 0.00020335837662136918]
8;[6.47594599989589e-07, 0.9999994039539004, 5.3157852544244216e-08, 1.9810087980489796e-13]
9;[3.059020287707785e-07, 2.3823673954981372e-07, 0.9999994039539004, 7.582560427911907e-10]
10;[0.451794266609911, 0.2740270745812947, 0.2740270745812947, 0.00015156014615037115]
11;[0.0019265495951526937, 0.9979775407822953, 1.2476254940875243e-09, 9.591725640794775e-05]
12;[5.1599656370133296e-08, 0.9706877714009485, 0.029312232836486894, 4.0185852787275215e-08]
13;[1.7603060214876799e-06, 0.9999767547297425, 2.144491747576362e-05, 4.944337333742898e-09]
14;[0.004070025375545574, 2.7423628341960895e-05, 5.2940006275561475e-08, 0.9959025877606487]
15;[1.4449802461092448e-07, 1.6918979226151304e-10, 0.9999998807907247, 9.736200313009565e-10]
16;[9.931194312156244e-08, 0.9999996423722521, 1.3440409951135022e-08, 2.699578503363014e-07]
17;[5.043471815847051e-07, 8.764248219443636e-08, 1.1253517471925912e-07, 0.9999992847447459]
18;[9.226637905387728e-09, 0.9988304957495425, 0.0011695103074966034, 1.1847237581092388e-08]
19;[0.8807948287782343, 0.11920262828359111, 2.556349645433389e-06, 3.646436929564917e-08]
20;[2.413362771833214e-12, 0.9999991655356624, 8.315279260963632e-07, 2.510999155743982e-08]
21;[1.3709577789362383e-06, 0.9999985694905718, 7.582545965339434e-10, 1.542808260515855e-13]
22;[1.6052249934589952e-09, 3.059020287707785e-07, 0.9999985694905718, 1.0677029917933763e-06]
23;[8.37949249563588e-12, 0.005220125868449866, 0.9947799187523881, 1.1340409902759523e-12]
