id;confidence_per_choice
0;[1.6918979226151304e-10, 7.991959892953932e-11, 1.0, 1.9810087980489796e-13]
1;[1.0, 3.97896253583724e-12, 6.778639342809131e-15, 8.703945206726412e-15]
2;[3.775134544279098e-11, 1.0, 3.442477108469977e-14, 3.442477108469977e-14]
3;[3.97896253583724e-12, 1.8795288165390832e-12, 6.914400106940203e-13, 1.0]
4;[2.9400777392844726e-11, 2.129785170955785e-12, 7.835041785064389e-13, 1.0]
5;[1.0, 6.560200168153779e-12, 3.701011678592672e-13, 1.2015425731771786e-13]
6;[1.0, 1.7482341282710566e-13, 3.701011678592672e-13, 0]
7;[2.9400777392844726e-11, 7.835041785064389e-13, 1.0, 5.008774637843506e-14]
8;[6.224144622907783e-11, 1.0, 3.037975385443128e-14, 5.675685232632723e-14]
9;[2.9400777392844726e-11, 1.006039279283317e-12, 1.0, 3.442477108469977e-14]
10;[6.224144622907783e-11, 5.789356328730652e-12, 1.0, 6.101936677605324e-13]
11;[5.109089028063325e-12, 1.0, 1.2015425731771786e-13, 5.384940217754036e-13]
12;[1.0, 8.878265478459658e-13, 2.3659776091347615e-14, 0]
13;[7.991959892953932e-11, 1.0, 1.1399918530443554e-12, 1.1399918530443554e-12]
14;[3.5114221133765118e-12, 1.463778514125909e-12, 1.2015425731771786e-13, 1.0]
15;[1.026187963170189e-10, 9.545034922840628e-12, 1.0, 8.878265478459658e-13]
16;[1.2256067444099483e-11, 2.9400777392844726e-11, 5.384940217754036e-13, 1.0]
17;[2.9400777392844726e-11, 7.433680672352188e-12, 2.413362771833214e-12, 1.0]
18;[2.289734845645553e-11, 1.0815941557285693e-11, 1.0, 6.101936677605324e-13]
19;[1.783247290814639e-11, 7.835041785064389e-13, 1.0, 1.8426252147235624e-14]
20;[1.783247290814639e-11, 2.9400777392844726e-11, 1.0, 7.287724095819692e-14]
21;[1.783247290814639e-11, 1.0, 3.442477108469977e-14, 1.2015425731771786e-13]
22;[2.5946094982764667e-11, 3.0988191387218256e-12, 1.0, 1.9810087980489796e-13]
