confidence_per_choice;id
[1.604787431928826e-05, 0.0008761838320004348, 0.0006823726544764429, 0.0004138799362894578];('abstract_algebra', 0)
[0.00993453503323234, 0.0002999969635209726, 0.0022166943929653187, 0];('abstract_algebra', 1)
[0.0008202458164172747, 6.732987671187074e-05, 0.002862939208719573, 0.007782275627045333];('abstract_algebra', 2)
[0.019393220074633677, 0.019393220074633677, 0.03197401444441727, 0.1432975910703763];('abstract_algebra', 3)
[0.000992701969392673, 0.01993895205995765, 0.012093585746904684, 0.00028441387608355847];('abstract_algebra', 4)
[0.05787535103189767, 0.007832575156888594, 0.0954203222955263, 0.05787535103189767];('abstract_algebra', 5)
[0.08108138125447177, 0.0004254760399638812, 0.049178343662686315, 0.029828173225303737];('abstract_algebra', 6)
[0.016528876267448887, 0.010025270226804264, 0.12213282311119396, 0.016528876267448887];('abstract_algebra', 7)
[0, 0.0002032876016939503, 1.2995741586135306e-05, 4.5359595122161346e-05];('abstract_algebra', 8)
[9.080665754165282e-05, 0.0002468380870985784, 0.00031694637764115714, 0.0008615495789378756];('abstract_algebra', 9)
[0.10540068206167647, 0.00026126229466203973, 0.008651814841990707, 0.0387747440159384];('abstract_algebra', 10)
[0.07799005773133508, 0.008220089648595422, 0.2722120487546078, 0.013552636650701213];('abstract_algebra', 11)
[0.0005271280325599248, 0.000248997651593485, 0.0014328825521790114, 0.003894978603904226];('abstract_algebra', 12)
[0.002736390897645867, 0.025962160171740568, 0.020219350671976794, 0.020219350671976794];('abstract_algebra', 13)
[0, 0.0001815985074368352, 0.0004936359228408339, 0.0008138680459693701];('abstract_algebra', 14)
[0.05151105502369595, 0.01894985813626868, 0.06614150389082636, 0.040116849989288626];('abstract_algebra', 15)
[0.0004486542194346373, 0.0012195686119506515, 0.01907725830588101, 0.00901146089019835];('abstract_algebra', 16)
[0.0037459625813527795, 0.0017694674312504453, 0.010182582014978799, 0.010182582014978799];('abstract_algebra', 17)
[0.0012290775431314262, 0, 0.0026019571792274946, 0.4958452703345264];('abstract_algebra', 18)
[0.13577990149182717, 0.00020413677685144084, 0.006760084850285063, 0.011145495684402675];('abstract_algebra', 19)
[0.04096176200362879, 0.001588260251752944, 0.03190105232441062, 0.11134561331612831];('abstract_algebra', 20)
[0.00021975872707565093, 0.00021975872707565093, 0.00021975872707565093, 4.903479996640507e-05];('abstract_algebra', 21)
[0.009740544275273683, 0.0013182393183729301, 0.043654090817638075, 0.2512119777845768];('abstract_algebra', 22)
[0.021053921939521162, 0.0006357735049314818, 0.0013459325205018452, 0.6972101405302712];('abstract_algebra', 23)
[0.11651381092096018, 0.0003708379199273904, 0.0012943515221783652, 0.24665973965527874];('abstract_algebra', 24)
[0.042288556400027905, 0.00010482287621636546, 0.24335383982401984, 0.004457182115078506];('abstract_algebra', 25)
[0.01017580123315041, 0.0010725215592697161, 0.26243734144777053, 0.007924921968756507];('abstract_algebra', 26)
[0.022155986234296488, 0.4450149326285106, 0.0038501330989674787, 0.21021016964400446];('abstract_algebra', 27)
[0.02372792402594794, 0.008729015430824168, 0.050232015557116066, 0.03912073305113699];('abstract_algebra', 28)
[0.215712051847028, 0, 0.00019670397672994264, 0.013790013398885923];('abstract_algebra', 29)
[0.0964136477296042, 0.00023898553917009994, 0.0037383628148821065, 0.03546859884806709];('abstract_algebra', 30)
[0.0065947901353951175, 0.46233045422470087, 0, 7.326146585074137e-05];('abstract_algebra', 31)
[0.24881726922251748, 0.00037408163443878505, 0.004557247252360583, 0.026225147233653975];('abstract_algebra', 32)
[0.06383793816406062, 0.00015823842817805768, 0.04971703623183434, 9.597645823472748e-05];('abstract_algebra', 33)
[0.01615028957894876, 0.09293849962928598, 0.03419016330693402, 0.19675082871368058];('abstract_algebra', 34)
[0, 0.0005517933327891671, 6.460832601746991e-07, 0.00015809136133571413];('abstract_algebra', 35)
[0.0034169430907663944, 0, 0.00723366857991702, 0.009288214312508975];('abstract_algebra', 36)
