id;confidence_per_choice
('abstract_algebra', 0);[0.043505738809098304, 0.013268500676818985, 0.013268500676818985, 0.018135890147566384]
('abstract_algebra', 1);[0.019368485174631748, 0.008073985848010237, 0.010367203042822274, 0]
('abstract_algebra', 2);[0.044222357596545844, 0.006370836168376869, 0.044222357596545844, 0.01348706027429046]
('abstract_algebra', 3);[0.08937260527400075, 0.01370573618634102, 0.03965885318527596, 0.018733515764790817]
('abstract_algebra', 4);[0.04649952777598032, 0.011044605924902853, 0, 0]
('abstract_algebra', 5);[0.09674889412843796, 0.011555010357210769, 0.021587596241061845, 0.022979876579966346]
('abstract_algebra', 6);[0.10598181433657387, 0.008699517083975964, 0.025172887350445795, 0.011170401048734364]
('abstract_algebra', 7);[0.08142976246631653, 0.00913616396629942, 0.02483467441246111, 0.010352630065377068]
('abstract_algebra', 8);[0.02797635051840365, 0.01321508910192949, 0.012414427328596567, 0.009082589058023555]
('abstract_algebra', 9);[0.026910168186485936, 0.016321842063127236, 0.018495070085033684, 0.009299905275540633]
('abstract_algebra', 10);[0.08384745111333142, 0.010014152355623527, 0.034952817815998335, 0.01870889519495528]
('abstract_algebra', 11);[0.06554436495772398, 0.01373884525872633, 0.014624924649844082, 0.010699823445992924]
('abstract_algebra', 12);[0.05183217336914968, 0.01580791597353359, 0.013950436882960942, 0.008461367685901753]
('abstract_algebra', 13);[0.06920069181389252, 0.02246617534028496, 0.0198263301507239, 0.02884714015268926]
('abstract_algebra', 14);[0.05440335208398309, 0.015586825053523214, 0.015586825053523214, 0.04801078970433427]
('abstract_algebra', 15);[0.07738341103113136, 0.011867130433026622, 0.03655333510811653, 0.015237697099154785]
('abstract_algebra', 16);[0.07983241979382474, 0.021486604297723356, 0.013872797710296621, 0.024347512421624244]
('abstract_algebra', 17);[0.05804576526228238, 0, 0.008362287332752854, 0.01295176398685203]
('abstract_algebra', 18);[0.05994796373254217, 0.03415732011239481, 0.01828309159871164, 0.041201592758726265]
('abstract_algebra', 19);[0.11823788206828105, 0.02054666303223387, 0.06736991443506693, 0.03387572038315198]
('abstract_algebra', 20);[0.07120855624261747, 0, 0.019165522910977225, 0.010258565171643107]
('abstract_algebra', 21);[0.03576159803351213, 0.008494124057082327, 0.008494124057082327, 0]
('abstract_algebra', 22);[0.07656778239837372, 0, 0.028167713000450324, 0.015077086704075955]
('abstract_algebra', 23);[0.07447836139339334, 0.013777111553352026, 0.017690161403046332, 0.010729625266212657]
('abstract_algebra', 24);[0.09789242022573051, 0.015012292437295714, 0.043439498152494614, 0.01810828125101991]
('abstract_algebra', 25);[0.06402258158279063, 0, 0.015206696018150221, 0.009818180875955585]
('abstract_algebra', 26);[0.07712760612931949, 0.01111128515672544, 0.03215156966403662, 0.01616682450841017]
('abstract_algebra', 27);[0.07650918744124276, 0.017071507246590734, 0.01817252486937192, 0.017071507246590734]
('abstract_algebra', 28);[0.08250588267272166, 0, 0.025162872532476465, 0.013468718308566913]
('abstract_algebra', 29);[0.08612859286803627, 0.01028659349886539, 0.03372844158487823, 0.013208247503678045]
('abstract_algebra', 30);[0.08872132164728054, 0.00825236841511678, 0.032638750227593355, 0.015417453930783283]
('abstract_algebra', 31);[0.032987492127758256, 0.05438717993808806, 0.01765693215956283, 0]
('abstract_algebra', 32);[0.08971762958611748, 0.010066039064418376, 0.027362331073367357, 0.01375864411058462]
('abstract_algebra', 33);[0.04687982861894788, 0, 0.022144463037821974, 0.01835840466482402]
('abstract_algebra', 34);[0.09281761634400772, 0.012561495402369293, 0.04384393746605699, 0.022046116260516696]
('abstract_algebra', 35);[0.029406408165536344, 0.014786470620334202, 0.010818013002796847, 0.0115157148979786]
('abstract_algebra', 36);[0.03924563547356194, 0.018538325538776934, 0.013562928698669879, 0.013562928698669879]
('abstract_algebra', 37);[0.056616735197261805, 0.0208281329053202, 0.014314955856011067, 0.02217143206731809]
('abstract_algebra', 38);[0.016560456371880708, 0.01138182411627925, 0.0083271204093917, 0.007822605688203262]
('abstract_algebra', 39);[0.09315181794264268, 0.012606727665272929, 0.0321924068667112, 0.019525681774603856]
('abstract_algebra', 40);[0.05065128347437474, 0.00685490416096576, 0, 0]
('abstract_algebra', 41);[0.02957600147588731, 0.014871747492191294, 0.015830892799863206, 0.005471010156670132]
('abstract_algebra', 42);[0.08974651120604511, 0.012929210795932438, 0.035145238762899655, 0.024154945802289825]
('abstract_algebra', 43);[0.0743768072382929, 0.012924754176552927, 0.03981103609105023, 0.01766604438885703]
('abstract_algebra', 44);[0.07754582739671072, 0.008173270075621485, 0.03232591022623384, 0.014344535708813737]
('abstract_algebra', 45);[0.07571952448608782, 0, 0.024582530451609387, 0.008495497224502217]
('abstract_algebra', 46);[0.08290751467846072, 0.011943962779248793, 0.041688516431419353, 0.014407169202288182]
('abstract_algebra', 47);[0.026847980414530827, 0.011191903339890357, 0.00282975631674367, 0.003867818298001463]
('abstract_algebra', 48);[0.08881158427231964, 0.00996438597323419, 0.030692462246224336, 0.01861591937440754]
('abstract_algebra', 49);[0.023649566007861285, 0.007212710119892487, 0.00926130311714284, 0]
('abstract_algebra', 50);[0.08208108459946965, 0.011824901390415544, 0.03877235897749508, 0.019495966446309628]
