id;confidence_per_choice
('abstract_algebra', 0);[0, 0.02146800120266561, 0.0037305792269861017, 0.0037305792269861017]
('abstract_algebra', 1);[0.010820623483584361, 0.005791862383289498, 0.007436898510101353, 0]
('abstract_algebra', 2);[0.030093829300026017, 0, 0.01825283013862416, 0.020683166235673508]
('abstract_algebra', 3);[0.023510317664866196, 0.04392305593533364, 0.06390766928970548, 0.13529253694798382]
('abstract_algebra', 4);[0.051718544984099286, 0.051718544984099286, 0.1405855810246188, 0.024430110806920077]
('abstract_algebra', 5);[0.08552547597359543, 0.03565232264831874, 0.20516497577540427, 0.03565232264831874]
('abstract_algebra', 6);[0.16551121755285572, 0.019767495993776345, 0.07818196327541058, 0.02538196728028193]
('abstract_algebra', 7);[0.023338156632181136, 0.016040064840042518, 0.41367872451851345, 0.016040064840042518]
('abstract_algebra', 8);[0, 0.05697178754380382, 0, 0]
('abstract_algebra', 9);[0.007051277650413358, 0, 0.01691513574647897, 0.007990144361710581]
('abstract_algebra', 10);[0.18827317417698636, 0.017512133128142666, 0.07848393563870214, 0.017512133128142666]
('abstract_algebra', 11);[0.0236033755079578, 0.08238387547652781, 0.153913360664524, 0.02082990577631386]
('abstract_algebra', 12);[0.003398187451393521, 0.002646511048168696, 0.003398187451393521, 0.005602663932938756]
('abstract_algebra', 13);[0.146615619748999, 0.10076734355678094, 0.10076734355678094, 0.042006078352717836]
('abstract_algebra', 14);[0.005819091007680937, 0.008466727457057741, 0.015817929344328525, 0.026079350350623774]
('abstract_algebra', 15);[0.023818969503014643, 0.023818969503014643, 0.256078055205661, 0.03465639613193907]
('abstract_algebra', 16);[0, 0, 0.13047922979754112, 0]
('abstract_algebra', 17);[0.04507863471274502, 0.04507863471274502, 0.04507863471274502, 0.035107276014075636]
('abstract_algebra', 18);[0.01705694227444426, 0, 0.01705694227444426, 0.30234157207173495]
('abstract_algebra', 19);[0.21209577152973777, 0.010559626677685905, 0.08841467168515797, 0.013558829044882635]
('abstract_algebra', 20);[0.1757348090179312, 0.016345885445917648, 0.13686240687606863, 0.01852231480704913]
('abstract_algebra', 21);[0.13292368682278163, 0.005840259204911153, 0.012363828833819236, 0.004013947536895723]
('abstract_algebra', 22);[0.05772210051577902, 0.09516765490985571, 0.07411664416686486, 0.17779658656364272]
('abstract_algebra', 23);[0.01143458518447155, 0, 0.1393017815590395, 0.1393017815590395]
('abstract_algebra', 24);[0.2381043642952412, 0.011854518263853957, 0.06821804252393279, 0.03222392158177008]
('abstract_algebra', 25);[0.010336332649007306, 0, 0.20761074157372253, 0.009121781546832974]
('abstract_algebra', 26);[0.014755866875231012, 0, 0.15864050043617345, 0]
('abstract_algebra', 27);[0.13199005428015292, 0.022936432228500475, 0.012276987479756172, 0.07064918500429372]
('abstract_algebra', 28);[0.035951159278598314, 0.027998790998497173, 0.052308628095932036, 0.11073736654807435]
('abstract_algebra', 29);[0.32615056864383063, 0.006769039099333361, 0.023626267949142042, 0.008691618250097134]
('abstract_algebra', 30);[0.04055608119159745, 0.04055608119159745, 0.12492152461244613, 0.110242858536629]
('abstract_algebra', 31);[0.025466824216183438, 0.1660645542829749, 0.028857692465093055, 0.010616151777555774]
('abstract_algebra', 32);[0.2239439798641181, 0.008683250417914285, 0.034342921607183156, 0.012634054809045192]
('abstract_algebra', 33);[0.022219677686648193, 0, 0.21081443225994798, 0]
('abstract_algebra', 34);[0.051705525444052214, 0.040268303704946315, 0.10946059822402561, 0.18047003810921544]
('abstract_algebra', 35);[0, 0.055712973164775595, 0.005182113741329004, 0]
('abstract_algebra', 36);[0.007418063764921713, 0, 0, 0.009524982416769839]
('abstract_algebra', 37);[0.07264789449887243, 0, 0, 0.11977612893186981]
('abstract_algebra', 38);[0.0038609579877914688, 0.022218279168490486, 0.010495171938657349, 0.0043750385712219095]
('abstract_algebra', 39);[0.07530397097296367, 0.0517556119001045, 0.06645552113596072, 0.20469741590661453]
('abstract_algebra', 40);[0.026913312153320063, 0.006005171650894989, 0.2893453393486786, 0.00771079303132185]
('abstract_algebra', 41);[0, 0.010059215974921414, 0, 0]
('abstract_algebra', 42);[0.04742616855733868, 0.14608288346994117, 0.07819253288829389, 0.14608288346994117]
('abstract_algebra', 43);[0.026358954632416814, 0.009696917500036898, 0.3638741446903748, 0.015987514142535145]
('abstract_algebra', 44);[0.06471449422327427, 0.021009720223433663, 0.25595078973805024, 0.03056896254862638]
('abstract_algebra', 45);[0.006840432699103893, 0.027054429692651132, 0.29086253036746795, 0.014481196137640826]
('abstract_algebra', 46);[0.020260271296395366, 0.05507312730464191, 0.09080023643113913, 0.14970428118861978]
('abstract_algebra', 47);[0.0038580299908496643, 0.019592692951542628, 0.010487212817776658, 0]
('abstract_algebra', 48);[0.05542404909997172, 0.012366776951751129, 0.36141019909721056, 0.010913642354874936]
('abstract_algebra', 49);[0, 0.014775151468752705, 0.013039025406392497, 0.00479678937992391]
('abstract_algebra', 50);[0.03669685577289197, 0.047119695524917564, 0.0533936100930402, 0.239293530253857]
('abstract_algebra', 51);[0.0046784249377305204, 0.006007216530111753, 0.0053013499809786025, 0]
('abstract_algebra', 52);[0.014092122574575558, 0, 0.0013107715831682056, 0.0019071614000352468]
('abstract_algebra', 53);[0.06946858745809023, 0.017564409574030212, 0.12978440768710386, 0.0225531483221683]
('abstract_algebra', 54);[0.004886022014457508, 0.18334660158761457, 0.005536588287332984, 0]
('abstract_algebra', 55);[0.33575247468160446, 0.007896141370088107, 0.08489151998894025, 0.018941858450375867]
('abstract_algebra', 56);[0.01757292100457259, 0.013685804639213072, 0.12984729912486362, 0.037201874058613395]
('abstract_algebra', 57);[0.005278871826159007, 0.039005880062553386, 0.012663355203791818, 0]
('abstract_algebra', 58);[0.13158861955662987, 0.015716019423768414, 0.13158861955662987, 0.029361389755381627]
('abstract_algebra', 59);[0.2030621057146103, 0.008921925196635747, 0.05817826041237737, 0.011455978718267073]
('abstract_algebra', 60);[0.08254281328112954, 0.06428440762026044, 0.09353326118129582, 0.19800989187002097]
('abstract_algebra', 61);[0.15442597209815587, 0.018443550026513753, 0.08265825657206001, 0.03904499571252631]
('abstract_algebra', 62);[0.18327973253317972, 0.009124961661853368, 0.142738399217958, 0.02480421747080146]
('abstract_algebra', 63);[0.12064628917339275, 0.08291890107478818, 0.039168115457770915, 0.0269198258245729]
('abstract_algebra', 64);[0.03271176171449258, 0.12937752732271413, 0.03271176171449258, 0]
('abstract_algebra', 65);[0.03946943295265252, 0.01864403998248708, 0.3744755757861144, 0.023939421207255885]
('abstract_algebra', 66);[0.18032713614636534, 0.02440462404561557, 0.15913813910111804, 0.040236422767446205]
('abstract_algebra', 67);[0.047653626759276146, 0.015470867505972881, 0.3107407175681406, 0.022509979397886248]
('abstract_algebra', 68);[0.17197582435190822, 0.015996245365576457, 0.015996245365576457, 0.015996245365576457]
('abstract_algebra', 69);[0.2077470550089122, 0.010343116830951102, 0.2354082540125377, 0.017052916724525583]
('abstract_algebra', 70);[0, 0.12591348384953066, 0.036074817112268606, 0.01704053700008489]
('abstract_algebra', 71);[0, 0.015763791077905237, 0.00843774933123447, 0]
('abstract_algebra', 72);[0.008602741373277684, 0.002175113651632299, 0.0035861561436363997, 0.002175113651632299]
('abstract_algebra', 73);[0, 0.02501876969005723, 0, 0]
('abstract_algebra', 74);[0.04115961005161746, 0.09873677166214495, 0.111883420069772, 0.14366115507553862]
('abstract_algebra', 75);[0.03306437379007588, 0.03306437379007588, 0.19027235657505548, 0.017698083947961876]
('abstract_algebra', 76);[0.15099862148354828, 0.02623962591077729, 0.19388606786968765, 0.033692346593816265]
('abstract_algebra', 77);[0.006610894605639743, 0, 0, 0]
('abstract_algebra', 78);[0.15348606346855537, 0.06398251041000572, 0.08215516958993535, 0.17392249538671023]
('abstract_algebra', 79);[0.019473212847799397, 0.00557916889117401, 0.26881944344429465, 0.00557916889117401]
('abstract_algebra', 80);[0.014127027263099652, 0.09211978949064499, 0.22098391343789195, 0.038401241499429306]
('abstract_algebra', 81);[0.18673352265497878, 0.010534781952447008, 0.0535000499752524, 0.02230213888558485]
('abstract_algebra', 82);[0.23005318636206482, 0.016664996925023347, 0.23005318636206482, 0.024247427450547695]
('abstract_algebra', 83);[0.09411237304359722, 0.016354274292101956, 0.17582506048305377, 0.02099930886916662]
('abstract_algebra', 84);[0.10549430580511787, 0.043976569382503626, 0.17393070591864185, 0.07250510535335374]
('abstract_algebra', 85);[0.03279431771246647, 0.010646756160685871, 0.21384581397763186, 0.013670705515597455]
('abstract_algebra', 86);[0.10460423711313771, 0.009729709684349632, 0.08146586177629855, 0.016041579314324268]
('abstract_algebra', 87);[0.04541571852660543, 0.006964726008886178, 0.01893208815015139, 0]
('abstract_algebra', 88);[0.00536627096200854, 0, 0.0009325180666918377, 0]
('abstract_algebra', 89);[0.0266454251855089, 0.008650503030287778, 0.3678287925412646, 0.008650503030287778]
('abstract_algebra', 90);[0.1914427838036717, 0.033267767486695035, 0.07042786432199999, 0.05484927588402025]
('abstract_algebra', 91);[0.0253405662385504, 0.0884472669088197, 0.013563827684326582, 0.008226877353603083]
('abstract_algebra', 92);[0.03884203846067881, 0.0931772064306422, 0.026695716600411142, 0.018347679809104758]
('abstract_algebra', 93);[0.01010362959609445, 0.018876065148296012, 0.014700694318799787, 0]
('abstract_algebra', 94);[0.2916130343434819, 0.02393705837631522, 0.12156241295237014, 0.039465537303021575]
('abstract_algebra', 95);[0.09873401744090544, 0.05988520873451103, 0.16278487469649824, 0.036322215160771734]
('abstract_algebra', 96);[0.013324453338541282, 0.052699235244905995, 0.046506911872206486, 0]
('abstract_algebra', 97);[0.003806633360991174, 0.008058642888456676, 0.013286455943174843, 0]
('abstract_algebra', 98);[0.003064931015638186, 0.004459448314150605, 0, 0.005726044979774677]
('abstract_algebra', 99);[0.011379631707687875, 0.01461173634521696, 0.33256158635140964, 0.007821098869283678]
('anatomy', 0);[0.3108837742064035, 0.009387878767732706, 0.037129771939431414, 0.10092918435778497]
('anatomy', 1);[0.04983566477285479, 0.1535046543103781, 0.02354070117231024, 0.026675109117511774]
('anatomy', 2);[0.28374497015102024, 0.029906503392379685, 0.0633120681784948, 0.029906503392379685]
('anatomy', 3);[0.03473848425393549, 0.02387538778917887, 0.17641657975796649, 0.13739337046228325]
('anatomy', 4);[0.01622921743540281, 0.3259725071742709, 0.01432223411811489, 0]
