id;confidence_per_choice
('clinical_knowledge', 13);[1.1399918530443554e-12, 1.0, 9.237449661970594e-09, 5.789356328730652e-12]
('clinical_knowledge', 14);[5.008774637843506e-14, 1.0, 3.0988191387218256e-12, 2.413362771833214e-12]
('clinical_knowledge', 15);[1.8426252147235624e-14, 3.701011678592672e-13, 1.0, 6.914400106940203e-13]
('clinical_knowledge', 16);[6.101936677605324e-13, 8.423463754468647e-12, 1.3887943864964021e-11, 1.0]
('clinical_knowledge', 17);[2.543665647376923e-13, 2.020683909022217e-11, 1.0, 9.545034922840628e-12]
('clinical_knowledge', 18);[1.3615261080896538e-13, 7.835041785064389e-13, 1.0, 1.3615261080896538e-13]
('clinical_knowledge', 19);[1.1176086870894152e-14, 1.7482341282710566e-13, 1.0, 1.0603575991523846e-13]
('clinical_knowledge', 20);[1.0603575991523846e-13, 1.1399918530443554e-12, 5.384940217754036e-13, 1.0]
('clinical_knowledge', 21);[1.0, 2.7346982915918745e-12, 2.7894680928689246e-10, 2.2447770550209742e-13]
('clinical_knowledge', 22);[7.835041785064389e-13, 1.57371021068629e-11, 1.0, 2.7346982915918745e-12]
('clinical_knowledge', 23);[5.384940217754036e-13, 1.0, 1.8795288165390832e-12, 1.8795288165390832e-12]
('clinical_knowledge', 24);[3.701011678592672e-13, 1.0, 1.2917800047859961e-12, 1.2256067444099483e-11]
('clinical_knowledge', 25);[7.287724095819692e-14, 1.0, 2.7346982915918745e-12, 8.878265478459658e-13]
('clinical_knowledge', 26);[2.2447770550209742e-13, 2.129785170955785e-12, 5.109089028063325e-12, 1.0]
('clinical_knowledge', 27);[0, 0, 0, 0]
('clinical_knowledge', 28);[1.1176086870894152e-14, 3.2661313427874473e-13, 1.0, 3.701011678592672e-13]
('clinical_knowledge', 29);[1.8795288165390832e-12, 2.9400777392844726e-11, 1.0, 3.775134544279098e-11]
('clinical_knowledge', 30);[3.900837610180715e-14, 1.0, 6.560200168153779e-12, 9.545034922840628e-12]
('clinical_knowledge', 31);[5.008774637843506e-14, 1.1399918530443554e-12, 2.5946094982764667e-11, 1.0]
('clinical_knowledge', 32);[1.0, 1.026187963170189e-10, 1.103256032343554e-09, 3.97896253583724e-12]
('clinical_knowledge', 33);[1.9810087980489796e-13, 1.0, 1.463778514125909e-12, 5.789356328730652e-12]
('clinical_knowledge', 34);[1.8795288165390832e-12, 1.0, 2.172439935079017e-10, 7.433680672352188e-12]
('clinical_knowledge', 35);[4.508755242294825e-12, 2.020683909022217e-11, 1.6918979226151304e-10, 1.0]
('clinical_knowledge', 36);[1.463778514125909e-12, 2.9400777392844726e-11, 1.0, 1.57371021068629e-11]
('clinical_knowledge', 37);[1.0603575991523846e-13, 1.0, 2.7346982915918745e-12, 5.109089028063325e-12]
('clinical_knowledge', 38);[6.101936677605324e-13, 1.0, 4.508755242294825e-12, 2.289734845645553e-11]
('clinical_knowledge', 39);[1.2664165549094176e-14, 6.431393941452e-14, 6.431393941452e-14, 1.0]
('clinical_knowledge', 40);[1.2015425731771786e-13, 1.0, 4.752193062771153e-13, 1.7482341282710566e-13]
('clinical_knowledge', 41);[8.25807328555592e-14, 1.6586783589142312e-12, 3.2661313427874473e-13, 1.0]
('clinical_knowledge', 42);[6.431393941452e-14, 8.878265478459658e-13, 1.0, 1.7482341282710566e-13]
('clinical_knowledge', 43);[8.878265478459658e-13, 1.0, 9.545034922840628e-12, 1.1399918530443554e-12]
('clinical_knowledge', 44);[1.1176086870894152e-14, 2.2447770550209742e-13, 5.675685232632723e-14, 1.0]
('clinical_knowledge', 45);[1.1176086870894152e-14, 1.2015425731771786e-13, 6.101936677605324e-13, 1.0]
('clinical_knowledge', 46);[5.008774637843506e-14, 6.101936677605324e-13, 6.101936677605324e-13, 1.0]
('clinical_knowledge', 47);[1.0, 3.2661313427874473e-13, 1.1399918530443554e-12, 1.1176086870894152e-14]
('clinical_knowledge', 48);[4.420228103641173e-14, 1.463778514125909e-12, 3.701011678592672e-13, 1.0]
('clinical_knowledge', 49);[1.1176086870894152e-14, 1.463778514125909e-12, 4.420228103641173e-14, 1.0]
('clinical_knowledge', 50);[7.433680672352188e-12, 1.0, 4.277787868968998e-11, 1.0815941557285693e-11]
('clinical_knowledge', 51);[1.0, 1.026187963170189e-10, 1.103256032343554e-09, 5.109089028063325e-12]
('clinical_knowledge', 52);[1.9810087980489796e-13, 3.5114221133765118e-12, 1.0, 6.560200168153779e-12]
('clinical_knowledge', 53);[1.8795288165390832e-12, 1.0, 2.129785170955785e-12, 1.57371021068629e-11]
('clinical_knowledge', 54);[2.543665647376923e-13, 5.109089028063325e-12, 1.1399918530443554e-12, 1.0]
('clinical_knowledge', 55);[2.6810038677818034e-14, 4.752193062771153e-13, 7.287724095819692e-14, 1.0]
('clinical_knowledge', 56);[4.1937956583795446e-13, 1.0, 2.9400777392844726e-11, 1.783247290814639e-11]
('clinical_knowledge', 57);[1.3615261080896538e-13, 1.8795288165390832e-12, 1.0, 1.006039279283317e-12]
('clinical_knowledge', 58);[6.431393941452e-14, 8.878265478459658e-13, 2.8823507934443873e-13, 1.0]
('clinical_knowledge', 59);[2.3659776091347615e-14, 1.0, 2.8823507934443873e-13, 3.701011678592672e-13]
('clinical_knowledge', 60);[8.25807328555592e-14, 4.508755242294825e-12, 1.0, 1.2917800047859961e-12]
('clinical_knowledge', 61);[2.2447770550209742e-13, 1.0, 8.878265478459658e-13, 1.463778514125909e-12]
('clinical_knowledge', 62);[2.0879679116459336e-14, 3.701011678592672e-13, 1.0, 4.752193062771153e-13]
('clinical_knowledge', 63);[1.006039279283317e-12, 6.224144622907783e-11, 2.5946094982764667e-11, 1.0]
('clinical_knowledge', 64);[1.0, 2.020683909022217e-11, 2.9400777392844726e-11, 8.878265478459658e-13]
('clinical_knowledge', 65);[2.2447770550209742e-13, 7.433680672352188e-12, 1.0, 2.129785170955785e-12]
('clinical_knowledge', 66);[6.431393941452e-14, 1.0, 6.560200168153779e-12, 1.463778514125909e-12]
('clinical_knowledge', 67);[2.3659776091347615e-14, 1.9810087980489796e-13, 6.431393941452e-14, 1.0]
('clinical_knowledge', 68);[1.8426252147235624e-14, 2.2447770550209742e-13, 1.5428112031918877e-13, 1.0]
('clinical_knowledge', 69);[1.626111044617819e-14, 7.287724095819692e-14, 5.008774637843506e-14, 1.0]
('clinical_knowledge', 70);[1.0, 1.3176514270095466e-10, 7.05287985111216e-11, 8.878265478459658e-13]
('clinical_knowledge', 71);[1.5428112031918877e-13, 1.8795288165390832e-12, 1.0, 7.835041785064389e-13]
('clinical_knowledge', 72);[7.287724095819692e-14, 5.384940217754036e-13, 4.1937956583795446e-13, 1.0]
('clinical_knowledge', 73);[8.703945206726412e-15, 1.7482341282710566e-13, 5.675685232632723e-14, 1.0]
('clinical_knowledge', 74);[1.2015425731771786e-13, 3.97896253583724e-12, 3.0988191387218256e-12, 1.0]
('clinical_knowledge', 75);[9.056076989672867e-11, 1.0, 1.103256032343554e-09, 5.4927883509546835e-11]
('clinical_knowledge', 76);[9.357622968840175e-14, 1.0, 3.97896253583724e-12, 1.463778514125909e-12]
('clinical_knowledge', 77);[1.0, 4.277787868968998e-11, 1.9555681087850496e-08, 2.413362771833214e-12]
('clinical_knowledge', 78);[3.900837610180715e-14, 1.0, 1.9810087980489796e-13, 1.6586783589142312e-12]
('clinical_knowledge', 79);[0, 0, 0, 0]
('clinical_knowledge', 80);[2.2447770550209742e-13, 7.433680672352188e-12, 8.878265478459658e-13, 1.0]
('clinical_knowledge', 81);[0, 0, 0, 0]
('clinical_knowledge', 82);[1.3887943864964021e-11, 1.0, 5.4927883509546835e-11, 1.026187963170189e-10]
('clinical_knowledge', 83);[2.2447770550209742e-13, 1.0, 4.752193062771153e-13, 1.006039279283317e-12]
('clinical_knowledge', 84);[9.862862046580453e-15, 1.7482341282710566e-13, 1.5428112031918877e-13, 1.0]
('clinical_knowledge', 85);[9.357622968840175e-14, 5.384940217754036e-13, 1.2015425731771786e-13, 1.0]
('clinical_knowledge', 86);[1.0, 1.57371021068629e-11, 1.3176514270095466e-10, 3.701011678592672e-13]
('clinical_knowledge', 87);[2.7346982915918745e-12, 1.0, 2.172439935079017e-10, 7.433680672352188e-12]
('clinical_knowledge', 88);[6.778639342809131e-15, 7.287724095819692e-14, 3.037975385443128e-14, 1.0]
('clinical_knowledge', 89);[1.0, 6.224144622907783e-11, 2.061153622438558e-09, 7.433680672352188e-12]
('clinical_knowledge', 90);[1.8426252147235624e-14, 1.463778514125909e-12, 1.0, 3.701011678592672e-13]
('clinical_knowledge', 91);[2.6810038677818034e-14, 1.006039279283317e-12, 1.0, 2.543665647376923e-13]
('clinical_knowledge', 92);[2.3659776091347615e-14, 1.2917800047859961e-12, 1.0, 6.101936677605324e-13]
('clinical_knowledge', 93);[6.101936677605324e-13, 4.508755242294825e-12, 1.6586783589142312e-12, 1.0]
('clinical_knowledge', 94);[6.101936677605324e-13, 5.789356328730652e-12, 1.0, 3.97896253583724e-12]
('clinical_knowledge', 95);[1.435037960133826e-14, 1.6586783589142312e-12, 1.0, 1.0603575991523846e-13]
('clinical_knowledge', 96);[1.1176086870894152e-14, 2.8823507934443873e-13, 2.6810038677818034e-14, 1.0]
('clinical_knowledge', 97);[1.0, 4.277787868968998e-11, 8.592166619174109e-10, 2.413362771833214e-12]
('clinical_knowledge', 98);[2.8823507934443873e-13, 1.026187963170189e-10, 1.0, 3.0988191387218256e-12]
('clinical_knowledge', 99);[1.2015425731771786e-13, 1.0, 3.701011678592672e-13, 1.2917800047859961e-12]
('clinical_knowledge', 100);[5.675685232632723e-14, 2.413362771833214e-12, 1.0, 6.101936677605324e-13]
('clinical_knowledge', 101);[2.3659776091347615e-14, 2.8823507934443873e-13, 1.0, 5.384940217754036e-13]
('clinical_knowledge', 102);[3.0988191387218256e-12, 1.0, 5.4927883509546835e-11, 4.508755242294825e-12]
('clinical_knowledge', 103);[9.357622968840175e-14, 1.0, 3.97896253583724e-12, 1.3615261080896538e-13]
('clinical_knowledge', 104);[5.675685232632723e-14, 2.2447770550209742e-13, 1.006039279283317e-12, 1.0]
('clinical_knowledge', 105);[3.900837610180715e-14, 1.7482341282710566e-13, 9.357622968840175e-14, 1.0]
('clinical_knowledge', 106);[1.435037960133826e-14, 2.2447770550209742e-13, 5.008774637843506e-14, 1.0]
('clinical_knowledge', 107);[0, 0, 0, 0]
('clinical_knowledge', 108);[3.628344178047045e-15, 7.287724095819692e-14, 3.442477108469977e-14, 1.0]
('clinical_knowledge', 109);[3.900837610180715e-14, 2.413362771833214e-12, 1.0, 2.543665647376923e-13]
('clinical_knowledge', 110);[1.1399918530443554e-12, 2.5946094982764667e-11, 1.0, 1.006039279283317e-12]
('clinical_knowledge', 111);[6.778639342809131e-15, 1.7482341282710566e-13, 1.0, 2.2447770550209742e-13]
('clinical_knowledge', 112);[9.862862046580453e-15, 7.287724095819692e-14, 2.0879679116459336e-14, 1.0]
('abstract_algebra', 0);[4.420228103641173e-14, 1.0, 1.2256067444099483e-11, 4.8473687062702556e-11]
('abstract_algebra', 1);[1.7482341282710566e-13, 1.3887943864964021e-11, 1.0, 5.4927883509546835e-11]
('abstract_algebra', 2);[1.8426252147235624e-14, 2.543665647376923e-13, 1.6586783589142312e-12, 1.0]
('abstract_algebra', 3);[5.675685232632723e-14, 1.0, 3.97896253583724e-12, 7.582560427911907e-10]
('abstract_algebra', 4);[9.357622968840175e-14, 1.0, 2.289734845645553e-11, 3.97896253583724e-12]
('abstract_algebra', 5);[1.0, 1.3176514270095466e-10, 5.3157852544244216e-08, 7.582560427911907e-10]
('abstract_algebra', 6);[1.0, 1.0815941557285693e-11, 1.6052280551856116e-09, 3.0988191387218256e-12]
('abstract_algebra', 7);[1.2015425731771786e-13, 1.6586783589142312e-12, 1.0, 3.97896253583724e-12]
('abstract_algebra', 8);[8.703945206726412e-15, 1.0, 7.835041785064389e-13, 5.384940217754036e-13]
('abstract_algebra', 9);[6.101936677605324e-13, 4.8473687062702556e-11, 1.0, 3.1608814543136926e-10]
('abstract_algebra', 10);[7.835041785064389e-13, 1.2917800047859961e-12, 1.0, 5.109089028063325e-12]
('abstract_algebra', 11);[6.431393941452e-14, 1.57371021068629e-11, 1.0, 5.789356328730652e-12]
('abstract_algebra', 12);[0.9999997615814777, 3.850741922767617e-09, 1.8553913626159784e-07, 5.905303998944039e-10]
('abstract_algebra', 13);[1.7482341282710566e-13, 1.2501528663867426e-09, 1.0, 4.508755242294825e-12]
('abstract_algebra', 14);[3.442477108469977e-14, 9.545034922840628e-12, 1.0, 8.423463754468647e-12]
('abstract_algebra', 15);[4.420228103641173e-14, 1.0, 8.423463754468647e-12, 3.775134544279098e-11]
('abstract_algebra', 16);[3.701011678592672e-13, 2.9400777392844726e-11, 1.0, 9.545034922840628e-12]
('abstract_algebra', 17);[2.543665647376923e-13, 1.463778514125909e-12, 1.0, 2.7346982915918745e-12]
('abstract_algebra', 18);[5.9821282237671354e-15, 1.0603575991523846e-13, 5.008774637843506e-14, 1.0]
('abstract_algebra', 19);[1.0, 1.2256067444099483e-11, 2.646573638909117e-09, 2.9400777392844726e-11]
('abstract_algebra', 20);[1.0, 2.7894680928689246e-10, 9.237449661970594e-09, 6.691586091292782e-10]
('abstract_algebra', 21);[1.0, 1.026187963170189e-10, 9.237449661970594e-09, 7.835041785064389e-13]
('abstract_algebra', 22);[4.420228103641173e-14, 5.384940217754036e-13, 1.3615261080896538e-13, 1.0]
('abstract_algebra', 23);[2.6810038677818034e-14, 1.2917800047859961e-12, 4.508755242294825e-12, 1.0]
('abstract_algebra', 24);[1.0, 3.775134544279098e-11, 5.905303998944039e-10, 2.5946094982764667e-11]
