id;confidence_per_choice
('easy', 0);[0.0001397801615935211, 8.478095362605686e-05, 0, 0]
('easy', 1);[1.7382976797894514e-07, 8.459043480015351e-05, 0, 2.2320184026189845e-07]
('easy', 2);[7.684954736343238e-06, 0, 0, 0.002414541002877355]
('easy', 3);[0.0007094230112757424, 0, 0, 0]
('easy', 4);[2.178981461446754e-05, 0, 0.002222621515633626, 0]
('easy', 5);[8.256456874363611e-07, 0, 1.6583536940473695e-05, 0]
('easy', 6);[4.538404263673984e-05, 0, 0, 0]
('easy', 7);[1.9733405302955594e-07, 0, 2.899802741006473e-06, 0]
('easy', 8);[1.9671905955729403e-07, 0.0003786157411373817, 0, 0]
('easy', 9);[7.33713053891859e-07, 0, 1.012859628373601e-05, 7.41023934047214e-06]
('easy', 10);[2.7533902169526763e-05, 0, 0, 0]
('easy', 11);[5.0101591367274574e-05, 0, 0, 1.5946238287833604e-07]
('easy', 12);[2.8617377576127675e-07, 0.00020262236079010177, 0, 0]
('easy', 13);[7.474361824865812e-05, 0.00013963946263691282, 0, 0]
('easy', 14);[5.8278488085536065e-05, 0, 0, 0]
('easy', 15);[0.001795355540179839, 0, 0, 0]
('easy', 16);[0.0004874019326445365, 0, 3.530726074297693e-05, 3.115854824442382e-05]
('easy', 17);[0.0006122436219745496, 0, 0, 0]
('easy', 18);[3.265700698890046e-06, 0.00015735027148364964, 0, 0]
('easy', 19);[0.0006321037692313686, 0, 0, 0]
('easy', 20);[2.4034111409219135e-06, 0, 0.0005524644221214469, 0]
('easy', 21);[7.258783985223094e-07, 0.0007960223208065115, 0, 0]
('easy', 22);[0.00019405091514554772, 0.0008696758654969005, 0, 0]
('easy', 23);[8.790738097445146e-07, 0, 0, 0.00033315691170136694]
('easy', 24);[0.00012322833770555226, 0.0004873775300634258, 0, 0]
('easy', 25);[0.0003352844786174116, 0, 0, 0]
('easy', 26);[0.0001584060246659781, 0, 0, 0]
('easy', 27);[2.2488283652729405e-06, 0, 0, 0.0009072421141743022]
('easy', 28);[9.609075603245986e-05, 0, 0, 0]
('easy', 29);[1.135065856627438e-06, 2.141712151016397e-05, 0, 0]
('easy', 30);[2.4295802787597063e-05, 0, 0, 0]
('easy', 31);[1.8923864047304088e-05, 0, 0, 0]
('easy', 32);[2.006846295196206e-06, 0, 0.0014209272910876197, 8.365779997998227e-07]
('easy', 33);[0.00037984937715284436, 0, 0, 6.820579966937199e-08]
('easy', 34);[0.00015815409312975294, 0, 0, 0]
('easy', 35);[9.415654905619209e-07, 0.00013974070895626196, 0, 0]
('easy', 36);[1.4568336299372802e-06, 0.0003794661262525268, 0, 0]
('easy', 37);[0.0028003877244308457, 0, 0, 6.456570229522747e-07]
('easy', 38);[5.707268167958488e-07, 0, 0, 0.00037961434795998495]
('easy', 39);[7.123530860881473e-06, 0, 0, 0.0004407172484901239]
('easy', 40);[0, 0, 0, 0.00013692749083075341]
('easy', 41);[0, 4.433098901715454e-05, 0, 0]
('easy', 42);[0.0010709444835464213, 0, 0, 0]
('easy', 43);[0.00010888851835632967, 0, 0, 0]
('easy', 44);[1.2546175679886804e-05, 0, 3.864494171867297e-05, 0]
('easy', 45);[6.448226103113023e-07, 0, 0, 0.001696325936138584]
('easy', 46);[1.7815325150555733e-05, 0, 0, 2.0187408135234754e-05]
('easy', 47);[0, 0, 0.003703037618841977, 0]
('easy', 48);[4.221490294436119e-06, 0, 0.00017950233497218742, 0]
('easy', 49);[0, 0.0006977616694602178, 5.727579298867116e-05, 0]
('easy', 50);[0.00010880858768648772, 0, 0, 0]
('easy', 51);[8.478346011906534e-05, 0, 0, 0]
('easy', 52);[4.177510143303418e-07, 0, 0, 0.00033516746973555377]
('easy', 53);[5.8286658726745355e-05, 0, 0, 0]
('easy', 54);[6.880367662691585e-07, 1.0010875878632956e-06, 0.0003793986403103581, 0]
('easy', 55);[8.623715534061677e-06, 0, 8.623715534061677e-06, 0.0002855782374736481]
('easy', 56);[1.7537726957526417e-06, 0, 0, 0.001166507234841525]
('easy', 57);[1.134497695216235e-06, 0, 0, 0.0011687498984255288]
('easy', 58);[4.141138395907402e-06, 0.007970242899605158, 0, 0]
('easy', 59);[2.381431514300405e-07, 0, 4.004952008201251e-05, 0]
('easy', 60);[6.6003171626466e-05, 0, 0, 0.00020330408132586907]
('easy', 61);[1.2063485099326613e-06, 0, 0.0014990660498867812, 0]
('easy', 62);[6.601393618973395e-05, 0, 0, 0]
('easy', 63);[7.462937081797938e-05, 1.6652063462392296e-05, 0, 9.394451353200774e-07]
('easy', 64);[6.880813867994662e-07, 0.000708855943728707, 0, 0]
('easy', 65);[5.027068172155787e-07, 0.0007078639065468081, 0, 0]
('easy', 66);[8.84120015477396e-07, 0, 0, 0.0008037892128375227]
('easy', 67);[0, 2.428818096022265e-05, 0, 0]
('easy', 68);[7.337067564092288e-07, 0, 2.5608882100751226e-06, 0]
('easy', 69);[0.00015791415794191244, 0, 2.1371357292139914e-05, 3.2774037889672366e-06]
('easy', 70);[0.0014460515653767828, 0, 0, 0]
('easy', 71);[1.2047033193922128e-06, 0, 8.445622296141468e-05, 2.3722014874557387e-07]
('easy', 72);[0, 0, 0, 0.0016866230712621422]
('easy', 73);[0.0001082069502728748, 0, 0, 0]
('easy', 74);[0.000203382620273976, 0, 0, 0]
('easy', 75);[0.0002441566852625919, 0, 0, 0]
('easy', 76);[5.698060815427911e-07, 0.0024714018423623993, 0, 0]
