id;confidence_per_choice
('easy', 501);[0.0012722602455785585, 0, 0, 0.015499302758203907]
('easy', 502);[1.4963206918966934e-06, 0, 0.012124806367446984, 0]
('easy', 503);[0, 0, 0, 0]
('easy', 504);[0.07485549560143752, 0, 0, 0]
('easy', 505);[2.5186811887550296e-06, 0, 0.012378735825140801, 0]
('easy', 506);[0, 0, 0.00951092210509852, 3.0271180233206864e-05]
('easy', 507);[0, 0, 9.462568190925132e-06, 0.017108724638875417]
('easy', 508);[0.004885311465888246, 0, 0, 0]
('easy', 509);[1.1922236284348137e-06, 0, 8.194025177445191e-07, 0.014056224978827372]
('easy', 510);[1.3262167250725855e-06, 0, 0.025779394731165264, 2.186561724185436e-06]
('easy', 511);[5.667921807277287e-07, 0.005204284113042541, 0, 0]
('easy', 512);[4.43835257266881e-07, 0.00218134665249403, 0, 0]
('easy', 513);[9.901287952125274e-05, 0, 0, 0]
('easy', 514);[1.66008637319672e-05, 0, 0, 0.004602959412019785]
('easy', 515);[0, 0, 0.017932055261986376, 0]
('easy', 516);[8.267929339144975e-07, 0.004604544375262496, 2.2474562081581186e-06, 0]
('easy', 517);[0, 0, 0.0021485994005472847, 5.325847980452226e-06]
('easy', 518);[0.004037657091885231, 0, 0, 0]
('easy', 519);[3.6300133346767693e-07, 0, 0.003131137717719797, 1.9623666684843985e-06]
('easy', 520);[7.730970653442164e-08, 0.00017948008207198943, 0, 0]
('easy', 521);[0, 0, 9.978853989032984e-06, 0.01240020461878127]
('easy', 522);[0, 0.010703589438764536, 4.374312360738854e-05, 1.2532614743165038e-05]
('easy', 523);[0, 0, 0.006659761917970205, 0]
('easy', 524);[0.002790688706118883, 0, 0, 0]
('easy', 525);[0.00040916206602526346, 0, 7.110170572354144e-05, 0]
('easy', 526);[0, 0.0038235662732467, 5.346939896501978e-07, 0]
('easy', 527);[0, 0, 0.00012254194358869887, 0]
('easy', 528);[0.008315355660501865, 0, 6.691638000109999e-06, 0]
('easy', 529);[3.0486144812071787e-07, 0.0009087791687165613, 0, 5.026315541330711e-07]
('easy', 530);[2.233137343452171e-06, 0.0096857157612515, 0, 0]
('easy', 531);[2.715880637606677e-05, 0, 0.0066455439789911575, 2.1151299672965463e-05]
('easy', 532);[0, 0, 0.02583992670884862, 0]
('easy', 533);[0, 0, 0.022950266163369905, 0]
('easy', 534);[0, 0, 0.00687754434044505, 0]
('easy', 535);[7.240137949599174e-07, 0, 0, 0.010960516553628884]
('easy', 536);[3.068858850792237e-05, 0, 0, 0.015897082418073284]
('easy', 537);[0.00012136380010291595, 0, 0.01237944416235186, 0]
('easy', 538);[0.002796348599486337, 0, 2.3718124024551116e-07, 2.0931170986783636e-07]
('easy', 539);[0.0035734135928699767, 0, 0, 0]
('easy', 540);[8.308858385974874e-07, 0, 2.1008083959087654e-07, 0.0005526570270855103]
('easy', 541);[3.656019849259094e-06, 0, 0.017968483866610905, 0]
('easy', 542);[2.1104835416562425e-05, 0, 0.014037698000407198, 0]
('easy', 543);[0.00015657920316237595, 0, 0.008548934826329575, 0]
('easy', 544);[0.0006987961925857957, 0, 3.864932520380191e-07, 0]
('easy', 545);[0.000902477823986413, 0, 4.179301461697e-06, 0]
('easy', 546);[0.32370705090707325, 0, 0.1349411750252963, 1.144547232773055e-05]
('easy', 547);[0.0016909320788598004, 2.0867749707076133e-07, 0.00520843747967995, 4.4177026476549313e-07]
('easy', 548);[0.007569271819300118, 0, 2.877299408501253e-06, 0]
('easy', 549);[1.3324273734885887e-06, 0, 0, 0.002729851173861458]
('easy', 550);[0, 0.0007602872818112423, 0, 0]
('easy', 551);[0, 0, 0, 0.01520496309976345]
('easy', 552);[1.527100933322302e-06, 0, 0.0096370576997687, 0]
('easy', 553);[0.001906349473870872, 0, 0, 0.006653813460586285]
('easy', 554);[1.7527310203038231e-06, 0.0016962490951113447, 4.764416882668365e-06, 4.204583141576586e-06]
('easy', 555);[0, 0, 0.00037432983779259714, 0.0002915283707998666]
('easy', 556);[1.534836237497013e-06, 0.0007950644756727825, 0, 0]
('easy', 557);[1.0490857614686015e-06, 0.0006157980577904579, 5.615351433226164e-07, 7.21025396389633e-07]
('easy', 558);[0, 0.0011617007343673797, 0, 0]
('easy', 559);[0, 0, 0.009676210917580344, 1.194139863050103e-06]
('easy', 560);[6.377266690328867e-07, 0, 0.007518748430353357, 0]
('easy', 561);[0, 0.00012285636280507322, 8.44378609871808e-05, 0]
('easy', 562);[1.6259355084849607e-05, 0.009544009102251805, 0, 0]
('easy', 563);[0, 0, 0, 0.004066221364511875]
('easy', 564);[0.0066776232956764995, 0, 1.199035410728e-06, 0]
('easy', 565);[0, 0, 0, 0]
('easy', 566);[0, 0, 0, 0.019791716471098925]
('easy', 567);[0, 0, 4.8055161414461434e-05, 0]
('easy', 568);[0.0001789999214885866, 0, 4.4369644501294134e-07, 0.002180664422679028]
('easy', 569);[0, 0.0004276383629131181, 0, 0]
('easy', 570);[0.006655050961995302, 0, 0, 0]
('easy', 571);[6.44410724904233e-07, 0.002466561954107577, 0, 5.686904687202794e-07]
('easy', 572);[0, 0.0007093631383746987, 1.9924560149540893e-06, 1.9924560149540893e-06]
('easy', 573);[0.007563549617558195, 0, 0, 0]
('easy', 574);[0, 0.007400709328962846, 0, 0]
('easy', 575);[0.012264816938706742, 0, 0, 0]
('easy', 576);[5.536162724369484e-06, 0, 2.3078159745495362e-06, 0]
('easy', 577);[5.390364651605534e-06, 0.001163994654575347, 6.92136521787667e-06, 8.88720885793213e-06]
('easy', 578);[2.1154688748263566e-05, 0, 0.006646605625955275, 0]
('easy', 579);[2.3230146309221715e-06, 0, 0, 0.00784683288493805]
('easy', 580);[4.4082838976596405e-07, 0.0035720694399315202, 0, 0]
('easy', 581);[0.010829765128050891, 0, 0, 0]
('easy', 582);[0.008487556987723117, 0, 0, 0]
('easy', 583);[0, 0.0051964902984176255, 1.874146141030906e-05, 0]
('easy', 584);[0, 9.342435155513259e-07, 1.3593162942899052e-06, 0.0011609359921828705]
('easy', 585);[0.00024131309425441384, 0, 0.040582622495586924, 2.0877673400111095e-06]
('easy', 586);[1.868194881042217e-05, 0.009677493688183648, 0, 0]
('easy', 587);[0.009572362521714737, 0, 0, 0.010846907783675919]
('easy', 588);[0.00028320294154500123, 0, 0, 0]
('easy', 589);[1.3585957175061755e-06, 0, 0.0045891569062731065, 0]
('easy', 590);[3.699186410037338e-06, 0.0024604828897077454, 0, 0]
('easy', 591);[0.0007055424373477882, 0, 0, 0]
('easy', 592);[0, 0.007546873163335001, 0, 4.174055599783443e-06]
('easy', 593);[4.999362494252238e-07, 3.436008243089256e-07, 0.004590415340093973, 2.3615316273126505e-07]
('easy', 594);[0.03443583337243982, 0, 9.672321498136885e-05, 0]
('easy', 595);[0, 0, 0.011129340432044884, 0]
('easy', 596);[1.5050737418980332e-06, 0.0039593785961713895, 0, 0]
('easy', 597);[1.0641162010185954e-05, 5.695803578674143e-06, 0.00025781175567189495, 0]
('easy', 598);[0.0016916014396843246, 0, 0, 0]
('easy', 599);[1.3657692120232452e-06, 1.9871824778436877e-06, 3.108476398761772e-05, 1.7536823815674356e-06]
('easy', 600);[0.00029911621448742694, 0, 0.0010440186705256134, 0]
('easy', 752);[0, 0, 0.004841927331215698, 0]
('easy', 754);[7.186672745643098e-07, 4.939323128259781e-07, 0.017937408780549623, 0]
('easy', 755);[0, 0, 0.0012714336353381833, 0.0011220362450278186]
('easy', 756);[0.00020030375977719896, 0, 5.626120376038293e-07, 0.014042384369701504]
('easy', 757);[1.7404948389451471e-06, 0, 1.8344680637874546e-07, 0.010983720082321461]
('easy', 758);[0, 0, 0.015844093529447448, 1.5228020045304482e-06]
('easy', 759);[8.24082610869744e-07, 0.0024565568122316543, 2.728986811025074e-05, 0]
('easy', 760);[0.007524124594242244, 0, 1.3510333577916995e-06, 0]
('easy', 761);[0, 0.005826243178122285, 1.3432978557092405e-06, 0]
('easy', 762);[4.134769133157397e-06, 0.0035313374930682684, 1.5210965580788723e-06, 3.4619998088999715e-05]
('easy', 763);[0.0202275378248071, 0, 0, 0]
('easy', 764);[0.007564281789039599, 0, 0, 0]
('easy', 765);[0.0007005480810855627, 0, 7.782382496721768e-06, 6.867928448085531e-06]
('easy', 766);[4.932177754094088e-07, 0, 0, 0.01580680795551304]
('easy', 767);[0, 0, 0.058721099574441826, 0]
('easy', 768);[0.009670334496105163, 0, 0, 0]
('easy', 769);[0, 0, 0, 0.010933534653081353]
('easy', 770);[9.32589570121691e-07, 0, 1.5375802610927206e-06, 0.007556847953290749]
('easy', 771);[0.0011231957155846445, 0, 0, 0]
('easy', 772);[0.0021408137782678296, 0, 0, 0]
('easy', 773);[0, 0.0003066148566414373, 0, 0]
('easy', 774);[3.986044817755521e-05, 7.300695747632038e-07, 0.0035881249082475096, 3.907780835060042e-07]
('easy', 775);[7.316455380735613e-05, 0, 0, 0.013942689354114553]
('easy', 776);[0, 0, 0.0002622986041201241, 0]
('easy', 777);[0, 0.009652781869232482, 0, 0]
('easy', 778);[3.9035644301540364e-07, 0, 0.0035842516955694385, 0]
('easy', 779);[0.011473313840578493, 0, 1.3433869358874679e-05, 0.00016365803233337023]
('easy', 780);[5.33606681159557e-06, 0.0031321949704847685, 0, 0]
('easy', 781);[0.0005498544281760388, 0, 1.1411870025317853e-05, 0.0009065566915224911]
('easy', 782);[2.469346054674354e-06, 0, 0.015583280212675275, 1.3217456967327273e-06]
('easy', 783);[1.6550421194392094e-05, 0, 0.0058923580896919165, 1.6550421194392094e-05]
('easy', 784);[2.4206425253533425e-06, 0, 0.04705312372598081, 0]
('easy', 785);[7.458369230562888e-05, 0, 0.0035936435437982648, 0.00169751701256399]
('easy', 786);[0, 0, 0, 0.012180297163300945]
('easy', 787);[0, 0, 4.579852735345294e-05, 0.03911462427135587]
('easy', 788);[7.332199147660608e-07, 0.000552630674973173, 1.6688008340560153e-05, 4.781194439613345e-06]
('easy', 789);[2.4192775072968055e-05, 0.0001084244956256681, 0, 4.204073927439289e-06]
('easy', 790);[0, 0, 0.002748283941038519, 0]
('easy', 791);[0, 0, 0, 0.013912783761375678]
('easy', 792);[0, 0, 0.010836118753446264, 0]
('easy', 793);[0, 0, 0.00028413626373266395, 0]
('easy', 794);[0, 0.00279342331123257, 0, 5.68373285092804e-07]
('easy', 795);[0.0024490492351380475, 0, 0, 0]
('easy', 796);[0, 0, 0.01585181667483407, 0]
('easy', 797);[0, 0.007752083267537905, 1.7873192917291215e-06, 0]
('easy', 798);[0, 0, 0.00023715423439298476, 0]
('easy', 799);[2.0627781687581293e-05, 0, 0.029046086327117058, 0]
('easy', 800);[9.922532647347426e-06, 0.0012995959308885142, 1.4437199813159319e-05, 1.2740784117107998e-05]
('easy', 801);[4.4921228042763633e-05, 0, 0, 0.008560470802688633]
('easy', 802);[0, 0, 3.439424619919312e-05, 0.02287705053857438]
('easy', 803);[8.025880787743229e-07, 1.499431933653423e-06, 0, 0.008350576427069574]
('easy', 804);[4.075598719497991e-06, 0, 0.02914439521457693, 0]
('easy', 805);[3.0566960757732025e-07, 0.0005526638788405461, 2.697524819012339e-07, 0]
('easy', 806);[0, 0.00060384022224318, 0, 0]
('easy', 807);[0, 0, 0.004829162609626041, 0]
('easy', 808);[0.0028705847156503895, 0, 0, 1.329343819709279e-05]
('easy', 809);[0.0040193697279727715, 0, 0, 0]
('easy', 810);[0, 0.0027925642981568234, 0, 0]
('easy', 811);[0.0019213836131737687, 0, 0, 0]
