id;confidence_per_choice
('easy', 0);[1.5448285519626915e-07, 0.05322736067865939, 0, 0]
('easy', 1);[2.332049716313061e-09, 0.0015011590448635772, 2.0580266513195606e-09, 1.4427894460628927e-07]
('easy', 2);[1.3551781907351537e-06, 0, 4.399619433323919e-07, 0.11805816589900127]
('easy', 3);[0.014018674031274433, 0, 0, 0]
('easy', 4);[0, 0, 0.001915026652175835, 0]
('easy', 5);[9.911438279612384e-08, 0, 0.3671474469486339, 0]
('easy', 6);[0.028494126285405066, 0, 0, 0]
('easy', 7);[0, 0, 0.07346475465359845, 0]
('easy', 8);[0, 0.10462147179194572, 3.066706925628536e-06, 0]
('easy', 9);[0, 0, 0.002581686428927086, 4.983827245165237e-06]
('easy', 10);[0.004536565458696662, 0, 0, 0]
('easy', 11);[0.009714328037310538, 0, 3.8920744178752937e-07, 0]
('easy', 12);[5.556081453606465e-08, 0.01587059612949251, 8.084050813916823e-08, 0]
('easy', 13);[0.0002624169505504976, 0.012643956754844823, 0, 9.558536725081118e-06]
('easy', 14);[0.007530887012979758, 0, 0, 0]
('easy', 15);[0.012041056221477341, 4.8723529102873e-06, 0, 0]
('easy', 16);[7.06499148523162e-07, 1.0834525682377915e-07, 0.0002515311196171531, 0.02565687171754586]
('easy', 17);[0.0035463186048322395, 0, 0, 1.4208424180169677e-07]
('easy', 18);[7.160706149903363e-08, 0.012406047918898268, 7.160706149903363e-08, 7.622532018511168e-08]
('easy', 19);[0.0011557445601684216, 0, 0, 0]
('easy', 20);[0, 0, 0.008868282904616012, 0]
('easy', 21);[0, 0.02180946822316598, 0, 1.064510024149175e-05]
('easy', 22);[2.617142610274153e-07, 0.07475699181527824, 2.3096202471891033e-07, 2.3096202471891033e-07]
('easy', 23);[2.9098656284161433e-07, 0, 2.9098656284161433e-07, 0.1287363522957755]
('easy', 24);[0.03210317529373326, 0, 0, 0]
('easy', 25);[0.008565064229023171, 0, 0, 0]
('easy', 26);[0.007034281509858722, 0, 0, 0]
('easy', 27);[3.1664844529112176e-08, 0, 6.703447639416825e-08, 0.01587423660583346]
('easy', 28);[0.021010256204788087, 0, 1.1505800731122082e-06, 0]
('easy', 29);[1.2713722819076548e-06, 0.03377907659186775, 0, 0]
('easy', 30);[0.004100552617234861, 0, 0, 0]
('easy', 31);[0.022426134826340545, 0, 0, 0]
('easy', 32);[0, 0, 0.24429759202779244, 0]
('easy', 33);[0.00012241369286378778, 0, 0, 0]
('easy', 34);[0.0009106848251502262, 0, 0, 0]
('easy', 35);[2.6016789422999074e-07, 0.9637355866821106, 2.948088468843677e-07, 4.5660887435989964e-07]
('easy', 36);[1.320326446926929e-07, 0.022874868917050477, 0, 0]
('easy', 37);[0.0027871180519413057, 0, 0, 0]
('easy', 38);[7.632188031375816e-09, 0, 0, 0.0031720054220323664]
('easy', 39);[1.381656923996729e-07, 0, 1.9073185507006111e-06, 0.14663454958413652]
('easy', 40);[0, 0, 9.091522635671555e-07, 0.025713124745329257]
('easy', 41);[5.747841382450979e-07, 0.28815091641815216, 0, 0]
('easy', 42);[0.008536299026504707, 0, 0, 1.425707121967469e-07]
('easy', 43);[0.0009085919852563877, 0, 0, 0]
('easy', 44);[4.7180099324126344e-07, 0.030070562832174907, 0, 0]
('easy', 45);[7.3169256763114e-08, 0, 1.0646064040432564e-07, 0.047099601807298164]
('easy', 46);[0, 0, 0, 0.04476988702858433]
('easy', 47);[2.1832933569273297e-07, 0, 0.20448498623994607, 0]
('easy', 48);[4.816775433811986e-07, 0, 0.0016270423513602026, 0]
('easy', 49);[1.9189689006637246e-07, 0.025892358260807234, 1.802704452416318e-07, 0]
('easy', 50);[0.0015009221309758047, 0, 0, 0]
('easy', 51);[0.037141724639988716, 0, 5.474391481484289e-07, 0]
('easy', 52);[0, 0, 1.7354991882794512e-06, 0.006642844673700846]
('easy', 53);[0.000919161478093722, 0, 0, 0.0011802266999126117]
('easy', 54);[2.139192105150947e-06, 0, 0.11303225226173269, 0]
('easy', 55);[7.43604652222326e-07, 0, 4.6005190781377015e-05, 0.05045080564227446]
('easy', 56);[1.1170719212289077e-06, 0, 3.6266015544369695e-07, 0.18180889423285265]
('easy', 57);[0, 0, 0, 0.007549525819398025]
('easy', 58);[0, 0.020262440273355244, 0, 3.602430781007059e-07]
('easy', 59);[2.945156205127393e-06, 0, 0.039346463609325213, 0]
('easy', 60);[6.743107604662331e-09, 0, 3.842106898449071e-09, 0.0021825879010496855]
('easy', 61);[7.72722616385362e-08, 0, 0.000803983940915915, 0]
('easy', 62);[8.481079378745184e-05, 0, 0, 0]
('easy', 63);[2.0603361979664065e-07, 0.005827151710293723, 1.6045914443665984e-07, 0]
('easy', 64);[5.201921504412388e-07, 0.9102212329386011, 5.537416617172641e-07, 0]
('easy', 65);[0, 0.0023935242841227715, 0, 3.5985182180937616e-06]
('easy', 66);[2.021139008257905e-07, 0, 7.05446830352439e-07, 0.02260837940245512]
('easy', 67);[2.0287960466409632e-07, 0.14798365182713447, 0, 0]
('easy', 68);[0, 3.399143176538889e-07, 0.0022834387813421182, 1.0470098084259844e-06]
('easy', 69);[2.1731074351190644e-06, 0, 0.005716760993639381, 0]
('easy', 70);[0.011634769584557841, 0, 1.513369111228365e-07, 0]
('easy', 71);[5.731236890010323e-08, 0, 0.047370795237979026, 2.2443846139456808e-08]
('easy', 72);[0, 0, 9.147591999541405e-09, 0.009708289587887883]
('easy', 73);[0.0011643876863350162, 0, 0, 0]
('easy', 74);[0.0018799873864708244, 0, 0, 0]
('easy', 75);[0.010890483007826747, 0, 0, 0]
('easy', 76);[7.569641893067756e-10, 0.0017007181212681912, 3.1554962077872724e-10, 4.3130519400336775e-10]
('easy', 77);[4.943625692739378e-07, 0, 0.10997563863762473, 0]
('easy', 78);[4.0674909087246286e-08, 0.015880656776908725, 0, 0]
('easy', 79);[0.017919413279007933, 0, 2.456675902882925e-08, 0]
('easy', 80);[0, 0, 8.122004836055032e-09, 0.003171060231601683]
('easy', 81);[0.0006263186069446825, 0, 0, 0]
('easy', 82);[1.0019773288106742e-05, 0, 1.871940093989279e-05, 0.5999253258062568]
('easy', 83);[0, 0.14345729798517617, 0, 7.778609147991835e-07]
('easy', 84);[2.655042626800866e-07, 0.49453631011265775, 1.4211419092002437e-07, 0]
('easy', 85);[1.2556211111392929e-08, 0, 5.234207523404984e-09, 0.004605286553904607]
('easy', 86);[1.1651368117690349e-06, 0.01556590952441747, 0, 5.917052965807172e-06]
('easy', 87);[8.132968849058566e-08, 0, 1.7389054142345448e-06, 0.117978282865671]
('easy', 88);[4.00636544290992e-05, 0, 0, 0]
('easy', 89);[3.384231854648828e-07, 0.009571467929723848, 0, 0]
('easy', 90);[0.0013121673807104804, 6.076540504863414e-06, 0, 0]
('easy', 91);[5.305676101408951e-08, 0, 0, 0.001500580067538181]
('easy', 92);[1.4930528141927648e-07, 0.08481583696974397, 1.6918504867496033e-07, 8.507150386377378e-08]
('easy', 93);[4.7442287894578565e-07, 0.7798397897071812, 4.7442287894578565e-07, 1.0691284615541688e-06]
('easy', 94);[1.004883060023756e-06, 0.25331041138785887, 1.2902953898694559e-06, 1.2902953898694559e-06]
('easy', 95);[8.705458297405436e-07, 0.23359985005008968, 1.3483277574517454e-06, 0]
('easy', 96);[6.674753935569237e-08, 0.017910853592651765, 0, 0]
('easy', 97);[0.01591632532597972, 0, 9.278372751362827e-07, 0]
('easy', 98);[0.057556300308292806, 0, 0, 3.355224372116907e-06]
('easy', 99);[0, 1.366716457145158e-06, 0, 0.00048658453086663405]
('easy', 100);[1.0451387500943305e-07, 0, 0, 0.0031465568861337224]
('easy', 101);[1.8316561157233138e-08, 0, 3.2146565958500134e-08, 0.002800490546645646]
('easy', 102);[1.1549686843907988e-08, 0, 0.025949375067270873, 0]
('easy', 103);[3.714849360567985e-07, 0.34792880503385437, 1.6484544111084628e-07, 8.91146035187601e-07]
('easy', 104);[8.532354332056405e-08, 0, 1.8063011488930557e-07, 0.025944011654637014]
('easy', 105);[2.2220013892631e-06, 0.05545948748873331, 4.151245112899568e-06, 0.008504989892818785]
('easy', 106);[4.03497359253077e-07, 0, 4.867107202925462e-07, 0.02415905230965921]
('easy', 107);[0.33198003589588937, 8.067392757188234e-06, 1.5071873905634908e-05, 0.0001261952551658614]
('easy', 108);[6.722342666471038e-09, 0, 1.9451743475033373e-08, 0.005219630551103786]
('easy', 109);[2.2273159943777005e-06, 5.0693478372170636e-05, 0.04329520940668228, 0.0001561469062122218]
('easy', 110);[0.00145137071403361, 0, 0, 0]
('easy', 111);[2.4920490008527464e-07, 0, 2.0659811856393e-07, 0.012369879130570569]
('easy', 112);[0, 0, 0.06004995740916949, 0]
('easy', 113);[0.00013981375842746837, 0, 0, 0]
('easy', 114);[1.559858451786782e-08, 0, 3.1021489503129965e-08, 0.09526563421742959]
('easy', 115);[2.5199532891848724e-07, 0, 1.0504728176251064e-07, 0.05967418510020771]
('easy', 116);[0.0026635287250615695, 0, 0, 0]
('easy', 117);[0.00382644621927709, 0, 1.648213165867648e-06, 0]
('easy', 118);[3.52635820100112e-05, 0.008628718135079896, 0, 4.211634271172533e-06]
('easy', 119);[3.251911027406061e-08, 0.6512003596620933, 1.369105680836819e-07, 7.328294625181805e-08]
('easy', 120);[8.782165957980386e-07, 0.013294929175134054, 0, 0]
('easy', 121);[5.156401821880937e-07, 0.012090235775082326, 6.219807855722242e-07, 4.550508636291492e-07]
