confidence_per_choice;id
[4.270255923539034e-07, 0.1471325126240352, 0, 0];('easy', 0)
[2.5087635247388928e-08, 0.0003351639537073127, 0, 0];('easy', 1)
[1.968418922514297e-06, 0, 0, 0.15133192490651082];('easy', 2)
[0.005467439901009791, 0, 0, 0];('easy', 3)
[1.530116331995464e-07, 0, 0.14330907090569253, 0];('easy', 4)
[8.721757969736743e-08, 0, 0.00070673069425653, 0];('easy', 5)
[0.010147963490507311, 0, 0, 0];('easy', 6)
[2.3598183765824883e-07, 0, 0.002455288537830014, 0];('easy', 7)
[1.0978309377815833e-07, 0.017867733049194125, 0, 0];('easy', 8)
[4.363212580774073e-09, 0, 3.726439937374441e-06, 0];('easy', 9)
[0.053217209333436016, 0, 0, 0];('easy', 10)
[0.01763500461797129, 0, 0, 0];('easy', 11)
[9.611975502375676e-08, 0.24471253253177386, 0, 0];('easy', 12)
[1.066268236954837e-06, 0.0004301633083743157, 0, 0];('easy', 13)
[0.006187379030313714, 0, 0, 0];('easy', 14)
[1.366553541558003e-06, 0, 0, 0];('easy', 15)
[8.165271750710614e-07, 0, 0, 9.947337379053473e-06];('easy', 16)
[0.3072852017510145, 0, 0, 0];('easy', 17)
[1.521621679746035e-08, 0.00033515915918278937, 0, 1.8778303339150243e-12];('easy', 18)
[0.10029877541719943, 0, 0, 0];('easy', 19)
[5.296727655996015e-08, 0, 0.002469863257650357, 0];('easy', 20)
[2.789441490555009e-10, 6.825538282618921e-08, 0, 0];('easy', 21)
[4.170259482197947e-08, 0.37057360152507957, 0, 0];('easy', 22)
[4.6539892169880803e-07, 0, 0, 0.0013873339712661237];('easy', 23)
[0.010663898965519896, 0, 0, 0];('easy', 24)
[0.02425893444412275, 0, 0, 0];('easy', 25)
[0.006618101582840293, 0, 0, 0];('easy', 26)
[1.1432435299042872e-07, 0, 0, 0.0068450725124472285];('easy', 27)
[0.017652605076440467, 0, 0, 0];('easy', 28)
[7.132050956596215e-09, 0.006679807972268397, 0, 0];('easy', 29)
[0.010161419779762738, 0, 0, 0];('easy', 30)
[0.0004304825901804787, 0, 0, 0];('easy', 31)
[1.031898684895718e-06, 0, 0.003949723934791419, 0];('easy', 32)
[0.0002028120137539393, 0, 0, 0];('easy', 33)
[0.09001392492089261, 0, 0, 0];('easy', 34)
[5.599965234286545e-09, 0.00033529343179843546, 3.579938002598579e-10, 0];('easy', 35)
[5.3095938997410863e-08, 0.00020323158093673452, 0, 0];('easy', 36)
[0.0005522502905157918, 0, 0, 0];('easy', 37)
[5.2599711427704436e-06, 0, 0, 0.19101847333056235];('easy', 38)
[5.02274567596475e-07, 0, 0, 0.0014972586700159032];('easy', 39)
[6.184180664522763e-08, 0, 0, 0.333308691046372];('easy', 40)
[1.8536351413010045e-07, 0.0001583113334954524, 0, 0];('easy', 41)
[0.0005488830828397294, 0, 0, 0];('easy', 42)
