id;confidence_per_choice
('easy', 0);[0.005956833969670135, 0.8305094482798147, 0.0036130024374226516, 0.004094068122892151]
('easy', 1);[0.03571541571570547, 0.6330708535012314, 0.051965623235871436, 0.031518743743631256]
('easy', 2);[0.006505237437396004, 0.010725323333989584, 0.0017508609038915273, 0.7519033269232113]
('easy', 3);[0.6402603724232372, 0.04093047378478118, 0.076468192184203, 0.05255576865673033]
('easy', 4);[0.0015660481959858526, 0.0021405340919802406, 0.7620829918870254, 0.0045315107082821654]
('easy', 5);[0.0016134355737410016, 0.002205304957828714, 0.7851428907888486, 0.01269065381172982]
('easy', 6);[0.8384179409277, 0.002840604103768158, 0.0023549435152465424, 0.0036474078679858174]
('easy', 7);[0.003295538673674315, 0.006976655426916237, 0.7575348759146219, 0.00841545281573341]
('easy', 8);[0.0013709788297643361, 0.8047446951342163, 0.001994762426930418, 0.005093804304749534]
('easy', 9);[0.027416720856940077, 0.02419517123527609, 0.355545445857062, 0.2768990716509517]
('easy', 10);[0.762727190181157, 0.012328335708500941, 0.012328335708500941, 0.017937622612399867]
('easy', 11);[0.7909058856388589, 0.018600325000308643, 0.005329082335746943, 0.014485947675623]
('easy', 12);[0.010021021332844823, 0.7960683861426952, 0.03086691875279565, 0.008843520286969709]
('easy', 13);[0.11830332941518812, 0.6807887371893658, 0.018142403160110825, 0.05588253589363709]
('easy', 14);[0.8187977925963958, 0.024725553099018003, 0.006251597361107371, 0.02182022402457433]
('easy', 15);[0.191704339912043, 0.5904909378077843, 0.005108747005107674, 0.020205486363191576]
('easy', 16);[0.001758921759028845, 0.008391346400283736, 0.02012978876344419, 0.6666071123337779]
('easy', 17);[0.7728106727505273, 0.020594706840703168, 0.011023554831704564, 0.014154524586159619]
('easy', 18);[0.03703734389564177, 0.7439148718415366, 0.005679859290956214, 0.028844712428810728]
('easy', 19);[0.8466196485932832, 0.006464019725012343, 0.008299965620886755, 0.008299965620886755]
('easy', 20);[0.06981585939756342, 0.047983691653523286, 0.6623944706342166, 0.0100579305661228]
('easy', 21);[0.09696524790752682, 0.43456803994523346, 0.06664317530215193, 0.14108358640330193]
('easy', 22);[0.034159999507849155, 0.6861220132030896, 0.0046230532087573155, 0.0059361178227442125]
('easy', 23);[0.03942637634789516, 0.00776351381389505, 0.003040235692304357, 0.7918998670817726]
('easy', 24);[0.8134657819057606, 0.01586005783771605, 0.006611455742448269, 0.0168829436863655]
('easy', 25);[0.8346154404614734, 0.008182281743929277, 0.0026563979567878204, 0.008182281743929277]
('easy', 26);[0.46423444970185884, 0.31906336012551445, 0.029677519005748446, 0.026190318598968466]
('easy', 27);[0.002570774191935135, 0.006988088771008764, 0.0012926664435377146, 0.7587762111308023]
('easy', 28);[0.7581297690825223, 0.009543444802600776, 0.03774505639524369, 0.017829502172436455]
('easy', 29);[0.01302484480671313, 0.8058186860631743, 0.0074213328656509, 0.006152501041333789]
('easy', 30);[0.7738785307831226, 0.023369108805719515, 0.009741691572238512, 0.01819987589838615]
