id;confidence_per_choice
250;[0, 0, 0.000123140229443736, 3.2815759604672688e-06]
251;[0, 0, 0, 0]
252;[0.00012295482080105388, 0, 7.384010929334393e-06, 5.750673493973437e-06]
253;[0, 0, 0, 0]
254;[0, 0, 0, 0.00042806577590505645]
255;[0, 7.470634754510885e-05, 0, 0]
256;[0, 0.0021274076531446113, 0, 0]
257;[0, 0, 0, 0.0024706465673499153]
258;[0, 0, 0, 0]
259;[0, 0, 0, 0.00401988915602437]
260;[0, 0, 0, 0]
261;[0.0002914030093342277, 0, 0, 0]
262;[0.00357649563820792, 0, 0, 0]
263;[0, 0, 0, 0]
264;[6.489269258515065e-05, 0, 0, 0.00401477064099223]
265;[0, 3.987181595004505e-05, 0, 0]
266;[0, 0, 0, 0]
267;[0, 0.00029253683275226133, 0.00025816284879577844, 1.0010059953636937e-05]
268;[0.0006253722971157903, 0, 0, 0]
269;[0, 0, 0, 0.012401144802076526]
270;[0, 0, 0.00037830426065114557, 0]
271;[0, 0, 7.857765392509468e-06, 0.0019227317971720617]
272;[4.775899000159966e-06, 0.0011686245118913586, 0, 3.959359336621272e-06]
273;[7.453804175179482e-05, 0, 0, 0]
274;[0, 0, 0, 0]
275;[0, 0, 0, 0]
276;[0, 0, 0.00010819033728381717, 0]
277;[0, 0, 0, 0]
278;[3.264408472446407e-06, 0, 0, 0.005902186161910483]
279;[0, 0, 0, 0]
280;[0.00023014840177637604, 0, 0, 0]
281;[0, 0, 0, 0]
282;[0, 0, 0, 0.014028470427759177]
283;[0, 0, 0.004043494982158525, 0]
284;[1.2958032781598408e-05, 0.0011664449382976097, 0, 4.248775377167242e-05]
285;[0, 0, 0.009692539702037909, 0]
286;[0, 0, 0, 0.010946894622318334]
287;[0, 0, 0, 0]
288;[0, 0, 0, 0]
289;[0, 0, 0, 0]
290;[0, 0.0003775228996911948, 0, 0]
291;[0, 0, 0, 0]
292;[0, 0, 0, 0]
293;[0, 0, 0, 0]
294;[0, 0, 0, 0]
295;[3.5203838584738245e-05, 0.001496905307178629, 0, 1.4675143252870188e-05]
296;[0.00022996498408886073, 0, 0, 0.0003791481607835212]
297;[0, 0, 0, 0]
298;[0, 0, 3.080611478676322e-05, 0.007538004158325126]
299;[0, 0, 0.0009065584206438063, 4.513490759005188e-05]
