confidence_per_choice;id
[0.05045244153247395, 0.00020618764621465255, 0.17609632398962574, 0.02103170667493895];150
[0.020982723465733794, 0.00413174421306846, 0.01851718846629918, 0.050334936922092476];151
[0.012125320937046559, 0.019991274542974273, 0.004460656290345077, 0.04795657459605437];152
[0.004801089118925393, 0.001766221982084566, 0.0037390919654146973, 0.12382172034982283];153
[0.05918413827964434, 0.003783515377579692, 0.021772627716528926, 0.027956607376103122];154
[0.026148802242853205, 0.004010048700987344, 0.017971791434738336, 0.062727715667212];155
[0.01253173750166531, 0.011059219529222852, 0.007600883014230608, 0.092597711416878];156
[0.006819452600402052, 0.07331602482874515, 0.0830779401197016, 0.06470116482118289];157
[0.015413638914726947, 0.0026784888171333407, 0.006425360648588328, 0.03263067383853872];158
[0.010779275651305003, 0.0050917692804521, 0.0057697304835174846, 0.017772021049046533];159
[0.0059025858176389315, 0.005209013701306118, 0.0059025858176389315, 0.05600218834115506];160
[0.0012386517555360887, 0.004898962726125493, 0.009152467308695093, 0.06762809438757686];161
[0.02407124604874544, 0.02124280007936953, 0.012884406474401333, 0.05774391744133856];162
[0.0030357275798181997, 0.01541669673304136, 0.005671485778860856, 0.06909284124918802];163
[0.0016524060793691175, 0.11584260955834581, 0.03760858901834692, 0.012209721218672462];164
[0.0009236843301954163, 0.0011141759799978685, 0.014448853954439815, 0.10676339243461175];165
[0.003665182380936205, 0.018613331978083437, 0.006042864152444861, 0.07361715604251103];166
[0.00604048165302383, 0.17652875000331153, 0.0026804474851234395, 0.039388888259041036];167
[0.01921021356766124, 0.01921021356766124, 0.0116515807304605, 0.024666402480876728];168
[0.005686037727867418, 8.11069721656955e-05, 0.07849332963912216, 0.01751422921296082];169
[0.06940111108457106, 0.007314823292045598, 0.03714773785993263, 0.11442308805535474];170
[0.01994747271941836, 0.032887822569215575, 0.01760358288927742, 0.04785149948369538];171
[0.0012219546575724565, 0.027811559815395487, 0.040465580758541, 0.040465580758541];172
[0.004790291027533579, 0.013021361053174935, 0.006969832318583959, 0.07493275916183728];173
[0.00920820178116859, 0.01949376332370677, 0.006328698361141107, 0.05298954261111351];174
[0.02994521725180953, 0.0058965628934073465, 0.005539308207768086, 0.09223776272353462];175
[0.0067107629876294326, 0.009764102532538415, 0.0206706101518486, 0.10497402010527576];176
[0.009085369931698976, 0.0007005885019817362, 0.021794669465704214, 0.1421190973732389];177
[0.018953079742838295, 0.004792089021434363, 0.008952800941950084, 0.058379595562777546];178
[0.0186411909003808, 0.008805477183989158, 0.030734127948639497, 0.07372734021761497];179
[0.01905811017563754, 0.011559325381747226, 0.040346019558430854, 0.0277293866844004];180
[0.017569946561624198, 0.003053198900227026, 0.00940451469557729, 0.04214811072300245];181
[0.013663816985421308, 0.002095414200774455, 0.04208751929902709, 0.022527825702817812];182
[0.008182414399947744, 0.019628587069214862, 0.02224210307336833, 0.04155371915161119];183
[0.024174476662861447, 0.0017511932158878654, 0.006926103525494526, 0.0188271013553779];184
[0.032826891256456596, 0.006463998149054778, 0.02556560861632825, 0.07874761841285827];185
[0.00411736538426003, 0.00987704609653673, 0.002497308342793196, 0.023693801858356126];186
[0.006797165708175179, 0, 0.03451884750132891, 0.012698777356295208];187
[0.01588782954169461, 0.0075048792711471385, 0.008504142336553671, 0.033634543422805925];188
[0.0016465417145442585, 0.003949848239506447, 0.004475764422445458, 0.054525986045979837];189
[0.012150683288419336, 0.00032380474165631483, 0.033028981586271274, 0.02572299672343908];190
[0.004979563777033803, 0.010541736598704434, 0.015338136246281431, 0.04724479696083245];191
[0.03754959932536769, 0.022774983250760317, 0.025807437039221934, 0.07015188714281789];192
[0.001502755430040765, 4.830599414383739e-05, 0.03420254778443164, 0.026636970997552505];193
[0.009517831664042435, 0.0027269044274559626, 0.13138964462250086, 0.033220504639282396];194
[0.013869960137465661, 0.022867692850319022, 0.020180668109662434, 0.020180668109662434];195
[0.05326219450675179, 0.001419389405758327, 0.004372027162792551, 0.019594066350708515];196
[0.007988418619131556, 0.007988418619131556, 0.014924330791468826, 0.05209103287283413];197
[0.004846554088553405, 0.01162627886390599, 0.024612838416189834, 0.33976975384597474];198
[0.0010404737034061602, 0.00018080721849737731, 0.0003827688845626393, 0.03445575693942938];199
[0.014053028235404535, 0.0010179979509681802, 0.006638180503130185, 0.10383858923420866];200
[0.0035577157296052737, 0.0007005557642168859, 0.0019043080036930005, 0.023199226285435172];201
[0.021688861198570993, 0.04591531951768479, 0.021688861198570993, 0.1248107786928135];202
[0.010715983699696749, 0.0050618722794546584, 0.013759595435222165, 0.03300754567492383];203
[0.026087472063966798, 0.001471754112368079, 0.15012303654952808, 0.033496977187264784];204
[0.001874200775094221, 0.009517976895736155, 0.007412607859654857, 0.03764431989451559];205
[0.013769145128309084, 0.006504083618450098, 0.0083514086783523, 0.048059038728863634];206
[0.010865030809417687, 0.023001270404034463, 0.08028232216739717, 0.1168100894991754];207
[0.00013448027585719584, 0, 0.01068309153703948, 0.01210552864916759];208
[0.012130080295204182, 0.005056569770721293, 0.005729844213517309, 0.054363261242549664];209
