id;confidence_per_choice
0;[0.06792932693193143, 0.06792932693193143, 0.3909063098415918, 0.08722298231909108]
1;[0.036953382715871924, 0.06903800787237348, 0.053766854592694285, 0.060925828107980515]
2;[0.0076783146561263714, 0.016254992254576873, 0.014344980316200679, 0.014344980316200679]
3;[0.01918067194203598, 0.03583421281654237, 0.03583421281654237, 0.02173454873990035]
4;[0.03860983886009433, 0.04375067917747533, 0.10495242337312631, 0.026536128304389884]
5;[0.011850889802049696, 0.019538809434946826, 0.02214037168597751, 0.017242942917568702]
6;[0.015219978612284872, 0.017246495220220787, 0.01954284403899415, 0.017246495220220787]
7;[0.03080548609978541, 0.03080548609978541, 0.044821717798328116, 0.018684471806871203]
8;[0.14837189233013284, 0.19051328087394753, 0.10197441087242877, 0.14837189233013284]
9;[0.22074684529918467, 0.22074684529918467, 0.15171694010105896, 0.25013894627015315]
10;[0.026688334505683586, 0.41747576739098985, 0.026688334505683586, 0.3251304739367244]
11;[0.06369442150824527, 0.1050143475655837, 0.1050143475655837, 0.1189968454937632]
12;[0.28872255585686946, 0.2547967612499951, 0.12035746776123556, 0.19843591718555398]
13;[0.18744877909570676, 0.2727363642649171, 0.12883153619493656, 0.12883153619493656]
14;[0.053008698749074976, 0.23756847749620125, 0.04678001245609858, 0.30504396330893213]
15;[0.0270563132395912, 0.03474099388150015, 0.014482204327907021, 0.0270563132395912]
16;[0.07452815096975804, 0.05804258233611144, 0.06577086238616858, 0.045203608574850083]
17;[0.11384638871160523, 0.12900485925580005, 0.1656455181606721, 0.1656455181606721]
18;[0.04556540120345969, 0.04556540120345969, 0.05850713326681645, 0.03131661173094711]
19;[0.23605632991418218, 0.23605632991418218, 0.1115051148142579, 0.1263518483608152]
20;[0.2129915915848364, 0.05385270792611968, 0.07835522768644569, 0.3511637675261942]
21;[0.0837452605456121, 0.06522087449144154, 0.25795356254962487, 0.3312189306388694]
22;[0.02939615981997956, 0.06223167082724557, 0.04846607397210075, 0.04846607397210075]
23;[0.06457904490841511, 0.1064728449820028, 0.09396195590598724, 0.1064728449820028]
24;[0.07410696120925966, 0.09515522174618193, 0.12218172325265571, 0.12218172325265571]
25;[0.14372102202214213, 0.013368135858617994, 0.03206849083763434, 0.1268333416511194]
26;[0.1411110200014386, 0.08558816005419517, 0.09698409116624719, 0.09698409116624719]
27;[0.07153612313508108, 0.04916601047701205, 0.1944553204156176, 0.32060262297003767]
28;[0.013023633770670218, 0.10904552448625197, 0.06613945390535654, 0.02433134534208693]
29;[0.08517981717698628, 0.23154274918366546, 0.23154274918366546, 0.1591368490957204]
30;[0.127732142642127, 0.0994778927130769, 0.0994778927130769, 0.11272322024217081]
31;[0.006865332614987828, 0.5805551072529499, 0.012826129904378597, 0.05400003675977509]
32;[0.16280391257500854, 0.12679179948574396, 0.1436739485760983, 0.11189337031929614]
33;[0.08526174022149005, 0.045637320868969815, 0.14057286143766926, 0.058599479945291126]
34;[0.14091118473623068, 0.15967329100367358, 0.05874052106443652, 0.23232326755417873]
35;[0.29557522772615347, 0.09595921553207123, 0.02426228926886944, 0.3349306120627657]
36;[0.12947815526222303, 0.21347338867184082, 0.12947815526222303, 0.14671797134133438]
37;[0.07559023151316198, 0.06670814517601792, 0.04046053530181627, 0.06670814517601792]
38;[0.21660073220348983, 0.24544078462952643, 0.16868881985391754, 0.21660073220348983]
39;[0.019054261959212535, 0.031415166989646005, 0.040337872884195186, 0.031415166989646005]
40;[0.006974031131785273, 0.02758282819424738, 0.03125543909951946, 0.01672983098139709]
41;[0.002270194720241391, 0.002270194720241391, 0.004806002260465031, 0.003303113827462793]
42;[0.014298508060642711, 0.22366629808573124, 0.47350152854029726, 0.04990669691167566]
43;[0.009036469689128973, 0.7178556808295117, 0.013147985816140262, 0.045890979698173344]
44;[0.09971772687694394, 0.08800058510167968, 0.09971772687694394, 0.041568533023672735]
45;[0.07732590642135558, 0.08762173124334924, 0.3058298925658382, 0.036526171853830024]
46;[0.0543838605093645, 0.07912805013491919, 0.06983025915162476, 0.04235419315113912]
47;[0.015084371239556174, 0.1621722934325821, 0.028181315588707706, 0.18376528343342985]
48;[0.08809601631883632, 0.09982586461303926, 0.14524579328345782, 0.08809601631883632]
49;[0.04955221498134998, 0.03405670609702723, 0.1526315856818645, 0.06362630348922844]
50;[0.12646420289890398, 0.20850422130155977, 0.07670441641430455, 0.09849042024816744]
51;[0.01607928833103478, 0.026510271009637796, 0.038572216718224785, 0.02339523205268355]
52;[0.11357173386069096, 0.2121799326638041, 0.07805663505615452, 0.27244442645141803]
53;[0.17326905518206293, 0.25210498770890893, 0.1963395618439052, 0.17326905518206293]
54;[0.017983964412985276, 0.043141287917893886, 0.043141287917893886, 0.014005925567561212]
55;[0.038880238949241065, 0.1974501691878293, 0.2237403537729719, 0.25353103576646757]
56;[0.14121471367103572, 0.2989515511875367, 0.2054661960091245, 0.18132328156389171]
57;[0.15203917767349692, 0.1341741193631705, 0.06337936623064228, 0.1341741193631705]
58;[0.024206555317680237, 0.03522033016470531, 0.027429620712305917, 0.018852084236870646]
59;[0.02509362213310448, 0.013431648029681253, 0.017246577458114556, 0.1854181595633084]
60;[0.09960690396300588, 0.09960690396300588, 0.14492719010287325, 0.14492719010287325]
61;[0.0986060662284195, 0.14347097979162413, 0.11173531140973858, 0.04110512392053171]
62;[0.0777858813686305, 0.2714994355902146, 0.03242597960980017, 0.02228602814011033]
63;[0.07968217741036586, 0.1159368840301667, 0.07968217741036586, 0.13137370079217145]
64;[0.18616785474110528, 0.2109558166106531, 0.14498767105509636, 0.18616785474110528]
65;[0.050423833132725776, 0.022375440316624296, 0.1370661893259396, 0.4221936109434475]
66;[0.12672588603983345, 0.01943404405203284, 0.3039995971270464, 0.18438507619784222]
67;[0.02338039407992765, 0.04649746576035211, 0.0676534134828161, 0.04649746576035211]
68;[0.2622964405002676, 0.1590908330969028, 0.1590908330969028, 0.14039716743761957]
69;[0.01910289650231459, 0.024528604641327292, 0.027794550405207796, 0.021646417620693467]
70;[0.11687182073050999, 0.2474176169335631, 0.15006637042324164, 0.1700474755024496]
71;[0.017080814178664028, 0.046430466797148046, 0.024852437984645006, 0.08674353189546286]
72;[0.1281136873466151, 0.2712167105726446, 0.16450125038871652, 0.1281136873466151]
73;[0.08973848760135313, 0.13056872902079072, 0.13056872902079072, 0.13056872902079072]
74;[0.026521207801181997, 0.026521207801181997, 0.03005246559337323, 0.03005246559337323]
75;[0.13493474068206185, 0.13493474068206185, 0.17325965728409623, 0.10508728170672672]
76;[0.022370628915937527, 0.03688293173264555, 0.019742010727184255, 0.019742010727184255]
77;[0.04664803327606096, 0.01716085241334415, 0.12680250118766936, 0.02829346239722613]
78;[0.029902218409490817, 0.04350747106384747, 0.04350747106384747, 0.0383952084531343]
79;[0.20077109180598238, 0.07385955705696513, 0.03488878435397691, 0.4250324046886095]
80;[0.07781871400662323, 0.08818015539625487, 0.1283013690412497, 0.11322556077626597]
81;[0.11365781911879583, 0.10030267332685752, 0.08851679853190628, 0.07811580053111196]
82;[0.07094345582325254, 0.07094345582325254, 0.03797329550802803, 0.09109320042472022]
83;[0.014906479123123487, 0.040520020987415376, 0.03575879301405687, 0.03155702407506886]
84;[0.27978706050972707, 0.2469112142830829, 0.03786506108002321, 0.10292790746731892]
85;[0.08974627583676126, 0.10169585363293471, 0.08974627583676126, 0.14796659393818923]
86;[0.07745604444213314, 0.23858141314120232, 0.11269787967358957, 0.30634459842258255]
87;[0.06389182500738974, 0.10533981091353385, 0.1352589946020582, 0.10533981091353385]
88;[0.0816441263675049, 0.1048331333791421, 0.09251491549533065, 0.13460840776983451]
89;[0.030920105645421678, 0.030920105645421678, 0.03970220153539156, 0.03503706988077242]
90;[0.0817627377295737, 0.07215536279318542, 0.1189640814322094, 0.10498543338274638]
91;[0.029961792608094708, 0.08144459639464238, 0.13427943845943388, 0.063429115449082]
92;[0.12137793303550064, 0.20011840384521698, 0.17660387154357718, 0.15585236962165464]
93;[0.011963000321563, 0.02234982698952045, 0.017406062760948946, 0.015360796472730517]
94;[0.05727964949567155, 0.2265454354236987, 0.13740675240242178, 0.044609435881284604]
95;[0.03864236568341516, 0.04961777969844723, 0.03410176802415514, 0.07219344347365801]
96;[0.1488497399169629, 0.11592428018805376, 0.1488497399169629, 0.1488497399169629]
97;[0.06394610799331311, 0.05643224223643886, 0.06394610799331311, 0.06394610799331311]
