confidence_per_choice;id
[0.31052553418821693, 0.0006792720099567686, 0.35187152870312793, 0.0004668563698260815];0
[0.06860222939196944, 0.019654867796102368, 0.041609355450868635, 0.028597663898784712];1
[0.017974559634509363, 0.048859918829040255, 0.023079791424479544, 0.048859918829040255];2
[0.009518267365771861, 0.07969547691819494, 0.11595623469987666, 0.062066899831139284];3
[0.04079717435175839, 0.07621915605733016, 0.09786733361610137, 0.017006792497450244];4
[0.0004571583587340634, 0.12675734251504017, 0.005569328944362839, 0.02828338613537029];5
[0.029202752024443807, 0.008366726541738487, 0.017712360227854083, 0.0700537603472859];6
[0.05308994912824715, 0.009225649817599029, 0.019530700817119863, 0.060158793728069766];7
[0.0036409315529946627, 0.0007169419314039868, 0.154816349121502, 0.32774621366213336];8
[0.10943700868022103, 0.09657782118841854, 0.035528994888350894, 0.040259625596753994];9
[0.0011462333159716676, 0.029561746843320667, 0.017930105815137144, 0.593763486953316];10
[0.08540610967754533, 0.005459829925670962, 0.021594046250126408, 0.075370627252234];11
[0.4171230933674112, 7.489867261843255e-05, 0.0028105532952041956, 0.0010339447756222754];12
[0.036166239986330916, 0.05962804914670929, 0.024856668996786596, 0.046438371368477414];13
[0.036812658947079836, 0.07793239960252474, 0.24004869033230958, 0.04171420753916018];14
[0.15653287811449326, 0.0011951431302813064, 0.0010547101106185106, 0.3755028540024209];15
[0.04172745697174714, 0.06879694588154386, 0.08833702710239336, 0.11342698803410693];16
[0.009817296079540714, 0.018341123713517146, 0.41744205161704556, 0.034265730232542674];17
[0.11041810131892386, 0.009063669694817384, 0.027918068107004253, 0.14177964855590047];18
[0.2789155669376243, 0.09055062699095269, 0.020204575902032007, 0.025943188991605748];19
[0.14481621275027284, 0.013470002846890079, 0.007209972965981248, 0.44606531192232335];20
[0.004155836454935332, 0.011296734717498372, 0.00105076000949648, 0.2571125277198642];21
[0.012368964909564061, 0.043171939856180896, 0.02039298040500659, 0.1934832109987382];22
[0.014506933844704407, 0.13763792329864236, 0.0028565846454371643, 0.011298011438220857];23
[0.0108750811238526, 0.0031157629082274774, 0.007474326662405969, 0.0108750811238526];24
[0.12256083051337253, 0.0025436688865557826, 0.00419380099888263, 0.33315487846534947];25
[0.12909587100989353, 0.005672075363289348, 0.10053996543379015, 0.060980571562042105];26
[0.12228147728681754, 0.06545255821395442, 0.10791302494908503, 0.030917599291606233];27
[0.008749676621532384, 0.10659288259992664, 0.5413232596926038, 0.02378408696520441];28
[0.0013002337541584157, 0.0013002337541584157, 0.17029705552899935, 0.2807723777882621];29
[0.02711127112441926, 0.014511617711022303, 0.00685480283285106, 0.4805587218652004];30
[0.00020042528824377074, 0.5272560693965211, 0.0013069370517776542, 0.00965703119335612];31
[0.022943602515282192, 0.004517862129360979, 0.00657345061064893, 0.012280822529725238];32
[0.12281092299188545, 0.12281092299188545, 0.006928518164097867, 0.016620651047656646];33
[0.13233048233431619, 0.012308652221327149, 0.00015494299109212418, 0.09094932176561367];34
[0.07407318678112436, 0.02122232333151295, 0.0032545486908765204, 0.6202072734717219];35
[0.014201212796027035, 0.030063974892918684, 0.17300623037015894, 0.03860290788916971];36
[0.06805458578254946, 0.5028590921912675, 0.005586260580310575, 0.019497965275033714];37
[0.05571092761911191, 0.00314299546444466, 0.0005461707161034118, 0.1336435678694768];38
[0.11935656571133421, 0.023502701300838286, 0.4165953982194254, 0.02663204962193659];39
[0.06335730827503035, 0.08135239415805953, 0.19515424845084225, 0.06335730827503035];40
[0.19846068593997265, 0.00363493469060498, 0.12037250511971333, 0.19846068593997265];41
[0.00014823037641645357, 0.00014823037641645357, 0.34412763494226395, 0.001241117746361483];42
[0.00018945054901110608, 0.3881426995768081, 0.00014754423592315698, 0.0043118766769663485];43
[0.036347840152988406, 0.20916735327672253, 0.20916735327672253, 0.010413830559338604];44
[0.0010782020394218897, 0.00228255373536796, 0.7171572148634752, 0.016865917599457565];45
[0.013700064629208227, 0.00941590753839823, 0.013700064629208227, 0.06957465243567677];46
[0.016455480896647178, 0.002859533806783847, 0.08356782745148619, 0.5449307195704998];47
[0.049451684008660214, 0.00029405032154491577, 0.1344236140274398, 0.0021727553578542217];48
[0.0050556897737719965, 0.0012782785589147017, 0.7503308460448879, 0.0057288470463355105];49
[0.00950250403858694, 0.03316699804933463, 0.007400557586390696, 0.5188190793412712];50
[0.0031204330245956043, 0.01089138143162862, 0.763544672512353, 0.01089138143162862];51
[0.043453989709185716, 0.13384771125494457, 0.00037595067432341547, 0.08118274060848761];52
[0.008999729131084275, 0.09675622962788256, 0.2980301687375859, 0.010198029142908599];53
[0.002603302456374636, 0.009086418394750323, 0.006244997945320974, 0.040722511717273494];54
