id;confidence_per_choice
0;[0, 0, 0, 0]
1;[0, 0, 0, 0]
2;[0, 0, 0, 0]
3;[0, 0, 0, 0]
4;[0, 0, 0, 0]
5;[0, 0, 0, 0]
6;[0, 0, 0, 0]
7;[0, 0, 0, 0]
8;[0, 0, 0, 2.5108698466018373e-08]
9;[0, 0, 0, 0]
10;[0, 0, 0, 0]
11;[0, 0, 0, 0]
12;[0, 0, 0, 0]
13;[0, 0, 0, 0]
14;[1.2501361751566453e-09, 0, 0, 5.905225155155819e-10]
15;[0, 0, 0, 0]
16;[0, 0, 0, 0]
17;[0, 0, 0, 0]
18;[0, 0, 0, 0]
19;[0, 0, 0, 0]
20;[0, 0, 0, 1.8185870315812544e-09]
21;[0, 0, 0, 0]
22;[0, 0, 0, 0]
23;[0, 0, 0, 0]
24;[0, 0, 0, 0]
25;[4.277779709743936e-11, 0, 0, 2.0611496911037635e-09]
26;[0, 0, 0, 0]
27;[0, 0, 0, 0]
28;[0, 0, 0, 0]
29;[0, 0, 0, 0]
30;[0, 0, 0, 0]
31;[0, 0, 0, 5.210587534809243e-10]
32;[0, 0, 0, 0]
33;[1.0155556657961668e-08, 0, 0, 0]
34;[0, 0, 0, 0]
35;[3.3980150433190693e-09, 0, 0, 9.930455591886182e-08]
36;[0, 0, 0, 0]
37;[0, 0, 0, 0]
38;[0, 0, 0, 0]
39;[0, 0, 0, 0]
40;[0, 0, 0, 0]
41;[0, 0, 0, 0]
42;[2.289734845645553e-11, 0, 2.646573638909117e-09, 2.646573638909117e-09]
43;[1.915424400797249e-10, 1.2490136056265552e-09, 0, 3.578483893556498e-10]
44;[0, 0, 0, 0]
45;[0, 0, 0, 0]
46;[0, 0, 0, 0]
47;[0, 0, 0, 1.725749882415319e-08]
48;[0, 0, 0, 1.644584495594141e-08]
49;[0, 0, 0, 0]
50;[0, 0, 0, 0]
51;[0, 0, 0, 0]
52;[0, 0, 0, 0]
53;[0, 0, 0, 0]
54;[0, 0, 0, 0]
55;[0, 0, 0, 1.0463269858694262e-08]
56;[6.323047409610698e-09, 0, 0, 0]
57;[0, 0, 0, 0]
58;[0, 0, 0, 0]
59;[2.1724109300702664e-10, 0, 0, 1.8553665906340977e-07]
60;[0, 0, 0, 0]
61;[0, 0, 0, 0]
62;[0, 0, 0, 2.3354861262818448e-09]
63;[0, 0, 0, 0]
64;[0, 0, 0, 0]
65;[3.850653787288151e-09, 0, 0, 2.0611064469159156e-09]
66;[0, 0, 0, 2.998057190939189e-09]
67;[0, 0, 0, 0]
68;[0, 0, 0, 0]
69;[0, 0, 0, 0]
70;[0, 0, 0, 0]
71;[0, 0, 0, 0]
72;[0, 0, 0, 0]
73;[0, 0, 0, 0]
74;[0, 0, 0, 0]
75;[0, 0, 0, 0]
76;[0, 0, 0, 0]
77;[0, 0, 0, 0]
78;[0, 0, 0, 0]
79;[3.2239407607135034e-08, 0, 0, 0]
80;[0, 0, 0, 0]
81;[0, 0, 0, 0]
82;[0, 0, 0, 0]
83;[0, 0, 0, 0]
84;[0, 0, 0, 0]
85;[0, 0, 0, 0]
86;[0, 0, 0, 2.6461546931668486e-09]
87;[0, 0, 0, 0]
88;[0, 0, 0, 0]
89;[0, 0, 0, 0]
90;[0, 0, 0, 0]
91;[0, 0, 0, 0]
92;[0, 0, 0, 0]
93;[0, 0, 0, 0]
94;[0, 0, 0, 0]
95;[0, 0, 0, 0]
96;[0, 0, 0, 0]
97;[0, 0, 0, 0]
98;[0, 0, 0, 0]
99;[0, 0, 0, 0]
100;[0, 0, 0, 8.760471109813924e-08]
101;[0, 0, 0, 0]
102;[0, 0, 0, 0]
103;[0, 0, 0, 0]
104;[0, 0, 0, 0]
105;[1.493094676197164e-10, 0, 0, 9.736200313009565e-10]
106;[0, 0, 0, 0]
107;[0, 0, 0, 0]
108;[0, 0, 0, 0]
109;[0, 0, 0, 0]
110;[0, 0, 0, 0]
111;[0, 0, 0, 0]
112;[0, 0, 0, 0]
113;[0, 0, 0, 0]
114;[0, 0, 0, 0]
115;[0, 0, 0, 0]
116;[0, 0, 0, 0]
117;[0, 0, 0, 0]
118;[0, 0, 0, 0]
119;[0, 0, 0, 0]
120;[0, 0, 0, 0]
121;[0, 0, 0, 2.998732031032044e-09]
122;[0, 0, 0, 0]
123;[0, 0, 0, 0]
124;[0, 0, 0, 0]
125;[0, 0, 0, 0]
126;[0, 0, 0, 0]
127;[0, 0, 0, 0]
128;[3.850661131834392e-09, 0, 0, 9.735996041540552e-10]
129;[0, 0, 0, 0]
130;[4.058466340378004e-10, 0, 0, 1.9554785920301333e-08]
131;[0, 0, 0, 0]
132;[0, 0, 0, 0]
133;[0, 0, 0, 0]
134;[0, 0, 0, 0]
135;[0, 0, 0, 1.14815705674656e-07]
136;[0, 0, 0, 0]
137;[0, 0, 0, 0]
138;[0, 0, 0, 0]
139;[0, 0, 0, 0]
140;[0, 0, 0, 0]
141;[3.3968032751572147e-09, 0, 0, 1.2496140906341611e-09]
142;[0, 0, 0, 0]
143;[0, 0, 0, 0]
144;[0, 0, 0, 0]
145;[0, 0, 0, 0]
146;[0, 0, 0, 2.699542460342055e-07]
147;[0, 0, 0, 0]
148;[0, 0, 0, 6.344297026197243e-09]
149;[0, 0, 0, 0]
150;[0, 0, 0, 0]
151;[0, 0, 0, 0]
152;[0, 0, 0, 0]
153;[0, 0, 0, 0]
154;[0, 0, 0, 0]
155;[0, 0, 0, 0]
156;[0, 0, 0, 3.9129943064862174e-07]
157;[0, 0, 0, 0]
158;[0, 0, 0, 0]
159;[0, 0, 0, 0]
160;[0, 0, 0, 0]
161;[0, 0, 0, 0]
162;[0, 0, 0, 0]
163;[0, 0, 0, 0]
164;[0, 0, 0, 0]
165;[0, 0, 0, 0]
166;[0, 0, 0, 0]
167;[8.591986350235419e-10, 0, 0, 3.398196521746743e-09]
168;[0, 0, 0, 0]
169;[0, 0, 0, 0]
170;[2.213346928496915e-08, 0, 0, 8.305523074799993e-07]
171;[0, 0, 0, 0]
172;[0, 0, 0, 0]
173;[0, 0, 0, 0]
174;[0, 0, 0, 0]
175;[8.592051902139153e-10, 0, 0, 7.194036978928e-09]
176;[0, 0, 0, 0]
177;[0, 0, 0, 0]
178;[0, 0, 0, 0]
179;[0, 0, 0, 0]
180;[0, 0, 0, 3.849317313130623e-09]
181;[0, 0, 0, 0]
182;[0, 0, 0, 0]
183;[0, 0, 0, 0]
184;[0, 0, 0, 0]
185;[0, 0, 0, 0]
186;[0, 0, 0, 0]
187;[0, 0, 0, 0]
188;[0, 0, 0, 0]
189;[0, 0, 0, 0]
190;[0, 0, 0, 0]
191;[0, 0, 0, 0]
192;[0, 0, 0, 0]
193;[0, 0, 0, 0]
194;[1.9169886867530398e-10, 0, 0, 1.6917365783492688e-10]
195;[0, 0, 0, 0]
196;[0, 0, 0, 0]
197;[0, 0, 0, 0]
198;[0, 0, 0, 1.41660068076589e-09]
199;[0, 0, 0, 0]
200;[0, 0, 0, 0]
201;[0, 0, 0, 0]
202;[0, 0, 0, 0]
203;[0, 0, 0, 0]
204;[2.700536394217292e-07, 0, 0, 0]
205;[0, 0, 0, 0]
206;[0, 0, 0, 0]
207;[0, 0, 0, 0]
208;[0, 0, 0, 0]
209;[0, 0, 0, 0]
210;[0, 0, 0, 0]
211;[0, 0, 0, 0]
212;[0, 0, 0, 0]
213;[0, 0, 0, 0]
214;[4.9327701393459945e-09, 0, 0, 0]
215;[0, 0, 0, 7.73417112314356e-08]
216;[0, 0, 0, 0]
217;[0, 0, 0, 0]
218;[0, 0, 0, 0]
219;[0, 0, 0, 0]
220;[0, 0, 0, 0]
221;[0, 0, 0, 0]
222;[0, 0, 0, 0]
223;[0, 0, 0, 0]
224;[0, 0, 0, 1.2501528663867426e-09]
225;[0, 0, 0, 0]
226;[0, 0, 0, 0]
227;[0, 0, 0, 0]
228;[0, 0, 0, 0]
229;[0, 0, 0, 0]
230;[0, 0, 0, 0]
231;[0, 0, 0, 0]
232;[0, 0, 0, 0]
233;[3.5816181314367855e-10, 0, 0, 2.7893670054257103e-10]
234;[0, 0, 0, 0]
235;[0, 0, 0, 0]
236;[0, 0, 0, 0]
237;[0, 0, 0, 0]
238;[0, 0, 0, 0]
239;[0, 0, 0, 0]
240;[0, 0, 0, 0]
241;[0, 0, 0, 0]
242;[0, 0, 0, 7.188769837995152e-09]
243;[0, 0, 0, 0]
244;[0, 0, 0, 1.2500312639558774e-09]
245;[0, 0, 0, 0]
246;[0, 0, 0, 0]
