id;confidence_per_choice
0;[0.009899282235144998, 0.0443655049974411, 0.03455189003336546, 0.050272703357378934]
1;[0.025699690229392936, 0.06165035195389833, 0.013756052904680398, 0.06165035195389833]
2;[0.1259656996514651, 0.040895075194368954, 0.02480411693663835, 0.02480411693663835]
3;[0.040260911835426134, 0.03553012998999504, 0.031355229664598666, 0.03553012998999504]
4;[0.1012374490190271, 0.11471705874834225, 0.07884380457216973, 0.1012374490190271]
5;[0.021451996908762483, 0.05831257338124867, 0.014743727484049531, 0.014743727484049531]
6;[0.01666592669026258, 0.021399473462951762, 0.0274774678301649, 0.018884969047996174]
7;[0.08351578193246804, 0.0650421563678268, 0.0650421563678268, 0.0650421563678268]
8;[0.022105164546483317, 0.05302753309963624, 0.025048433010635224, 0.015192642598708287]
9;[0.08216147694869612, 0.03424999922060268, 0.15349782886769403, 0.06398742258594771]
10;[0.0269232918684641, 0.0391731585218753, 0.0391731585218753, 0.016329805871943957]
11;[0.026416513952226786, 0.04355346845078301, 0.0052017187752013945, 0.029933831920384017]
12;[0.02951119906444769, 0.02951119906444769, 0.026043541765932494, 0.020282730721261064]
13;[0.012262904687006493, 0.029417179085933203, 0.03333403097481501, 0.010821975402973348]
14;[0.042539187914211435, 0.06189415320000798, 0.0331295528588095, 0.0331295528588095]
15;[0.10088357047564285, 0.061188978554757606, 0.11431606182433285, 0.061188978554757606]
16;[0.052219807815874104, 0.052219807815874104, 0.031672914484629056, 0.04066882721884102]
17;[0.015036421362219771, 0.03183210427361443, 0.07636124849695813, 0.11110496097260111]
18;[0.015868651352339346, 0.029646543738909355, 0.038066915677704434, 0.015868651352339346]
19;[0.11934213897412964, 0.15323833972466316, 0.10531906799248973, 0.11934213897412964]
20;[0.010615858175428414, 0.025466119901293858, 0.03269914521767883, 0.015445982504052786]
21;[0.02893897255444155, 0.04210595661458422, 0.017552369930039627, 0.00939510660264678]
22;[0.006233124659005993, 0.016943389495095974, 0.02175574275654331, 0.019199375596076717]
23;[0.01768958781015791, 0.029165199692525044, 0.025738198391914546, 0.013776664838761356]
24;[0.013447682174128804, 0.028468743386032648, 0.03655459008882696, 0.03225931252863934]
25;[0.012883810543097772, 0.0187458381971303, 0.014599269986517307, 0.016543140201127033]
26;[0.01622206845724583, 0.020829553176504024, 0.04996750049948939, 0.03891472851712315]
27;[0.01575178386852613, 0.03778655614909871, 0.017849109523663375, 0.03778655614909871]
28;[0.020926733365436673, 0.05688475903627411, 0.002832125387228445, 0.05020062365378297]
29;[0.012751153983542601, 0.03466123016534702, 0.026994193194990457, 0.021023098798639357]
30;[0.018097516979030417, 0.03381061293563459, 0.029837761190184175, 0.026331731830396384]
31;[0.08193368147983826, 0.03415503994138098, 0.038702730674011525, 0.04385593939271817]
32;[0.017186287431134012, 0.03210821201648433, 0.011811951093638445, 0.010424010253616653]
33;[0.013020789831374849, 0.021467653156303647, 0.04010685622482138, 0.035394176390810564]
34;[0.08315952690940598, 0.03928177905376975, 0.03059268028751379, 0.012752923451497639]
35;[0.3240497471448216, 0.04969463822950157, 0.007620919598055928, 0.06380917855978233]
36;[0.012589991146345066, 0.023521205671158407, 0.03877991210255135, 0.02665301782053981]
37;[0.04465131771679051, 0.018613438484728056, 0.012792816711988873, 0.018613438484728056]
38;[0.01212471964438395, 0.032958412942386356, 0.019990287945026993, 0.022651963861267763]
39;[0.024975704144668102, 0.03633943510453632, 0.03633943510453632, 0.024975704144668102]
40;[0.03565091164700702, 0.07547298054897086, 0.011574156429775356, 0.004824826225391149]
41;[0.022072481362277956, 0.05294913021651782, 0.041236824075573865, 0.05999922499608112]
42;[0.009841307447287454, 0.02360806929563228, 0.014319017844421413, 0.01838598285424241]
43;[0.03860514444101609, 0.011060559065831614, 0.07212390503801534, 0.005224638157315257]
44;[0.02602740888710242, 0.037869656475491495, 0.042911942653375314, 0.009574946353682494]
45;[0.026864525842780547, 0.030441495901120552, 0.012689903463376149, 0.014379544479092045]
46;[0.03719328039154234, 0.017568857454940304, 0.0541159036511816, 0.047757117352734156]
47;[0.009169919050717191, 0.03626774203546001, 0.041096735783708226, 0.01511864058951576]
48;[0.019376803630335674, 0.03620063505033263, 0.041020693607321156, 0.0281930829248812]
49;[0.010405015206929446, 0.05284102730901875, 0.04115263344656129, 0.03204970315363242]
50;[0.04112789614933764, 0.010398760638698117, 0.022014176444875144, 0.02826676208266827]
51;[0.0273962556934018, 0.01466415546231424, 0.03104402475880148, 0.03517748863240415]
52;[0.037951736100265726, 0.07090317754685597, 0.037951736100265726, 0.09104148209408666]
53;[0.014875705020878859, 0.05192131225690428, 0.07554506356950651, 0.016856382132687298]
54;[0.03006405373893401, 0.03406703598719101, 0.023413908594182607, 0.020662701811764987]
55;[0.05739420563971469, 0.06503615533564201, 0.07369561881199657, 0.034811345410338694]
56;[0.04032929516621984, 0.03140848665616983, 0.04569907843087745, 0.021586716141834838]
57;[0.035421578783415224, 0.01895980486000879, 0.014765910871855874, 0.006155347428434685]
58;[0.016641737902679636, 0.04523692294950802, 0.039921444385398824, 0.02136840935027]
59;[0.008926610416700606, 0.021413825187492425, 0.031156931801936474, 0.024265042885450484]
60;[0.011627836787816218, 0.04598899758204165, 0.09735870864518242, 0.01691840269685428]
61;[0.04550654746217266, 0.04015938718268626, 0.0019994181552759195, 0.0189699512836772]
62;[0.018863099437172542, 0.031099993273397988, 0.018863099437172542, 0.0015483774913427743]
63;[0.010894716114692964, 0.02613506532232216, 0.008484813441463533, 0.020354009338646818]
64;[0.11199874250931671, 0.05290445991045448, 0.1629572087990904, 0.06793067118116122]
65;[0.004823101041576837, 0.03145056949119832, 0.06658085613534492, 0.027755030160504093]
66;[0.015661535413499343, 0.03757007036903435, 0.054664129833546654, 0.03757007036903435]
67;[0.012023579932481914, 0.013624501000817217, 0.01749420557473688, 0.012023579932481914]
68;[0.03866352465517604, 0.049644948355979185, 0.014223515843864446, 0.03866352465517604]
69;[0.0074061388189165436, 0.01221065860450563, 0.03319201139814474, 0.03761147636998418]
70;[0.009469190671713201, 0.04243795822036531, 0.03745136668148685, 0.010729998761446636]
71;[0.0265556597034493, 0.03409814201613935, 0.049612503887914924, 0.0265556597034493]
72;[0.01529904272972026, 0.019644364399533508, 0.019644364399533508, 0.011914906458149023]
73;[0.05027418963671519, 0.04436681663435173, 0.030492837406874904, 0.030492837406874904]
74;[0.01586222847106938, 0.029634544216941672, 0.02615239348095726, 0.023079406242118346]
75;[0.00444081304569072, 0.025555114636372975, 0.06130353313569211, 0.019902343290286794]
76;[0.011012553338566537, 0.011012553338566537, 0.020574153350522664, 0.018156630934014362]
77;[0.00342160124576607, 0.036785680110726304, 0.0606493332557251, 0.013532695442245432]
78;[0.10429633801467424, 0.049266101651503316, 0.02053716663613237, 0.11818323408186295]
79;[0.17636720706549752, 0.06488186957622329, 0.03935284315745575, 0.10697211845311083]
80;[0.014125848461265333, 0.03388614888005255, 0.038398037183823716, 0.01813794845654411]
81;[0.022622905421208855, 0.01554847664405286, 0.03729886537298428, 0.010686301298989365]
82;[0.010290444668158915, 0.0522591901038265, 0.03591718107665923, 0.004289695547758664]
83;[0.031770008019483674, 0.028036933672282098, 0.036000135441198594, 0.024742507123758698]
84;[0.0250494781345043, 0.036446775626370116, 0.005589295400378245, 0.02838477739824484]
85;[0.020411216436988996, 0.03813317259467883, 0.03813317259467883, 0.02312893833078626]
86;[0.01884491208084701, 0.03989467918821751, 0.008901706156337204, 0.01884491208084701]
87;[0.07191517698022466, 0.13435523867132756, 0.17251554131913233, 0.09234091508820565]
88;[0.06725912798872474, 0.024743250418170572, 0.052381461546318675, 0.019270062801403108]
89;[0.05872258361451348, 0.027738584390033724, 0.051822498151573054, 0.01682430188958171]
90;[0.11013814049568227, 0.04591240769066542, 0.07569676314865624, 0.11013814049568227]
91;[0.03373218912605299, 0.0809193151059141, 0.10390245729695802, 0.05561497771940313]
92;[0.03789075369610142, 0.055130721321240445, 0.055130721321240445, 0.033438472773405316]
93;[0.10890566444165818, 0.10890566444165818, 0.09610891154368066, 0.15845678787638115]
94;[0.05369841899361812, 0.10032185420532873, 0.1459674365673322, 0.06895013482375345]
95;[0.009645677753671991, 0.043228928564634776, 0.06289771992468712, 0.029710779136094295]
96;[0.08846337920459713, 0.12871345725080316, 0.08846337920459713, 0.10024214129875329]
97;[0.004643834774005518, 0.04405947760346005, 0.04405947760346005, 0.01620857599906656]
98;[0.04880526848164199, 0.038009581311512934, 0.043070498264858634, 0.043070498264858634]
99;[0.03672373444244935, 0.04161344287429841, 0.0252398289594622, 0.0252398289594622]
100;[0.02322532021111153, 0.03829207945088117, 0.03829207945088117, 0.02049627314784133]
101;[0.008394411960329282, 0.02281837749236236, 0.03762114433452288, 0.03762114433452288]
102;[0.06608034705228119, 0.06608034705228119, 0.09614633763606031, 0.08484884515867593]
103;[0.009522212281680886, 0.04267559470824811, 0.03323578657682153, 0.0030914097119576806]
104;[0.005688405197781543, 0.013645774691032168, 0.053970085846720056, 0.037093061377879086]
105;[0.10244860878519255, 0.010798006497846156, 0.02285937448522385, 0.02590306483600668]
