id;confidence_per_choice
0;[0.0004349416177219218, 0.013530637126235744, 0.0778634406146987, 0.013530637126235744]
1;[0.14930730351814958, 0.01151334297811602, 0.004799475407108816, 0.017832214443072633]
2;[0.06325648344808237, 0.13391397651044976, 0.006667184303938288, 0.03385875569350843]
3;[0.07772589095421678, 0.047143135917213315, 0.0367151111687674, 0.04160367142506534]
4;[0.038516995518581267, 0.014169610786978624, 0.03399112924201271, 0.25116239077612235]
5;[0.04848775639935741, 0.07994279534414682, 0.01783764872785263, 0.012259624729492536]
6;[0.16183386530119337, 0.0016888877344773427, 0.04636617317593888, 0.004886958698645073]
7;[0.07233430814668537, 0.014243469791900198, 0.04971459447797934, 0.10524579733577465]
8;[0.07566221004656425, 0.08573651626988156, 0.021677586119383925, 0.013148123744723964]
9;[0.09353020612197988, 0.02679685270526955, 0.1747374294851914, 0.04418054104299618]
10;[0.053753178441105325, 0.032602950781534516, 0.032602950781534516, 0.017451106169925935]
11;[0.06350899833480099, 0.043649053662262426, 0.0075850681827714355, 0.04946085763522356]
12;[0.07727336343670368, 0.04136145089959713, 0.02508698810080434, 0.04136145089959713]
13;[0.042081739854666796, 0.1296208841321301, 0.04768485841867629, 0.01754227906740198]
14;[0.02266628550737124, 0.020002926753353224, 0.00887624494054936, 0.24368553436911958]
15;[0.08070160136229616, 0.009638431794576574, 0.21936972266158264, 0.018006961236203888]
16;[0.013868227453058603, 0.0548499035877602, 0.01780715653413395, 0.1490974784415336]
17;[0.005567494183527252, 0.028274068451014166, 0.022019866650264338, 0.12671558355090048]
18;[0.005118927604175115, 0.02599605939498953, 0.09073516283106144, 0.005800504896032108]
19;[0.1589374604084147, 0.09640045420639529, 0.09640045420639529, 0.10923602555891625]
20;[0.0034699760143057624, 0.04790155273397609, 0.042272971916726555, 0.029053760380998016]
21;[0.10758504898624731, 0.12190983183188486, 0.03492775160425411, 0.0053563441892382855]
22;[0.0033118811307963785, 0.0115596009808259, 0.058704497683231785, 0.05180653737323661]
23;[0.0071056530682046815, 0.04633467838958142, 0.1832571861166843, 0.021886952303250166]
24;[0.017401025476476335, 0.03250939550160202, 0.036837971222777974, 0.18707863204733552]
25;[0.021071995399050938, 0.06490631526847992, 0.0393676702193073, 0.09443813147014057]
26;[0.001569249046025833, 0.013986564500566921, 0.09120383547833572, 0.1503697035225671]
27;[0.008687035656471309, 0.11992082817676825, 0.009843701015866825, 0.056646588207707564]
28;[0.06056306889354964, 0.03673335813022633, 0.0016139511179326074, 0.017351609750576136]
29;[0.0229882442757475, 0.09092026983582113, 0.09092026983582113, 0.04294769443662969]
30;[0.021391026165561742, 0.011449791222865676, 0.035267839841264643, 0.12309685641485019]
31;[0.13808279767110493, 0.011334526256816744, 0.05756147392003564, 0.10753899095494689]
32;[0.07705978183416962, 0.013390982170754628, 0.0019291538904812335, 0.005582191873179671]
33;[0.017983226941772873, 0.014005351224403498, 0.09132636205102908, 0.0805952316343525]
34;[0.15154433449126165, 0.009687905182020243, 0.0011570552721752122, 0.0010210976938138008]
35;[0.5160708367550308, 0.002708090726908556, 0.00370152115367954, 0.01558398614393428]
36;[0.0016590814632344764, 0.006561794476667689, 0.029407922587886264, 0.10264373549821183]
37;[0.15152926861949925, 0.004038119191510318, 0.00277535602680511, 0.023237765965179565]
38;[0.00532843693429505, 0.030663037441022063, 0.01641274122341275, 0.10702451678666011]
39;[0.009330949979707341, 0.03690462306747674, 0.08852958850973819, 0.145960615662335]
40;[0.14296524599981836, 0.046414019860334464, 0.015068426067677032, 0.008065547262517599]
41;[0.0022420852086045043, 0.04230504430068964, 0.04230504430068964, 0.2148427679566212]
42;[0.02542805518365011, 0.019803389289009602, 0.04192377545382059, 0.032650269152745215]
43;[0.024088716260594546, 0.0060905812827839485, 0.07419846969468907, 0.007820461169497219]
44;[0.030834996139801802, 0.02119256225844679, 0.09497847464613995, 0.09497847464613995]
