confidence_per_choice;id
[9.357622968840175e-14, 3.8242466280971355e-16, 0, 0];('abstract_algebra', 0)
[8.87811307424006e-13, 0, 0, 0];('abstract_algebra', 1)
[1.7830772352095458e-11, 0, 0, 0];('abstract_algebra', 2)
[2.2897173764216836e-11, 0, 0, 0];('abstract_algebra', 3)
[2.0875418294728254e-14, 0, 0, 0];('abstract_algebra', 4)
[4.8470821004592116e-11, 0, 0, 0];('abstract_algebra', 5)
[1.8795288165390832e-12, 0, 0, 0];('abstract_algebra', 6)
[6.914386918781189e-13, 0, 0, 0];('abstract_algebra', 7)
[1.2015425731771786e-13, 1.334793228597603e-15, 0, 0];('abstract_algebra', 8)
[1.7831146460511943e-11, 0, 0, 0];('abstract_algebra', 9)
[1.9810087980489796e-13, 0, 0, 0];('abstract_algebra', 10)
[5.1090792832586454e-12, 0, 1.2664117239228628e-14, 0];('abstract_algebra', 11)
[1.9810012411145482e-13, 0, 0, 0];('abstract_algebra', 12)
[3.774853735312682e-11, 0, 0, 0];('abstract_algebra', 13)
[1.9810050195781604e-13, 0, 0, 3.442470542472232e-14];('abstract_algebra', 14)
[5.109059793705047e-12, 0, 0, 0];('abstract_algebra', 15)
[6.914386918781189e-13, 0, 0, 1.542808260515855e-13];('abstract_algebra', 16)
[3.628288814330979e-15, 0, 0, 0];('abstract_algebra', 17)
[1.6918979226151304e-10, 0, 0, 2.9400777392844726e-11];('abstract_algebra', 18)
[1.463775722192624e-12, 0, 0, 0];('abstract_algebra', 19)
[5.108952602489194e-12, 0, 0, 0];('abstract_algebra', 20)
[4.658850600758511e-15, 0, 0, 0];('abstract_algebra', 21)
[4.420152226048166e-14, 0, 0, 0];('abstract_algebra', 22)
[3.2661313427874473e-13, 0, 0, 6.560200168153779e-12];('abstract_algebra', 23)
[1.1399918530443554e-12, 0, 0, 0];('abstract_algebra', 24)
[5.384940217754036e-13, 0, 0, 0];('abstract_algebra', 25)
[2.5436559440810405e-13, 0, 0, 0];('abstract_algebra', 26)
[3.265888395428674e-13, 0, 0, 0];('abstract_algebra', 27)
[3.0987895862205052e-12, 0, 0, 0];('abstract_algebra', 28)
[4.1937956583795446e-13, 0, 0, 0];('abstract_algebra', 29)
[3.978924589674418e-12, 0, 0, 0];('abstract_algebra', 30)
[1.2015425731771786e-13, 9.862862046580453e-15, 0, 0];('abstract_algebra', 31)
[2.543665647376923e-13, 0, 0, 0];('abstract_algebra', 32)
[1.3176514270095466e-10, 0, 0, 0];('abstract_algebra', 33)
[8.87811307424006e-13, 0, 0, 0];('abstract_algebra', 34)
[4.420228103641173e-14, 8.095930175212601e-16, 0, 0];('abstract_algebra', 35)
[2.680998754177618e-14, 0, 0, 0];('abstract_algebra', 36)
[1.1399505409167837e-12, 0, 0, 0];('abstract_algebra', 37)
[2.413362771833214e-12, 2.3195228302435696e-16, 0, 0];('abstract_algebra', 38)
[3.978954946575725e-12, 0, 0, 3.442470542472232e-14];('abstract_algebra', 39)
[1.542808260515855e-13, 0, 0, 0];('abstract_algebra', 40)
[8.423463754468647e-12, 9.357622968840175e-14, 0, 0];('abstract_algebra', 41)
[5.384796426256798e-13, 0, 0, 0];('abstract_algebra', 42)
[1.1399896786845267e-12, 0, 0, 0];('abstract_algebra', 43)
[8.87811307424006e-13, 0, 0, 0];('abstract_algebra', 44)
[1.5428112031918877e-13, 0, 0, 0];('abstract_algebra', 45)
