confidence_per_choice;id
[9.043344170464431e-06, 0.0009224461833286383, 0.0004937498618203774, 0.005308311275054255];('abstract_algebra', 0)
[0, 1.9843721016705455e-06, 0, 2.739341189027292e-05];('abstract_algebra', 1)
[3.6502558485264515e-05, 4.3596089092246735e-06, 4.1362817680558836e-05, 0.00372336219011041];('abstract_algebra', 2)
[0.03598794950049892, 0.0001145416999581959, 0.0005133405295803695, 0.14233508440739917];('abstract_algebra', 3)
[3.5466023667686942e-06, 5.5478195262953206e-05, 2.969533804810381e-05, 5.5478195262953206e-05];('abstract_algebra', 4)
[0.011010831081411352, 0.00015706107007773073, 0.023309929582267186, 0.01602066469126476];('abstract_algebra', 5)
[0.04722541552908428, 7.1000540611077e-05, 0.03245752177958832, 0.0038764981687179323];('abstract_algebra', 6)
[0.002926974419683677, 0.00010015555698795609, 0.12445811931145581, 0.0022795299700796184];('abstract_algebra', 7)
[1.0474088212087957e-05, 0.021459107317823085, 6.829963468140738e-05, 0.0019960079060841254];('abstract_algebra', 8)
[3.5837164420404223e-06, 3.5837164420404223e-06, 1.6061102809483377e-05, 9.24252652070562e-05];('abstract_algebra', 9)
[0.18031230405422333, 1.191079832067251e-05, 0.0012149344583373587, 0.0069914650851197364];('abstract_algebra', 10)
[0.0002370732801042442, 0.0028881424259401627, 0.10837674497890303, 0.0007302367636012507];('abstract_algebra', 11)
[2.8609656908685536e-05, 3.6735526633468266e-05, 6.863099912712083e-05, 0.0037471273740362766];('abstract_algebra', 12)
[7.64803984411747e-06, 0.0001536149866790319, 2.3557621189047065e-05, 5.6511795455040813e-05];('abstract_algebra', 13)
[5.470164627114982e-05, 0.00027779788178849805, 0.0026356729183092224, 0.013385051524121536];('abstract_algebra', 14)
[0.0026659353232054627, 8.050427113393796e-05, 0.10003848496468641, 0.00302090048746648];('abstract_algebra', 15)
[0.0006277148657512623, 0.0009133197404963034, 0.0052557922227088865, 0.3251643119315115];('abstract_algebra', 16)
[0, 0, 1.1200011314587461e-06, 6.929201636128592e-05];('abstract_algebra', 17)
[0.0005268475958596859, 0.001432120246192719, 0.005664145450140109, 0.309251863096301];('abstract_algebra', 18)
[0.14731672308987487, 4.94192432792489e-05, 0.0106715901720177, 0.005712090600043411];('abstract_algebra', 19)
