id;confidence_per_choice
('easy', 100);[0.001352215509091156, 0.0006387413785923256, 0.0006000419948091186, 0.9574220050068798]
('easy', 101);[0.0016309168184178802, 0.0005999807677566764, 0.0016309168184178802, 0.957324543442629]
('easy', 102);[0.0010690745266534044, 0.00014468357285617338, 0.9719394260907782, 0.0045009718757485]
('easy', 103);[0.004284462297770369, 0.925186124316212, 0.011646376008747081, 0.04064983679040544]
('easy', 104);[0.0035310950236902704, 0.0008387085823308092, 0.003116180421138542, 0.9790746710194062]
('easy', 105);[0.009061392342569325, 0.3000721027992169, 0.009061392342569325, 0.6352526087469352]
('easy', 106);[0.0007889159808833126, 0.00047850173034299484, 0.0013007025584775731, 0.9803448551743341]
('easy', 107);[0.807830177703905, 0.02764242736069359, 0.03549357931007521, 0.07513990798907251]
('easy', 108);[0.0037699475178704033, 0.0021480513458195303, 0.05204252018802149, 0.9224756533336765]
('easy', 109);[0.019799130957576693, 0.03264324835113409, 0.5786154907023926, 0.30971055411657916]
('easy', 110);[0.9436338874228447, 0.0019391272972905948, 0.008164030861274825, 0.025146991409494748]
('easy', 111);[0.0032432086603205587, 0.022512324810488822, 0.0073086835382235255, 0.9572485091276381]
('easy', 112);[0.0039640919065495875, 0.0006888558828011152, 0.9699810987058051, 0.005767719690787147]
('easy', 113);[0.92576311115475, 0.007068287893394379, 0.009075861307584636, 0.02795562091806543]
('easy', 114);[0.011839864290153258, 0.0029935865015054013, 0.01952063609737855, 0.9405570246457562]
('easy', 115);[0.003008747202311294, 0.003863307880155836, 0.003863307880155836, 0.9453204215554073]
('easy', 116);[0.9476966539249422, 0.0014248040961755187, 0.01052795739662709, 0.013518164883074888]
('easy', 117);[0.9755843634701797, 0.0003272722107423562, 0.002134081871751685, 0.002418231571693379]
('easy', 118);[0.10254088157506679, 0.5207455961189028, 0.062194188549240276, 0.27873501505967496]
('easy', 119);[0.003218341168031201, 0.8923568811692051, 0.04442782941016054, 0.030534770833557583]
('easy', 120);[0.04956182083143422, 0.6841798936345458, 0.07211202380258232, 0.1188926275165514]
('easy', 121);[0.08059442459156764, 0.5955167245681293, 0.11726419584682496, 0.15057020793477235]
('easy', 122);[0.00539888224106372, 0.0745292704186043, 0.0018658037767636736, 0.9079524408884639]
('easy', 123);[0.0522213516600702, 0.09756232913057263, 0.7208935660567407, 0.08609845326666918]
('easy', 124);[0.0023939648746975337, 0.8523105956740393, 0.02271330633265134, 0.06174116786826989]
('easy', 125);[0.007444093660898963, 0.00037061960003195927, 0.007444093660898963, 0.9749838527619706]
('easy', 126);[0.007269508883433963, 0.004996255517659895, 0.013581230583993131, 0.9521179972688798]
('easy', 127);[0.0044386007627379796, 0.001441002689241538, 0.9584709819197427, 0.015492238913207263]
('easy', 128);[0.9751003592621892, 0.000946523582555449, 0.0021330238202063776, 0.010832388775294651]
('easy', 129);[0.16801910631626618, 0.40305688305652215, 0.02576656447844551, 0.3556964508627823]
('easy', 130);[0.12959149773404133, 0.0007238923512867759, 0.002373551641445657, 0.8450427918090628]
('easy', 131);[0.9783364566521887, 0.001298037711584299, 0.0016667134134934318, 0.008464269128608442]
('easy', 132);[0.010176927005852302, 0.9160976311869777, 0.014807341420711216, 0.03552095703462269]
('easy', 133);[0.9816437259830884, 0.0014758413707886705, 0.004545911456633546, 0.004545911456633546]
('easy', 134);[0.027178383979931164, 0.002864580596329341, 0.9000243885338487, 0.039544315353996703]
('easy', 135);[0.01545233999553191, 0.006441493659296425, 0.006441493659296425, 0.9560022416847017]
('easy', 136);[0.8253310576951319, 0.0011656565071958775, 0.041090818081695096, 0.09857174830507487]
('easy', 137);[0.3104988827116017, 0.0009882501168493537, 0.6573261790383699, 0.022492463623034968]
('easy', 138);[0.032324954560260064, 0.0006708830286956286, 0.9446735960159959, 0.009261254539802184]
('easy', 139);[0.01057741598026525, 0.028752390796102374, 0.10035570472536659, 0.8402680780981422]
('easy', 140);[0.0022045858003113213, 0.000317600545752177, 0.94675413043411, 0.010517490630039825]
('easy', 141);[0.008188167496700453, 0.0028297549674110314, 0.9464234323350654, 0.019642392710699137]
('easy', 142);[0.09021530372618447, 0.015677069088078713, 0.7553635124711948, 0.10222733186027982]
('easy', 143);[0.006473890565298618, 0.0009326523634592948, 0.9608104108877129, 0.013705226434285813]
('easy', 144);[0.021716020912848726, 0.8148876243116654, 0.021716020912848726, 0.09732445357634698]
('easy', 145);[0.019343721867697422, 0.009137327215825214, 0.015064905738078211, 0.9320326590247182]
('easy', 146);[0.01127745601677668, 0.8958791163102774, 0.014480540161119354, 0.04460319315148286]
('easy', 147);[0.01671066428727506, 0.8051650395723297, 0.10896724517769345, 0.045424305903576497]
('easy', 148);[0.005751894425193492, 0.00447957988248474, 0.003078767226719485, 0.9673198069296267]
('easy', 149);[0.9418204209533573, 0.002645379316757484, 0.017250040029238013, 0.025098666128349215]
('easy', 0);[0.005929746819448694, 0.8800522614458056, 0.049649150412511306, 0.038666797220093765]
('easy', 1);[0.00233570485932043, 0.8852001451220033, 0.0267307265944656, 0.03889297770145388]
('easy', 2);[0.005052877221944663, 0.0016404290573631387, 0.01763627442653391, 0.9629080002109442]
('easy', 3);[0.7891743847662888, 0.01637879499552821, 0.034673901010725615, 0.106803134110953]
('easy', 4);[0.0006338129639162696, 0.00031870102081593156, 0.9500347180125106, 0.008219411578119222]
('easy', 5);[0.004500158527833405, 0.0007820102935337606, 0.9717635565150237, 0.0074195070863615105]
('easy', 6);[0.9794403648088053, 0.00037231365973331104, 0.003117344106376509, 0.0021425171826147987]
('easy', 7);[0.0025506162353489624, 0.001063255035292362, 0.9666485477710007, 0.005072506077763407]
('easy', 8);[0.0016012583893032675, 0.939915219641743, 0.006333099782914649, 0.013407172345640038]
('easy', 9);[0.13933124383604711, 0.04523423748382154, 0.551065759271521, 0.1789048584242017]
('easy', 10);[0.9123915316959074, 0.0010683004596181574, 0.007893732026631963, 0.03122032323900897]
('easy', 11);[0.8433068020329109, 0.06922283665289533, 0.0039052852094569345, 0.022473364716906474]
('easy', 12);[0.0053897945864214555, 0.9064241120181206, 0.027371635434172863, 0.031016126350142108]
('easy', 13);[0.061827768846645516, 0.7532164654732278, 0.015632511811775957, 0.13088938767547317]
('easy', 14);[0.9433094976410255, 0.002649561687873191, 0.009247878977628902, 0.010479219757649413]
('easy', 15);[0.5248152458196936, 0.40872652441218926, 0.010892191634560205, 0.03355031219441637]
('easy', 16);[0.022117743016546513, 0.019518839704264365, 0.18518961702260803, 0.7324391436126932]
('easy', 17);[0.9443205330721014, 0.008169973608801359, 0.009257792956410056, 0.019598747842516792]
('easy', 18);[0.040438624290347024, 0.9203788465748399, 0.010224487858178921, 0.019101853553620284]
('easy', 19);[0.9606561483832475, 0.0001724955363079657, 0.0018545026696818237, 0.013703024261895654]
('easy', 20);[0.005104853261107601, 0.002566881420592839, 0.9728128496821797, 0.004505017191076328]
('easy', 21);[0.07901407090281823, 0.5838393329067316, 0.14761770094705084, 0.10145607531518594]
('easy', 22);[0.0027921688414279636, 0.9338526642354854, 0.017104107791112873, 0.010374165782339684]
('easy', 23);[0.005781978148216181, 0.001877133472030445, 0.002731213085896753, 0.9723793787561602]
('easy', 24);[0.941722512813001, 0.002997295893955922, 0.00559968593711135, 0.015221524527927443]
('easy', 25);[0.9485071880750626, 0.002351114090611675, 0.008206194508355762, 0.019685637263583113]
('easy', 26);[0.5533724596883066, 0.02755079412555, 0.2613946567451167, 0.10896550454393979]
