id;confidence_per_choice
('easy', 0);[0.011432017375900529, 0.7072739125159142, 0.03521309253837251, 0.024201580974697805]
('easy', 1);[0.021563167521158094, 0.6301680517387424, 0.0517273498261799, 0.03137422361525907]
('easy', 2);[0.01187815867987427, 0.019583772872260062, 0.060322267166519304, 0.5723217359261785]
('easy', 3);[0.6354207093074197, 0.013187737665012878, 0.03584798765328943, 0.0521585142668754]
('easy', 4);[0.005879161701716107, 0.009693098951504907, 0.6795386179051786, 0.033832239661365913]
('easy', 5);[0.008879775567062886, 0.01291999721381297, 0.7054077991480162, 0.030993454724923354]
('easy', 6);[0.5941964774363949, 0.017943183135325558, 0.033522271363704746, 0.02033228536529376]
('easy', 7);[0.014693959408374242, 0.014693959408374242, 0.7079946972748888, 0.01665043737302601]
('easy', 8);[0.008632813027387288, 0.6857893226565454, 0.018275665322393005, 0.018275665322393005]
('easy', 9);[0.0757829348998112, 0.04056368199183458, 0.4361006539763962, 0.05208479867195443]
('easy', 10);[0.5503925634186134, 0.016620413289036844, 0.1228091661801057, 0.02740242891746212]
('easy', 11);[0.6406851473166312, 0.028149740791153826, 0.028149740791153826, 0.04095763117485659]
('easy', 12);[0.008754233818571204, 0.6954349299502766, 0.023796474711103743, 0.0163550619419621]
('easy', 13);[0.13431923864478013, 0.46882018071158355, 0.026449026293695572, 0.08146873642731713]
('easy', 14);[0.6231051560049078, 0.03515318321610958, 0.04513758072696562, 0.02132148340706602]
('easy', 15);[0.6063020049898831, 0.07241243948976919, 0.020746511266167132, 0.02350887714779077]
('easy', 16);[0.023711783931990995, 0.020925575874737232, 0.05688161265033921, 0.5396776504378946]
('easy', 17);[0.7153196612324743, 0.021600781436006543, 0.03142895153843374, 0.014845985494474356]
('easy', 18);[0.017332251375392873, 0.6503879927434465, 0.04711394396001474, 0.022255051294425513]
('easy', 19);[0.7199737014624631, 0.010269871143526274, 0.02791641076585358, 0.024636146032145038]
('easy', 20);[0.02080259945672599, 0.11971069450155072, 0.5365060471936705, 0.02080259945672599]
('easy', 21);[0.011266878040986235, 0.6151506243552314, 0.03932526842293777, 0.03470442757655038]
('easy', 22);[0.011121213256061871, 0.6880449773266581, 0.01833577647967114, 0.014279920485188077]
('easy', 23);[0.015524347689996588, 0.009415992846021928, 0.019933657011453245, 0.5825467798555213]
('easy', 24);[0.607631493068167, 0.020792008178651126, 0.038844585226662676, 0.023560431903791326]
('easy', 25);[0.6399854516275759, 0.015051012063034415, 0.028118999146118685, 0.0318630003842118]
('easy', 26);[0.4951547041031645, 0.052188915629229, 0.06701189413730214, 0.04605655639204337]
('easy', 27);[0.008445703380366322, 0.010844497802195933, 0.05507290408732938, 0.6709252614568962]
('easy', 28);[0.6448896133984692, 0.017185730176057346, 0.07702108073255645, 0.025005083898431105]
('easy', 29);[0.02568013938040834, 0.5844772434476788, 0.06980585623005951, 0.029099410213450198]
