id;confidence_per_choice
('easy', 752);[3.5114221133765118e-12, 1.3176514270095466e-10, 1.0, 1.103256032343554e-09]
('easy', 754);[1.57371021068629e-11, 7.582560427911907e-10, 1.0, 5.211412487888539e-10]
('easy', 755);[2.8823507934443873e-13, 6.560200168153779e-12, 1.2917800047859961e-12, 1.0]
('easy', 756);[3.701011678592672e-13, 7.433680672352188e-12, 5.109089028063325e-12, 1.0]
('easy', 757);[7.835041785064389e-13, 5.109089028063325e-12, 1.8795288165390832e-12, 1.0]
('easy', 758);[4.222641866560158e-06, 6.143907662852407e-06, 0.9999506497906105, 2.902176483060696e-06]
('easy', 759);[9.545034922840628e-12, 1.0, 2.4616969518153846e-10, 3.581747930283181e-10]
('easy', 760);[0, 0, 0, 0]
('easy', 761);[1.006039279283317e-12, 1.0, 9.545034922840628e-12, 4.277787868968998e-11]
('easy', 762);[6.914400106940203e-13, 2.020683909022217e-11, 3.0988191387218256e-12, 1.0]
('easy', 763);[1.0, 9.736200313009565e-10, 2.335593038799337e-09, 3.775134544279098e-11]
('easy', 764);[0, 0, 0, 0]
('easy', 765);[1.0, 3.1608814543136926e-10, 3.581747930283181e-10, 3.331544542166412e-11]
('easy', 766);[0, 0, 0, 0]
('easy', 767);[2.9400777392844726e-11, 9.736200313009565e-10, 1.0, 2.7894680928689246e-10]
('easy', 768);[0.9999997615814777, 1.186112015134383e-08, 6.34880011604368e-09, 1.6052280551856116e-09]
('easy', 769);[3.701011678592672e-13, 6.560200168153779e-12, 2.129785170955785e-12, 1.0]
('easy', 770);[3.2661313427874473e-13, 1.0815941557285693e-11, 1.6586783589142312e-12, 1.0]
('easy', 771);[0.9999997615814777, 2.061153622438558e-09, 6.691586091292782e-10, 3.775134544279098e-11]
('easy', 772);[1.0, 2.061153622438558e-09, 6.691586091292782e-10, 1.162823303022097e-10]
('easy', 773);[0, 0, 0, 0]
('easy', 774);[3.97896253583724e-12, 5.211412487888539e-10, 1.0, 6.34880011604368e-09]
('easy', 775);[0, 0, 0, 0]
('easy', 776);[1.463778514125909e-12, 6.224144622907783e-11, 1.0, 1.57371021068629e-11]
('easy', 777);[3.0988191387218256e-12, 1.0, 5.4927883509546835e-11, 1.493094676197164e-10]
('easy', 778);[1.162823303022097e-10, 1.103256032343554e-09, 0.9999996423722521, 2.4616969518153846e-10]
