id;confidence_per_choice
('easy', 0);[1.275186943143007e-07, 0.9999971389852362, 4.691155074157667e-08, 3.6534752452633856e-08]
('easy', 1);[3.398267819495071e-09, 0.9999997615814777, 4.363462252943702e-09, 1.4166087866431961e-09]
('easy', 2);[9.931023833370438e-08, 3.927799865653355e-07, 1.2751699176741565e-07, 0.9999833109787883]
('easy', 3);[0.9999822381318528, 6.825486208093125e-08, 4.139866652654203e-08, 3.398209484862448e-09]
('easy', 4);[1.5229921647061352e-08, 7.734392402719739e-08, 0.9999970197767496, 2.382362851497276e-07]
('easy', 5);[1.522997974471263e-08, 3.2241867372567335e-08, 1.0, 5.602796437537268e-09]
('easy', 6);[0.9999971389852362, 1.1253496007565217e-07, 1.0467381829779195e-08, 3.850734578067279e-09]
('easy', 7);[8.76423150298272e-08, 1.1253496007565217e-07, 0.9999988079084972, 7.734407154916583e-08]
('easy', 8);[4.139937718785167e-08, 0.9999990463265931, 9.237449661970594e-09, 1.0467401794744658e-08]
('easy', 9);[2.510999155743982e-08, 1.2751905914873347e-07, 0.9999997615814777, 4.691164021834418e-08]
('easy', 10);[0.9999963045256735, 1.2098625320360655e-06, 1.760339596980714e-06, 2.3823605795000956e-07]
('easy', 11);[0.9999823573372132, 2.6995321624244547e-07, 7.734289138129681e-08, 8.151880776961184e-09]
('easy', 12);[2.2159447507533765e-08, 0.9999983310727032, 4.9444410711567335e-09, 3.850734578067279e-09]
('easy', 13);[1.3440409951135022e-08, 0.9999997615814777, 1.9555681087850496e-08, 5.602796437537268e-09]
('easy', 14);[0.9999988079084972, 5.602785751061334e-09, 6.348788006680007e-09, 7.582545965339434e-10]
('easy', 15);[0.9998889092831814, 2.6992798757140243e-07, 1.1252272606677014e-07, 7.193337214596858e-09]
('easy', 16);[6.02345894842891e-08, 3.927784882314526e-07, 0.9999799732399826, 1.2751650532962363e-07]
('easy', 17);[0.9999986886995842, 7.734407154916583e-08, 1.7257795071296986e-08, 2.0611496911037635e-09]
('easy', 18);[1.103256032343554e-09, 0.9999991655356624, 5.211412487888539e-10, 6.691586091292782e-10]
('easy', 19);[0.9999982118638471, 4.9444410711567335e-09, 9.237432042950414e-09, 4.0586443852184914e-10]
('easy', 20);[3.850741922767617e-09, 7.194133030325383e-09, 1.0, 2.335593038799337e-09]
('easy', 21);[4.363462252943702e-09, 0.9999998807907247, 2.646573638909117e-09, 9.736200313009565e-10]
('easy', 22);[2.215948977336598e-08, 0.9999994039539004, 6.023573837886479e-08, 1.0467401794744658e-08]
('easy', 23);[6.69908952360814e-06, 9.747117742608581e-06, 1.919321283109578e-06, 0.9621941749896672]
('easy', 24);[0.9999954700677164, 1.44497335592293e-07, 5.315764976351624e-08, 1.4166033827198385e-09]
('easy', 25);[0.9999992847447459, 1.275189375371399e-07, 2.510999155743982e-08, 2.646573638909117e-09]
('easy', 26);[0.9999918938339075, 1.5229863549631703e-08, 5.60275369175583e-09, 5.905258945221871e-10]
('easy', 27);[8.315136520960014e-07, 7.889181875412588e-06, 7.889181875412588e-06, 0.9999821189265068]
('easy', 28);[0.9999829533624089, 7.734289138129681e-08, 2.2159109383778193e-08, 8.592019126124771e-10]
('easy', 29);[8.152020714470167e-09, 1.0, 4.691164021834418e-08, 3.2241867372567335e-08]
('easy', 30);[0.9999974966112362, 1.0467381829779195e-08, 8.152005165739432e-09, 6.691573328117371e-10]
('easy', 31);[0.9999823573372132, 3.2241313908982893e-08, 3.6534194980805917e-08, 3.398209484862448e-09]
('easy', 32);[8.151911873977807e-09, 1.0467262040786102e-08, 0.9999867679437158, 1.7257597572636077e-08]
('easy', 33);[0.9999926090786457, 5.043438147152679e-07, 4.691128231229814e-08, 4.944412778918927e-09]
('easy', 34);[0.9998860489022633, 3.0586760646048287e-07, 1.855180811312008e-07, 4.3629629228903926e-09]
('easy', 35);[4.9444410711567335e-09, 0.9999983310727032, 2.0611496911037635e-09, 2.0611496911037635e-09]
('easy', 36);[1.4166087866431961e-09, 1.0, 1.2501528663867426e-09, 2.7894680928689246e-10]
