id;confidence_per_choice
0;[0.022940424560168756, 1.8098446102905313e-07, 2.3238864798683626e-07, 0]
1;[0, 0, 0, 0]
2;[0, 0, 0, 0]
3;[0, 0, 0, 0]
4;[0, 0, 0, 0]
5;[0, 0.012430408849908401, 0, 0]
6;[0, 0, 0, 0]
7;[0, 0, 0, 0.009690238337277935]
8;[0.0052156896001536975, 1.7496697738987245e-06, 0.0002942492123995965, 0.00013899348610795604]
9;[0.047400914820454346, 4.020463861245248e-06, 9.644591427028788e-06, 2.9707433014464473e-05]
10;[0, 2.3044104623607055e-05, 1.7946766726044556e-05, 0.047212322643018986]
11;[0, 0, 0, 0]
12;[0.017982009322938464, 0, 3.658768363835362e-06, 0]
13;[0, 0, 0, 0]
14;[8.240999009923768e-07, 0.00857440157688637, 6.418096482219304e-07, 1.199058280731618e-06]
15;[0.0259481934128679, 0, 0, 1.1780461584075748e-06]
16;[0, 1.3823964122334995e-05, 0.05995825536585474, 0.00021624318194591073]
17;[0, 7.963908951530669e-07, 0.04208028508486291, 0.00011819488863019551]
18;[0, 0, 0, 0]
19;[1.8241951512590823e-06, 1.0497518298992193e-05, 0.0001128589576535429, 0.08506227180799213]
20;[2.2211443214919043e-07, 0, 0.06753742663046006, 5.728406705641936e-06]
21;[0, 0, 0, 0.022966074076360147]
22;[0, 0, 0, 0]
23;[0.03726760270665512, 0, 1.6919465452983329e-06, 4.599187548808517e-06]
24;[0, 0, 0, 0]
25;[0, 2.1530400006138014e-06, 8.975206031044861e-07, 0.047423839314916366]
26;[0, 2.516403839929687e-07, 0.06752451391884086, 0.00011503607118734381]
27;[0, 6.128759407473366e-07, 1.8877907989864351e-06, 0.05339150967962712]
28;[0, 0, 0, 0]
29;[0, 0, 4.105196855386516e-05, 0.09530507231512322]
30;[0, 5.8819511850477185e-06, 2.1638489149530575e-06, 0.042061528076786495]
31;[0, 0.020291867566715097, 4.678489183946317e-06, 1.5188830570775239e-06]
32;[0.033079197454724214, 0, 1.7017546879150506e-06, 9.108836452422983e-07]
33;[0.017978391252099664, 0, 0, 1.5248961457006238e-06]
34;[0, 0, 0, 0]
35;[0.015896248604784665, 1.9617529260296285e-06, 1.3482917536969829e-06, 0.00012136935582395213]
36;[0, 0, 0, 0]
37;[0, 3.2576302337124086e-07, 0, 0.060078956385603864]
38;[1.1843374913640674e-06, 0.020316386626670523, 1.7232008819451763e-06, 0.0002897978292148331]
39;[0, 1.297512821406049e-06, 0.05339375012353899, 2.746834664471764e-06]
40;[0, 0, 0, 0]
41;[2.342464842791606e-06, 0, 0.08506780854447091, 6.041296453966972e-05]
42;[0, 0, 0.06006937443432564, 4.833982002994719e-05]
43;[0, 0.029199925394922704, 1.169903415872819e-06, 4.083364148502245e-06]
44;[0, 2.175575034789368e-06, 0.03732029414285077, 3.403171940563996e-05]
45;[0, 0, 0.03306181974455431, 0]
46;[0.047401694613722886, 0, 4.555856266035269e-06, 1.0928931039457201e-05]
47;[0, 0, 3.5441172447074194e-06, 0.04734846081908514]
48;[0.029287454818521935, 0, 4.4031917934751795e-05, 9.138533020448581e-07]
49;[0, 0, 0, 0]
50;[2.2239772364150176e-06, 0.01590354216247187, 6.371801463407716e-07, 6.49941418799991e-05]
51;[2.9127697937539637e-07, 0, 0.04740673532604527, 8.971962595740458e-07]
52;[0, 0.006673787510388006, 0, 0.00017785049777218923]
53;[1.969438522688706e-06, 0.012428512264744031, 1.6489906859641337e-05, 0.00012184484685203118]
54;[0, 0, 0, 0]
55;[0, 0, 0.04206620150078519, 0.00017191499180580635]
56;[0.02927081285523365, 1.1727441015823004e-06, 1.706332599346383e-06, 2.813266851431421e-06]
57;[0, 0, 0, 0]
58;[0, 0, 0, 0]
59;[4.271410751075745e-06, 5.780725838167485e-07, 0, 0.10661118205153673]
60;[0, 0, 0, 0]
61;[0, 0.020331238311824065, 9.230370114103001e-07, 1.185202983194318e-06]
62;[0.01796431171519563, 0.00015542174949372182, 3.929677232125919e-05, 3.6551692050896624e-06]
63;[0, 0.022974217645957813, 1.339274930766803e-06, 7.312193360563477e-05]
64;[0, 0.047417621024216434, 1.0932600424891917e-05, 3.1322424638872867e-06]
65;[0.003851232952061867, 0, 3.099212808383666e-06, 0.05316461831912995]
66;[0, 6.202730335807165e-07, 2.0137317078782812e-07, 0.042083224775021154]
67;[0, 1.0379157296448861e-05, 4.326676473158599e-06, 0.09530139134122285]
68;[0, 0, 0, 0]
69;[0, 0, 0, 0.020317834975699823]
70;[0, 0, 3.623459284005621e-05, 0.09532182026895215]
71;[4.513611283820359e-05, 0.003164285802248894, 1.2028366644100118e-06, 0.000906583060980903]
72;[0, 0, 0, 0]
73;[0, 0, 9.916336406537146e-06, 0.020316391470475134]
74;[0, 0, 0, 0.0757840551277896]
75;[0, 1.8867288985792116e-06, 0.05336147644400508, 2.298506341242596e-05]
76;[0, 0, 0, 0]
77;[0.005904956163282543, 0, 0, 2.2446437622836516e-06]
78;[0, 0.006690809079730848, 0, 8.422481625108922e-05]
79;[0.03307251021318053, 0, 7.092534855762218e-07, 0]
80;[0, 3.1855028335228754e-06, 0.02924926356983298, 0.0012851229520013004]
81;[0, 0, 0, 0]
82;[0.017974593918293803, 4.455456379966465e-05, 2.2182411139942597e-06, 3.9319264549211795e-05]
83;[0, 9.950501318530224e-07, 0, 0.06751047696400571]
84;[0, 0, 0, 0]
85;[0.04740255353130001, 1.8991978572208184e-06, 2.1520731139776017e-06, 7.511473237314697e-06]
86;[0, 0, 0, 0.09530500414764784]
87;[0, 0, 0, 0]
88;[0, 0, 0, 0]
89;[0, 0, 0, 0]
90;[0, 0, 9.535551437185464e-07, 0.10666434452102236]
91;[0, 0, 0, 0]
92;[0, 4.875711107086708e-07, 2.8057780184272027e-06, 0.03307988360432757]
93;[0, 0, 0, 0]
94;[3.5695065574842405e-06, 0.028924011215325486, 0.001849050174514581, 0.01064054908233047]
95;[0, 0, 0, 0]
96;[0, 0, 0, 0]
97;[0, 0, 0.029301647048348974, 6.283859351192873e-07]
98;[0, 1.447063322596526e-06, 0.06747660390672747, 0.00021476323912802134]
99;[0, 8.596708465380791e-06, 0.03728623981599596, 0.00019566018282169995]
100;[0, 0, 4.7021625654975097e-07, 0.06753742663046006]
101;[0, 0, 0, 0]
102;[0, 0, 0, 0]
103;[0, 0, 0, 0]
104;[0, 0, 0, 0.020289405195388344]
105;[0, 2.3033864343907801e-07, 1.3255073739220481e-06, 0.033083677400963275]
106;[0, 0, 0, 0]
107;[0, 0, 0, 0.020329527271059935]
108;[0.02592446654633859, 0, 0.00012005412640942613, 7.281650849233311e-05]
109;[0, 1.330121776160777e-06, 0.02929787482037439, 0.00011973374657034794]
110;[0, 0, 0.02032733657357592, 1.953694831688461e-06]
111;[0, 0, 0.0109813058851316, 0.00010765688340585571]
112;[1.481132888034008e-07, 2.767120530489448e-07, 3.553053092186918e-07, 0.09534168529343041]
113;[9.785892143962938e-06, 0.03305544337487561, 3.6000285332850934e-06, 0.00025238148478579336]
114;[0, 0.006689092850483045, 1.2912980803435653e-05, 3.510112106921962e-05]
115;[0, 0, 0, 0]
116;[0, 0, 0, 0]
117;[0, 0.02930767663587542, 1.0362457074559297e-06, 5.6577098606880545e-05]
118;[0, 0, 1.7281726685796308e-06, 0.01798088609980088]
119;[0, 0, 0, 0]
120;[0, 0.020304750299241354, 0, 8.135160531860354e-07]
121;[0, 0, 5.280676264637033e-07, 0.07584668774743061]
122;[0, 0, 0, 0]
123;[0, 0, 6.780461327283226e-06, 0.025953068857583975]
