id;confidence_per_choice
0;[0.18242267575652202, 2.3262356887507366e-08, 0.8175617608503063, 1.547277680460021e-05]
1;[0.9857438263197815, 0.004564898510177606, 9.288128974573541e-07, 0.009663890221881168]
2;[1.0261840485812384e-10, 3.288750472162449e-06, 0.9999966621509202, 1.1861074904847522e-08]
3;[3.3911131038205405e-09, 0.9978944382208236, 0.00017918215923155948, 0.001926389756608129]
4;[9.176312785854304e-07, 0.07994071784774492, 0.4600270962682028, 0.4600270962682028]
5;[7.433411283440817e-12, 0.9999645960934689, 2.646477729813358e-09, 5.602593397979952e-09]
6;[5.645216644664722e-05, 0.013813383101595583, 0.9683930553268383, 0.017736734992893674]
7;[6.466395983185461e-06, 0.4971362117752807, 0.4971362117752807, 0.004873752216558379]
8;[7.433680672352188e-12, 1.2256067444099483e-11, 1.0, 1.162823303022097e-10]
9;[4.784455738561819e-06, 0.0001233927398162743, 1.0128692878017978e-05, 0.9998617363440299]
10;[1.691868879511704e-10, 0.9999833109787883, 9.237291091998765e-09, 1.670143001672819e-05]
11;[0.022973122176010635, 0.9768420900825436, 0.0001547917534359169, 1.848723857606175e-05]
12;[1.0, 3.1608814543136926e-10, 2.510999155743982e-08, 1.0815941557285693e-11]
13;[2.5946094982764667e-11, 1.0, 1.783247290814639e-11, 1.2256067444099483e-11]
14;[1.026187963170189e-10, 1.0, 2.5946094982764667e-11, 4.058652126475693e-10]
15;[0.9996645384165465, 2.1717107838116364e-10, 5.209663344927656e-10, 0.0003353500342255387]
16;[8.477739615030449e-05, 0.9995187454111142, 0.00020337040111182678, 0.00017947374905857388]
17;[5.109089028063325e-12, 3.6534822137210456e-08, 1.0, 7.05287985111216e-11]
18;[1.8523372323555296e-06, 0.017008146832964595, 0.819498431766397, 0.002031333460977168]
19;[2.2576752450076117e-06, 0.000910811200191836, 0.0002609517778889479, 0.9988259763371262]
20;[1.917171513758312e-10, 1.6918979226151304e-10, 1.0, 5.3157852544244216e-08]
21;[6.914400106940203e-13, 1.4166087866431961e-09, 2.8453348089834e-08, 1.0]
22;[1.463778514125909e-12, 1.0, 1.103256032343554e-09, 3.6534822137210456e-08]
