id;confidence_per_choice
0;[0.10925931128527265, 0.011515846685631092, 0.23130193623267048, 0.23130193623267048]
1;[0.3947676547745831, 0.1452269042310345, 0.08808457003127279, 0.30744535866970735]
2;[0.2093949062863133, 0.268868381796574, 0.07703208110875548, 0.16307691698694424]
3;[0.1224326184020719, 0.1224326184020719, 0.15720657511940636, 0.1224326184020719]
4;[0.6064667462656174, 0.13532102221894438, 0.13532102221894438, 0.08207634887944425]
5;[0.0011607101545647851, 0.7720368317662974, 0.038437450525657724, 0.004051276513639643]
6;[0.2960826637222491, 0.08482910342356696, 0.10892272487069309, 0.17958321335692956]
7;[0.2468982636141385, 0.09082879524456872, 0.1497513667117871, 0.40706641891955764]
8;[0.04894842731017098, 0.003129169013423166, 0.17084679854088816, 0.7656822525420567]
9;[0.14789584322035534, 0.6628231841090986, 0.06986104962672483, 0.042372868518314434]
10;[0.16212406615749592, 0.5658685925478935, 0.02817293830440892, 0.20817142160298965]
11;[0.23112983236098014, 0.05157204265765144, 0.14018732970117564, 0.18000409443389387]
12;[0.9908418737961505, 0.0051994621255948776, 0.0024560520003747213, 0.0002588659763231114]
13;[0.5392565840618198, 0.12032441513470286, 0.12032441513470286, 0.09370874872951539]
14;[0.04992565511485628, 0.7809686794506528, 0.011139922077257232, 0.1357120010726272]
15;[0.37119421655637186, 0.0011814299650684894, 0.0007165734961172643, 0.006798660038496486]
16;[0.48428593357342853, 0.13875024302070266, 0.1781588386101831, 0.10805879791587095]
17;[0.04212227289390484, 0.18877893004641064, 0.658903209004671, 0.05408606900443092]
18;[0.33599110733558035, 0.027579829583283345, 0.05838649968598558, 0.4314211473146477]
19;[0.3100614224373083, 0.5112048623959281, 0.019821565942041222, 0.019821565942041222]
20;[0.29424415446957297, 0.014649555581783956, 0.29424415446957297, 0.3778169730507256]
21;[0.10807959083874766, 0.039760259479796625, 0.48437914985987174, 0.22880449560111987]
22;[0.2785071323072592, 0.2785071323072592, 0.02286125484691326, 0.2785071323072592]
23;[0.414029868329034, 0.1955738732915129, 0.07194760721421624, 0.1955738732915129]
24;[0.18221376832414315, 0.1105182371103675, 0.4953083753305647, 0.18221376832414315]
25;[0.7938321005944119, 0.0651617030009587, 0.005348799576417641, 0.107433485772725]
26;[0.14442725561005393, 0.0071906087920533, 0.18544826706576645, 0.01185530966474163]
27;[0.20304387874500507, 0.09591113705794263, 0.20304387874500507, 0.26071350101145035]
28;[0.010449176682943297, 0.09913902807520303, 0.346029167202003, 0.269487786382466]
29;[0.21301672973872446, 0.1658975959278284, 0.35120521333521554, 0.1658975959278284]
30;[0.32551708782903316, 0.09326221824069993, 0.1537633846360945, 0.2535129629043743]
31;[0.0001220390559659229, 0.9888922717855275, 0.00033173654819446466, 0.006663103510314645]
32;[0.4223182197594592, 0.07338790243857292, 0.4223182197594592, 0.07338790243857292]
33;[0.6693503168537241, 0.11631563717652414, 0.03332498800092362, 0.05494361656294932]
34;[0.5780629093521163, 0.10045227132055445, 0.07823230756574903, 0.1656177964163386]
35;[0.21216956245143023, 0.028714027828552497, 0.00640696410035193, 0.740544493950217]
36;[0.19611775627770076, 0.03408015588902935, 0.415181293297933, 0.15273666216328027]
37;[0.1308523196486656, 0.4567194995758684, 0.10190788900909054, 0.2157390027252073]
38;[0.2579198007531446, 0.2579198007531446, 0.05754968644750026, 0.33117557963407573]
39;[0.12764714416056436, 0.04695876006091895, 0.07742190655814073, 0.07742190655814073]
40;[0.29903884090591637, 0.18137622545436669, 0.08567605215367435, 0.0519651524343421]
41;[0.411230022825675, 0.007531939251465166, 0.07146106699104549, 0.026289057390180816]
