id;confidence_per_choice
300;[8.359428018375145e-06, 0, 0, 0]
301;[1.6589880085875386e-05, 0, 0, 0]
302;[0.00032188137642133116, 0, 5.954206761450781e-05, 4.35619072465716e-05]
303;[3.732146509762026e-05, 7.823004069623464e-06, 0, 0]
304;[0.0022797995532382225, 0, 0, 0]
305;[2.5415154973584458e-05, 0, 0, 0]
306;[0.00022524150762219978, 2.3740280242525112e-05, 3.244911576958198e-05, 3.048312323069206e-05]
307;[4.473105556533929e-06, 0, 0, 0]
308;[1.3783668091244343e-05, 0, 0, 0]
309;[0.00014308144310590059, 4.3637374669611473e-05, 0, 0.0001186186826060639]
310;[0.0001452717363242873, 2.0928377898898335e-05, 0, 3.4505061803164145e-05]
311;[1.7728210146204597e-05, 0, 0, 1.8871581467166167e-05]
312;[0.0015145604640060925, 0.00016992897456653255, 0.00012432269360375162, 0.0003829408555411497]
313;[2.546457531985111e-05, 1.2028613660851991e-05, 0, 0]
314;[1.292646020115924e-05, 0, 0, 0]
315;[0.0001335107519231706, 0, 0, 0]
316;[9.485888361169798e-06, 0, 0, 0]
317;[7.344972096388342e-05, 0, 1.4463107598278894e-05, 0]
318;[1.1381220612753333e-05, 0, 0, 0]
319;[1.556561856019821e-05, 0, 0, 0]
320;[1.003214586772651e-05, 0, 0, 0]
321;[0.00017057844013083765, 0, 0, 0.00011723673309481244]
322;[0, 0, 0, 0]
323;[0.0008428247045227146, 4.466807291408593e-05, 2.2460517588310877e-05, 8.883307029827655e-05]
324;[0.00011326189111638223, 0, 0, 0]
325;[1.466277661486444e-05, 7.372907102687698e-06, 0, 0]
326;[2.54863682054193e-05, 0, 0, 0]
327;[0.00011522964722089853, 0, 0, 5.736946324191718e-06]
328;[0.000105319484760828, 9.29441190832362e-05, 7.705338108362942e-05, 0.0010636896226628772]
329;[2.255995458094819e-05, 0, 0, 0]
330;[0.0004538363291460344, 1.5529425204851214e-05, 8.848399759667718e-06, 0]
331;[0.0014779949652623033, 0.00022665786889477173, 0, 0.00029103446455316473]
332;[6.542198867377658e-05, 0, 0, 0]
333;[0.00019574435575917836, 0, 0, 3.401526860843927e-05]
334;[0.00013579002142129277, 0, 0, 2.8463134751394462e-05]
335;[0, 0, 0, 0]
336;[0.0011109112721646313, 0.00012464084981424537, 8.566431977672658e-05, 0.0001170892424756747]
337;[0, 0, 0, 0]
338;[1.3667692896641593e-05, 0, 0, 0]
339;[1.4650993250251237e-05, 0, 0, 0]
340;[3.7312283356380715e-05, 0, 0, 1.2113524854422887e-05]
341;[2.5635065039672335e-05, 0, 0, 0]
342;[1.874076436650626e-05, 0, 0, 0]
343;[2.7238385952084188e-05, 0, 0, 0]
344;[0, 0, 0, 0]
345;[0.0014437193852238758, 4.3596568618298254e-05, 0, 0.00019538626508087075]
346;[2.4184701210633775e-05, 0, 0, 4.473719886282913e-06]
347;[0.0006127883331938169, 0, 8.293192218188967e-05, 8.828057163002867e-05]
348;[9.315354133455226e-05, 0, 0, 4.684054218283419e-05]
349;[6.115952345854583e-06, 0, 0, 0]
200;[0.00012093377375146289, 0, 0, 5.04126971733786e-05]
201;[8.351260534853133e-06, 0, 0, 0]
202;[0.00014342585521869046, 0, 0, 9.260269207360768e-05]
203;[2.2618033245767673e-05, 0, 0, 0]
204;[3.879327093840032e-05, 0, 0, 0]
205;[3.7141285983504128e-06, 0, 0, 0]
206;[4.477851737820975e-06, 0, 0, 0]
207;[0.0013003608603232393, 0.00016532225222151565, 9.419777986165329e-05, 0.00016532225222151565]
208;[0, 0, 0, 0]
209;[6.922619469873414e-06, 0, 0, 0]
210;[1.8837884567494884e-05, 0, 0, 0]
211;[0.0003959055638359419, 0, 2.8679289177429955e-05, 2.6941698885482843e-05]
212;[0.00010778046581795024, 0, 0, 1.552724828539302e-05]
213;[1.137832296961461e-05, 0, 0, 0]
214;[8.92318824418571e-05, 0, 1.0657228584057974e-05, 1.8704018656741356e-05]
215;[1.4655632780319094e-05, 6.503397623802696e-06, 0, 2.2699088095813814e-05]
216;[6.105893513118751e-06, 0, 0, 0]
217;[6.147738096872711e-05, 0, 1.0683166923941055e-05, 1.0035906560567085e-05]
218;[2.380005836391742e-05, 0, 0, 0]
219;[9.474162371510969e-06, 0, 0, 0]
220;[0, 0, 0, 0]
221;[2.4120598289341175e-05, 0, 0, 0]
222;[0, 0, 0, 0]
223;[4.23671367356936e-05, 0, 0, 0]
224;[0.0003938144873686575, 9.957184832877628e-05, 5.329696977673703e-05, 7.284832044043729e-05]
225;[8.36140163113488e-05, 0, 1.2822624699198202e-05, 0]
226;[0.0006987805317977263, 3.70340290945409e-05, 2.3910966312578013e-05, 0.0002268609319658079]
227;[5.4339814253899755e-05, 0, 0, 1.0051854911389264e-05]
228;[6.5082556999359845e-06, 0, 0, 0]
229;[9.473733509055449e-05, 0, 0, 2.395334951191462e-05]
230;[2.8918629119806774e-06, 0, 0, 0]
231;[5.780825441443753e-05, 0, 0, 0]
232;[0.0001422308765574835, 0.0001255183080138711, 0, 0]
233;[0.00011873016169505938, 0.00023612312133252874, 0.00011873016169505938, 0.00019575294306030998]
234;[2.5551967669524488e-06, 0, 0, 0]
235;[0, 0, 0, 0]
236;[0.00010720189187700022, 0, 1.6439942574510976e-05, 0]
237;[2.4161601792030634e-05, 0, 0, 5.3911820772983845e-06]
238;[0, 0, 0, 0]
239;[6.930572752040212e-06, 0, 0, 0]
240;[7.445087144862304e-05, 5.393203038726543e-06, 0, 1.7683631968847604e-05]
241;[1.6635698563765934e-05, 0, 0, 0]
242;[0.00010023046936309176, 3.254006918321322e-05, 0, 0.00010669477925174744]
243;[7.421721665634457e-05, 0, 0, 0]
