id;confidence_per_choice
0;[0.40345770749022597, 0.10201008368613837, 0.2772921568036164, 0.1905799264639507]
1;[0.28558149902672547, 0.1732139350064026, 0.19627710250212288, 0.2520247883265509]
2;[0.1262742711437861, 0.2673226341091485, 0.2359113965920787, 0.30291622931053086]
3;[0.17285489618169864, 0.15254391047693086, 0.322935461013825, 0.251502389919092]
4;[0.14983234630371917, 0.21800477750401256, 0.3594291137851143, 0.16978229143343238]
5;[0.05044702886309728, 0.3289559503743298, 0.19952186959693854, 0.19952186959693854]
6;[0.1672686418474815, 0.05430417728746498, 0.31249896393673554, 0.35410771756989784]
7;[0.2027357205332665, 0.22972966810365936, 0.2027357205332665, 0.26031781803521703]
8;[0.0504775759531274, 0.06481449049660153, 0.6968214835115794, 0.15548187994336266]
9;[0.14538266076168874, 0.1282997478116973, 0.4478100945271256, 0.23969548518877712]
10;[0.09606978214291706, 0.15839227440872305, 0.07481922156240307, 0.6264536162741615]
11;[0.18245266661412293, 0.14209427963254492, 0.2654670634977458, 0.30081359234266364]
12;[0.4384611841636167, 0.017000987107578486, 0.2659401512891409, 0.07619313810499286]
13;[0.22752699393405465, 0.20079186740118724, 0.17719820104572453, 0.2578218612073192]
14;[0.08069025011162233, 0.3191360919391279, 0.11740362115580584, 0.46434027386623605]
15;[0.297058857203244, 0.08510878753853564, 0.06628279038126939, 0.48976725652086034]
16;[0.24714756550274106, 0.2181069610374924, 0.24714756550274106, 0.19247871754772608]
17;[0.12147957953952858, 0.25717227190328273, 0.37418342539406324, 0.20028596674252883]
18;[0.22695633067951068, 0.12148096977094322, 0.22695633067951068, 0.33021951263193755]
19;[0.17174536185775774, 0.22052540982359434, 0.28316023123897566, 0.24988802700353382]
20;[0.412908019016356, 0.03389355013232809, 0.10439948418724494, 0.412908019016356]
21;[0.056375909492280156, 0.06388227463141266, 0.11934780133171173, 0.606098074076026]
22;[0.11240407170615738, 0.2696433184132167, 0.163546939804272, 0.3462288742825959]
23;[0.18045725942086552, 0.2317117077222047, 0.2317117077222047, 0.20448486435743274]
24;[0.317797968748262, 0.0709103116616454, 0.21841913674222893, 0.19275421164021822]
25;[0.5102471381831273, 0.03261900628664636, 0.02878617201335286, 0.3973808707769629]
26;[0.2269085830931499, 0.10718401240572858, 0.20024612174956408, 0.33015004030371387]
27;[0.09434829113642196, 0.15555403445082724, 0.422839705191176, 0.2564652453422994]
28;[0.16085414189510316, 0.16085414189510316, 0.3405282210641509, 0.30051510033175555]
29;[0.08079741946851378, 0.02314884825165411, 0.2488735727960139, 0.5268653891472406]
30;[0.17093325594361175, 0.1331229535818297, 0.19369275455017956, 0.46464479120584584]
31;[0.006228368005986159, 0.815755419960617, 0.04602177157346064, 0.0974280911855609]
32;[0.23536184263312118, 0.1259801161066662, 0.23536184263312118, 0.26669990789067904]
33;[0.2317059071353186, 0.2317059071353186, 0.262557190236832, 0.20447974535747257]
34;[0.2830236901047763, 0.1716625454735539, 0.07155959540925946, 0.4117970392360119]
35;[0.2295887834254479, 0.2601581747800409, 0.045208706563099735, 0.42892831650637503]
36;[0.21407271472651565, 0.18891850767402577, 0.24257616553616723, 0.2748748067281903]
37;[0.2655215637445627, 0.2343219575739948, 0.16104696922591966, 0.2655215637445627]
38;[0.27384834873753977, 0.21327330843960712, 0.0889055420996521, 0.3516282400969694]
39;[0.2230955306933218, 0.11941443245510966, 0.32460208179847466, 0.19688111481732304]
40;[0.2058657296953608, 0.2643368293538116, 0.2332764331437715, 0.2332764331437715]
41;[0.26529240264181003, 0.0316846591061211, 0.20660993092033608, 0.437393227190695]
42;[0.002645462571467823, 0.0013302221192742288, 0.9418499248500716, 0.02844140298912203]
43;[0.01709329652025455, 0.8236012840344735, 0.011748039437565983, 0.12630335701688025]
44;[0.13167360553771168, 0.13167360553771168, 0.4595860417721605, 0.16907225621733754]
45;[0.04102805868032333, 0.05969547313832222, 0.7272397409889468, 0.09842119632765997]
46;[0.17733016749112626, 0.1381048733042725, 0.29236801907943627, 0.2276964422041004]
47;[0.08581126133932383, 0.09723689804236796, 0.33939016274607187, 0.43578559513974535]
48;[0.2184318955340186, 0.15012589994652062, 0.3601333123662848, 0.19276547123445334]
49;[0.03655368370954751, 0.07738414902036653, 0.6479295662632983, 0.21035192609282916]
100;[0.008207431115355941, 0.01737513180755591, 0.010538550157830846, 0.9486501698964971]
101;[0.2970121876225776, 0.08509541647980726, 0.2621123356067994, 0.15897916783441124]
102;[0.40081824259361043, 0.07892578689716524, 0.35372083650485675, 0.11483634232736116]
103;[0.2153769902982231, 0.40237721543212457, 0.03302913120634448, 0.2765495297126276]
104;[0.14651276318927337, 0.12929704429023436, 0.27372187754058447, 0.18812611180417912]
105;[0.08118997987839054, 0.5294251416140277, 0.04924421205769564, 0.32111259955141247]
106;[0.509195352622672, 0.07808764572781374, 0.14588691106531151, 0.1873225017699241]
107;[0.15513144715636726, 0.28982369902049354, 0.13690302160895995, 0.28982369902049354]
108;[0.22654805505192402, 0.10701372379505897, 0.1557040493681343, 0.3296254750990011]
109;[0.16372632622052616, 0.18552623328310378, 0.30588104708672725, 0.2102287642480642]
110;[0.15823370869152606, 0.06596161552313251, 0.4873941355784261, 0.20317610373668346]
111;[0.24793215148503683, 0.048820735285898614, 0.46319823972939345, 0.10335349741129035]
112;[0.15820677472290906, 0.23018949895626856, 0.17927176204195627, 0.3795183232210049]
113;[0.6009592382742076, 0.17217769422041582, 0.08133098387779436, 0.11833588328464213]
114;[0.21076766858435045, 0.23883105761285825, 0.21076766858435045, 0.21076766858435045]
