id;confidence_per_choice
0;[0.1281254475894207, 0.0046669679746012445, 0.8354828559922836, 0.014375273388727612]
1;[0.5203046276666359, 0.21689523793718812, 0.109061774746339, 0.12358318134253671]
2;[0.04324396848013878, 0.31953210904013424, 0.28198609650424167, 0.31953210904013424]
3;[0.028490879163525596, 0.3933044550391623, 0.3933044550391623, 0.1639536894761803]
4;[0.07170146271559137, 0.17200286744973514, 0.6802845170519821, 0.029889616561524685]
5;[0.21887172170954267, 0.1171535904246607, 0.46335143849514654, 0.15042818776148995]
6;[0.0731008489711141, 0.255147002974915, 0.4766773568588322, 0.15475448003807646]
7;[0.1877863453644887, 0.3508310805881772, 0.3508310805881772, 0.0782809858648654]
8;[0.30798099302754073, 0.5077747839101178, 0.05351907166617979, 0.11329987560639755]
9;[0.31441281350912703, 0.21609255583932835, 0.05816052239171251, 0.35627639325225585]
10;[0.0018647782523927008, 0.5503983701029653, 0.007375341059446885, 0.4286506816374143]
11;[0.07661303210455826, 0.16218979023809724, 0.38907308073587743, 0.34335578862845806]
12;[0.406460100581856, 0.406460100581856, 0.029443870930267062, 0.1164527685489771]
13;[0.15923070530395206, 0.4328339327604502, 0.18043202739591296, 0.20445627272739]
14;[0.06806646386865048, 0.05301021536180648, 0.02837432360065986, 0.8292193838569234]
15;[0.571917741469487, 0.18567449482702109, 0.011150620123465824, 0.2103967665872034]
16;[0.28691090262900126, 0.3251126454820596, 0.25319798288784406, 0.09314633245051648]
17;[0.3842431024409754, 0.2056705241700434, 0.2640861804978262, 0.09715187650264094]
18;[0.28834660760274433, 0.3267395123521169, 0.22456456379700038, 0.08794074673512635]
19;[0.37320001708229666, 0.19975957426678168, 0.19975957426678168, 0.19975957426678168]
20;[0.7654317168997251, 0.0008419285643792157, 0.012372049938855849, 0.19353144591705962]
21;[0.04879484366501558, 0.043061298396475815, 0.014881586519779744, 0.8649092731265116]
22;[0.09846945310245772, 0.5666526121033506, 0.12643728055089729, 0.16234868184423076]
23;[0.10617620249502141, 0.6110017861688833, 0.06855250868262006, 0.17505494262752924]
24;[0.20375762032401737, 0.4887890922187124, 0.17981546881395336, 0.06615041418125807]
25;[0.821904981949709, 0.0038061759721253127, 0.005202425729484935, 0.14282566559843127]
26;[0.4884601333024849, 0.12350206267093286, 0.12350206267093286, 0.2307322293195113]
